source,source_dir,condition,condition_fields,target_method,baseline_method,metric,direction,n_pairs,paired_seeds,target_mean,baseline_mean,diff_mean,diff_se,diff_ci95_low,diff_ci95_high,relative_change_percent,target_win_rate,target_loss_rate,target_tie_rate,target_better_all_pairs,target_better_ci95,baseline_better_ci95
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,GREATS,duplicate_hit_rate,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.34174507774936663,0.36780313278297416,-0.026058055033607537,0.009259238414726565,-0.04591912143319602,-0.006196988634019053,-7.084783328635579,0.7333333333333333,0.26666666666666666,0.0,0,1,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,GREATS,effective_compression_size,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,95.2,96.26666666666667,-1.0666666666666667,17.014970066068475,-37.56377745838355,35.43044412505021,-1.10803324099723,0.8666666666666667,0.13333333333333333,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,GREATS,group_revisit_rate,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.010109006146062244,0.02944315635569134,-0.019334150209629097,0.005795024064051032,-0.031764476827018565,-0.006903823592239632,-65.66602430819826,0.7333333333333333,0.2,0.06666666666666667,0,1,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,GREATS,mode_entropy,higher,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.9990598187067066,0.997416768144694,0.0016430505620123861,0.0004906599841426255,0.0005905848960264543,0.002695516227998318,0.16473059351795766,0.7333333333333333,0.2,0.06666666666666667,0,1,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,GREATS,noise_hit_rate,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.04351273576470867,0.04705693116865315,-0.003544195403944489,0.002951621636034951,-0.00987542381323946,0.002787033005350481,-7.531718103847463,0.6,0.3333333333333333,0.06666666666666667,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,GREATS,runtime_sec,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,1.036095694739682,1.1159493231680244,-0.07985362842834244,0.03366127934305043,-0.1520570726191856,-0.007650184237499261,-7.15566798334974,0.6,0.4,0.0,0,1,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,GREATS,spectral_entropy,higher,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.2465720185049804,0.2296604511626786,0.01691156734230177,0.003486449492797586,0.009433133180250946,0.024390001504352592,7.363726430338919,0.9333333333333333,0.06666666666666667,0.0,0,1,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,GREATS,test_inappropriate_risk,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.28596666666666665,0.28338333333333326,0.0025833333333333303,0.005655521252273803,-0.009547759752793978,0.014714426419460637,0.9116038346174196,0.3333333333333333,0.6666666666666666,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,GREATS,unique_group_fraction,higher,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.9898909938539375,0.9705568436443086,0.019334150209629083,0.005795024064051041,0.006903823592239601,0.031764476827018565,1.9920677842043732,0.7333333333333333,0.2,0.06666666666666667,0,1,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,MaxLoss,certified_bound,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.025454815135647853,0.03958548415297022,-0.01413066901732236,0.008534272972584477,-0.032436684543516066,0.004175346508871344,-35.6965926265224,0.6666666666666666,0.2,0.13333333333333333,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,MaxLoss,duplicate_hit_rate,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.34174507774936663,0.36141845201954487,-0.01967337427017826,0.006452612093746998,-0.03351422721126557,-0.0058325213290909474,-5.443378488355198,0.8,0.0,0.2,0,1,0
