dataset,method,noise_rate,pretrain_fraction,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se
fashion_mnist,EL2N,0.3,0.0,200,5,200.0,0.0,220.0,0.0,3953.2,29.63342707146779,4173.2,29.63342707146779,0.8543215648154728,0.005639997030959256,0.66476,0.0066676532603307985,0.7783200000000001,0.007086000282246679,,,,,,,,,4.430118154920637,0.050102576814237645,0.0,0.0,1.0,0.0,201.0,0.0,0.5618181818181818,0.011991732689339002,0.0,0.0,0.713599967956543,0.001608820764839636,0.713599967956543,0.001608820764839636,0.9858820319175721,0.0022463909335156376,0.023158206787283565,0.0003454199006869725,0.9159817351598173,0.010169432626173544,0.9570776255707762,0.0018264840182648401,0.9132420091324202,0.009793429492934795,0.0,0.0,0.0,0.0,0.2434647271868539,0.0010464845053372637,1.3782676364065731,0.0005232422526686364
fashion_mnist,EL2N,0.3,0.1,200,5,200.0,0.0,220.0,0.0,3512.6,49.66850108469149,3732.6,49.66850108469149,0.8503105210606009,0.010513623045686277,0.6666199999999999,0.01473157832684604,0.77426,0.012589304984787683,,,,,,,,,4.168479516729713,0.01577256106442438,0.0,0.0,1.0,0.0,201.0,0.0,0.5736363636363636,0.0017007533576245087,0.0,0.0,0.7108819007873535,0.002280361267873914,0.7108819007873535,0.002280361267873914,0.9870414495468139,0.0026347363664152206,0.02319831796432739,0.0004959772985233195,0.9050228310502282,0.005479452054794517,0.9570776255707762,0.0023283194125994495,0.9013698630136986,0.005517372590682454,0.0,0.0,0.0,0.0,0.24394544299925425,0.0008463026344264827,1.3780272785003729,0.00042315131721325054
fashion_mnist,EL2N,0.3,0.2,200,5,200.0,0.0,220.0,0.0,3081.8,5.739337940912697,3301.8,5.739337940912697,0.8476983832078986,0.0013635277775466792,0.66252,0.0074735132300678955,0.76832,0.004594061384004358,,,,,,,,,3.93601346667856,0.023848476260450256,0.0,0.0,1.0,0.0,201.0,0.0,0.5618181818181818,0.010813979321245745,0.0,0.0,0.7078383564949036,0.00395305227458233,0.7078383564949036,0.00395305227458233,0.986519455909729,0.0012807052986508816,0.022428833785122386,0.00025832067968238295,0.9242009132420093,0.0042345289933770364,0.9570776255707762,0.0023283194125994495,0.9187214611872146,0.003652968036529684,0.0,0.0,0.0,0.0,0.24443352315688177,0.002223206873123586,1.3777832384215591,0.0011116034365617864
fashion_mnist,EL2N,0.3,0.3,200,5,200.0,0.0,220.0,0.0,2678.8,24.727312834192073,2898.8,24.727312834192073,0.8516746398177929,0.006696821583889964,0.66318,0.010064313190675253,0.7735399999999999,0.009239025922682538,,,,,,,,,3.6974730087444185,0.012089690492265862,0.0,0.0,1.0,0.0,201.0,0.0,0.5609090909090909,0.004679831882266811,0.0,0.0,0.7057156324386596,0.002643955625958101,0.7057156324386596,0.002643955625958101,0.9866348624229431,0.00227647450175659,0.023257599247100694,0.0004123784825722432,0.902283105022831,0.004473953868097128,0.9570776255707761,0.0018264840182648401,0.9004566210045661,0.004427104892617651,0.0,0.0,0.0,0.0,0.24607523727713962,0.0016377535768516925,1.3769623813614302,0.0008188767884258381
fashion_mnist,EL2N,0.3,0.4,200,5,200.0,0.0,220.0,0.0,2215.4,22.294842452908252,2435.4,22.294842452908252,0.837826264614705,0.007031808980977532,0.638,0.004368409321480758,0.7458,0.006287686378947354,,,,,,,,,3.4991394951939583,0.02303013915804415,0.0,0.0,1.0,0.0,201.0,0.0,0.5536363636363636,0.006165754530113877,0.0,0.0,0.7058863997459411,0.0019003001427669365,0.7058863997459411,0.0019003001427669365,0.9867653369903564,0.002014437248905866,0.023371232413265802,0.00019123302340601307,0.9077625570776255,0.0061939086603883696,0.9570776255707762,0.0023283194125994495,0.9050228310502282,0.007132648105850834,0.0,0.0,0.0,0.0,0.24547031775994094,0.0017159348579688343,1.3772648411200297,0.0008579674289844104
fashion_mnist,EL2N,0.3,0.5,200,5,200.0,0.0,220.0,0.0,1817.0,21.400934559032695,2037.0,21.400934559032695,0.8428487015073187,0.008078327382516123,0.65096,0.013784288157173728,0.7515599999999999,0.011328574491082287,,,,,,,,,3.333660012297332,0.019511972007998073,0.0,0.0,1.0,0.0,201.0,0.0,0.55,0.006428243465332256,0.0,0.0,0.7092115163803101,0.0023324116659682653,0.7092115163803101,0.0023324116659682653,0.98761465549469,0.0016263729128976022,0.022339900933444228,0.00036027413831431047,0.9141552511415526,0.004656638825198897,0.9616438356164384,0.0018264840182648401,0.9123287671232877,0.004875378197274575,0.0,0.0,0.0,0.0,0.24354850213928253,0.0012415878513560021,1.3782257489303589,0.0006207939256779962
fashion_mnist,EL2N,0.3,0.6,200,5,200.0,0.0,220.0,0.0,1396.8,8.452218643646175,1616.8,8.452218643646175,0.8398197790491395,0.0039587415951003405,0.6242000000000001,0.005425771834495054,0.7299,0.005340692838948897,,,,,,,,,3.1111524045467376,0.007019928715192732,0.0,0.0,1.0,0.0,201.0,0.0,0.5336363636363637,0.015048132142951682,0.0,0.0,0.7094935059547425,0.0019779099454225414,0.7094935059547425,0.0019779099454225414,0.9846490502357483,0.001549501329988927,0.022799250850938767,0.0006450116340645055,0.9105022831050228,0.008493641661067705,0.9616438356164384,0.001118488467024296,0.9095890410958904,0.008219178082191785,0.0,0.0,0.0,0.0,0.24328589206389045,0.001784324341570803,1.3783570539680547,0.0008921621707853892
fashion_mnist,EL2N,0.3,0.7,200,5,200.0,0.0,220.0,0.0,959.6,16.770807970995314,1179.6,16.77080797099531,0.8235102041275241,0.010453837698535107,0.6087199999999999,0.014489837818278006,0.7088599999999999,0.014633577826355387,,,,,,,,,2.9942098604515195,0.04170085212778251,0.0,0.0,1.0,0.0,201.0,0.0,0.5372727272727273,0.005995866344669514,0.0,0.0,0.7045058488845826,0.001738529875552332,0.7045058488845826,0.001738529875552332,0.9836495876312256,0.0014844510354208268,0.02250054299014888,0.0003776367447280542,0.9168949771689497,0.011766300207054908,0.9625570776255706,0.0022369769340485576,0.9168949771689497,0.011766300207054908,0.0,0.0,0.0,0.0,0.24314275589174023,0.0012708126425985927,1.37842862205413,0.0006354063212992789
fashion_mnist,EL2N,0.3,0.8,200,5,200.0,0.0,220.0,0.0,542.4,14.510685717773644,762.4,14.510685717773644,0.8084605956217275,0.013398727744796356,0.58264,0.013979220292992024,0.6735399999999999,0.01673169447485819,,,,,,,,,2.7531356694176794,0.03570476448482586,0.0,0.0,1.0,0.0,201.0,0.0,0.5172727272727273,0.011974490793017713,0.0,0.0,0.7055118441581726,0.0032877842061572716,0.7055118441581726,0.0032877842061572716,0.9876176834106445,0.0010392461439930492,0.02218146741934563,0.0007104187505543957,0.904109589041096,0.007640730835927632,0.9570776255707762,0.0023283194125994495,0.8995433789954339,0.007503048732947491,0.0,0.0,0.0,0.0,0.24388895944384412,0.0027633491792834674,1.3780555202780778,0.0013816745896417528
fashion_mnist,GREATS,0.3,0.0,200,5,200.0,0.0,220.0,0.0,4261.4,14.87817193071783,4481.4,14.87817193071783,,,0.7564599999999999,0.005354400059763929,0.8727,0.005445456821975556,,,,,,,,,8.1541619412601,0.03632829847081231,0.0,0.0,1.0,0.0,201.0,0.0,0.6872727272727273,0.006649426744694456,0.0,0.0,0.7337081909179688,0.002165711408082045,0.7337081909179688,0.002165711408082045,0.9787826895713806,0.002808208359808298,0.024512991377207787,0.0004624408349480822,0.9296803652968035,0.006392694063926936,0.9579908675799087,0.0009132420091324089,0.9269406392694064,0.005592442335121406,0.0,0.0,0.0,0.0,0.2380800205094257,0.0013895325980710373,1.380959989745287,0.0006947662990355325
