method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,0,0.0,0.0,5000,0,473,0,473,0.10919747682055458,0.04569999999999996,0.22744418270583305,0.0006419999999999914,0.05495042657403432,553.7117094950852,9.815582088194788,1,470,0.0,0.0,0.5752594470977783
PU-R,mnist,0,0.0,0.0,5000,0,710,0,710,0.15952845715219155,0.04179999999999995,0.2301622858093006,7.599999999999496e-05,0.05215056125614054,590.40822157974,49.11182107497007,1,707,0.0,0.0,0.5586332678794861
PU-C,mnist,0,0.0,0.0,5000,0,694,0,694,0.15615470585180447,0.04190000000000005,0.23015717412657127,6.39999999999974e-05,0.052074620562183434,591.0255363278301,13.099332645069808,1,691,0.0,0.0,0.5660433769226074
Marginal,mnist,0,0.0,0.0,5000,0,800,96,896,0.19854948372812942,0.048799999999999955,0.29586645624700453,0.01928199999999999,0.10054276795327749,550.1454580319247,12.606230906909332,0,797,0.0,0.0,0.5597633719444275
MaxLoss,mnist,0,0.0,0.2,4000,1000,448,0,448,0.1295541532454081,0.047599999999999976,0.24191061862761049,0.0004874999999999785,0.054267047691687616,503.99540023773915,5.776567512890324,1,445,0.0,0.0,0.5769931077957153
PU-R,mnist,0,0.0,0.2,4000,1000,606,0,606,0.17155001813080162,0.04390000000000005,0.24041541900410132,0.00012499999999999735,0.05244452911837699,510.467039693851,34.29251601197757,1,603,0.0,0.0,0.5633869767189026
PU-C,mnist,0,0.0,0.2,4000,1000,629,0,629,0.17762073909398168,0.04159999999999997,0.24386480952465467,1.4999999999998349e-05,0.05173488431734791,529.753206921409,10.85649634199217,1,626,0.0,0.0,0.5654531717300415
Marginal,mnist,0,0.0,0.2,4000,1000,800,41,841,0.23317875084467232,0.05049999999999999,0.2920502517836302,0.010394999999999986,0.08213161218472859,528.4493649998292,11.176604385022074,0,797,0.0,0.0,0.564139187335968
MaxLoss,mnist,0,0.0,0.4,3000,2000,346,0,346,0.13576427032239735,0.054300000000000015,0.26036909065786895,0.0005366666666666764,0.05448862854542453,432.8537334020022,3.934798104921356,1,343,0.0,0.0,0.5785974264144897
PU-R,mnist,0,0.0,0.4,3000,2000,473,0,473,0.1810637908638455,0.0514,0.26470833811759886,0.00046999999999999044,0.05418714415932152,448.50191034378275,19.45370292989537,1,470,0.0,0.0,0.5720183849334717
PU-C,mnist,0,0.0,0.4,3000,2000,463,0,463,0.17752073903102428,0.047599999999999976,0.2586809285962862,0.00015000000000000012,0.05258703511371194,437.83039993131905,6.766222522128373,1,460,0.0,0.0,0.570414662361145
Marginal,mnist,0,0.0,0.4,3000,2000,685,0,685,0.2554435166530311,0.05279999999999996,0.2711094962432323,0.0004233333333333145,0.05397117893739407,470.6407258483583,8.317355847917497,1,682,0.0,0.0,0.5616703629493713
MaxLoss,mnist,0,0.0,0.6,2000,3000,277,0,277,0.16541668225545436,0.05349999999999999,0.2968492200739165,0.00013999999999999234,0.05253053493691667,375.32116657564916,2.62546447920613,1,274,0.0,0.0,0.5765455961227417
PU-R,mnist,0,0.0,0.6,2000,3000,373,0,373,0.21692392113618553,0.05520000000000003,0.3061342378446593,0.0003749999999999887,0.05374265039480036,392.27556222517455,11.361353382933885,1,370,0.0,0.0,0.5758417844772339
PU-C,mnist,0,0.0,0.6,2000,3000,367,0,367,0.21372902946313843,0.05740000000000001,0.3037861629131312,0.0005749999999999555,0.05465861383363263,382.9907703943135,4.5683970709796995,1,364,0.0,0.0,0.5692471861839294
Marginal,mnist,0,0.0,0.6,2000,3000,564,0,564,0.3173269274411723,0.05820000000000003,0.328479631499803,0.0016149999999999587,0.058703919559213676,425.75798675541597,5.7917181679513305,1,561,0.0,0.0,0.5732579827308655
MaxLoss,mnist,0,0.0,0.8,1000,4000,186,0,186,0.22842540696728975,0.08299999999999996,0.36817774357538957,0.00016000000000000015,0.05264291923771831,273.85230807520475,1.4615487370174378,1,183,0.0,0.0,0.5772780776023865
PU-R,mnist,0,0.0,0.8,1000,4000,232,0,232,0.27799860923551023,0.07869999999999999,0.38029862764846384,0.0005900000000000006,0.054724511113817875,285.5410593658,4.240688591031358,1,229,0.0,0.0,0.5775195956230164
PU-C,mnist,0,0.0,0.8,1000,4000,227,0,227,0.27264926669886336,0.0776,0.37876677961487654,0.001120000000000001,0.05688511172001015,278.3858799645395,2.231762513052672,1,224,0.0,0.0,0.5827990174293518
Marginal,mnist,0,0.0,0.8,1000,4000,355,0,355,0.40717061737086624,0.08409999999999995,0.4123250993907685,0.001010000000000001,0.056458711958819074,326.9784961116492,2.968866975978017,1,352,0.0,0.0,0.5697191953659058
MaxLoss,mnist,0,0.3,0.0,5000,0,800,1635,2435,0.5129161986405961,0.40669999999999995,0.7616915841706565,0.32526200000000005,0.48600635660593,875.2276378915257,11.31208447390236,0,797,0.45125,0.0,0.5677666664123535
PU-R,mnist,0,0.3,0.0,5000,0,800,1729,2529,0.5317583275027573,0.30820000000000003,0.7406447238662592,0.34589400000000003,0.5074500314807263,611.9042247639534,76.19518226804212,0,797,0.33,0.0,0.5607664585113525
PU-C,mnist,0,0.3,0.0,5000,0,800,1610,2410,0.5078987543238327,0.2954,0.7231779443603115,0.321656,0.48222609555550167,635.6602531346631,28.00921106687747,0,797,0.36625,0.0,0.5562226176261902
