method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,0,0.0,0.0,50,50,5000,0,54,1280,1334,0.289323118631728,0.25760000000000005,0.5224705428431338,0.24244800000000005,0.3965219033977844,151.1406709208054,1.650125915184617,0,0,51,0.0,0.0,0.5773830413818359
MaxLoss,mnist,0,0.0,0.0,100,100,5000,0,104,862,966,0.21315149049041793,0.17459999999999998,0.4560214234646395,0.15952199999999997,0.3000328492032602,246.04633824214562,2.7400230260100216,0,0,101,0.0,0.0,0.5789700150489807
MaxLoss,mnist,0,0.0,0.0,200,200,5000,0,204,528,732,0.16416255553485826,0.121,0.404701024874644,0.098236,0.22193207991083014,366.67585806638147,4.509846699191257,0,0,201,0.0,0.0,0.5803114175796509
MaxLoss,mnist,0,0.0,0.0,500,497,5000,0,501,0,501,0.11518953990889713,0.04259999999999997,0.22639114835005286,5.999999999999561e-05,0.05204885666065867,572.4072966557966,8.939047499094158,1,0,498,0.0,0.0,0.5726505517959595
PU-R,mnist,0,0.0,0.0,50,50,5000,0,54,1680,1734,0.3712116063106805,0.3256,0.6025381428464028,0.321184,0.4817305589667921,140.45513713270861,1.6224861769005656,0,0,51,0.0,0.0,0.578684389591217
PU-R,mnist,0,0.0,0.0,100,100,5000,0,104,1195,1299,0.2821164143970236,0.24109999999999998,0.5293582518006653,0.23048399999999997,0.38308489734311124,207.02244336187718,3.3487198119983077,0,0,101,0.0,0.0,0.5726689696311951
PU-R,mnist,0,0.0,0.0,200,200,5000,0,204,681,885,0.19625105726299807,0.13790000000000002,0.432921714764252,0.12985600000000003,0.2631755555695542,301.4325107411267,6.941210630815476,0,0,201,0.0,0.0,0.5737824440002441
PU-R,mnist,0,0.0,0.0,500,500,5000,0,504,147,651,0.14707244804594666,0.05520000000000003,0.30656882671826013,0.030034,0.1201988663072396,476.1445446970811,26.321718429913744,0,1,501,0.0,0.0,0.5641298294067383
PU-C,mnist,0,0.0,0.0,50,50,5000,0,54,1668,1722,0.36876672541256994,0.33230000000000004,0.6106872691689027,0.3309280000000001,0.4919264750668317,136.14190024598375,1.5348473258782178,0,0,51,0.0,0.0,0.576444149017334
PU-C,mnist,0,0.0,0.0,100,100,5000,0,104,807,911,0.20168198959436268,0.15639999999999998,0.44370767901967517,0.161522,0.3024649845324897,201.28944112756875,2.980378351872787,0,0,101,0.0,0.0,0.5752041339874268
PU-C,mnist,0,0.0,0.0,200,200,5000,0,204,571,775,0.17320472944993526,0.11660000000000004,0.4040746680003284,0.11395999999999999,0.2427341091160887,280.3702078846537,5.304199287900701,0,0,201,0.0,0.0,0.5824678540229797
PU-C,mnist,0,0.0,0.0,500,500,5000,0,504,114,618,0.14008633891353384,0.05130000000000001,0.2922664168804054,0.023396000000000007,0.10831161181644451,484.2349631283701,11.178231911035255,0,1,501,0.0,0.0,0.573879599571228
Marginal,mnist,0,0.0,0.0,50,50,5000,0,54,1262,1316,0.2856177186476998,0.22629999999999995,0.5157734497479667,0.252062,0.40721803665459355,110.05055461717042,1.316395364003256,0,0,51,0.0,0.0,0.5950767993927002
Marginal,mnist,0,0.0,0.0,100,100,5000,0,104,962,1066,0.2339433947345242,0.18420000000000003,0.46893109683006495,0.19241600000000003,0.33930932758535887,164.24325702122985,2.5465658109169453,0,0,101,0.0,0.0,0.5974979996681213
Marginal,mnist,0,0.0,0.0,200,200,5000,0,204,750,954,0.21065119572449476,0.14990000000000003,0.4422168160734631,0.149582,0.28785160706777535,243.68908434658425,4.532774769933894,0,0,201,0.0,0.0,0.5872471332550049
Marginal,mnist,0,0.0,0.0,500,500,5000,0,504,297,801,0.1786626783432439,0.07040000000000002,0.3538670747940301,0.05921400000000002,0.16687296223137102,423.33824069552895,9.44721989100799,0,1,501,0.0,0.0,0.5739139318466187
MaxLoss,mnist,0,0.0,0.2,50,50,4000,1000,54,897,951,0.2617668441380374,0.23629999999999995,0.49690538457827177,0.21369500000000002,0.363979042353583,135.04459629140266,0.9804729570169002,0,0,51,0.0,0.0,0.5715897679328918
MaxLoss,mnist,0,0.0,0.2,100,100,4000,1000,104,788,892,0.2464513082522899,0.20730000000000004,0.49266994820466337,0.18001499999999995,0.32467607534819953,222.88627121110198,1.9197159700561315,0,0,101,0.0,0.0,0.5891261100769043
MaxLoss,mnist,0,0.0,0.2,200,200,4000,1000,204,357,561,0.1596437664120458,0.11560000000000004,0.39236723056499867,0.0798425,0.19669783664111867,345.5048769104367,3.4635734839830548,0,0,201,0.0,0.0,0.5895671844482422
MaxLoss,mnist,0,0.0,0.2,500,437,4000,1000,441,0,441,0.12767990212887526,0.045499999999999985,0.23937174696862615,0.00042999999999998817,0.054002300071301086,495.4426137608416,6.6897173810284585,1,0,438,0.0,0.0,0.5791268944740295
PU-R,mnist,0,0.0,0.2,50,50,4000,1000,54,937,991,0.2721277354285121,0.21989999999999998,0.5056853590142674,0.2227175,0.37428398574374555,131.30554693155477,1.3698173598386347,0,0,51,0.0,0.0,0.5715765953063965
PU-R,mnist,0,0.0,0.2,100,100,4000,1000,104,786,890,0.2459314182633534,0.20720000000000005,0.48960272306731406,0.18663999999999997,0.33251832197906184,193.60448457922033,2.834910383913666,0,0,101,0.0,0.0,0.5879947543144226
PU-R,mnist,0,0.0,0.2,200,200,4000,1000,204,438,642,0.18104784475872293,0.12370000000000003,0.41392625861968074,0.10651,0.232956748317635,281.7985227762955,6.043539337813854,0,0,201,0.0,0.0,0.5783421397209167
PU-R,mnist,0,0.0,0.2,500,500,4000,1000,504,52,556,0.1583183813490905,0.04849999999999999,0.28195529167915606,0.013319999999999993,0.08850989648270098,451.34491939459974,24.52797416690737,0,1,501,0.0,0.0,0.57573002576828
PU-C,mnist,0,0.0,0.2,50,50,4000,1000,54,1244,1298,0.3511104983044788,0.3104,0.5903295939047054,0.30888,0.46875283488180164,111.64992806409357,1.2838900499045849,0,0,51,0.0,0.0,0.5794055461883545
PU-C,mnist,0,0.0,0.2,100,100,4000,1000,104,864,968,0.26617238885955885,0.2158,0.5182045819341357,0.21159,0.361561973494344,190.1438624879084,2.512515645008534,0,0,101,0.0,0.0,0.5824850797653198
PU-C,mnist,0,0.0,0.2,200,200,4000,1000,204,466,670,0.18841946416068822,0.11480000000000001,0.4153384070194072,0.11360250000000001,0.24226796978138804,255.33934021367003,4.596995034022257,0,0,201,0.0,0.0,0.5801029205322266
PU-C,mnist,0,0.0,0.2,500,500,4000,1000,504,79,583,0.16546950285555795,0.05030000000000001,0.30159416103054587,0.019852500000000016,0.10164227165478275,454.32448644859795,9.86724637588486,0,1,501,0.0,0.0,0.5733857154846191
Marginal,mnist,0,0.0,0.2,50,50,4000,1000,54,1015,1069,0.2922820973326452,0.24509999999999998,0.5242526819183393,0.254055,0.4094243980102625,97.68860107385566,1.1280499200802296,0,0,51,0.0,0.0,0.6151754260063171
Marginal,mnist,0,0.0,0.2,100,100,4000,1000,104,727,831,0.2305724486359395,0.18069999999999997,0.46660752502084446,0.18230499999999997,0.3273933714182666,151.7097812342926,2.178544576978311,0,0,101,0.0,0.0,0.6079277396202087
Marginal,mnist,0,0.0,0.2,200,200,4000,1000,204,597,801,0.22274569608271122,0.15069999999999995,0.456271031188514,0.14948250000000002,0.2877288603203364,230.43156632433903,3.9236274189315736,0,0,201,0.0,0.0,0.5816107988357544
Marginal,mnist,0,0.0,0.2,500,500,4000,1000,504,212,716,0.2005022379453294,0.07130000000000003,0.3595281896019292,0.05291250000000001,0.15733914614908592,396.4820037428633,8.329191804863513,0,1,501,0.0,0.0,0.564028799533844
MaxLoss,mnist,0,0.0,0.4,50,50,3000,2000,54,1000,1054,0.38244191283592954,0.33309999999999995,0.6260347373981037,0.3127733333333333,0.47287198225386173,136.7727021664867,0.8291016560979187,0,0,51,0.0,0.0,0.6008409261703491
MaxLoss,mnist,0,0.0,0.4,100,100,3000,2000,104,574,678,0.25300702633103356,0.20140000000000002,0.5091434721549511,0.17015666666666668,0.3128965234561855,228.2301482256953,1.6100749070756137,0,0,101,0.0,0.0,0.594971239566803
MaxLoss,mnist,0,0.0,0.4,200,200,3000,2000,204,243,447,0.17184416647069156,0.11439999999999995,0.4086132978107108,0.06899333333333332,0.18124831617309675,348.9864315432306,2.915135788032785,0,0,201,0.0,0.0,0.5896735191345215
MaxLoss,mnist,0,0.0,0.4,500,330,3000,2000,334,0,334,0.13144521688809618,0.05730000000000002,0.2592094834753575,0.0005966666666666675,0.054753691155889406,427.7074994760614,4.5428634060081095,1,0,331,0.0,0.0,0.5767476558685303
PU-R,mnist,0,0.0,0.4,50,50,3000,2000,54,830,884,0.3242586084525101,0.275,0.5769040984971237,0.27684000000000003,0.4343922331557188,114.79449568263595,1.1846235820557922,0,0,51,0.0,0.0,0.576880693435669
PU-R,mnist,0,0.0,0.4,100,100,3000,2000,104,568,672,0.25091766519472003,0.17259999999999998,0.5061935603382577,0.18523666666666666,0.3308619468221767,179.83230360922275,2.4094808190129697,0,0,101,0.0,0.0,0.5910249948501587
PU-R,mnist,0,0.0,0.4,200,200,3000,2000,204,244,448,0.1721992355887778,0.10189999999999999,0.3993398424964005,0.08188000000000001,0.1995484292296556,266.17873015886255,5.23079249705188,0,0,201,0.0,0.0,0.5869669914245605
PU-R,mnist,0,0.0,0.4,500,483,3000,2000,487,0,487,0.18601805780781433,0.051100000000000034,0.26289420025671045,3.666666666666596e-05,0.051892904103276356,455.3698621756155,21.352202211972326,1,0,484,0.0,0.0,0.5795989036560059
PU-C,mnist,0,0.0,0.4,50,50,3000,2000,54,858,912,0.33387729729292914,0.3003,0.582361926168031,0.27691666666666664,0.43447547158297717,124.4057767029296,1.09599893190898,0,0,51,0.0,0.0,0.5846856832504272
PU-C,mnist,0,0.0,0.4,100,100,3000,2000,104,570,674,0.25161421595839784,0.2007,0.5019246329677375,0.17952999999999997,0.3240996780311806,185.71413387209748,2.0900698660407215,0,0,101,0.0,0.0,0.5956348180770874
PU-C,mnist,0,0.0,0.4,200,200,3000,2000,204,286,490,0.1870787946972996,0.11660000000000004,0.41725591703985104,0.09300000000000001,0.21485702762502643,266.32714817148144,3.7579454600345343,0,0,201,0.0,0.0,0.590740442276001
PU-C,mnist,0,0.0,0.4,500,462,3000,2000,466,0,466,0.17858403647551313,0.050000000000000044,0.26051805471450484,0.00018666666666666498,0.05278921705556045,442.6466331600607,7.547097357921302,1,0,463,0.0,0.0,0.5766050815582275
Marginal,mnist,0,0.0,0.4,50,50,3000,2000,54,665,719,0.2672614626935683,0.20509999999999995,0.5050637425756465,0.22254333333333332,0.3740858950169578,95.91456106713595,0.9365335828624666,0,0,51,0.0,0.0,0.589893639087677
Marginal,mnist,0,0.0,0.4,100,100,3000,2000,104,558,662,0.24743344442686066,0.1824,0.4887647595480201,0.18465666666666666,0.3301766178266203,146.33951554792085,1.814753444865346,0,0,101,0.0,0.0,0.5829649567604065
Marginal,mnist,0,0.0,0.4,200,200,3000,2000,204,380,584,0.2201684195897542,0.13949999999999996,0.4489317342408786,0.12673666666666666,0.2592062860584576,222.36819922809735,3.270200138911605,0,0,201,0.0,0.0,0.5765489935874939
