method,dataset,seed,noise_rate,pretrain_fraction,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,0,0.0,0.0,0,5000,0,4,2081,2085,0.4424321125843562,0.40249999999999997,0.71577595616233,0.465464,0.6880543141067924,0.9652053227400991,2.7596670871134847,0,0,1,0.0,0.0,0.6595352292060852
MaxLoss,mnist,0,0.0,0.0,10,5000,0,14,2485,2499,0.5257489107898436,0.5124,0.7580285491921939,0.48681599999999997,0.7069990382431126,25.673543215854195,3.108300405088812,0,0,11,0.0,0.0,0.713886022567749
MaxLoss,mnist,0,0.0,0.0,20,5000,0,24,2251,2275,0.4807592004071921,0.4659,0.7292144320136419,0.43250800000000006,0.658061364924242,52.75954213822588,3.454893226036802,0,0,21,0.0,0.0,0.6229835152626038
MaxLoss,mnist,0,0.0,0.0,30,5000,0,34,2004,2038,0.43292728712549433,0.40469999999999995,0.7098667026336369,0.387588,0.6156749030586557,93.72598864935082,3.8004408380948007,0,0,31,0.0,0.0,0.6188740730285645
MaxLoss,mnist,0,0.0,0.0,40,5000,0,44,1892,1936,0.41226651024771854,0.38470000000000004,0.7002765732971706,0.36159199999999997,0.5903215595117005,127.68575923114038,4.146688451990485,0,0,41,0.0,0.0,0.5851883888244629
MaxLoss,mnist,0,0.0,0.0,50,5000,0,54,1393,1447,0.3125424169120379,0.2824,0.6206678902407566,0.26928799999999997,0.49492571949376923,154.46570000586607,4.492984266020358,0,0,51,0.0,0.0,0.5881888270378113
MaxLoss,mnist,0,0.0,0.0,60,5000,0,64,1422,1486,0.32053977355826646,0.29090000000000005,0.6392638913703171,0.279184,0.5055899994910439,177.8965735718439,4.839526796946302,0,0,61,0.0,0.0,0.5721042156219482
MaxLoss,mnist,0,0.0,0.0,70,5000,0,74,1212,1286,0.27943777991458774,0.245,0.6000153848316575,0.234868,0.4569048893581937,199.75946954747835,5.186187966028228,0,0,71,0.0,0.0,0.5819874405860901
MaxLoss,mnist,0,0.0,0.0,80,5000,0,84,823,907,0.2008468460990116,0.16579999999999995,0.5224218673965414,0.163444,0.3725609887191358,218.1278466689101,5.532994905021042,0,0,81,0.0,0.0,0.5756943225860596
MaxLoss,mnist,0,0.0,0.0,90,5000,0,94,1051,1145,0.2503170917625539,0.21919999999999995,0.5779227214321723,0.20494800000000002,0.4225618277338713,235.04905726488013,5.879474675981328,0,0,91,0.0,0.0,0.6000446081161499
MaxLoss,mnist,0,0.0,0.0,100,5000,0,104,703,807,0.1799212353071198,0.14470000000000005,0.4971816151046443,0.136324,0.33807864765055384,249.61984068939267,6.226876097964123,0,0,101,0.0,0.0,0.5732759237289429
MaxLoss,mnist,0,0.0,0.0,110,5000,0,114,695,809,0.18034067482221872,0.14480000000000004,0.5026449049569061,0.137956,0.3402010642609316,260.1110839293043,6.573045402998105,0,0,111,0.0,0.0,0.5807895064353943
MaxLoss,mnist,0,0.0,0.0,120,5000,0,124,977,1101,0.24120297090848908,0.20189999999999997,0.568012988335179,0.184588,0.3984090621874984,281.36808407925514,6.919393385993317,0,0,121,0.0,0.0,0.5991692543029785
MaxLoss,mnist,0,0.0,0.0,130,5000,0,134,1072,1206,0.2629310127813369,0.22940000000000005,0.6035522916789082,0.21198,0.4307508022654409,294.9264884968035,7.266208854038268,0,0,131,0.0,0.0,0.6013261675834656
MaxLoss,mnist,0,0.0,0.0,140,5000,0,144,913,1057,0.23207521729636937,0.18999999999999995,0.5639344794607294,0.17487200000000006,0.3866343208997098,308.30947347281756,7.612519568065181,0,0,141,0.0,0.0,0.591780424118042
MaxLoss,mnist,0,0.0,0.0,150,5000,0,154,876,1030,0.2264670939766802,0.18579999999999997,0.5589541075365153,0.16794399999999995,0.37813257850835014,321.08203137884317,7.960477963089943,0,0,151,0.0,0.0,0.5839197039604187
MaxLoss,mnist,0,0.0,0.0,160,5000,0,164,590,754,0.16879126703133807,0.12660000000000005,0.49279613786914134,0.11553999999999999,0.31044012779374314,333.37577588377525,8.30639538099058,0,0,161,0.0,0.0,0.5745911002159119
MaxLoss,mnist,0,0.0,0.0,170,5000,0,174,491,665,0.1500319773913361,0.11060000000000003,0.4707568470169407,0.09997600000000002,0.2889029834720022,336.56158580024766,8.653342647943646,0,0,171,0.0,0.0,0.5769166946411133
MaxLoss,mnist,0,0.0,0.0,180,5000,0,184,540,724,0.16247806238243356,0.12409999999999999,0.4820567225993392,0.10436,0.2950509370031082,354.0103377686965,9.000996526097879,0,0,181,0.0,0.0,0.5847494602203369
MaxLoss,mnist,0,0.0,0.0,190,5000,0,194,484,678,0.15277791634434834,0.121,0.47221945971248613,0.095852,0.28305660546688965,365.41569818778345,9.348931391956285,0,0,191,0.0,0.0,0.5859115123748779
MaxLoss,mnist,0,0.0,0.0,200,5000,0,204,437,641,0.1449569623800926,0.1068,0.4583216654896957,0.085144,0.26756616530455124,376.5483016368108,9.699082463979721,0,0,201,0.0,0.0,0.5828879475593567
MaxLoss,mnist,0,0.0,0.0,210,5000,0,214,401,615,0.139450513466727,0.09899999999999998,0.4512556141173533,0.079876,0.25976480049138184,382.3031595706552,10.046250858111307,0,0,211,0.0,0.0,0.5847291946411133
MaxLoss,mnist,0,0.0,0.0,220,5000,0,224,385,609,0.13817849004408345,0.09519999999999995,0.44587590048546105,0.074396,0.25150881196442704,396.9201891867219,10.39370712894015,0,0,221,0.0,0.0,0.5919623374938965
MaxLoss,mnist,0,0.0,0.0,230,5000,0,234,327,561,0.12798369256779552,0.08850000000000002,0.431897735855315,0.065808,0.23824894259426874,400.2347086220946,10.74197785090655,0,0,231,0.0,0.0,0.5877048969268799
MaxLoss,mnist,0,0.0,0.0,240,5000,0,244,341,585,0.13308531494112685,0.09050000000000002,0.43774462989736523,0.066404,0.2391828857148563,419.37223082786403,11.089664218947291,0,0,241,0.0,0.0,0.5898861885070801
MaxLoss,mnist,0,0.0,0.0,250,5000,0,254,277,531,0.1215940813999623,0.07979999999999998,0.42020689666504973,0.05530800000000001,0.22141497120908923,430.0446450945851,11.439199907938018,0,0,251,0.0,0.0,0.588880717754364
MaxLoss,mnist,0,0.0,0.0,260,5000,0,264,269,533,0.12202050804626197,0.08040000000000003,0.4197234030425846,0.05376000000000001,0.21886657019338202,440.0636958006395,11.787402430083603,0,0,261,0.0,0.0,0.5864208936691284
