dataset,method,noise_rate,pretrain_fraction,step,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
mnist,Marginal,0.0,0.0,0,3,4.0,0.0,2337.6666666666665,44.21286891593643,2341.6666666666665,44.21286891593643,0.4941628122275385,0.00888436343663346,0.4586666666666666,0.009484431688005595,0.7169424777142531,0.008599702779144725,0.46707866666666664,0.0099860087010666,0.6894167697742898,0.008894919068942091,0.8648608149377299,0.03901685861188495,0.22951420536264777,0.000429114436235901,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6574456493059794,0.014541855383109188
mnist,Marginal,0.0,0.0,10,3,14.0,0.0,1858.6666666666667,202.62143135523561,1872.6666666666667,202.62143135523561,0.39923055173130706,0.04105905032526806,0.35103333333333336,0.04236847622676295,0.6623908784616277,0.03615322455775837,0.3672413333333333,0.04003473300911486,0.5944194723750912,0.0386361365551158,42.515702559649746,1.1102409687795058,0.6244544143167635,0.002921954944986961,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.5600809454917908,0.004717320646522211
mnist,Marginal,0.0,0.0,100,3,104.0,0.0,1040.6666666666667,45.877857162009846,1144.6666666666667,45.877857162009846,0.25023396996160346,0.009491717754376584,0.20353333333333334,0.0073770665654520826,0.5645229882432083,0.01082869054517218,0.20847866666666667,0.009233986595422614,0.42655438747393726,0.010706943880955742,183.31317186911303,0.9146733110957829,4.033355973117675,0.02589671861662556,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.6000546018282572,0.004272048234305883
mnist,Marginal,0.0,0.0,110,3,114.0,0.0,988.3333333333334,56.880967330421214,1102.3333333333333,56.88096733042121,0.24145673636424667,0.011786262290243515,0.19283333333333333,0.009180111352507913,0.5557443533466218,0.013710960822430833,0.19814533333333337,0.011617920487094244,0.4143516167751886,0.013676101142154602,192.88248028769306,0.6679182530405283,4.40461327880621,0.029078839860170767,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.6005449891090393,0.006954097640051202
mnist,Marginal,0.0,0.0,120,3,124.0,0.0,951.6666666666666,74.2660382977606,1075.6666666666667,74.2660382977606,0.23590977427860102,0.015401846259758403,0.18596666666666664,0.010326718312760884,0.5495290763012651,0.017607499139863193,0.190236,0.014772392810013331,0.40481428784978757,0.01757060107340122,202.642083403578,0.32249999534826546,4.7770625543780625,0.030428584092191818,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.5922206044197083,0.0005308993115828061
mnist,Marginal,0.0,0.0,130,3,134.0,0.0,964.3333333333334,45.68126287415638,1098.3333333333333,45.68126287415638,0.24063552677398548,0.00946695809279647,0.18766666666666668,0.005318625553446854,0.5561186632599303,0.011119717138969695,0.19283999999999998,0.009455300312523127,0.40813380069021793,0.011205134041651505,212.03385410832843,0.3888681764412543,5.148931620409712,0.03219090356929979,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.5963204503059387,0.005245438813519913
mnist,Marginal,0.0,0.0,140,3,144.0,0.0,896.6666666666666,72.48064875844065,1040.6666666666667,72.48064875844065,0.22864402217480043,0.015056317195320355,0.17556666666666665,0.010343489632506923,0.5428166113734516,0.018040533960321452,0.179832,0.014736171551661582,0.39227537761803255,0.01789206380041714,220.13906759649834,0.2541787015655279,5.520479173089067,0.033779652569487006,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.5889630317687988,0.0010293427910250399
mnist,Marginal,0.0,0.0,150,3,154.0,0.0,868.0,80.31811750782012,1022.0,80.31811750782012,0.22475583932828158,0.01668420461114654,0.1708333333333333,0.01121937807743566,0.5380541612917521,0.019555391114501455,0.173724,0.01590902452488315,0.3847671438779943,0.01935852422470509,228.81910324113593,0.28918491248405775,5.8891218637581915,0.03433945021675562,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.5908716519673666,0.0025660255216925065
mnist,Marginal,0.0,0.0,160,3,164.0,0.0,862.0,78.0,1026.0,78.0,0.22558964880105728,0.016210705734798634,0.1695333333333333,0.010509096588723078,0.539239745509819,0.01881278350475566,0.17250799999999997,0.015179731925608344,0.3833107058596086,0.01860288439924537,237.04465581751913,0.23080746283214376,6.258606895416354,0.035161855069214557,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.5869009892145792,0.0034259481935398723
mnist,Marginal,0.0,0.0,170,3,174.0,0.0,846.0,79.46277954698876,1020.0,79.46277954698876,0.22434008736551428,0.016524361412953905,0.16590000000000002,0.011634574909868144,0.5380340177837818,0.019956391159979308,0.16961199999999999,0.016044631750214776,0.3796911507235328,0.019801394889521942,244.8992339425739,0.43613239041685953,6.62723243671159,0.03596408243075446,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.5847159226735433,0.002631135786304939
mnist,Marginal,0.0,0.0,180,3,184.0,0.0,813.6666666666666,70.14825570017959,997.6666666666666,70.14825570017959,0.2197053687996231,0.01459648637316462,0.16050000000000006,0.01221597314993775,0.5319461127014756,0.017677673672886023,0.16266,0.014061943725293933,0.3711881732989768,0.017516016568623158,252.82007343097385,0.6560771801539901,6.996963059064001,0.03737121403313148,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.5846818288167318,0.0008534465326368412
mnist,Marginal,0.0,0.0,190,3,194.0,0.0,791.6666666666666,75.37535701039462,985.6666666666666,75.37535701039462,0.21720143619071072,0.01569336128513337,0.15553333333333333,0.011729497479053011,0.5286606115910152,0.019094881289481492,0.1583373333333333,0.014978230840493508,0.365721839095891,0.018809950675034978,260.3251731009362,0.8794771033445604,7.363110224405925,0.03999217094865319,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.5838073293368021,0.0029335439596067966
mnist,Marginal,0.0,0.0,20,3,24.0,0.0,1469.0,62.74817394421398,1493.0,62.74817394421398,0.32195354051267105,0.012853349482932305,0.27476666666666666,0.013660445738619851,0.6090709759114006,0.013659678828186953,0.29375866666666667,0.013069327008092045,0.52090720350895,0.013751595876302569,71.741518121368,0.7997458516333877,1.0109254193957895,0.0063112027335956505,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.5711931586265564,0.01504241743793762
mnist,Marginal,0.0,0.0,200,3,204.0,0.0,761.0,65.9570567364352,965.0,65.9570567364352,0.21290753649858138,0.013747265274578074,0.15156666666666666,0.01016305946936149,0.5233400389019214,0.017191180921698364,0.152368,0.013234062918595071,0.3582876425318025,0.016841686320560895,267.62712005425703,1.1100766724921354,7.732593103079125,0.0414017767664052,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.581593652566274,0.003338987954704441
mnist,Marginal,0.0,0.0,210,3,214.0,0.0,748.6666666666666,57.085705546815994,962.6666666666666,57.085705546815994,0.2124301743460819,0.011902696178180232,0.14846666666666666,0.0079687584422613,0.5219963347040526,0.01540269952138249,0.14958533333333332,0.011772476450508529,0.3548295500663914,0.015085121238931345,274.8132687684561,1.168812634107153,8.097895927804833,0.04273276061268444,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.5800814628601074,0.002999680712436258
mnist,Marginal,0.0,0.0,220,3,224.0,0.0,721.3333333333334,62.194140488563,945.3333333333334,62.194140488563,0.2088118318351917,0.012982188061021733,0.14250000000000004,0.009450044091607894,0.516901246205563,0.01625218096246313,0.144072,0.01219684505654366,0.3477426198192101,0.01583795266661179,282.22589321345157,1.1691250156444288,8.465446680396175,0.04387907270155125,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.5795310338338217,0.004014371912353234
mnist,Marginal,0.0,0.0,230,3,234.0,0.0,695.0,57.32654998631379,929.0,57.32654998631379,0.2054101906445188,0.0119692537047925,0.13983333333333334,0.007832056633548511,0.5119602234518944,0.015286788137211911,0.1387906666666667,0.011333380156766026,0.3409658445883999,0.014818419747053281,289.1211729012307,1.1777284819725902,8.832561905107772,0.04494573486859927,0.0,0.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.5805109143257141,0.004907475371562267
mnist,Marginal,0.0,0.0,240,3,244.0,0.0,664.3333333333334,51.84056755519219,908.3333333333334,51.84056755519219,0.20110151573317125,0.010833999096034996,0.13263333333333335,0.007866878528220584,0.5060531312076568,0.014635781403713716,0.13288266666666665,0.010695993102299767,0.33328146889858284,0.014166261343084553,296.1407285418489,1.2162040189235037,9.199945649753014,0.045727285255426575,0.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0.5789690017700195,0.0033211505105426396
mnist,Marginal,0.0,0.0,250,3,254.0,0.0,645.6666666666666,47.68414597932711,899.6666666666666,47.68414597932711,0.1992950738640502,0.009969575744930567,0.12836666666666666,0.005552877132122094,0.5035341164356105,0.013330840344972169,0.129476,0.00966444452620014,0.32884773765584213,0.012880731686966245,303.3247522782214,1.2683900709242093,9.567212592422342,0.04705139916943511,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.5792702436447144,0.003929782366547006
mnist,Marginal,0.0,0.0,260,3,264.0,0.0,635.6666666666666,51.61502795805802,899.6666666666666,51.61502795805802,0.1992915764761468,0.0107915808642867,0.12673333333333336,0.00710641337885091,0.5020368623821508,0.014743686845963262,0.12703866666666666,0.010587964320134645,0.32556440028110123,0.014192196552417005,310.2001251413995,1.2166882672862331,9.934429239404077,0.048398530253799206,0.0,0.0,0.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,0.5792689919471741,0.002832755770802837
