method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,0,0.0,0.0,5000,0,473,0,473,0.10919747682055458,0.04569999999999996,0.22744418270583305,0.0006419999999999914,0.05495042657403432,553.7117094950852,9.90796191105619,1,470,0.0,0.0,0.5752594470977783
PU-R,mnist,0,0.0,0.0,5000,0,710,0,710,0.15952845715219155,0.04179999999999995,0.2301622858093006,7.599999999999496e-05,0.05215056125614054,590.40822157974,49.03949217987247,1,707,0.0,0.0,0.5586332678794861
PU-C,mnist,0,0.0,0.0,5000,0,694,0,694,0.15615470585180447,0.04190000000000005,0.23015717412657127,6.39999999999974e-05,0.052074620562183434,591.0255363278301,13.049759325105697,1,691,0.0,0.0,0.5660433769226074
Marginal,mnist,0,0.0,0.0,5000,0,800,96,896,0.19854948372812942,0.048799999999999955,0.29586645624700453,0.01928199999999999,0.10054276795327749,550.1454580319247,12.500313984928653,0,797,0.0,0.0,0.5597633719444275
MaxLoss,mnist,0,0.1,0.0,5000,0,800,1058,1858,0.3964358026278205,0.3024,0.6549242473736365,0.209058,0.3586480043728741,899.4421303251595,11.21271226205863,0,797,0.345,0.0,0.5683859586715698
PU-R,mnist,0,0.1,0.0,5000,0,800,677,1477,0.3186949552036822,0.11119999999999997,0.5204685960477378,0.136038,0.27098558195093475,634.2460975736427,68.44207954616286,0,797,0.17,0.0,0.5582494139671326
PU-C,mnist,0,0.1,0.0,5000,0,800,618,1418,0.3065903061069548,0.10799999999999998,0.5017228717380018,0.12345800000000001,0.2550128508817947,627.025049293218,21.194583039963618,0,797,0.15625,0.0,0.5614519119262695
Marginal,mnist,0,0.1,0.0,5000,0,800,640,1440,0.31110612268093973,0.07330000000000003,0.49421734809327356,0.12812,0.26096895628107164,559.780380803152,13.386726567987353,0,797,0.095,0.0,0.5593655109405518
MaxLoss,mnist,0,0.2,0.0,5000,0,800,1436,2236,0.47290458995848894,0.3478,0.7269623119284876,0.28599,0.4442912317350506,872.3925372564306,10.96899376786314,0,797,0.39625,0.0,0.5701796412467957
PU-R,mnist,0,0.2,0.0,5000,0,800,1106,1906,0.40618102194275707,0.16990000000000005,0.6218010860368843,0.22085000000000005,0.37215827306295307,627.7135984056093,71.68683824897744,0,797,0.23875,0.0,0.5563666224479675
