method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,0,0.0,0.0,1000,0,170,0,170,0.2109735436970368,0.0958,0.39162331985659454,0.001120000000000001,0.05688511172001015,296.20980337220243,4.0628931790124625,1,167,0.0,0.0,0.5928672552108765
PU-R,mnist,0,0.0,0.0,1000,0,240,0,240,0.2865393512765877,0.08979999999999999,0.4234246367728075,0.002330000000000002,0.06112179922180767,331.97685383411766,4.517489041900262,1,237,0.0,0.0,0.5703684687614441
PU-C,mnist,0,0.0,0.0,1000,0,214,0,214,0.2586984192603268,0.07809999999999995,0.4016425429151237,0.00038000000000000035,0.05376653814222626,318.040574044102,2.021955235861242,1,211,0.0,0.0,0.566336989402771
Marginal,mnist,0,0.0,0.0,1000,0,300,46,346,0.3978594695799984,0.11150000000000004,0.525749002632907,0.04637000000000004,0.14717282102798532,305.57394868667694,2.4755018388386816,0,297,0.0,0.0,0.583328902721405
MaxLoss,mnist,0,0.0,0.2,800,200,155,0,155,0.2417536734137684,0.08689999999999998,0.3921642114837613,0.00016249999999999763,0.052656798738038475,244.3409858830461,1.1813621260225773,1,152,0.0,0.0,0.5856584906578064
PU-R,mnist,0,0.0,0.2,800,200,189,0,189,0.2877634932519868,0.08389999999999997,0.4057312665327927,0.0014624999999999877,0.05815886739297988,249.2106963318176,2.9077952448278666,1,186,0.0,0.0,0.5779771208763123
PU-C,mnist,0,0.0,0.2,800,200,185,0,185,0.28238911886001006,0.0816,0.4011473475926636,2.4999999999999466e-05,0.051810038003057786,256.363025179898,1.7222479849588126,1,182,0.0,0.0,0.5833615660667419
Marginal,mnist,0,0.0,0.2,800,200,300,6,306,0.4413182346033864,0.09989999999999999,0.4637318638389784,0.009137500000000028,0.07925577025052928,278.76503852062024,2.413852320984006,0,297,0.0,0.0,0.5816610455513
MaxLoss,mnist,0,0.0,0.4,600,400,126,0,126,0.26682960940524936,0.0978,0.44888439824848614,0.0005333333333333401,0.05447373588910682,230.05877559627356,0.9590321369469166,1,123,0.0,0.0,0.5810368061065674
PU-R,mnist,0,0.0,0.4,600,400,150,0,150,0.3102587604080327,0.09770000000000001,0.45249719350215195,0.002116666666666689,0.060421132521856054,224.2230208940943,1.9933784229215235,1,147,0.0,0.0,0.5782519578933716
PU-C,mnist,0,0.0,0.4,600,400,152,0,152,0.3138464574003592,0.09240000000000004,0.45067662830965366,0.0009499999999999998,0.05622195655448998,229.00802896593348,1.3793169371783733,1,149,0.0,0.0,0.5873423218727112
Marginal,mnist,0,0.0,0.4,600,400,235,0,235,0.4592164378846064,0.10109999999999997,0.4732229898007413,0.001366666666666687,0.05780984384693883,248.5225209925689,1.8434654278680682,1,232,0.0,0.0,0.5898667573928833
MaxLoss,mnist,0,0.0,0.6,400,600,106,0,106,0.33955328253796324,0.11950000000000005,0.49584792050071946,0.001174999999999976,0.05709487404334873,179.72975193387077,0.7543806338217109,1,103,0.0,0.0,0.5865349173545837
PU-R,mnist,0,0.0,0.6,400,600,129,0,129,0.40105061139911413,0.12629999999999997,0.5267741859330802,0.001599999999999986,0.05865083991640147,200.4212167813273,1.5227703980635852,1,126,0.0,0.0,0.5933470726013184
PU-C,mnist,0,0.0,0.6,400,600,128,0,128,0.3984058715868741,0.13270000000000004,0.5262558026262267,0.0022999999999999843,0.061024206274416126,197.3173135562281,1.0913419441785663,1,125,0.0,0.0,0.5837008357048035
Marginal,mnist,0,0.0,0.6,400,600,206,0,206,0.597828465688508,0.13660000000000005,0.5441754378533324,0.0002249999999999952,0.052993488436324065,220.567497645501,1.5348993130028248,1,203,0.0,0.0,0.5923002362251282
MaxLoss,mnist,0,0.0,0.8,200,800,71,0,71,0.466117879957892,0.14170000000000005,0.6257834932894468,0.003400000000000003,0.06443656647584979,135.4623129287973,0.5172025330830365,1,68,0.0,0.0,0.5777958631515503
PU-R,mnist,0,0.0,0.8,200,800,76,0,76,0.4922459591762163,0.15480000000000005,0.620283877689068,0.002400000000000002,0.061348377271973904,134.81784866026103,0.7642395792063326,1,73,0.0,0.0,0.5818201899528503
PU-C,mnist,0,0.0,0.8,200,800,76,0,76,0.4922459591762163,0.137,0.6220644979872625,0.0006500000000000006,0.05498484923731912,139.84379815762793,0.6478121438995004,1,73,0.0,0.0,0.582841157913208
Marginal,mnist,0,0.0,0.8,200,800,115,0,115,0.685791262309067,0.14490000000000003,0.6585656534546377,0.007050000000000006,0.07424970461642783,145.5711192310128,0.8623275209683925,1,112,0.0,0.0,0.5780624747276306
MaxLoss,mnist,0,0.3,0.0,1000,0,300,219,519,0.5735312176402658,0.3953,0.813574974993358,0.22707000000000005,0.37922394744205973,449.7918126495757,2.2268140269443393,0,297,0.4266666666666667,0.0,0.5886834263801575
PU-R,mnist,0,0.3,0.0,1000,0,300,292,592,0.6456331607187167,0.33720000000000006,0.833679553375353,0.29419000000000006,0.4531030073152956,367.22587937898686,7.361755505902693,0,297,0.31333333333333335,0.0,0.5715023875236511
PU-C,mnist,0,0.3,0.0,1000,0,300,261,561,0.6151636471040547,0.2782,0.8022384265735542,0.26110000000000005,0.4171941314640547,349.60836213050607,3.28384948708117,0,297,0.3466666666666667,0.0,0.5808995366096497
Marginal,mnist,0,0.3,0.0,1000,0,300,291,591,0.6446537898154929,0.25670000000000004,0.8173454851053318,0.291,0.449681594848229,330.7523481293006,2.6121744180563837,0,297,0.29333333333333333,0.0,0.5817919373512268
MaxLoss,mnist,0,0.3,0.2,800,200,300,128,428,0.595274634019006,0.37660000000000005,0.7968623444034448,0.16589999999999996,0.3077677972619845,437.34174969444314,2.187705083983019,0,297,0.43666666666666665,0.0,0.5851092338562012
PU-R,mnist,0,0.3,0.2,800,200,300,196,496,0.6785547694889829,0.25070000000000003,0.8210866944054462,0.24392500000000003,0.3981709259887351,346.1216787639475,7.1320165689103305,0,297,0.32,0.0,0.5683329105377197
PU-C,mnist,0,0.3,0.2,800,200,300,180,480,0.6591295620892197,0.3024,0.8172761937479921,0.2263625,0.37842231006159566,368.3048666259556,3.0926850279793143,0,297,0.3466666666666667,0.0,0.5796849131584167
Marginal,mnist,0,0.3,0.2,800,200,300,189,489,0.670069555810187,0.24560000000000004,0.8112571655874743,0.2362625,0.3895927271192027,337.1723846626876,2.506553830113262,0,297,0.2733333333333333,0.0,0.5745931267738342
MaxLoss,mnist,0,0.3,0.4,600,400,300,45,345,0.6429824808728881,0.4155,0.7842927395917675,0.07965,0.1964277345676017,463.67328962418696,2.0999872321262956,0,297,0.43666666666666665,0.0,0.583304226398468
PU-R,mnist,0,0.3,0.4,600,400,300,92,392,0.7185117784538306,0.3076,0.811718172211569,0.15406666666666663,0.29336710917621167,374.3586028239966,6.759646155871451,0,297,0.32666666666666666,0.0,0.5856965780258179
PU-C,mnist,0,0.3,0.4,600,400,300,89,389,0.7137490437598899,0.2892,0.7941059343121226,0.15001666666666666,0.2883876339648911,347.00215995773186,2.8107866919599473,0,297,0.35,0.0,0.5896298289299011
