method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,0,0.0,0.0,50,50,1000,0,54,198,252,0.29930986335966736,0.2197,0.6014265193957979,0.19099,0.33763665741826465,134.0006070931267,1.0242169559933245,0,0,51,0.0,0.0,0.5725240707397461
MaxLoss,mnist,0,0.0,0.0,100,100,1000,0,104,105,209,0.25331574806477875,0.14859999999999995,0.5585936144230551,0.10181,0.22671673049973115,221.6294193563256,1.4868692341260612,0,1,101,0.0,0.0,0.5824668407440186
PU-R,mnist,0,0.0,0.0,50,50,1000,0,54,215,269,0.3173218587762676,0.20899999999999996,0.6290241188849953,0.21647999999999995,0.3671693644242572,132.8094570713993,0.659786025993526,0,0,51,0.0,0.0,0.5697386860847473
PU-R,mnist,0,0.0,0.0,100,100,1000,0,104,170,274,0.32260245591169223,0.19620000000000004,0.6285298555810137,0.16088000000000005,0.301684936908969,211.84151402347493,1.4503515970427543,0,1,101,0.0,0.0,0.5758906602859497
PU-C,mnist,0,0.0,0.0,50,50,1000,0,54,167,221,0.26621818012790754,0.18330000000000002,0.5691607014923404,0.16606,0.30796105486581216,131.31627268944658,0.5908737198915333,0,0,51,0.0,0.0,0.5534394979476929
PU-C,mnist,0,0.0,0.0,100,100,1000,0,104,141,245,0.2918662169831805,0.18300000000000005,0.5961952373594404,0.13392000000000004,0.2683180638124941,213.1990209834855,1.1497595659457147,0,1,101,0.0,0.0,0.5765947103500366
Marginal,mnist,0,0.0,0.0,50,50,1000,0,54,229,283,0.33208865963388234,0.25049999999999994,0.619337068521226,0.23203999999999997,0.384840623287044,104.64181533995658,0.5260213208384812,0,0,51,0.0,0.0,0.5878324508666992
Marginal,mnist,0,0.0,0.0,100,100,1000,0,104,184,288,0.3373484928160906,0.20689999999999997,0.6138946437233048,0.18413000000000004,0.32955392748170537,157.46483124966795,1.031874748878181,0,1,101,0.0,0.0,0.5840433835983276
MaxLoss,mnist,0,0.0,0.2,50,50,800,200,54,153,207,0.3118324932293035,0.23170000000000002,0.6001122964938449,0.18877499999999997,0.33503343299870825,106.91956805279384,0.48009951901622117,0,0,51,0.0,0.0,0.5654664635658264
MaxLoss,mnist,0,0.0,0.2,100,100,800,200,104,50,154,0.24038846680196002,0.11929999999999996,0.49888965520471235,0.06090000000000001,0.16938567336413252,182.02852290157546,0.9270932269282639,0,1,101,0.0,0.0,0.5797284841537476
