method,dataset,seed,noise_rate,pretrain_fraction,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,0,0.0,0.0,0,1000,0,4,458,462,0.5163995292969048,0.44389999999999996,0.7451397645755804,0.46285999999999994,0.6857177935501789,1.3795685638412991,0.5316464139614254,0,0,1,0.0,0.0,0.692300021648407
MaxLoss,mnist,0,0.0,0.0,5,1000,0,9,465,474,0.528487223025877,0.47740000000000005,0.763397630086211,0.4513399999999999,0.6753126940994684,12.462632562622169,0.6221251799724996,0,0,6,0.0,0.0,0.6986668109893799
MaxLoss,mnist,0,0.0,0.0,10,1000,0,14,433,447,0.5012447913177311,0.42600000000000005,0.7798378889194993,0.4358000000000001,0.6610988283809135,29.481584355882827,0.7112362408079207,0,0,11,0.0,0.0,0.7017157077789307
MaxLoss,mnist,0,0.0,0.0,15,1000,0,19,469,488,0.5425491044879891,0.48860000000000003,0.8193526210894491,0.46515999999999996,0.6877818339465566,42.94107858879153,0.8009246948640794,0,0,16,0.0,0.0,0.6448638439178467
MaxLoss,mnist,0,0.0,0.0,20,1000,0,24,433,457,0.5113535305135883,0.43879999999999997,0.8061345571269821,0.4304800000000001,0.6561855519452273,54.43723250988687,0.8906256188638508,0,0,21,0.0,0.0,0.5974871516227722
MaxLoss,mnist,0,0.0,0.0,25,1000,0,29,402,431,0.48502416105475277,0.4293,0.8017424993284393,0.39846000000000004,0.6260964448554173,74.8936037454275,0.9804994917940348,0,0,26,0.0,0.0,0.6037796139717102
MaxLoss,mnist,0,0.0,0.0,30,1000,0,34,382,416,0.46976475277915597,0.38649999999999995,0.7983892303375749,0.37693999999999994,0.6053650007510196,90.0026112461935,1.0701424470171332,0,0,31,0.0,0.0,0.6421265006065369
MaxLoss,mnist,0,0.0,0.0,35,1000,0,39,344,383,0.4360117830801755,0.3739,0.7803539855954194,0.33816,0.5669264907232003,105.36673783282689,1.159986041020602,0,0,36,0.0,0.0,0.5871109962463379
MaxLoss,mnist,0,0.0,0.0,40,1000,0,44,229,273,0.32154694193741307,0.24580000000000002,0.6894115784330798,0.22468,0.44535457750818963,119.51192705807591,1.2497332650236785,0,0,41,0.0,0.0,0.5561607480049133
MaxLoss,mnist,0,0.0,0.0,45,1000,0,49,197,246,0.29293058486655354,0.23460000000000003,0.6622886990098935,0.1874,0.4017858799672259,133.72844114800012,1.3394361489918083,0,0,46,0.0,0.0,0.5855381488800049
MaxLoss,mnist,0,0.0,0.0,50,1000,0,54,319,373,0.42573309352155775,0.3419,0.7934875056774628,0.31726,0.5456056994580174,146.48608073698455,1.4297177968546748,0,0,51,0.0,0.0,0.6076889634132385
MaxLoss,mnist,0,0.0,0.0,55,1000,0,59,247,306,0.3562249467941001,0.2952,0.7316201015120133,0.23826,0.4607191364655735,155.7584944801923,1.51937834196724,0,0,56,0.0,0.0,0.6047179102897644
MaxLoss,mnist,0,0.0,0.0,60,1000,0,64,307,371,0.423674481746275,0.32310000000000005,0.7928934203570289,0.29758,0.5251190339153662,170.1887747692095,1.6091729458421469,0,0,61,0.0,0.0,0.598983645439148
MaxLoss,mnist,0,0.0,0.0,65,1000,0,69,131,200,0.24360212427563965,0.19689999999999996,0.627077013058612,0.13052000000000002,0.33047673882098366,172.62026429321335,1.6993803149089217,0,0,66,0.0,0.0,0.5677664875984192
MaxLoss,mnist,0,0.0,0.0,70,1000,0,74,132,206,0.2500814668019302,0.17779999999999996,0.6377905826886092,0.13160000000000002,0.3318977726439477,184.73523592362335,1.7893895169254392,0,0,71,0.0,0.0,0.569315493106842
MaxLoss,mnist,0,0.0,0.0,75,1000,0,79,130,209,0.25331574806477875,0.17159999999999997,0.644307475143789,0.1306,0.3305821039849541,195.1971428343444,1.8795267569366843,0,0,76,0.0,0.0,0.5827271342277527
MaxLoss,mnist,0,0.0,0.0,80,1000,0,84,128,212,0.2565465088118799,0.20779999999999998,0.6469027436573094,0.12762,0.32664594392602664,203.96587425759037,1.9693534499965608,0,0,81,0.0,0.0,0.6044189929962158
MaxLoss,mnist,0,0.0,0.0,85,1000,0,89,177,266,0.31414983980357647,0.21540000000000004,0.711162897069691,0.1764,0.3884973600446974,216.27065187595375,2.059489700011909,0,0,86,0.0,0.0,0.6005040407180786
MaxLoss,mnist,0,0.0,0.0,90,1000,0,94,88,182,0.2240735339000821,0.15859999999999996,0.6042963631793078,0.08941999999999997,0.27380825311455814,216.65017852664192,2.1496231898199767,0,0,91,0.0,0.0,0.5907645225524902
MaxLoss,mnist,0,0.0,0.0,95,1000,0,99,158,257,0.30461699166335166,0.19389999999999996,0.6954983303791747,0.15326,0.35980087984726106,231.09746363636665,2.2399177679326385,0,0,96,0.0,0.0,0.594261646270752
MaxLoss,mnist,0,0.0,0.0,100,1000,0,104,64,168,0.20878348860424012,0.13349999999999995,0.5826444969035286,0.06787999999999998,0.24148663948320234,232.96064499397815,2.32987578981556,0,0,101,0.0,0.0,0.5786900520324707
MaxLoss,mnist,0,0.0,0.0,105,1000,0,109,50,159,0.19890321127604693,0.12129999999999996,0.558241208840982,0.05108000000000004,0.21440944531090675,239.57365252537252,2.420152668841183,0,0,106,0.0,0.0,0.586877703666687
MaxLoss,mnist,0,0.0,0.0,110,1000,0,114,55,169,0.20987876318395138,0.11639999999999995,0.5719383028305006,0.05504000000000003,0.22097509992082584,248.81858285036284,2.5102532589808106,0,0,111,0.0,0.0,0.5816752314567566
MaxLoss,mnist,0,0.0,0.0,115,1000,0,119,34,153,0.19229266518959776,0.11260000000000003,0.5371269719088586,0.03500000000000004,0.18621895926993978,254.40335600957872,2.6001954609528184,0,0,116,0.0,0.0,0.586363673210144
MaxLoss,mnist,0,0.0,0.0,120,1000,0,124,47,171,0.2120678334031254,0.10560000000000003,0.5665921238543958,0.04686000000000003,0.20726663296448775,262.72475662700845,2.6903087908867747,0,0,121,0.0,0.0,0.5885283350944519
MaxLoss,mnist,0,0.0,0.0,125,1000,0,129,13,142,0.18012076301965863,0.09919999999999995,0.4980901987050018,0.014960000000000013,0.14546032974725226,268.1935580354007,2.780384491896257,0,0,126,0.0,0.0,0.5884210467338562
MaxLoss,mnist,0,0.0,0.0,130,1000,0,134,48,182,0.2240735339000821,0.1139,0.5754107426901393,0.04692000000000003,0.20736932116325021,275.6509359029493,2.8689033589325845,0,0,131,0.0,0.0,0.5941586494445801
MaxLoss,mnist,0,0.0,0.0,135,1000,0,139,9,148,0.18676866061287,0.09730000000000005,0.49210736777646213,0.00998000000000001,0.13342188044597422,281.3581488504005,2.9588486708234996,0,0,136,0.0,0.0,0.5950300693511963
MaxLoss,mnist,0,0.0,0.0,140,1000,0,144,11,155,0.19449835445266217,0.09530000000000005,0.5015469549575977,0.01166000000000001,0.1376256124866428,287.2650902588657,3.048575304914266,0,0,141,0.0,0.0,0.5948284864425659
MaxLoss,mnist,0,0.0,0.0,145,1000,0,149,17,166,0.2065914436825551,0.09919999999999995,0.5214758043728627,0.016920000000000015,0.14989946093966816,294.12964540898224,3.138456547865644,0,0,146,0.0,0.0,0.592491626739502
MaxLoss,mnist,0,0.0,0.0,150,1000,0,154,10,164,0.20439738139975816,0.0937,0.5100992260976394,0.01184000000000001,0.1380664942673981,299.0367348000353,3.2286328468471766,0,0,151,0.0,0.0,0.5893857479095459
MaxLoss,mnist,0,0.0,0.0,155,1000,0,159,3,162,0.20220127335051075,0.08979999999999999,0.4877756803793944,0.004420000000000004,0.11789554926735807,304.54817006927107,3.318788297008723,0,0,156,0.0,0.0,0.5890612602233887
