dataset,method,noise_rate,pretrain_fraction,step,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
mnist,Marginal,0.0,0.0,0,3,4.0,0.0,484.3333333333333,8.089774066341064,488.3333333333333,8.089774066341064,0.5428688553705191,0.008113263248699883,0.47009999999999996,0.008172514912803797,0.7542162120356286,0.006436021253592159,0.47570666666666667,0.008188254460574078,0.6971337103915332,0.007264624136991194,0.8894640920911353,0.13010662212594706,0.06744200487931569,0.00022375513714718132,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6683302521705627,0.02322683588441503
mnist,Marginal,0.0,0.0,10,3,14.0,0.0,391.3333333333333,4.176654695380556,405.3333333333333,4.176654695380556,0.4588783047317217,0.004268241374031979,0.38786666666666675,0.008630437094634567,0.7627240366347321,0.0035254721606688263,0.39098000000000005,0.003122584399713359,0.6189289672336896,0.003000241041273138,43.76841172324382,1.2593993474492662,0.2557442532852292,0.00015761544825565623,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.5742796460787455,0.016219571822252407
mnist,Marginal,0.0,0.0,100,3,104.0,0.0,189.0,14.525839046333951,293.0,14.525839046333951,0.34254188381601125,0.01522105226286769,0.20923333333333335,0.012385520219639989,0.6994542112378136,0.016550795326776373,0.1884666666666667,0.014404838693223088,0.4027193389492825,0.017081408013043194,180.99206694655558,4.577678916104504,1.9447058882409085,0.005269901584780573,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.5954947471618652,0.004424718370092
mnist,Marginal,0.0,0.0,105,3,109.0,0.0,183.33333333333334,15.961759858417173,292.3333333333333,15.961759858417173,0.3418295406542408,0.016727745660744545,0.2066,0.014021531062381628,0.6976843968724484,0.017626028388354035,0.18369333333333335,0.01605745655797052,0.3968931768651296,0.019156311156178565,185.826648727245,4.156054429107075,2.037972806564843,0.005143794282061457,0.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.5968051751454672,0.0026661234356471493
mnist,Marginal,0.0,0.0,110,3,114.0,0.0,181.33333333333334,16.586473739499638,295.3333333333333,16.586473739499638,0.34497312927851453,0.017369796061077303,0.20536666666666667,0.016780378753505888,0.6991357591981219,0.0173956100983052,0.18158,0.01617075137400854,0.3943290110810438,0.01938278368322362,191.1543673055353,4.078156733725931,2.1313589066267014,0.005049127248578081,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.6019377112388611,0.0017465510301976563
mnist,Marginal,0.0,0.0,115,3,119.0,0.0,175.0,14.6401275039985,294.0,14.6401275039985,0.34359072818187997,0.01533861891046003,0.20316666666666663,0.01446055938675188,0.6957541701117739,0.015936711843572066,0.17519333333333334,0.014535704699501523,0.38664701812176916,0.017573082447809037,195.96768397335723,3.9333436424787434,2.2246454079480222,0.005008357319596233,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.5943363904953003,0.005325789509183553
mnist,Marginal,0.0,0.0,120,3,124.0,0.0,171.66666666666666,12.784539273843405,295.6666666666667,12.784539273843404,0.3453539586625993,0.013391325017604991,0.20109999999999997,0.013450774451061668,0.6957555526384537,0.013676855199917149,0.17196666666666668,0.012255569255557942,0.3828041890331166,0.014899866794308374,200.8119018140483,3.845883858951158,2.3179075859176614,0.004825621680026369,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.5959891279538473,0.005111195198695214
mnist,Marginal,0.0,0.0,125,3,129.0,0.0,165.33333333333334,9.386751893552484,294.3333333333333,9.386751893552482,0.3439757702096055,0.009844734215245765,0.19679999999999997,0.008603100216394877,0.6913887477727895,0.01034505654011948,0.16474666666666668,0.009241171161949356,0.3740113076536482,0.011412074059381945,205.70475245227826,3.668516120537857,2.411158304583902,0.0046928931072298,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.5970239639282227,0.0037246650444473168
mnist,Marginal,0.0,0.0,130,3,134.0,0.0,162.0,6.027713773341709,296.0,6.027713773341709,0.34573909421063337,0.006318022710268735,0.19296666666666665,0.00582017563690689,0.691496023546594,0.007273658647636037,0.1618066666666667,0.005937107413921746,0.37045369225734825,0.007364291088952968,210.46890821900487,3.3863424156473294,2.503711266287913,0.0048620430596168565,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.5925152699152628,0.004215784183048625
mnist,Marginal,0.0,0.0,135,3,139.0,0.0,152.33333333333334,2.185812841434,291.3333333333333,2.1858128414340006,0.340849672172529,0.0022963627631094148,0.1831,0.0027073972741361667,0.6834074595003675,0.0017220110736662338,0.15192666666666668,0.0018955855149384497,0.3581063308976706,0.0024046357454609916,214.79801411646244,3.3451438576012,2.5966793576565883,0.004708139565869677,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.5946446061134338,0.006202225524550756
