method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,0,0.0,0.0,1000,0,170,0,170,0.2109735436970368,0.0958,0.39162331985659454,0.001120000000000001,0.05688511172001015,296.20980337220243,1.8217331680934876,1,167,0.0,0.0,0.5928672552108765
PU-R,mnist,0,0.0,0.0,1000,0,240,0,240,0.2865393512765877,0.08979999999999999,0.4234246367728075,0.002330000000000002,0.06112179922180767,331.97685383411766,4.453510775929317,1,237,0.0,0.0,0.5703684687614441
PU-C,mnist,0,0.0,0.0,1000,0,214,0,214,0.2586984192603268,0.07809999999999995,0.4016425429151237,0.00038000000000000035,0.05376653814222626,318.040574044102,2.0064523371402174,1,211,0.0,0.0,0.566336989402771
Marginal,mnist,0,0.0,0.0,1000,0,300,46,346,0.3978594695799984,0.11150000000000004,0.525749002632907,0.04637000000000004,0.14717282102798532,305.57394868667694,2.45402613398619,0,297,0.0,0.0,0.583328902721405
MaxLoss,mnist,0,0.1,0.0,1000,0,300,15,315,0.36562955763656646,0.1704,0.5428676738126325,0.016710000000000013,0.09548306405435276,443.82675334395697,2.1982002889271826,0,297,0.25333333333333335,0.0,0.5860421657562256
PU-R,mnist,0,0.1,0.0,1000,0,300,67,367,0.4195543620735407,0.11860000000000004,0.5996165053409399,0.06733999999999994,0.17885030243462294,365.9555429034698,6.826696255011484,0,297,0.16,0.0,0.5757728815078735
PU-C,mnist,0,0.1,0.0,1000,0,300,78,378,0.4308754220837727,0.14780000000000004,0.6256370717760876,0.07742999999999996,0.19330279087827845,384.78373490176347,3.013348320964724,0,297,0.17333333333333334,0.0,0.575677752494812
Marginal,mnist,0,0.1,0.0,1000,0,300,126,426,0.479943371436093,0.16400000000000003,0.6553049731396132,0.12623,0.2585597072282121,319.9415057335068,2.5056313530076295,0,297,0.13,0.0,0.5792348980903625
MaxLoss,mnist,0,0.2,0.0,1000,0,300,224,524,0.5785082851652987,0.3679,0.8147894904175547,0.21660999999999994,0.36731807574621034,477.09142288341627,2.2063234730158,0,297,0.38,0.0,0.6082895398139954
PU-R,mnist,0,0.2,0.0,1000,0,300,213,513,0.5675513677997515,0.24150000000000005,0.7722598547315553,0.21480000000000005,0.3652458860746967,369.66615513777896,7.213022324023768,0,297,0.25333333333333335,0.0,0.561801552772522
PU-C,mnist,0,0.2,0.0,1000,0,300,203,503,0.5575671300757676,0.257,0.7659526054011265,0.2041699999999999,0.3530019032028728,376.9291785333371,3.1652365650516003,0,297,0.2633333333333333,0.0,0.5707734823226929
Marginal,mnist,0,0.2,0.0,1000,0,300,218,518,0.5725351338041946,0.23329999999999995,0.758864943007922,0.21805999999999995,0.36897552703989817,333.4723477295814,2.5367834828794003,0,297,0.18666666666666668,0.0,0.6004230976104736
MaxLoss,mnist,0,0.3,0.0,1000,0,300,219,519,0.5735312176402658,0.3953,0.813574974993358,0.22707000000000005,0.37922394744205973,449.7918126495757,2.1961843280587345,0,297,0.4266666666666667,0.0,0.5886834263801575
PU-R,mnist,0,0.3,0.0,1000,0,300,292,592,0.6456331607187167,0.33720000000000006,0.833679553375353,0.29419000000000006,0.4531030073152956,367.22587937898686,7.313683855114505,0,297,0.31333333333333335,0.0,0.5715023875236511
PU-C,mnist,0,0.3,0.0,1000,0,300,261,561,0.6151636471040547,0.2782,0.8022384265735542,0.26110000000000005,0.4171941314640547,349.60836213050607,3.206925196107477,0,297,0.3466666666666667,0.0,0.5808995366096497
Marginal,mnist,0,0.3,0.0,1000,0,300,291,591,0.6446537898154929,0.25670000000000004,0.8173454851053318,0.291,0.449681594848229,330.7523481293006,2.5627522110007703,0,297,0.29333333333333333,0.0,0.5817919373512268
MaxLoss,mnist,0,0.4,0.0,1000,0,300,247,547,0.6013305088272318,0.45099999999999996,0.8301853500252298,0.25098,0.4060186429271221,445.8438147347196,2.192118956008926,0,297,0.46,0.0,0.5773926973342896
PU-R,mnist,0,0.4,0.0,1000,0,300,307,607,0.6602950470987707,0.4337,0.8403944556501525,0.30576000000000003,0.4654433230817835,363.614876656205,7.336684139911085,0,297,0.39666666666666667,0.0,0.5681853890419006
PU-C,mnist,0,0.4,0.0,1000,0,300,313,613,0.6661445871577598,0.35450000000000004,0.8445530346471978,0.31256000000000006,0.4726465805355406,362.34550064701966,3.301262167049572,0,297,0.39666666666666667,0.0,0.570464551448822
