dataset,method,noise_rate,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
mnist,Marginal,0.0,3,300.0,0.0,36.333333333333336,4.910306620885412,336.3333333333333,4.910306620885412,0.38782975607318804,0.00509500176303484,0.1059,0.004021608301828199,0.5079725280154026,0.00897187494800105,0.0364566666666667,0.0050317536152363895,0.13087274282445863,0.008285358569875568,309.8384213275801,2.393749370450371,2.4551464369675764,0.0009045710782371734,0.0,0.0,297.0,0.0,0.0,0.0,0.0,0.0,0.5788553158442179,0.0031873754849935207
mnist,Marginal,0.1,3,300.0,0.0,145.66666666666666,12.914247085207013,445.6666666666667,12.914247085207013,0.49985790739689645,0.01306340721581643,0.17426666666666668,0.00763966258708096,0.67947420888382,0.01630680242404191,0.1459366666666667,0.013171739107312709,0.283050181077862,0.01626038850363452,322.7104007289798,2.7747002077518723,2.5172437983565032,0.01099738995299782,0.0,0.0,297.0,0.0,0.12333333333333334,0.0050917507721731595,0.0,0.0,0.5835873285929362,0.0034911257543001856
mnist,Marginal,0.2,3,300.0,0.0,211.0,11.239810200058244,511.0,11.239810200058244,0.5655281800815525,0.011225996374630653,0.22119999999999995,0.020127675805550263,0.7518860270205968,0.010993967597457346,0.21134666666666665,0.010926447018333271,0.3611457682294737,0.012620187836660048,332.4191305699237,1.6317980734839872,2.5383446485890695,0.0026296076944731968,0.0,0.0,297.0,0.0,0.20444444444444443,0.00968644209675705,0.0,0.0,0.5937120119730631,0.0038081978675890416
mnist,Marginal,0.3,3,300.0,0.0,287.0,6.110100926607787,587.0,6.110100926607787,0.6407251458925506,0.0059942368427547315,0.2849333333333333,0.01889359091802766,0.8172992715730034,0.0020802517573934726,0.2874366666666666,0.006387843489351084,0.4458157765950519,0.0068914708808990996,337.3235592769042,7.016584167406934,2.5776685353678963,0.007864058261494809,0.0,0.0,297.0,0.0,0.2744444444444445,0.011600340565456163,0.0,0.0,0.5859025716781616,0.0026842851407608255
mnist,Marginal,0.4,3,300.0,0.0,298.3333333333333,7.446102634562892,598.3333333333334,7.446102634562893,0.6518170647323132,0.0072848089177826566,0.3530666666666667,0.0191830075269176,0.8280990901493989,0.006642577605475863,0.29837,0.007259781906733395,0.45753106481502354,0.007767438449268511,344.874609489738,7.225620660099511,2.5778975299714753,0.003158051161113877,0.0,0.0,297.0,0.0,0.3977777777777778,0.013099806802835106,0.0,0.0,0.5921642581621805,0.0016662814122004018
mnist,MaxLoss,0.0,3,176.33333333333334,3.48010216963685,0.0,0.0,176.33333333333334,3.48010216963685,0.2178901745355688,0.003799372804421274,0.07986666666666668,0.00812902891562768,0.3896213785600131,0.0019854773739832036,0.000406666666666667,0.0003578329840085241,0.05359549931525311,0.001656938732289477,301.3150508630372,3.205661978754365,1.499445975990966,0.16144214797342957,1.0,0.0,173.33333333333334,3.48010216963685,0.0,0.0,0.0,0.0,0.5898168087005615,0.0019578874379640406
mnist,MaxLoss,0.1,3,300.0,0.0,35.666666666666664,15.93040419379803,335.6666666666667,15.930404193798028,0.38707918708678335,0.016514065965869056,0.19846666666666668,0.024177216088246776,0.5884070569974925,0.031343629655204236,0.03753333333333334,0.016430344217669656,0.13035353270094638,0.026626420866851463,451.29682556052984,4.47149314052013,2.1942436126216003,0.0037501206512230195,0.0,0.0,297.0,0.0,0.26777777777777784,0.016139821162593274,0.0,0.0,0.5820486942927042,0.0022425492516173536
mnist,MaxLoss,0.2,3,300.0,0.0,186.66666666666666,18.666666666666668,486.6666666666667,18.666666666666668,0.5411343476152979,0.018686968775000423,0.3545666666666667,0.009010795993942175,0.7926300990079417,0.011141353405290016,0.18735333333333334,0.014630295432575628,0.33309156133672757,0.017115664889400885,483.7902914443537,4.242816002176681,2.1997237250519297,0.006234936743671272,0.0,0.0,297.0,0.0,0.38888888888888884,0.004843221048378525,0.0,0.0,0.5889259378115336,0.0099600159890627
mnist,MaxLoss,0.3,3,300.0,0.0,230.0,5.567764362830022,530.0,5.567764362830022,0.584466427603426,0.005534723049651356,0.413,0.010277321311184794,0.8210773458769233,0.003783054482617844,0.23227,0.0026012561068324697,0.38509301741153307,0.002935942754778069,460.2155650816623,5.470957581822362,2.1965255749722323,0.00435394116976505,0.0,0.0,297.0,0.0,0.4222222222222222,0.006186404847588924,0.0,0.0,0.5890747308731079,0.0011336872739785616
mnist,MaxLoss,0.4,3,300.0,0.0,258.3333333333333,11.83685393637647,558.3333333333334,11.83685393637647,0.6125000147537017,0.011667899135683663,0.45,0.0030435724623102465,0.8427785963020008,0.0074802893038801695,0.25823,0.00885591892465148,0.41396316567808095,0.009728426189800675,470.0920108089678,13.001187346953209,2.1945082736201584,0.0025567146866359984,0.0,0.0,297.0,0.0,0.45222222222222225,0.004006168083848885,0.0,0.0,0.5826740264892578,0.004381931835647547
mnist,PU-C,0.0,3,226.33333333333334,7.218802609235905,0.0,0.0,226.33333333333334,7.218802609235905,0.2719165697538604,0.007730995191905726,0.07733333333333332,0.0019717448561560403,0.399556908612082,0.0020780441901084848,0.0007066666666666672,0.0002465990898424226,0.05515542110959246,0.0010233190749863118,311.6570287526476,3.279535462769191,2.135093061020598,0.07255698888111403,1.0,0.0,223.33333333333334,7.218802609235905,0.0,0.0,0.0,0.0,0.5723148981730143,0.003934804847586961
mnist,PU-C,0.1,3,300.0,0.0,83.66666666666667,7.753135566408671,383.6666666666667,7.753135566408671,0.4366819830223297,0.007952404402583154,0.1486666666666667,0.0029190942278575246,0.6213203373722089,0.010267174398414267,0.08374666666666664,0.007986284771058734,0.20193355625191942,0.01100081664980254,361.09956290191735,11.882746037573424,3.0065752269389727,0.010490799119944312,0.0,0.0,297.0,0.0,0.15888888888888889,0.014444444444444447,0.0,0.0,0.5764521757761637,0.0014486279710244601
mnist,PU-C,0.2,3,300.0,0.0,191.33333333333334,6.009252125773315,491.3333333333333,6.009252125773315,0.5458827441325411,0.006019039124517358,0.22876666666666667,0.01412165397930112,0.7480744412123065,0.009552608920556907,0.1919633333333333,0.006373498080157964,0.3387282631964334,0.007458626799208252,362.7792593538929,7.825385888664757,3.1536741759628057,0.0066271283302001376,0.0,0.0,297.0,0.0,0.24777777777777776,0.012372809695177822,0.0,0.0,0.5763435959815979,0.0027916344788707225
