method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,cifar10,0,0.0,0.0,2000,0,250,1645,1895,0.9648099693004042,0.7434000000000001,0.9291160687069265,0.6668600000000001,0.8513561423812982,63.475975078410464,48.20706648565829,0,241,0.0,0.0,0.67293381690979
PU-C,cifar10,0,0.0,0.0,2000,0,250,1431,1681,0.8697079902631231,0.6780999999999999,0.900016298925531,0.62022,0.8166937656263176,55.695065924489874,68.34194574318826,0,241,0.0,0.0,0.6423827409744263
PU-F,cifar10,0,0.0,0.0,2000,0,250,1466,1716,0.8858118723728694,0.7957,0.9768196368776619,0.77225,0.921417902291421,76.42594906780228,72.76287852879614,0,241,0.0,0.0,0.6793308258056641
PU-G,cifar10,0,0.0,0.0,2000,0,250,1415,1665,0.8623004709370434,0.7888,0.9477532469466027,0.7090700000000001,0.8808952220331756,59.56017823469707,72.35638114996254,0,241,0.0,0.0,0.6800022721290588
GREATS,cifar10,0,0.0,0.0,2000,0,250,1602,1852,,0.7306,0.9292455966937341,0.6649300000000001,0.849962649685176,66.1105261497001,71.36737774778157,0,241,0.0,0.0,0.6653222441673279
MaxLoss,cifar10,0,0.0,0.2,1600,400,250,1350,1600,1.0,0.8906000000000001,0.9963108578998925,0.8830250000000003,0.978161750280831,25.627956950152925,34.32953783497214,0,241,0.0,0.0,0.7092883586883545
PU-C,cifar10,0,0.0,0.2,1600,400,250,1350,1600,1.0,0.8101,0.9868434239881562,0.7955875,0.9350959173101867,77.41723481623569,58.41783769335598,0,241,0.0,0.0,0.5941591262817383
PU-F,cifar10,0,0.0,0.2,1600,400,250,1276,1526,0.9714650064706802,0.8713,0.9998442126757846,0.84175,0.9596649754137232,287.88159381823544,61.58122994750738,0,241,0.0,0.0,0.6366495490074158
PU-G,cifar10,0,0.0,0.2,1600,400,250,1299,1549,0.9825689069111831,0.8875,0.9999999027585382,0.8888250000000001,0.9804360779986687,343.535059082258,61.99224962014705,0,241,0.0,0.0,0.5514829754829407
GREATS,cifar10,0,0.0,0.2,1600,400,250,1350,1600,,0.8398,0.9957278979872223,0.8108875000000001,0.9436292325098866,143.81201987867504,60.1053186301142,0,241,0.0,0.0,0.5849651098251343
MaxLoss,cifar10,0,0.0,0.4,1200,800,250,950,1200,1.0,0.9051,0.9996212091780174,0.8790166666666667,0.9765384939798611,81.19877764226324,28.22224225103855,0,241,0.0,0.0,0.6560230255126953
PU-C,cifar10,0,0.0,0.4,1200,800,250,890,1140,0.9706748352618888,0.7374,0.9811061099333735,0.6999666666666665,0.8746804129641755,156.4201864523178,46.16698027588427,0,241,0.0,0.0,0.7008342742919922
PU-F,cifar10,0,0.0,0.4,1200,800,250,865,1115,0.9540091145318002,0.8013,0.9898623319751865,0.74855,0.9067802199315756,145.2093923032123,47.56783146504313,0,241,0.0,0.0,0.6347580552101135
PU-G,cifar10,0,0.0,0.4,1200,800,250,878,1128,0.9627895503072068,0.845,0.9942475202381909,0.77955,0.9257782804889001,140.92253947816295,48.24034932255745,0,241,0.0,0.0,0.6305585503578186
GREATS,cifar10,0,0.0,0.4,1200,800,250,922,1172,,0.7082999999999999,0.9334405394597958,0.6628833333333333,0.8484809647231686,44.815455059901325,47.73841296508908,0,241,0.0,0.0,0.6816335320472717
MaxLoss,cifar10,0,0.0,0.6,800,1200,250,517,767,0.9803331122966483,0.7536,0.9249651851263532,0.578075,0.7836783554910154,71.92727711332144,22.18144509755075,0,241,0.0,0.0,0.6711223721504211
PU-C,cifar10,0,0.0,0.6,800,1200,250,547,797,0.9999180997838266,0.7585,0.9807980465853847,0.733875,0.8973682301596464,66.41091203387312,34.247639479115605,0,241,0.0,0.0,0.601047694683075
PU-F,cifar10,0,0.0,0.6,800,1200,250,526,776,0.9878382271854207,0.8203,0.9940679150003412,0.7614749999999999,0.9148520969608888,113.30256841060182,35.489406326785684,0,241,0.0,0.0,0.6774899363517761
PU-G,cifar10,0,0.0,0.6,800,1200,250,506,756,0.9704191533382982,0.7911,0.9986454000469225,0.7586000000000002,0.9130747748064217,216.5704873392858,35.21061126422137,0,241,0.0,0.0,0.5958989858627319
GREATS,cifar10,0,0.0,0.6,800,1200,250,544,794,,0.7486999999999999,0.955604396635789,0.6929000000000001,0.8697956869927749,39.22005428080167,35.597150867804885,0,241,0.0,0.0,0.6584094166755676
MaxLoss,cifar10,0,0.0,0.8,400,1600,250,142,392,0.9964908893452957,0.7247,0.972674466424209,0.6502000000000001,0.8392090180280066,57.402180463758945,16.108226313255727,0,241,0.0,0.0,0.6378219127655029
PU-C,cifar10,0,0.0,0.8,400,1600,250,88,338,0.9019252905854955,0.6765,0.8300495386314943,0.31915,0.5475518935273287,79.04865030612739,21.81961909402162,0,241,0.0,0.0,0.660121500492096
PU-F,cifar10,0,0.0,0.8,400,1600,250,69,319,0.8617157479166053,0.6779999999999999,0.7715201649756903,0.18465,0.3984836626780898,120.55654599286514,21.72766489163041,0,241,0.0,0.0,0.6363933086395264
PU-G,cifar10,0,0.0,0.8,400,1600,250,127,377,0.9758778536925092,0.7147,0.9517602365735479,0.4976500000000001,0.7164661635315032,112.44541325289077,22.482289328239858,0,241,0.0,0.0,0.6526540517807007
