dataset,method,noise_rate,pretrain_fraction,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se
cifar10,GREATS,0.0,0.0,3,250.0,0.0,1597.0,7.637626158259733,1847.0,7.637626158259733,,,0.7257666666666666,0.0034439963866286227,0.9284906278602262,0.0011555887927181252,0.6622866666666667,0.0015880841007677182,0.848045804226663,0.0011524168223376108,67.55433473477314,1.7285078003377874,71.4146983899797,0.07823945555638404,0.0,0.0,241.0,0.0
cifar10,GREATS,0.0,0.2,3,250.0,0.0,1349.3333333333333,0.6666666666666666,1599.3333333333333,0.6666666666666666,,,0.8317,0.011558114033007312,0.9928127112805213,0.0022812450275632792,0.822025,0.01850658807244959,0.9490034359992389,0.00949730936952202,90.10678790070803,29.693160485991168,60.11900548450649,0.017064817862515434,0.0,0.0,241.0,0.0
cifar10,GREATS,0.0,0.4,3,250.0,0.0,933.0,7.371114795831994,1183.0,7.371114795831994,,,0.7467,0.020353623755980203,0.9546738704043607,0.01152086310090495,0.7073,0.028381333523860203,0.8788137003011117,0.019073560762994643,49.82376739428841,5.70669213544121,47.8323950159053,0.04801822541467058,0.0,0.0,241.0,0.0
cifar10,GREATS,0.0,0.6,3,250.0,0.0,518.0,13.453624047073712,768.0,13.453624047073712,,,0.7361,0.0068146900149602925,0.9328297049039288,0.011403772863032196,0.6165583333333334,0.0386686574559351,0.8125182532767247,0.029064530632403683,57.39433039649938,10.66569923823857,35.41636671219021,0.0974015617222572,0.0,0.0,241.0,0.0
cifar10,GREATS,0.0,0.8,3,250.0,0.0,120.33333333333333,15.059142664102025,370.3333333333333,15.059142664102023,,,0.7096,0.024133448434348,0.899382797272474,0.04460586624238934,0.45621666666666666,0.13372413249339518,0.6641136642313673,0.11522687953117289,82.49905167381924,18.881620617144886,23.331587529430788,0.11860977369042511,0.0,0.0,241.0,0.0
cifar10,GREATS,0.4,0.0,3,250.0,0.0,1721.3333333333333,2.96273147243853,1971.3333333333333,2.96273147243853,,,0.8417666666666667,0.00648750936629595,0.968298617334702,0.0016475522410732404,0.76158,0.004688880463394125,0.9148887324339636,0.002900425486161235,56.50471509927123,0.3728252066171434,72.10575031551222,0.017255192037879674,0.0,0.0,241.0,0.0
cifar10,GREATS,0.4,0.2,3,250.0,0.0,1349.0,1.0,1599.0,1.0,,,0.8737,0.0029597297173897755,0.9985199197285392,0.000688109299377591,0.8778083333333334,0.009102807869614211,0.9758332621849578,0.003739849464153026,78.17586934119986,15.413743872886503,60.15676339156926,0.028112101947246237,0.0,0.0,241.0,0.0
cifar10,GREATS,0.4,0.4,3,250.0,0.0,948.3333333333334,1.6666666666666667,1198.3333333333333,1.666666666666667,,,0.8529666666666667,0.025669848287652782,0.9934093975111232,0.0036381495534097636,0.8264166666666667,0.032396211769851045,0.9500075769847945,0.016452441625494786,67.65147990722203,20.326453751052917,47.91090201679617,0.014578658125542744,0.0,0.0,241.0,0.0
cifar10,GREATS,0.4,0.6,3,250.0,0.0,549.6666666666666,0.3333333333333333,799.6666666666666,0.3333333333333333,,,0.8308333333333334,0.01911668846264377,0.993761199674703,0.003150422956313734,0.8422333333333333,0.02076852753834785,0.9590453144364317,0.009926845181834232,30.284178382723525,3.2699310237825583,35.67393258865923,0.01141519931738843,0.0,0.0,241.0,0.0
cifar10,GREATS,0.4,0.8,3,250.0,0.0,149.66666666666666,0.33333333333333337,399.6666666666667,0.33333333333333337,,,0.7917,0.020405146409668333,0.9931121166723956,0.003271290327039284,0.7615666666666666,0.031524095722337706,0.9135702714087341,0.018729315717101132,60.47960385955901,5.667061285261715,23.539348630855482,0.008431876115502238,0.0,0.0,241.0,0.0
