method,dataset,seed,noise_rate,pretrain_fraction,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,cifar10,0,0.0,0.0,0,2000,0,10,1990,2000,1.0,0.9051,0.9978806576764471,0.8945666666666665,0.9917700724957347,2.300933553313676,5.782312689349055,0,0,1,0.0,0.0,0.918735921382904
MaxLoss,cifar10,0,0.0,0.0,10,2000,0,20,1980,2000,1.0,0.9,0.9989911579956181,0.898833333333333,0.9926950527201541,8.525467969589354,11.626052640378475,0,0,11,0.0,0.0,0.9921184182167053
MaxLoss,cifar10,0,0.0,0.0,20,2000,0,30,1970,2000,1.0,0.9,0.9993620774304642,0.8917333333333332,0.9911276002998042,22.46597175231335,17.458510730415583,0,0,21,0.0,0.0,0.9713409543037415
MaxLoss,cifar10,0,0.0,0.0,30,2000,0,40,1959,1999,0.9999999912688509,0.8932,0.9982581715887131,0.8756833333333333,0.9870812363359088,21.69756269847846,23.291608331725,0,0,31,0.0,0.0,0.9070927500724792
MaxLoss,cifar10,0,0.0,0.0,40,2000,0,50,1950,2000,1.0,0.8401000000000001,0.9933277286863752,0.8413833333333333,0.9763360761103069,18.37966284979725,29.13056423328817,0,0,41,0.0,0.0,0.826883852481842
MaxLoss,cifar10,0,0.0,0.0,50,2000,0,60,1940,2000,1.0,0.8434,0.9927766051277255,0.8410500000000002,0.9762188998396926,15.989790252726968,34.973352710716426,0,0,51,0.0,0.0,0.7710390090942383
MaxLoss,cifar10,0,0.0,0.0,60,2000,0,70,1928,1998,0.999997032515239,0.7904,0.9907731054828718,0.8290333333333334,0.9718438027725474,17.484008037407662,40.82228294946253,0,0,61,0.0,0.0,0.7506570219993591
MaxLoss,cifar10,0,0.0,0.0,70,2000,0,80,1920,2000,1.0,0.8032,0.9892543016781754,0.81715,0.9672397442181576,21.65486498541449,46.652277989313006,0,0,71,0.0,0.0,0.7365363240242004
MaxLoss,cifar10,0,0.0,0.0,80,2000,0,90,1909,1999,0.9999999912688509,0.7809,0.9853671429015793,0.7987000000000001,0.9595797117835453,23.399030970795437,52.497881604358554,0,0,81,0.0,0.0,0.7339880466461182
MaxLoss,cifar10,0,0.0,0.0,90,2000,0,100,1897,1997,0.9999760199571028,0.7778,0.9872127823818985,0.8035666666666667,0.9616584260572795,25.917449293885493,58.34656562563032,0,0,91,0.0,0.0,0.7322666049003601
MaxLoss,cifar10,0,0.0,0.0,100,2000,0,110,1873,1983,0.9974524569697678,0.7645,0.9830547142321912,0.7866333333333332,0.9542534014967149,26.26798140633572,64.08877624664456,0,0,101,0.0,0.0,0.7321587800979614
MaxLoss,cifar10,0,0.0,0.0,110,2000,0,120,1872,1992,0.9994500589091331,0.7639,0.9826404854603906,0.7798833333333332,0.9511701953708308,31.23180557875658,69.77934121526778,0,0,111,0.0,0.0,0.7241042256355286
MaxLoss,cifar10,0,0.0,0.0,120,2000,0,130,1682,1812,0.9290883747744374,0.9,0.9999999980910432,0.8989833333333331,0.9927266292147728,198.08958607524391,75.54370230808854,0,0,121,0.0,0.0,0.9975568056106567
MaxLoss,cifar10,0,0.0,0.0,130,2000,0,140,1779,1919,0.9746042300248519,0.8170999999999999,0.9857396035587815,0.7918833333333333,0.9566004752275787,31.349793021063427,81.36626594606787,0,0,131,0.0,0.0,0.7776609063148499
MaxLoss,cifar10,0,0.0,0.0,140,2000,0,150,1773,1923,0.9761996821616776,0.7635000000000001,0.9701812348581783,0.7315666666666668,0.9270973849445764,38.27645533258913,87.12630716525018,0,0,141,0.0,0.0,0.7163584232330322
MaxLoss,cifar10,0,0.0,0.0,150,2000,0,160,1771,1931,0.9793516111676581,0.7684,0.9721025365264799,0.7341500000000001,0.9284683551666925,41.583183093885545,92.90016815345734,0,0,151,0.0,0.0,0.6968764662742615
MaxLoss,cifar10,0,0.0,0.0,160,2000,0,170,1720,1890,0.9627292789518833,0.7549,0.9662444100594224,0.7160500000000002,0.9186758381498159,42.414278412300426,98.68712391424924,0,0,161,0.0,0.0,0.6863489151000977
MaxLoss,cifar10,0,0.0,0.0,170,2000,0,180,1710,1890,0.9627292789518833,0.7541,0.9672093531540932,0.7137666666666667,0.9174100300684087,47.74870370411172,104.49031320679933,0,0,171,0.0,0.0,0.6824582815170288
MaxLoss,cifar10,0,0.0,0.0,180,2000,0,190,1704,1894,0.9643948103766888,0.7605999999999999,0.9633056610268981,0.7008833333333334,0.9101436320749382,49.76823214749537,110.2995613431558,0,0,181,0.0,0.0,0.681371808052063
MaxLoss,cifar10,0,0.0,0.0,190,2000,0,200,1698,1898,0.966052399657201,0.743,0.9653224442330469,0.7030333333333333,0.9113707859218297,53.657613976640704,116.13042883574963,0,0,191,0.0,0.0,0.6786872148513794
MaxLoss,cifar10,0,0.0,0.0,200,2000,0,210,1681,1891,0.9631463831174187,0.7315,0.9596442019261766,0.6878000000000001,0.9025532051116035,53.25050650582076,121.97753370832652,0,0,201,0.0,0.0,0.6777267456054688
MaxLoss,cifar10,0,0.0,0.0,210,2000,0,220,1672,1892,0.9635630106786266,0.7303,0.956767714286651,0.6781833333333332,0.896841894410813,55.5647398084602,127.84373717848212,0,0,211,0.0,0.0,0.6758326888084412
MaxLoss,cifar10,0,0.0,0.0,220,2000,0,230,1676,1906,0.9693418855895288,0.737,0.9559543300067749,0.6723333333333333,0.8933139390836389,59.833053018216674,133.71415426116437,0,0,221,0.0,0.0,0.680091917514801
MaxLoss,cifar10,0,0.0,0.0,230,2000,0,240,1647,1887,0.9614751687622629,0.7298,0.9594524317491445,0.6816833333333334,0.8989333115098629,59.62537294322024,139.59404235333204,0,0,231,0.0,0.0,0.6761511564254761
MaxLoss,cifar10,0,0.0,0.0,240,2000,0,250,1628,1878,0.9576889955205843,0.7376,0.9523768294029143,0.6610166666666667,0.8863760188754354,62.44497020677161,145.4924106253311,0,1,241,0.0,0.0,0.6745078563690186
PU-C,cifar10,0,0.0,0.0,0,2000,0,10,1990,2000,1.0,0.9005,0.9981090038084421,0.8953166666666665,0.991936392620633,3.2356343148235664,4.510891714133322,0,0,1,0.0,0.0,0.912268340587616
PU-C,cifar10,0,0.0,0.0,10,2000,0,20,1980,2000,1.0,0.9,0.9986766173184176,0.8903833333333332,0.9908136828168219,12.08761651201232,11.358775017783046,0,0,11,0.0,0.0,0.9833997488021851
PU-C,cifar10,0,0.0,0.0,20,2000,0,30,1970,2000,1.0,0.888,0.9991444781155101,0.8868833333333332,0.9899767249772455,23.236493643949697,18.197556703351438,0,0,21,0.0,0.0,0.9444751739501953
PU-C,cifar10,0,0.0,0.0,30,2000,0,40,1941,1981,0.9969097287394106,0.8501,0.9976145323114167,0.8605499999999998,0.9826722990928407,31.213043352565467,25.036030958406627,0,0,31,0.0,0.0,0.8692016005516052
PU-C,cifar10,0,0.0,0.0,40,2000,0,50,1860,1910,0.9709727251320146,0.8321000000000001,0.9905645887071666,0.82375,0.9698299624244596,21.25989021305941,31.835478068329394,0,0,41,0.0,0.0,0.773160994052887
