dataset,method,noise_rate,pretrain_fraction,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se
mnist,GREATS,0.0,0.0,3,218.0,6.244997998398399,0.0,0.0,218.0,6.244997998398399,,,0.08350000000000002,0.000568624070307732,0.4205055081233224,0.0027492266045040328,0.0003600000000000003,0.00021702534414210726,0.05351238065608419,0.001098200652085925,346.6029932819404,6.943139145928974,1.884007650737961,0.04663144887557058,1.0,0.0,215.0,6.244997998398399
mnist,GREATS,0.0,0.2,3,181.66666666666666,9.701088140570166,0.0,0.0,181.66666666666666,9.701088140570166,,,0.08290000000000002,0.0022479620400116434,0.4214575362831185,0.0031729768089627185,0.0009666666666666582,0.0004852691120513517,0.055942720610393425,0.0021750079654212833,272.19892097145777,7.990798852348412,1.5646425072724621,0.0807066293459528,1.0,0.0,178.66666666666666,9.701088140570166
mnist,GREATS,0.0,0.4,3,150.0,6.557438524302001,0.0,0.0,150.0,6.557438524302001,,,0.0980333333333333,0.007339012952101358,0.4664495632675263,0.010470836734226852,0.0007888888888888905,0.00040188598592015237,0.055281498441573096,0.0018617395168221103,246.09676110978282,9.300755140785698,1.261938763782382,0.04809523641153169,1.0,0.0,147.0,6.557438524302001
mnist,GREATS,0.0,0.6,3,119.66666666666667,5.840471822645077,0.0,0.0,119.66666666666667,5.840471822645077,,,0.1198333333333333,0.008041627806469137,0.5428380130387918,0.014011676050885874,0.0028666666666666498,0.0015415315256083661,0.06224497115951446,0.004634015798165361,208.84535222108505,6.059259059631885,0.9463154120991627,0.04395517119026761,1.0,0.0,116.66666666666667,5.840471822645077
mnist,GREATS,0.0,0.8,3,77.33333333333333,5.333333333333334,0.0,0.0,77.33333333333333,5.333333333333334,,,0.15643333333333334,0.010962106448022542,0.6571441563930797,0.014190773584014629,0.0018666666666666682,0.0011691639938197064,0.05886719297648629,0.004149773418624809,155.35804822584313,7.995451506254331,0.6090628740688165,0.038167677290166575,1.0,0.0,74.33333333333333,5.333333333333334
mnist,GREATS,0.4,0.0,3,300.0,0.0,245.66666666666666,8.81917103688197,545.6666666666666,8.819171036881968,,,0.4433,0.016086433207312716,0.8342973632962035,0.005884329365753685,0.24509000000000003,0.008986858924748585,0.3993920931673189,0.010019563012750211,472.06690993096737,2.7646842089337706,2.9948287152995667,0.0014982461514461728,0.0,0.0,297.0,0.0
mnist,GREATS,0.4,0.2,3,300.0,0.0,152.0,8.18535277187245,452.0,8.18535277187245,,,0.44720000000000004,0.005855766388782945,0.8246556317074022,0.004836867559791677,0.1867375,0.008576339181142508,0.3325397783822373,0.010077179936258182,465.014259084656,5.022739843286066,2.8350608060136437,0.011245339580924326,0.0,0.0,297.0,0.0
mnist,GREATS,0.4,0.4,3,300.0,0.0,51.0,9.29157324317757,351.0,9.29157324317757,,,0.44293333333333335,0.01338909174581228,0.788701096389656,0.015109227694114963,0.08617777777777778,0.015951484121517107,0.2046961011103373,0.021799305963134792,461.47165004193874,3.378988234951519,2.623689291998744,0.010568827819304252,0.0,0.0,297.0,0.0
mnist,GREATS,0.4,0.6,3,265.0,3.7859388972001824,0.0,0.0,265.0,3.7859388972001824,,,0.3962666666666667,0.026001944371740946,0.7408349853659368,0.006903270998348377,0.00029166666666666084,9.391189724653638e-05,0.05330543020901137,0.0004778122938078418,427.6995148361496,10.078114661876326,2.126921061736842,0.028829176143932527,1.0,0.0,262.0,3.7859388972001824
mnist,GREATS,0.4,0.8,3,135.33333333333334,6.641619615057093,0.0,0.0,135.33333333333334,6.641619615057093,,,0.44399999999999995,0.038727122278837095,0.8323586126878135,0.00894668588328452,0.004616666666666671,0.0027071407630766308,0.06647679423068216,0.007941848371347888,280.9873005385518,10.770533287548385,1.046519762525956,0.05082981390843633,1.0,0.0,132.33333333333334,6.641619615057093
