method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,0,0.0,0.0,50,50,1000,0,54,198,252,0.29930986335966736,0.21950000000000003,0.6015184878504384,0.19107000000000002,0.33773056328311124,133.99990636236745,1.3321809070184827,0,0,51,0.0,0.0,0.5724848508834839
MaxLoss,mnist,0,0.0,0.0,100,100,1000,0,104,102,206,0.2500814668019302,0.1521,0.552434282150136,0.09526999999999998,0.21793415078503328,226.27408487567,1.7182581592351198,0,0,101,0.0,0.0,0.5841134190559387
MaxLoss,mnist,0,0.0,0.0,200,156,1000,0,160,0,160,0.2000030903145671,0.09230000000000005,0.3881612748753088,0.0017900000000000017,0.059315228338465316,285.6992081653383,2.1399007150903344,1,0,157,0.0,0.0,0.5922408103942871
PU-C,mnist,0,0.0,0.0,50,50,1000,0,54,167,221,0.26621818012790754,0.18330000000000002,0.5691606414871564,0.16606,0.30796105486581216,131.31620877322635,0.4814007729291916,0,0,51,0.0,0.0,0.5534393787384033
PU-C,mnist,0,0.0,0.0,100,100,1000,0,104,79,183,0.2251621768809855,0.13319999999999999,0.5123048650325754,0.08117999999999997,0.19857077665268394,202.37513506880381,0.9344902457669377,0,0,101,0.0,0.0,0.5751368403434753
PU-C,mnist,0,0.0,0.0,200,200,1000,0,204,16,220,0.26514505001250654,0.08940000000000003,0.45592945943453306,0.014500000000000015,0.09098173332744292,312.45379237102173,1.774604456499219,0,1,201,0.0,0.0,0.5699536800384521
PU-F,mnist,0,0.0,0.0,50,50,1000,0,54,205,259,0.306737604259979,0.21719999999999995,0.622187027523994,0.20831999999999995,0.35779730375938323,135.2321284100649,0.7370908912271261,0,0,51,0.0,0.0,0.6150806546211243
PU-F,mnist,0,0.0,0.0,100,100,1000,0,104,87,191,0.23385528626386076,0.13239999999999996,0.5224018738854497,0.08673999999999998,0.20628903087727019,203.99055401012035,1.33619718067348,0,0,101,0.0,0.0,0.6154365539550781
PU-F,mnist,0,0.0,0.0,200,200,1000,0,204,3,207,0.2511599550489336,0.08499999999999996,0.40952917010803386,0.0028000000000000026,0.06261478929974292,308.1447191262872,2.2510927906259894,0,1,201,0.0,0.0,0.5820789337158203
PU-G,mnist,0,0.0,0.0,50,50,1000,0,54,331,385,0.43806466565001756,0.32199999999999995,0.7274140795005539,0.33113,0.4921370936202844,116.22521643967747,0.7866548476740718,0,0,51,0.0,0.0,0.6188115477561951
PU-G,mnist,0,0.0,0.0,100,100,1000,0,104,210,314,0.3645856832736172,0.21340000000000003,0.6601810130183015,0.20879,0.3583391496279943,181.41277286901234,1.4756417945027351,0,0,101,0.0,0.0,0.6093324422836304
PU-G,mnist,0,0.0,0.0,200,200,1000,0,204,90,294,0.3436507902224548,0.12529999999999997,0.5781740676080976,0.08853999999999995,0.2087654269558102,277.5267175890534,2.605430400930345,0,1,201,0.0,0.0,0.5886416435241699
GREATS,mnist,0,0.0,0.0,50,50,1000,0,54,229,283,,0.2623,0.6409807223206131,0.20531999999999997,0.3543327435398914,161.41265231562087,0.5400252640247345,0,0,51,0.0,0.0,0.6303345561027527
GREATS,mnist,0,0.0,0.0,100,100,1000,0,104,79,183,,0.1371,0.5228676564761501,0.07616999999999996,0.1915208173507935,226.5105194724352,1.0380116300657392,0,0,101,0.0,0.0,0.6257414221763611
GREATS,mnist,0,0.0,0.0,200,200,1000,0,204,4,208,,0.0806,0.43146108421831475,0.004160000000000004,0.06663608361776403,330.7211658342797,1.9326048530638218,0,1,201,0.0,0.0,0.6007204651832581
MaxLoss,mnist,0,0.0,0.2,50,50,800,200,54,148,202,0.3051651269197464,0.22619999999999996,0.5885759023874887,0.18188749999999998,0.32689848945418964,103.90339914582367,0.41104506701231003,0,0,51,0.0,0.0,0.5615101456642151
MaxLoss,mnist,0,0.0,0.2,100,100,800,200,104,56,160,0.2485687947482802,0.12760000000000005,0.5186849211477387,0.0718625,0.18538107368441223,182.94467539846346,0.7878359155729413,0,0,101,0.0,0.0,0.5895735621452332
MaxLoss,mnist,0,0.0,0.2,200,143,800,200,147,0,147,0.2308110172743909,0.09250000000000003,0.3987767205791523,0.002199999999999991,0.06069671029000496,236.4749958605036,1.123581719584763,1,0,144,0.0,0.0,0.5879130959510803
PU-C,mnist,0,0.0,0.2,50,50,800,200,54,192,246,0.36338843271369115,0.24260000000000004,0.6510468012190934,0.2243375,0.37612497150352414,117.50356946378866,0.4909571036696434,0,0,51,0.0,0.0,0.6070646643638611
PU-C,mnist,0,0.0,0.2,100,100,800,200,104,66,170,0.26214638841338456,0.12309999999999999,0.5215746125133383,0.082225,0.20002962896068638,168.24297398644853,0.9448300627991557,0,0,101,0.0,0.0,0.5757431387901306
PU-C,mnist,0,0.0,0.2,200,189,800,200,193,0,193,0.29312830144772306,0.08130000000000004,0.4067173388421505,0.00017499999999999737,0.05272567524224942,261.0338245917268,1.6894119195640087,1,0,190,0.0,0.0,0.5892987251281738
PU-F,mnist,0,0.0,0.2,50,50,800,200,54,203,257,0.377795257314574,0.2904,0.6603049390997964,0.2291125,0.38153529318414797,121.65812256917235,0.6709151435643435,0,0,51,0.0,0.0,0.6010388135910034
