method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,0,0.0,0.0,50,50,1000,0,54,198,252,0.29930986335966736,0.21950000000000003,0.6015184878504384,0.19107000000000002,0.33773056328311124,133.99990636236745,2.607770264148712,0,0,51,0.0,0.0,0.5724848508834839
MaxLoss,mnist,0,0.0,0.0,100,100,1000,0,104,102,206,0.2500814668019302,0.1521,0.552434282150136,0.09526999999999998,0.21793415078503328,226.27408487567,3.0051690731197596,0,0,101,0.0,0.0,0.5841134190559387
MaxLoss,mnist,0,0.0,0.0,200,156,1000,0,160,0,160,0.2000030903145671,0.09230000000000005,0.3881612748753088,0.0017900000000000017,0.059315228338465316,285.6992081653383,3.439625040628016,1,0,157,0.0,0.0,0.5922408103942871
PU-C,mnist,0,0.0,0.0,50,50,1000,0,54,167,221,0.26621818012790754,0.18330000000000002,0.5691606414871564,0.16606,0.30796105486581216,131.31620877322635,0.49700809828937054,0,0,51,0.0,0.0,0.5534393787384033
PU-C,mnist,0,0.0,0.0,100,100,1000,0,104,79,183,0.2251621768809855,0.13319999999999999,0.5123048650325754,0.08117999999999997,0.19857077665268394,202.37513506880381,0.9643556363880634,0,0,101,0.0,0.0,0.5751368403434753
PU-C,mnist,0,0.0,0.0,200,200,1000,0,204,16,220,0.26514505001250654,0.08940000000000003,0.45592945943453306,0.014500000000000015,0.09098173332744292,312.45379237102173,1.8294366206973791,0,1,201,0.0,0.0,0.5699536800384521
PU-F,mnist,0,0.0,0.0,50,50,1000,0,54,205,259,0.306737604259979,0.21719999999999995,0.622187027523994,0.20831999999999995,0.35779730375938323,135.2321284100649,0.7542914533987641,0,0,51,0.0,0.0,0.6150806546211243
PU-F,mnist,0,0.0,0.0,100,100,1000,0,104,87,191,0.23385528626386076,0.13239999999999996,0.5224018738854497,0.08673999999999998,0.20628903087727019,203.99055401012035,1.3709085490554571,0,0,101,0.0,0.0,0.6154365539550781
PU-F,mnist,0,0.0,0.0,200,200,1000,0,204,3,207,0.2511599550489336,0.08499999999999996,0.40952917010803386,0.0028000000000000026,0.06261478929974292,308.1447191262872,2.3088770397007465,0,1,201,0.0,0.0,0.5820789337158203
PU-G,mnist,0,0.0,0.0,50,50,1000,0,54,331,385,0.43806466565001756,0.32199999999999995,0.7274140795005539,0.33113,0.4921370936202844,116.22521643967747,0.7971363617107272,0,0,51,0.0,0.0,0.6188115477561951
PU-G,mnist,0,0.0,0.0,100,100,1000,0,104,210,314,0.3645856832736172,0.21340000000000003,0.6601810130183015,0.20879,0.3583391496279943,181.41277286901234,1.4916037237271667,0,0,101,0.0,0.0,0.6093324422836304
PU-G,mnist,0,0.0,0.0,200,200,1000,0,204,90,294,0.3436507902224548,0.12529999999999997,0.5781740676080976,0.08853999999999995,0.2087654269558102,277.5267175890534,2.6275447718799114,0,1,201,0.0,0.0,0.5886416435241699
GREATS,mnist,0,0.0,0.0,50,50,1000,0,54,229,283,,0.2623,0.6409807223206131,0.20531999999999997,0.3543327435398914,161.41265231562087,0.5489599592983723,0,0,51,0.0,0.0,0.6303345561027527
GREATS,mnist,0,0.0,0.0,100,100,1000,0,104,79,183,,0.1371,0.5228676564761501,0.07616999999999996,0.1915208173507935,226.5105194724352,1.0541907139122486,0,0,101,0.0,0.0,0.6257414221763611
GREATS,mnist,0,0.0,0.0,200,200,1000,0,204,4,208,,0.0806,0.43146108421831475,0.004160000000000004,0.06663608361776403,330.7211658342797,1.9605557844042778,0,1,201,0.0,0.0,0.6007204651832581
MaxLoss,mnist,0,0.1,0.0,50,50,1000,0,54,320,374,0.4267620386672206,0.34930000000000005,0.7359090987844643,0.32293,0.48356278263413743,135.79422058814575,0.40031265933066607,0,0,51,0.2222222222222222,0.0,0.6227973103523254
MaxLoss,mnist,0,0.1,0.0,100,100,1000,0,104,335,439,0.49314167525153607,0.39370000000000005,0.8036073362297119,0.33318999999999993,0.4942832621648926,230.61548151140855,0.7853389717638493,0,0,101,0.28846153846153844,0.0,0.5958873629570007
MaxLoss,mnist,0,0.1,0.0,200,200,1000,0,204,151,355,0.40717061737086624,0.2542,0.6959153385775598,0.14823,0.28618231438940084,347.3151966787434,1.4716900400817394,0,1,201,0.2647058823529412,0.0,0.5995628833770752
PU-C,mnist,0,0.1,0.0,50,50,1000,0,54,389,443,0.4971950289909728,0.39949999999999997,0.7952527641626832,0.38111000000000006,0.5433512955955208,151.83127499060618,0.5053270980715752,0,0,51,0.2037037037037037,0.0,0.5917634963989258
PU-C,mnist,0,0.1,0.0,100,100,1000,0,104,252,356,0.4082039467175491,0.23140000000000005,0.7185627093833883,0.24933,0.40418749667921466,206.81067920646115,0.9949660878628492,0,0,101,0.17307692307692307,0.0,0.5867465734481812
PU-C,mnist,0,0.1,0.0,200,200,1000,0,204,133,337,0.388527957664337,0.15580000000000005,0.6517845806204845,0.13351,0.2678007057114877,298.4931220950843,1.886326133273542,0,1,201,0.15196078431372548,0.0,0.5727332830429077
PU-F,mnist,0,0.1,0.0,50,50,1000,0,54,332,386,0.43909075204283,0.3385,0.7420981509754699,0.33368000000000003,0.4947932973186872,131.6355657092915,0.822680177167058,0,0,51,0.2037037037037037,0.0,0.611297607421875
PU-F,mnist,0,0.1,0.0,100,100,1000,0,104,233,337,0.388527957664337,0.21719999999999995,0.6993934066074526,0.2346,0.3877238576122356,199.33610657994305,1.5315987495705485,0,0,101,0.23076923076923078,0.0,0.6116979122161865
PU-F,mnist,0,0.1,0.0,200,200,1000,0,204,125,329,0.3802158963517286,0.17520000000000002,0.6465857525396033,0.12638000000000002,0.2587511833348452,304.565813180295,2.711085334420204,0,1,201,0.2107843137254902,0.0,0.6109034419059753
PU-G,mnist,0,0.1,0.0,50,50,1000,0,54,454,508,0.5625620305654593,0.46530000000000005,0.8426213987221691,0.44799999999999995,0.6092636665155275,150.26396430251393,0.8381272740662098,0,0,51,0.25925925925925924,0.0,0.7145794630050659
PU-G,mnist,0,0.1,0.0,100,100,1000,0,104,378,482,0.5365279107354581,0.38139999999999996,0.829471945199507,0.37027,0.5323918237389608,228.12375502333055,1.6086432104930282,0,0,101,0.22115384615384615,0.0,0.6195408701896667
PU-G,mnist,0,0.1,0.0,200,200,1000,0,204,203,407,0.46058444341178983,0.20130000000000003,0.7291702104717601,0.20292999999999994,0.3515651805893977,302.15913152614064,2.9771529119461775,0,1,201,0.18627450980392157,0.0,0.610556960105896
GREATS,mnist,0,0.1,0.0,50,50,1000,0,54,350,404,,0.34450000000000003,0.7656397533188548,0.3450800000000001,0.506609886560888,150.5853153984768,0.5689447512850165,0,0,51,0.2962962962962963,0.0,0.638147234916687
GREATS,mnist,0,0.1,0.0,100,100,1000,0,104,280,384,,0.3319,0.7589396825723161,0.2695,0.4263994748831165,243.90807778189605,1.117248714901507,0,0,101,0.28846153846153844,0.0,0.6428577303886414
GREATS,mnist,0,0.1,0.0,200,200,1000,0,204,158,362,,0.24619999999999997,0.7131346903614593,0.15979000000000002,0.30035911184094954,356.55049570386194,2.115746509283781,0,1,201,0.28921568627450983,0.0,0.6265823245048523
MaxLoss,mnist,0,0.2,0.0,50,50,1000,0,54,446,500,0.5545675221947022,0.4518,0.8345194519289327,0.4468000000000001,0.608106491250919,137.89688635031277,0.3998626312240958,0,0,51,0.35185185185185186,0.0,0.6009992957115173
MaxLoss,mnist,0,0.2,0.0,100,100,1000,0,104,402,506,0.5605647375923581,0.45930000000000004,0.8569666584980279,0.40659,0.5688017733826572,235.19047626801287,0.7846104688942432,0,0,101,0.36538461538461536,0.0,0.591507077217102
MaxLoss,mnist,0,0.2,0.0,200,200,1000,0,204,297,501,0.5555676136864349,0.3618,0.8316703542280195,0.29429000000000005,0.4532101272157393,361.5608496570685,1.4714294150471687,0,1,201,0.37745098039215685,0.0,0.5944536924362183
