method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,0,0.0,0.0,50,50,1000,0,54,198,252,0.29930986335966736,0.2197,0.6014265193957979,0.19099,0.33763665741826465,134.0006070931267,0.9839922778774053,0,0,51,0.0,0.0,0.5725240707397461
MaxLoss,mnist,0,0.0,0.0,100,100,1000,0,104,105,209,0.25331574806477875,0.14859999999999995,0.5585936144230551,0.10181,0.22671673049973115,221.6294193563256,1.441206794930622,0,1,101,0.0,0.0,0.5824668407440186
Marginal,mnist,0,0.0,0.0,50,50,1000,0,54,229,283,0.33208865963388234,0.25049999999999994,0.619337068521226,0.23203999999999997,0.384840623287044,104.64181533995658,0.5157569551374763,0,0,51,0.0,0.0,0.5878324508666992
Marginal,mnist,0,0.0,0.0,100,100,1000,0,104,184,288,0.3373484928160906,0.20689999999999997,0.6138946437233048,0.18413000000000004,0.32955392748170537,157.46483124966795,1.0129412901587784,0,1,101,0.0,0.0,0.5840433835983276
PU-C,mnist,0,0.0,0.0,50,50,1000,0,54,167,221,0.26621818012790754,0.18330000000000002,0.5691607014923404,0.16606,0.30796105486581216,131.31627268944658,0.5775343840941787,0,0,51,0.0,0.0,0.5534394979476929
PU-C,mnist,0,0.0,0.0,100,100,1000,0,104,141,245,0.2918662169831805,0.18300000000000005,0.5961952373594404,0.13392000000000004,0.2683180638124941,213.1990209834855,1.1285413370933384,0,1,101,0.0,0.0,0.5765947103500366
PU-F,mnist,0,0.0,0.0,50,50,1000,0,54,238,292,0.34155116631882265,0.2369,0.6432248233776913,0.22331999999999996,0.37496899826261226,140.60021160671002,0.8981092849280685,0,0,51,0.0,0.0,0.6110237836837769
PU-F,mnist,0,0.0,0.0,100,100,1000,0,104,104,208,0.2522380481241271,0.1441,0.5483353325039608,0.10366999999999997,0.22919309627816337,204.56500364596124,1.6211563108954579,0,1,101,0.0,0.0,0.6045162677764893
MaxLoss,mnist,0,0.0,0.2,50,50,800,200,54,153,207,0.3118324932293035,0.23170000000000002,0.6001122964938449,0.18877499999999997,0.33503343299870825,106.91956805279384,0.4768488588742912,0,0,51,0.0,0.0,0.5654664635658264
MaxLoss,mnist,0,0.0,0.2,100,100,800,200,104,50,154,0.24038846680196002,0.11929999999999996,0.49888965520471235,0.06090000000000001,0.16938567336413252,182.02852290157546,0.9198403379414231,0,1,101,0.0,0.0,0.5797284841537476
Marginal,mnist,0,0.0,0.2,50,50,800,200,54,170,224,0.33440071780933067,0.22540000000000004,0.6163128381368601,0.21246250000000003,0.36256442346224843,97.58750089439583,0.52470738789998,0,0,51,0.0,0.0,0.583302915096283
Marginal,mnist,0,0.0,0.2,100,100,800,200,104,136,240,0.35550613701343536,0.18799999999999994,0.6170665631543618,0.17058750000000003,0.313414162101168,143.4553932312618,1.0115465209819376,0,1,101,0.0,0.0,0.5818571448326111
PU-C,mnist,0,0.0,0.2,50,50,800,200,54,126,180,0.2756573861115612,0.1753,0.5550419493301356,0.1527875,0.2917972660526692,105.82525880023135,0.5774349959101528,0,0,51,0.0,0.0,0.5793261528015137
PU-C,mnist,0,0.0,0.2,100,100,800,200,104,59,163,0.25264931470155716,0.12150000000000005,0.5104320943595474,0.07400000000000001,0.18843721433827762,170.54719855518155,1.1118563308846205,0,1,101,0.0,0.0,0.5852947235107422
PU-F,mnist,0,0.0,0.2,50,50,800,200,54,203,257,0.377795257314574,0.2904,0.6604698888743777,0.2292875,0.3817331267228602,121.64050270519708,0.7982772709801793,0,0,51,0.0,0.0,0.6010724306106567
PU-F,mnist,0,0.0,0.2,100,100,800,200,104,35,139,0.21981852682074532,0.11599999999999999,0.45684262528846953,0.04258750000000001,0.14115102390465503,174.80122292603238,1.4357915811706334,0,1,101,0.0,0.0,0.6028307676315308
MaxLoss,mnist,0,0.0,0.4,50,50,600,400,54,126,180,0.3636203389032744,0.2539,0.6669089462028678,0.19548333333333331,0.3428986924046588,123.76402852215229,0.4720547399483621,0,0,51,0.0,0.0,0.5681637525558472
MaxLoss,mnist,0,0.0,0.4,100,100,600,400,104,26,130,0.2741186819621362,0.12070000000000003,0.5284554761852276,0.03746666666666667,0.1328022800392072,199.7142044416454,0.9098498940002173,0,1,101,0.0,0.0,0.5805032253265381
Marginal,mnist,0,0.0,0.4,50,50,600,400,54,127,181,0.3653831365518272,0.24419999999999997,0.652324752110157,0.21416666666666673,0.36451995715845953,95.43341492944127,0.5152719388715923,0,0,51,0.0,0.0,0.6242094039916992
Marginal,mnist,0,0.0,0.4,100,100,600,400,104,92,196,0.39171031350269914,0.18989999999999996,0.6473984068994015,0.15576666666666666,0.2954493436161571,146.31731446299779,0.9851032989099622,0,1,101,0.0,0.0,0.5967220067977905
PU-C,mnist,0,0.0,0.4,50,50,600,400,54,94,148,0.30666646955069155,0.19410000000000005,0.6023270202770818,0.1533,0.2924265439015192,110.60095844111054,0.5582432500086725,0,0,51,0.0,0.0,0.5841352939605713
PU-C,mnist,0,0.0,0.4,100,100,600,400,104,39,143,0.297665253339801,0.13060000000000005,0.5518942405425703,0.06573333333333332,0.1765079193862244,172.69469191812377,1.0713884870056063,0,1,101,0.0,0.0,0.5965070128440857
PU-F,mnist,0,0.0,0.4,50,50,600,400,54,83,137,0.28682401828700677,0.17700000000000005,0.594159217469479,0.14101666666666668,0.277223203546159,116.241419065155,0.7402213090099394,0,0,51,0.0,0.0,0.6230684518814087
PU-F,mnist,0,0.0,0.4,100,100,600,400,104,41,145,0.3012692906195298,0.13480000000000003,0.575607427988129,0.0687,0.18082376272481987,190.3641580458218,1.317407086957246,0,1,101,0.0,0.0,0.6159331798553467
MaxLoss,mnist,0,0.0,0.6,50,50,400,600,54,45,99,0.32053921528859064,0.18579999999999997,0.607510425382831,0.111625,0.23968410067143447,104.88732805425312,0.4137540990486741,0,0,51,0.0,0.0,0.5883901119232178
MaxLoss,mnist,0,0.0,0.6,100,100,400,600,104,2,106,0.33955328253796324,0.12180000000000002,0.5133603236958667,0.005774999999999979,0.07101064595969969,177.03477168183852,0.7949439489748329,0,1,101,0.0,0.0,0.5900087356567383
Marginal,mnist,0,0.0,0.6,50,50,400,600,54,96,150,0.4560289928340353,0.2659,0.7351296441341073,0.240025,0.3938120880027517,95.39316431513797,0.45107284002006054,0,0,51,0.0,0.0,0.5950351357460022
Marginal,mnist,0,0.0,0.6,100,100,400,600,104,63,167,0.4997916935244575,0.2097,0.7210170610782498,0.15765,0.2977507740434319,146.9347896634082,0.8650983080733567,0,1,101,0.0,0.0,0.5902966856956482
PU-C,mnist,0,0.0,0.6,50,50,400,600,54,71,125,0.39045643992722034,0.238,0.6890020632946278,0.176375,0.320342346773468,107.36786651166348,0.49222421692684293,0,0,51,0.0,0.0,0.5889211893081665
PU-C,mnist,0,0.0,0.6,100,100,400,600,104,18,122,0.38248387264320627,0.15139999999999998,0.5982342804705529,0.04507500000000002,0.14512395872897196,168.94005324755477,0.948492222931236,0,1,101,0.0,0.0,0.5812690258026123
PU-F,mnist,0,0.0,0.6,50,50,400,600,54,58,112,0.35573573008878157,0.22409999999999997,0.6578263293315293,0.14337499999999997,0.2801622796557389,111.4426978674272,0.6035720021463931,0,0,51,0.0,0.0,0.6085666418075562
PU-F,mnist,0,0.0,0.6,100,100,400,600,104,12,116,0.36646756203845143,0.13370000000000004,0.5955316107303344,0.03387500000000001,0.12679173130289376,183.3132344044224,1.0888201689813286,0,1,101,0.0,0.0,0.5951572060585022
MaxLoss,mnist,0,0.0,0.8,50,50,200,800,54,13,67,0.44498383486643434,0.17390000000000005,0.6873777255582955,0.0628,0.17219942629922097,106.85110632644756,0.40578847914002836,0,0,51,0.0,0.0,0.5714829564094543
MaxLoss,mnist,0,0.0,0.8,100,69,200,800,73,0,73,0.47660708084004,0.139,0.6254060680909479,0.0017500000000000016,0.05917675001463113,138.6822572245123,0.5827445010654628,1,0,70,0.0,0.0,0.586894154548645
Marginal,mnist,0,0.0,0.8,50,50,200,800,54,29,83,0.5283054190222174,0.22150000000000003,0.7734596357545276,0.14515,0.2823679281893535,101.8897856835504,0.4372265690471977,0,0,51,0.0,0.0,0.6008265018463135
Marginal,mnist,0,0.0,0.8,100,100,200,800,104,6,110,0.6619772095000371,0.1835,0.7142054272290862,0.03450000000000003,0.12784774787445716,143.92764695754363,0.8378139010164887,0,1,101,0.0,0.0,0.6201687455177307
PU-C,mnist,0,0.0,0.8,50,50,200,800,54,16,70,0.4608539938926697,0.1815,0.7110950715820683,0.08399999999999995,0.20249875102774592,104.388946014418,0.4740515931043774,0,0,51,0.0,0.0,0.5788251757621765
PU-C,mnist,0,0.0,0.8,100,73,200,800,77,0,77,0.49743396998383105,0.14029999999999998,0.622862613083553,0.0006000000000000005,0.05476825670768254,140.37428009762715,0.7070620029699057,1,0,74,0.0,0.0,0.5786758661270142
PU-F,mnist,0,0.0,0.8,50,50,200,800,54,14,68,0.4502870920696296,0.18279999999999996,0.7009823056252259,0.06889999999999998,0.18111327270467345,109.27933859736116,0.5323799329344183,0,0,51,0.0,0.0,0.5676482915878296
PU-F,mnist,0,0.0,0.8,100,68,200,800,72,0,72,0.47136887366650626,0.16259999999999997,0.6243164113522895,0.002200000000000002,0.06069671029000496,137.16514354946543,0.7337313848547637,1,0,69,0.0,0.0,0.5809983611106873
MaxLoss,mnist,0,0.4,0.0,50,50,1000,0,54,465,519,0.5735312176402658,0.5461,0.8470927646815641,0.46817,0.6285786860275913,134.60324696704157,0.46328074601478875,0,0,51,0.42592592592592593,0.0,0.623698353767395
MaxLoss,mnist,0,0.4,0.0,100,100,1000,0,104,445,549,0.6033094049198553,0.5301,0.8768120367598435,0.44214,0.6036041867150685,230.3990080293631,0.9157364731654525,0,1,101,0.4423076923076923,0.0,0.6051124930381775
Marginal,mnist,0,0.4,0.0,50,50,1000,0,54,446,500,0.5545675221947022,0.3929,0.8138252239835662,0.44815999999999995,0.6094178880533859,105.63440519151834,0.5254093820694834,0,0,51,0.35185185185185186,0.0,0.605687141418457
Marginal,mnist,0,0.4,0.0,100,100,1000,0,104,428,532,0.5864599505439401,0.3648,0.8413386971544298,0.4278499999999999,0.5897120007365778,172.75003228291447,1.0425188750959933,0,1,101,0.375,0.0,0.5953189730644226
PU-C,mnist,0,0.4,0.0,50,50,1000,0,54,467,521,0.5755227152258158,0.5141,0.8550379587907772,0.47041999999999995,0.6307175549569813,145.89323361896285,0.5977367120794952,0,0,51,0.37037037037037035,0.0,0.6047993898391724
PU-C,mnist,0,0.4,0.0,100,100,1000,0,104,436,540,0.5943972351960838,0.48729999999999996,0.8596351435172885,0.43615999999999994,0.5978064418442088,198.73720237497471,1.2093104349914938,0,1,101,0.40384615384615385,0.0,0.5967316031455994
PU-F,mnist,0,0.4,0.0,50,50,1000,0,54,444,498,0.5525666727917269,0.4861,0.8357944607620206,0.44860999999999995,0.6098515497526903,137.93312662202675,1.0450793739873916,0,0,51,0.4444444444444444,0.0,0.6334792971611023
PU-F,mnist,0,0.4,0.0,100,100,1000,0,104,424,528,0.5824859116110019,0.4172,0.8564587650398807,0.4205500000000001,0.5825649586616546,213.6148053517378,2.077539674937725,0,1,101,0.4326923076923077,0.0,0.6281771659851074
MaxLoss,mnist,0,0.4,0.2,50,50,800,200,54,391,445,0.6162690467317589,0.5123,0.8757773394670983,0.491375,0.6504864846953007,127.10094566359624,0.4757150080986321,0,0,51,0.4074074074074074,0.0,0.60239577293396
MaxLoss,mnist,0,0.4,0.2,100,100,800,200,104,332,436,0.6051684963167645,0.4535,0.8788510766049492,0.4154625,0.5775637988032124,220.74899990089406,0.9183167610317469,0,1,101,0.4326923076923077,0.0,0.6044126749038696
Marginal,mnist,0,0.4,0.2,50,50,800,200,54,363,417,0.5816298377467319,0.4064,0.840815888969801,0.45295,0.6140274410362567,111.6910242511899,0.5344869438558817,0,0,51,0.3888888888888889,0.0,0.6062939763069153
Marginal,mnist,0,0.4,0.2,100,100,800,200,104,332,436,0.6051684963167645,0.35009999999999997,0.8519456154434378,0.41492499999999993,0.57703444471177,167.94577619420193,1.0342961559072137,0,1,101,0.38461538461538464,0.0,0.6074823141098022
PU-C,mnist,0,0.4,0.2,50,50,800,200,54,369,423,0.5890782835194841,0.4474,0.8503313437926401,0.45995,0.6207378528162932,118.43811450575801,0.5955650410614908,0,0,51,0.37037037037037035,0.0,0.5920150279998779
PU-C,mnist,0,0.4,0.2,100,100,800,200,104,325,429,0.5965127351228148,0.45730000000000004,0.8520741266638141,0.40802499999999997,0.57022237656663,176.09534352974794,1.1769904720131308,0,1,101,0.4423076923076923,0.0,0.565903902053833
PU-F,mnist,0,0.4,0.2,50,50,800,200,54,360,414,0.5779003826901317,0.5067999999999999,0.8595567269412125,0.45280000000000004,0.6138833103828619,139.69472591673878,0.9589130820240825,0,0,51,0.4444444444444444,0.0,0.6210924983024597
PU-F,mnist,0,0.4,0.2,100,100,800,200,104,317,421,0.5865970205632038,0.4476,0.8669855116093569,0.3980375,0.560307114117635,217.5001518655513,1.869469319935888,0,1,101,0.3942307692307692,0.0,0.6180440783500671
MaxLoss,mnist,0,0.4,0.4,50,50,600,400,54,244,298,0.5656302949646488,0.4021,0.8555319517133055,0.41426666666666667,0.5763858338521298,129.59665732634545,0.4706386420875788,0,0,51,0.37037037037037035,0.0,0.5985872745513916
MaxLoss,mnist,0,0.4,0.4,100,100,600,400,104,226,330,0.6184867243282497,0.4597,0.8875923044737934,0.37421666666666664,0.5363912564085617,224.79905635889605,0.9031364710535854,0,1,101,0.4326923076923077,0.0,0.5963426828384399
Marginal,mnist,0,0.4,0.4,50,50,600,400,54,292,346,0.6446090288227424,0.4716,0.891798642950886,0.4892999999999999,0.6485410810909581,117.245959360882,0.5213069678284228,0,0,51,0.5,0.0,0.6054242849349976
Marginal,mnist,0,0.4,0.4,100,100,600,400,104,252,356,0.6608291046577506,0.5157,0.8893377263563593,0.4248166666666668,0.5867463734116798,173.0412444911897,1.0036955787800252,0,1,101,0.4230769230769231,0.0,0.6048564910888672
PU-C,mnist,0,0.4,0.4,50,50,600,400,54,272,326,0.6119239485124126,0.5125,0.877282097848457,0.4525500000000001,0.6136430612453149,127.0222747936597,0.5731257929001004,0,0,51,0.48148148148148145,0.0,0.5728163719177246
PU-C,mnist,0,0.4,0.4,100,100,600,400,104,239,343,0.639726928784512,0.5586,0.8805975827958458,0.39644999999999997,0.5587250561377178,186.33554100472517,1.1246804709080607,0,1,101,0.47115384615384615,0.0,0.6020225882530212
PU-F,mnist,0,0.4,0.4,50,50,600,400,54,276,330,0.6184867243282497,0.40980000000000005,0.8877764062313422,0.4577166666666666,0.6186002452529928,138.6227526272582,0.8405883181840181,0,0,51,0.3888888888888889,0.0,0.636162281036377
PU-F,mnist,0,0.4,0.4,100,100,600,400,104,254,358,0.6640631252666935,0.4942,0.9140059631588039,0.42871666666666675,0.5905582421637185,221.35794338122383,1.6098936081398278,0,1,101,0.46153846153846156,0.0,0.6295451521873474
MaxLoss,mnist,0,0.4,0.6,50,50,400,600,54,157,211,0.6101635124068707,0.5025,0.881608067331535,0.38964999999999994,0.5519294740499192,128.10905115702192,0.41343147307634354,0,0,51,0.4444444444444444,0.0,0.5751224756240845
MaxLoss,mnist,0,0.4,0.6,100,100,400,600,104,102,206,0.597828465688508,0.4313,0.8638782511565788,0.25145,0.40653977180723844,219.91616166543633,0.7934884519781917,0,1,101,0.41346153846153844,0.0,0.5581955313682556
Marginal,mnist,0,0.4,0.6,50,50,400,600,54,160,214,0.6175388805568218,0.46509999999999996,0.8697880305407998,0.399375,0.561638738603708,107.54362332876721,0.4550277660600841,0,0,51,0.4074074074074074,0.0,0.6246034502983093
Marginal,mnist,0,0.4,0.6,100,100,400,600,104,133,237,0.6734325066790916,0.4415,0.8777687690734132,0.33242500000000014,0.49348662872443694,167.3126988118071,0.8754138790536672,0,1,101,0.4326923076923077,0.0,0.614140510559082
PU-C,mnist,0,0.4,0.6,50,50,400,600,54,179,233,0.6637959661893547,0.4992,0.9118944172001329,0.45010000000000006,0.6112865426434896,125.95101439837171,0.5024864389561117,0,0,51,0.4074074074074074,0.0,0.5717604756355286
PU-C,mnist,0,0.4,0.6,100,100,400,600,104,134,238,0.6758359855157323,0.45589999999999997,0.8955704579687865,0.3398999999999999,0.5012523126506465,188.53204457368903,0.9808343851473182,0,1,101,0.40384615384615385,0.0,0.5903620719909668
PU-F,mnist,0,0.4,0.6,50,50,400,600,54,167,221,0.6346727016498335,0.4397,0.9061987949413496,0.41969999999999996,0.5817305449375414,139.93403458616137,0.6808279191609472,0,0,51,0.42592592592592593,0.0,0.6326802968978882
PU-F,mnist,0,0.4,0.6,100,100,400,600,104,125,229,0.6541235587792471,0.42210000000000003,0.8948460824223256,0.309625,0.46954195852974856,215.21621586626662,1.2987844271119684,0,1,101,0.4326923076923077,0.0,0.6232012510299683
MaxLoss,mnist,0,0.4,0.8,50,50,200,800,54,66,120,0.7093004064518027,0.44930000000000003,0.9245247899792431,0.32985,0.49080196932420284,125.56142599882722,0.4054508919361979,0,0,51,0.42592592592592593,0.0,0.5898312330245972
MaxLoss,mnist,0,0.4,0.8,100,100,200,800,104,24,128,0.7462552581564523,0.4618,0.887501676461502,0.11895,0.24920992740306377,215.02834974864632,0.7768314050044864,0,1,101,0.4423076923076923,0.0,0.5912513136863708
Marginal,mnist,0,0.4,0.8,50,50,200,800,54,60,114,0.6810525807086378,0.48719999999999997,0.9007694422490343,0.29975,0.45904657603628995,114.89603740591281,0.43868974689394236,0,0,51,0.48148148148148145,0.0,0.6016809940338135
Marginal,mnist,0,0.4,0.8,100,100,200,800,104,35,139,0.7956410514889285,0.48419999999999996,0.8867556198624233,0.18220000000000006,0.3272689318233994,167.79590024595433,0.8422053749673069,0,1,101,0.4230769230769231,0.0,0.6006301045417786
PU-C,mnist,0,0.4,0.8,50,50,200,800,54,65,119,0.7046233985456638,0.41700000000000004,0.9245918886771791,0.32569999999999993,0.48646485643008097,127.85846561454647,0.4802988590672612,0,0,51,0.37037037037037035,0.0,0.5777983069419861
PU-C,mnist,0,0.4,0.8,100,100,200,800,104,38,142,0.8087973243673332,0.42800000000000005,0.9126348405640599,0.19144999999999995,0.33817650648095665,194.18471851305134,0.9302810879889876,0,1,101,0.40384615384615385,0.0,0.5927488803863525
PU-F,mnist,0,0.4,0.8,50,50,200,800,54,64,118,0.6999338999157771,0.5112,0.9336197230420747,0.3222499999999999,0.4828494760049879,141.96572986700068,0.5693646050058305,0,0,51,0.42592592592592593,0.0,0.6351675391197205
PU-F,mnist,0,0.4,0.8,100,100,200,800,104,26,130,0.7553617323865183,0.4103,0.9005191597569133,0.13095,0.26456304801921665,222.74135026169301,1.0758118291851133,0,1,101,0.41346153846153844,0.0,0.6394575238227844
MaxLoss,mnist,1,0.0,0.0,50,50,1000,0,54,226,280,0.3289292565896176,0.23829999999999996,0.6332124546349723,0.20518,0.35417081038694687,152.09720703001364,0.4597008959390223,0,0,51,0.0,0.0,0.594825029373169
MaxLoss,mnist,1,0.0,0.0,100,100,1000,0,104,127,231,0.2769294499303214,0.16690000000000005,0.5859857516560558,0.11985,0.2503719714420042,224.63403690580907,0.9085863449145108,0,1,101,0.0,0.0,0.5875771045684814
Marginal,mnist,1,0.0,0.0,50,50,1000,0,54,227,281,0.32998268492519855,0.23670000000000002,0.6258684460002988,0.22744999999999993,0.37965429334887013,116.40917571851024,0.5192830148153007,0,0,51,0.0,0.0,0.6065289378166199
Marginal,mnist,1,0.0,0.0,100,100,1000,0,104,176,280,0.3289292565896176,0.20840000000000003,0.612877182111614,0.17481000000000005,0.3184735087145047,169.48645837997938,1.0167345169465989,0,1,101,0.0,0.0,0.5874195098876953
PU-C,mnist,1,0.0,0.0,50,50,1000,0,54,190,244,0.29080151580274105,0.21209999999999996,0.5876049678088511,0.19154000000000004,0.33828209809834914,118.60809609857776,0.586919663939625,0,0,51,0.0,0.0,0.5672913789749146
PU-C,mnist,1,0.0,0.0,100,100,1000,0,104,164,268,0.3162648262223229,0.19430000000000003,0.6123242227484772,0.15952000000000002,0.30003041399067787,192.0547447279276,1.1526959701441228,0,1,101,0.0,0.0,0.5765015482902527
PU-F,mnist,1,0.0,0.0,50,50,1000,0,54,217,271,0.319435007753782,0.21919999999999995,0.6365330330740381,0.22045999999999996,0.37171387783857057,136.41680085854932,0.8859774980228394,0,0,51,0.0,0.0,0.6165003180503845
