dataset,method,noise_rate,pretrain_fraction,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
mnist,Marginal,0.0,0.0,100,3,100.0,0.0,104.0,0.0,181.0,2.5166114784235836,285.0,2.5166114784235836,0.33419161846783635,0.002648628133167297,0.20676666666666665,0.0009837569708915999,0.6151972485762983,0.0018349947901615546,0.18029000000000006,0.0028126381447554395,0.3249921044734727,0.003344928485167191,164.5059464517532,3.620057278747529,1.0155528103932738,0.0013077229240306854,0.0,0.0,1.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.5951327482859293,0.00945168361162974
mnist,Marginal,0.0,0.0,50,3,50.0,0.0,54.0,0.0,227.66666666666666,0.6666666666666666,281.6666666666667,0.6666666666666667,0.3306846764947598,0.0007019915695612631,0.23509999999999998,0.009387225362161066,0.6212031179160616,0.002348169061860622,0.2288066666666666,0.0016236207822162368,0.38118675921765394,0.0018348253596324638,110.11150259776291,3.422078462553193,0.5175639093698313,0.0010188330366834213,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.5978340109189352,0.005436608125095635
mnist,Marginal,0.0,0.2,100,3,100.0,0.0,104.0,0.0,133.33333333333334,7.623064417352848,237.33333333333334,7.623064417352848,0.3519688895321451,0.010042872578237287,0.19146666666666665,0.0059175820888076975,0.6156839043409897,0.00832769714987553,0.1662875,0.009210594556451472,0.30810893833675296,0.011165760910382239,147.57336653842617,3.2504942279960103,1.013130273980399,0.0025152622655872188,0.0,0.0,1.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.5873677730560303,0.00283501231435977
mnist,Marginal,0.0,0.2,50,3,50.0,0.0,54.0,0.0,175.33333333333334,7.965202096899014,229.33333333333334,7.965202096899014,0.3414184742529566,0.010504121118383343,0.23060000000000003,0.002740437921208936,0.6243664031208177,0.007380809372615706,0.21958750000000002,0.009331007894827508,0.37062628072925957,0.010601841477431043,97.9310285330619,2.769800883266751,0.5259356873575598,0.0013019506015833956,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.588099737962087,0.004064220974922126
mnist,Marginal,0.0,0.4,100,3,100.0,0.0,104.0,0.0,89.66666666666667,1.4529663145135578,193.66666666666666,1.452966314513558,0.3876268962631002,0.002543426764544399,0.18906666666666663,0.005644564740625387,0.6496143418601416,0.001190196262494114,0.15093333333333334,0.0026867128476869228,0.2895051389798518,0.0033070464423637417,153.78712516245074,4.12591127003365,0.9829628732986748,0.001073153268712648,0.0,0.0,1.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.5972118179003397,0.00411169256451176
mnist,Marginal,0.0,0.4,50,3,50.0,0.0,54.0,0.0,132.0,4.509249752822894,186.0,4.509249752822894,0.37416327562338364,0.00791558395229159,0.24023333333333333,0.013911905373136736,0.6684754854215439,0.013517158302628405,0.22241111111111111,0.009495819418025625,0.3738407199518206,0.010757641236197922,101.54943434800852,3.491378745880386,0.5130972805588195,0.0010873302122510553,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.6042698820432028,0.010505824365027774
mnist,Marginal,0.0,0.6,100,3,100.0,0.0,104.0,0.0,51.0,6.244997998398399,155.0,6.244997998398399,0.4688800220610574,0.016096428949123755,0.2033,0.010653324989567031,0.6776117317581107,0.02180205183367739,0.12793333333333334,0.015371953175977492,0.26026676733977067,0.019435420445732453,139.83778654489674,4.15219441704524,0.8622145963211855,0.001698690440223353,0.0,0.0,1.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.5893366932868958,0.0023982961535523647
mnist,Marginal,0.0,0.6,50,3,50.0,0.0,54.0,0.0,83.33333333333333,8.96908269804914,137.33333333333334,8.969082698049142,0.4227977169211954,0.023599190414543118,0.24523333333333333,0.012670481881566767,0.6960943122130082,0.02366392435514319,0.2076,0.0226164256312383,0.35635974053339003,0.026335483242232047,91.3548147944194,2.966244449690919,0.44940869432563585,0.0009924666315826414,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.5914339621861776,0.0033355922452907084
mnist,Marginal,0.0,0.8,100,3,98.66666666666667,1.3333333333333335,102.66666666666667,1.3333333333333335,2.0,2.0,104.66666666666667,2.9059326290271157,0.6361484076866569,0.014093378937462438,0.1755,0.004026578365477739,0.6662073878245351,0.02439122965677169,0.016616666666666682,0.009041862517080092,0.09299282614671615,0.01773254220294025,138.98662818706177,2.4736599386683773,0.8286742800070593,0.009343551494458957,0.6666666666666666,0.33333333333333337,0.3333333333333333,0.33333333333333337,99.66666666666667,1.3333333333333335,0.0,0.0,0.0,0.0,0.6042259335517883,0.008083328545863194
mnist,Marginal,0.0,0.8,50,3,50.0,0.0,54.0,0.0,30.0,0.5773502691896258,84.0,0.5773502691896258,0.533404519315809,0.002942822077951006,0.23063333333333333,0.008835031283350251,0.7809519842710791,0.004363005430394358,0.15063333333333334,0.003314153151426642,0.2891294302043083,0.004080672287216036,103.2473653594223,0.745575010917113,0.437045500613749,0.00011157662852011993,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.6071707208951315,0.008905728226603469
