dataset,method,noise_rate,pretrain_fraction,step,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
mnist,Marginal,0.0,0.0,0,3,4.0,0.0,484.3333333333333,8.089774066341064,488.3333333333333,8.089774066341064,0.5428688553705191,0.008113263248699883,0.47009999999999996,0.008172514912803797,0.7542162120356286,0.006436021253592159,0.47570666666666667,0.008188254460574078,0.6971337103915332,0.007264624136991194,0.8894640920911353,0.13010662212594706,0.06927916198037565,0.00036198457525173474,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6683302521705627,0.02322683588441503
mnist,Marginal,0.0,0.0,10,3,14.0,0.0,406.0,23.69247419188915,420.0,23.69247419188915,0.4737106256846649,0.024130485513158897,0.4102666666666666,0.023640384467638824,0.7708533295884809,0.02024556877948676,0.4025733333333333,0.023594760246951275,0.6295199760251958,0.022411344673566133,43.34555797974275,1.5951424884230065,0.20681413860681155,0.00048013536234054285,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.5741298794746399,0.0085304662780913
mnist,Marginal,0.0,0.0,100,3,104.0,0.0,180.66666666666666,3.2829526005987018,284.6666666666667,3.2829526005987018,0.3338396145263687,0.003453272523068988,0.19883333333333333,0.0016127960537870778,0.6916784056671711,0.0013541505809394555,0.18122000000000005,0.0027168363955159323,0.3943334535453143,0.003279746960323774,179.8829308745136,3.1241069103739916,1.4352415256047,0.002792712040178358,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.6004202564557394,0.007653042604790729
mnist,Marginal,0.0,0.0,110,3,114.0,0.0,174.66666666666666,1.3333333333333335,288.6666666666667,1.3333333333333333,0.33804874514074373,0.0014016575102383892,0.19533333333333333,0.002616825897490627,0.6923156971169587,0.003143449790336731,0.17516000000000007,0.0013404476864092817,0.3869824803724053,0.0016371974035509003,190.01303957287985,2.8739042029747264,1.5704969253080587,0.0029312236963825937,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.5997528632481893,0.006140439447465977
mnist,Marginal,0.0,0.0,120,3,124.0,0.0,166.33333333333334,3.1797973380564852,290.3333333333333,3.1797973380564857,0.33979771588929,0.0033403938395270044,0.19033333333333333,0.004359026394862854,0.6892418973528636,0.0024580595903351044,0.16626000000000005,0.003570042016559472,0.37602733098863134,0.004415254107880734,199.65502690983058,2.901889031606883,1.7057735649092745,0.003284041208876012,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.5953173240025839,0.0028532439922182734
mnist,Marginal,0.0,0.0,130,3,134.0,0.0,158.33333333333334,2.96273147243853,292.3333333333333,2.96273147243853,0.341898688095777,0.0031100962735420234,0.18436666666666668,0.005728971208787044,0.6865335228354793,0.0024945902616037336,0.15834000000000004,0.0031356232766921142,0.36617246525578806,0.003922484435225381,208.6420092326882,2.6471200218125324,1.8402354179415852,0.0036077785547881107,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.5920024116834005,0.004195197068823594
mnist,Marginal,0.0,0.0,140,3,144.0,0.0,152.0,3.0000000000000004,296.0,3.0000000000000004,0.34574675146723166,0.003145631169900298,0.1777,0.00626498204307085,0.6846748973368196,0.002665723025291034,0.1515466666666667,0.003067123154430632,0.3576124268517851,0.0038781982310741683,217.38162605028893,2.65468743380409,1.9745404655889918,0.0037568553093089096,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.5938988327980042,0.0037994004699646276
mnist,Marginal,0.0,0.0,150,3,154.0,0.0,141.0,3.6055512754639896,295.0,3.6055512754639896,0.34469651225178194,0.0037817539685557474,0.17243333333333336,0.0072847633988879805,0.6783120635600621,0.0038827983623791803,0.1413466666666667,0.003435817871256344,0.34456241192999765,0.004422841819577471,225.65623044754315,2.5929706750143917,2.1082403783220798,0.003762701488430043,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.5870154897371928,0.002666212942793713
mnist,Marginal,0.0,0.0,160,3,164.0,0.0,132.33333333333334,6.385748020222672,296.3333333333333,6.385748020222672,0.3460874568942624,0.006696143652510983,0.16796666666666668,0.0075741519510620905,0.6733406964235339,0.006246918225020233,0.13283333333333333,0.006132594158356745,0.33342199904448694,0.008022959337888255,233.6982554883933,2.252433888516992,2.2423865605766573,0.0038303797102433833,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.587000290552775,0.003857822630446515
mnist,Marginal,0.0,0.0,170,3,174.0,0.0,129.0,3.7859388972001824,303.0,3.7859388972001824,0.3530812018046466,0.003963164799390269,0.16543333333333332,0.004884101191052926,0.6738930170394942,0.003514205507787844,0.12892,0.003760478692932598,0.3283288075975311,0.004964021690133541,241.76979540765078,2.2050748860826626,2.3771395878866315,0.004163239745655797,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.5899219115575155,0.007858650204915522
