method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,0,0.0,0.0,1000,0,172,0,172,0.21316163567826152,0.09289999999999998,0.3897466853841044,0.0004900000000000004,0.054278416615901666,299.79381577038265,3.7801148276776075,1,169,0.0,0.0,0.5924471616744995
PU-C,mnist,0,0.0,0.0,1000,0,215,0,215,0.2597738011390902,0.0867,0.40789073475365595,0.0007500000000000007,0.05540824684189899,323.07327056580544,1.768944668583572,1,212,0.0,0.0,0.5721450448036194
PU-F,mnist,0,0.0,0.0,1000,0,205,0,205,0.2490025814040564,0.07799999999999996,0.3953762923248768,0.00048000000000000045,0.05423287262217186,307.89104607707424,2.1712945252656937,1,202,0.0,0.0,0.5770734548568726
PU-G,mnist,0,0.0,0.0,1000,0,300,5,305,0.35517862695269287,0.08460000000000001,0.4526775246025302,0.004530000000000004,0.06767061974503735,360.4940482409243,3.3245858876034617,0,297,0.0,0.0,0.5929921865463257
GREATS,mnist,0,0.0,0.0,1000,0,209,0,209,,0.08320000000000005,0.4160079680289867,0.0007500000000000007,0.05540824684189899,335.0204481156309,1.8273650836199522,1,206,0.0,0.0,0.6089640855789185
MaxLoss,mnist,0,0.1,0.0,1000,0,300,19,319,0.3698023773613386,0.1724,0.541016757880121,0.017070000000000016,0.0962020864452417,438.7659567738102,1.8797077117487788,0,297,0.25666666666666665,0.0,0.581211268901825
PU-C,mnist,0,0.1,0.0,1000,0,300,57,357,0.4092370291473344,0.11580000000000001,0.5921159396309611,0.05755000000000005,0.1643778252001767,381.14752787308186,2.5062185991555452,0,297,0.16666666666666666,0.0,0.5750700235366821
PU-F,mnist,0,0.1,0.0,1000,0,300,63,363,0.41543036128859967,0.15569999999999995,0.5993847029640327,0.06087000000000004,0.1693410954780727,384.18647264621075,3.5393870370462537,0,297,0.22333333333333333,0.0,0.6032310724258423
PU-G,mnist,0,0.1,0.0,1000,0,300,128,428,0.481976366834715,0.16159999999999997,0.6866488491746134,0.12812,0.26096895628107164,374.1336461479245,4.004354613833129,0,297,0.14666666666666667,0.0,0.6120068430900574
GREATS,mnist,0,0.1,0.0,1000,0,300,44,344,,0.1673,0.6085884825677704,0.04554000000000004,0.14586113928186148,450.653641156143,2.777231295593083,0,297,0.25333333333333335,0.0,0.6069686412811279
MaxLoss,mnist,0,0.2,0.0,1000,0,300,162,462,0.5163995292969048,0.2995,0.7665267345403776,0.16535000000000002,0.307103185950591,465.3401711511527,1.8828979264944792,0,297,0.38666666666666666,0.0,0.5776187777519226
PU-C,mnist,0,0.2,0.0,1000,0,300,231,531,0.5854667774983682,0.2943,0.7886957791537232,0.23235000000000003,0.3851901190212092,373.0821916622554,2.627012557350099,0,297,0.26,0.0,0.571415901184082
PU-F,mnist,0,0.2,0.0,1000,0,300,178,478,0.5325093429419212,0.24519999999999997,0.7498614386312868,0.17936,0.3238975669255823,392.8698018497215,4.359728245995939,0,297,0.29,0.0,0.6011210680007935
PU-G,mnist,0,0.2,0.0,1000,0,300,280,580,0.6338651222758926,0.3063,0.8223806114342224,0.2803500000000001,0.4381979467120087,363.5594433886401,4.690542086027563,0,297,0.23,0.0,0.5834727883338928
GREATS,mnist,0,0.2,0.0,1000,0,300,176,476,,0.32420000000000004,0.7762522987370091,0.17964000000000002,0.32423043506219934,456.3903416338034,2.940420859493315,0,297,0.3466666666666667,0.0,0.6082318425178528
MaxLoss,mnist,0,0.3,0.0,1000,0,300,240,540,0.5943972351960838,0.39370000000000005,0.8232168720728452,0.23930999999999997,0.3930113493829205,450.68829988420356,1.8861487414687872,0,297,0.43333333333333335,0.0,0.596122682094574
PU-C,mnist,0,0.3,0.0,1000,0,300,268,568,0.6220633834600449,0.30169999999999997,0.8087732713699823,0.26924999999999993,0.42612641286037917,350.104197168513,2.667318044230342,0,297,0.35333333333333333,0.0,0.5783019661903381
PU-F,mnist,0,0.3,0.0,1000,0,300,258,558,0.6122031709528528,0.3722,0.8176867613722075,0.26058,0.4166221919141043,390.1042328119987,4.585674566216767,0,297,0.38666666666666666,0.0,0.6115700006484985
PU-G,mnist,0,0.3,0.0,1000,0,300,294,594,0.6475911899469793,0.2934,0.8356359206953673,0.29463000000000006,0.45357427397626815,371.7803815099711,4.740859949961305,0,297,0.2966666666666667,0.0,0.5933970212936401
GREATS,mnist,0,0.3,0.0,1000,0,300,196,496,,0.36319999999999997,0.8021635607251476,0.19929999999999995,0.34734886218620076,480.7812938104097,2.9682295192033052,0,297,0.4066666666666667,0.0,0.6109941005706787
MaxLoss,mnist,0,0.4,0.0,1000,0,300,241,541,0.5953883813344873,0.4605,0.8266737176568193,0.24403000000000002,0.3982880744116909,450.5493053884932,1.883730934932828,0,297,0.4666666666666667,0.0,0.5900264978408813
PU-C,mnist,0,0.4,0.0,1000,0,300,302,602,0.6554137567291036,0.3528,0.8363512520340582,0.30182000000000003,0.461253026939754,359.9377757358933,2.687948332168162,0,297,0.4066666666666667,0.0,0.5708535313606262
PU-F,mnist,0,0.4,0.0,1000,0,300,282,582,0.6358288149931468,0.385,0.8348963905585239,0.28141,0.43934518682332907,395.8497530767982,4.705167124979198,0,297,0.43333333333333335,0.0,0.6010076403617859
PU-G,mnist,0,0.4,0.0,1000,0,300,340,640,0.692357134190388,0.44220000000000004,0.8619956088479273,0.34039,0.5017599420767607,360.6228689302782,4.659507416188717,0,297,0.36333333333333334,0.0,0.5908973813056946
GREATS,mnist,0,0.4,0.0,1000,0,300,229,529,,0.4345,0.8234333641771864,0.22944000000000003,0.3819054987466168,473.5161577055924,3.01734996214509,0,297,0.44,0.0,0.605923593044281
MaxLoss,mnist,1,0.0,0.0,1000,0,178,0,178,0.2197143894736655,0.07730000000000004,0.4057286190013708,0.002100000000000002,0.060365716020465206,307.9858125837172,1.141756547614932,1,175,0.0,0.0,0.5896777510643005
PU-C,mnist,1,0.0,0.0,1000,0,243,0,243,0.289736479986459,0.07920000000000005,0.4003265507846777,0.0009000000000000008,0.05602222259309981,310.63018007034157,1.9462362164631486,1,240,0.0,0.0,0.5706768035888672
PU-F,mnist,1,0.0,0.0,1000,0,208,0,208,0.2522380481241271,0.07720000000000005,0.4170358864223228,0.0017900000000000017,0.059315228338465316,326.9188746834144,2.191453294828534,1,205,0.0,0.0,0.5962787866592407
