dataset,method,noise_rate,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
mnist,GREATS,0.0,3,218.0,6.244997998398399,0.0,0.0,218.0,6.244997998398399,,,0.08350000000000002,0.000568624070307732,0.4205055081233224,0.0027492266045040328,0.0003600000000000003,0.00021702534414210726,0.05351238065608419,0.001098200652085925,346.6029932819404,6.943139145928974,1.9011111330861847,0.04935529494740974,1.0,0.0,215.0,6.244997998398399,0.0,0.0,0.0,0.0,0.6061011950174967,0.0015852221057131948
mnist,GREATS,0.1,3,300.0,0.0,46.666666666666664,1.3333333333333333,346.6666666666667,1.3333333333333333,,,0.19086666666666666,0.0133179494584481,0.617721262539405,0.00457670870125146,0.0485566666666667,0.00152142842238616,0.15058720975869214,0.002383135603194781,458.19795108827475,3.9886484092476544,2.794049918651581,0.009610519180970918,0.0,0.0,297.0,0.0,0.2477777777777778,0.012813958438523109,0.0,0.0,0.6000338594118754,0.0034693650298398392
mnist,GREATS,0.2,3,300.0,0.0,173.33333333333334,3.1797973380564857,473.3333333333333,3.1797973380564857,,,0.33080000000000004,0.006750555532695085,0.7774958630032267,0.0032135929668835285,0.17513000000000004,0.003317694982966342,0.3188405691560558,0.003970073717086199,470.54028199326285,7.5138006938948045,2.921469465829432,0.01527483985863054,0.0,0.0,297.0,0.0,0.35333333333333333,0.010183501544346312,0.0,0.0,0.610770046710968,0.002707329497565232
mnist,GREATS,0.3,3,300.0,0.0,208.0,7.234178138070235,508.0,7.234178138070235,,,0.38663333333333333,0.013538874071026422,0.8071702235728604,0.0051294257808537445,0.20836999999999994,0.0065579646232653685,0.35780624873883465,0.007544197607886743,474.25997093716427,3.8504599327680005,2.959625730291009,0.0171116436174084,0.0,0.0,297.0,0.0,0.40111111111111114,0.0029397236789606577,0.0,0.0,0.6125655174255371,0.0013569511852346218
mnist,GREATS,0.4,3,300.0,0.0,245.66666666666666,8.81917103688197,545.6666666666666,8.819171036881968,,,0.4433,0.016086433207312716,0.8342973632962035,0.005884329365753685,0.24509000000000003,0.008986858924748585,0.3993920931673189,0.010019563012750211,472.06690993096737,2.7646842089337706,3.009229289057354,0.007705479412494596,0.0,0.0,297.0,0.0,0.43555555555555553,0.008012336167697757,0.0,0.0,0.608639637629191,0.005603391605724713
mnist,MaxLoss,0.0,3,174.0,2.0,0.0,0.0,174.0,2.0,0.21534588694339618,0.0021842512651346624,0.081,0.0060901559914340415,0.3934889706613675,0.006271879962756911,0.000990000000000001,0.0005559076661940668,0.05613689025953104,0.0021195699548263998,300.7083022184288,3.96414168835104,2.0091614285483956,0.885538169146145,1.0,0.0,171.0,2.0,0.0,0.0,0.0,0.0,0.5903815031051636,0.001050158849284795
mnist,MaxLoss,0.1,3,300.0,0.0,31.666666666666668,6.359594676112971,331.6666666666667,6.3595946761129705,0.3829779132308128,0.006614956012724014,0.19430000000000003,0.018232480175042934,0.578541348462913,0.018762329072548135,0.031046666666666695,0.007008709660922702,0.12122524919407784,0.012542536486287505,450.20790471957844,6.035815067378041,1.8784597829605143,0.001198021422767341,0.0,0.0,297.0,0.0,0.2688888888888889,0.01746248182833524,0.0,0.0,0.58201531569163,0.0013355437512830245
mnist,MaxLoss,0.2,3,300.0,0.0,173.66666666666666,9.279607271383371,473.6666666666667,9.279607271383371,0.5281327615957707,0.009327209747251807,0.3423,0.02235561077969765,0.7799776726406557,0.009307404490034582,0.17581333333333335,0.008753190529426623,0.3195680509008514,0.01040318781014994,476.21457601069375,5.48851405083678,1.882578347188731,0.0016574269732737652,0.0,0.0,297.0,0.0,0.3811111111111111,0.0029397236789606577,0.0,0.0,0.5792310833930969,0.0011421671625532874
mnist,MaxLoss,0.3,3,300.0,0.0,225.0,8.962886439832502,525.0,8.962886439832502,0.5794850416132249,0.008916227715164069,0.39306666666666673,0.0023024141919105556,0.8170553741832817,0.004527478071881569,0.2265366666666667,0.00757344116707267,0.3785596238712215,0.008587578396146859,461.3946997540079,5.368654000498959,1.8706066353867452,0.014512151061701112,0.0,0.0,297.0,0.0,0.42444444444444446,0.004843221048378525,0.0,0.0,0.5879174073537191,0.00559391336212362
mnist,MaxLoss,0.4,3,300.0,0.0,251.66666666666666,11.680943645290155,551.6666666666666,11.680943645290153,0.6059153483171636,0.011532435216315359,0.4576,0.012296747537458809,0.8393703035545945,0.008189803370910131,0.25416,0.012074669077591058,0.4094065842654145,0.013292508767836709,468.39074854122487,11.72493524089055,1.8693667597447832,0.012273856614278055,0.0,0.0,297.0,0.0,0.4588888888888889,0.007777777777777773,0.0,0.0,0.5872863531112671,0.001451889686783318
