method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,synthetic_redundancy_hard,0,0.0,0.0,50,50,3000,0,54,20,74,0.03462917119031772,0.011199999999999988,,,,,0.8393486250424758,0,0,51,0.0,0.037037037037037035,0.8361444473266602
MaxLoss,synthetic_redundancy_hard,0,0.0,0.0,100,65,3000,0,69,0,69,0.03264173452043906,0.011299999999999977,,,,,0.8892916250042617,1,0,66,0.0,0.028985507246376812,0.821907639503479
MaxLoss,synthetic_redundancy_hard,0,0.0,0.0,200,65,3000,0,69,0,69,0.03264173452043906,0.011299999999999977,,,,,0.8959967920091003,1,0,66,0.0,0.028985507246376812,0.821907639503479
PU-C,synthetic_redundancy_hard,0,0.0,0.0,50,50,3000,0,54,100,154,0.06540102750295773,0.04490000000000005,,,,,0.17268237500684336,0,0,51,0.0,0.0,0.85820472240448
PU-C,synthetic_redundancy_hard,0,0.0,0.0,100,100,3000,0,104,13,117,0.05135895928833634,0.02070000000000005,,,,,0.301699000003282,0,0,101,0.0,0.028846153846153848,0.8476250767707825
PU-C,synthetic_redundancy_hard,0,0.0,0.0,200,108,3000,0,112,0,112,0.04944029700709507,0.017800000000000038,,,,,0.3971188750001602,1,0,109,0.0,0.026785714285714284,0.8402699828147888
PU-F,synthetic_redundancy_hard,0,0.0,0.0,50,50,3000,0,54,33,87,0.03974871715763584,0.024399999999999977,,,,,0.3449295830214396,0,0,51,0.0,0.0,0.8562577366828918
PU-F,synthetic_redundancy_hard,0,0.0,0.0,100,98,3000,0,102,0,102,0.0455846541444771,0.015199999999999991,,,,,0.4934608329785988,1,0,99,0.0,0.049019607843137254,0.8635322451591492
PU-F,synthetic_redundancy_hard,0,0.0,0.0,200,98,3000,0,102,0,102,0.0455846541444771,0.015199999999999991,,,,,0.49712037498829886,1,0,99,0.0,0.049019607843137254,0.8635322451591492
PU-G,synthetic_redundancy_hard,0,0.0,0.0,50,50,3000,0,54,84,138,0.059359475679229945,0.03420000000000001,,,,,0.32817712501855567,0,0,51,0.0,0.037037037037037035,0.7719088196754456
PU-G,synthetic_redundancy_hard,0,0.0,0.0,100,100,3000,0,104,13,117,0.05135895928833634,0.016100000000000003,,,,,0.45466958300676197,0,0,101,0.0,0.07692307692307693,0.7522822618484497
PU-G,synthetic_redundancy_hard,0,0.0,0.0,200,124,3000,0,128,0,128,0.05556067515863106,0.012199999999999989,,,,,0.522322625038214,1,0,125,0.0,0.0703125,0.7428838610649109
GREATS,synthetic_redundancy_hard,0,0.0,0.0,50,50,3000,0,54,176,230,,0.038900000000000046,,,,,0.3319605410215445,0,0,51,0.0,0.12962962962962962,0.7036978006362915
GREATS,synthetic_redundancy_hard,0,0.0,0.0,100,100,3000,0,104,82,186,,0.023299999999999987,,,,,0.5253742079949006,0,0,101,0.0,0.14423076923076922,0.6857962012290955
