method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,synthetic_redundancy_hard,0,0.0,0.0,3000,0,69,0,69,0.03264173452043906,0.011299999999999977,,,,,0.7568525410024449,1,66,0.0,0.028985507246376812,0.821907639503479
PU-C,synthetic_redundancy_hard,0,0.0,0.0,3000,0,112,0,112,0.04944029700709507,0.017800000000000038,,,,,0.24226299999281764,1,109,0.0,0.026785714285714284,0.8402699828147888
PU-F,synthetic_redundancy_hard,0,0.0,0.0,3000,0,102,0,102,0.0455846541444771,0.015199999999999991,,,,,0.5133455420145765,1,99,0.0,0.049019607843137254,0.8635322451591492
PU-G,synthetic_redundancy_hard,0,0.0,0.0,3000,0,128,0,128,0.05556067515863106,0.012199999999999989,,,,,0.4391115420148708,1,125,0.0,0.0703125,0.7428838610649109
GREATS,synthetic_redundancy_hard,0,0.0,0.0,3000,0,125,0,125,,0.0043999999999999595,,,,,0.6261254999553785,1,122,0.0,0.152,0.6658801436424255
MaxLoss,synthetic_redundancy_hard,0,0.1,0.0,3000,0,217,0,217,0.08884938451228663,0.006000000000000005,,,,,0.4803764999960549,1,214,0.18433179723502305,0.2119815668202765,0.4699666500091553
PU-C,synthetic_redundancy_hard,0,0.1,0.0,3000,0,234,0,234,0.09510343405418098,0.009800000000000031,,,,,1.5072883329703473,1,231,0.15384615384615385,0.2264957264957265,0.5479567050933838
PU-F,synthetic_redundancy_hard,0,0.1,0.0,3000,0,218,0,218,0.08921801397809759,0.007299999999999973,,,,,2.4006840409711003,1,215,0.1651376146788991,0.26146788990825687,0.44260740280151367
PU-G,synthetic_redundancy_hard,0,0.1,0.0,3000,0,261,0,261,0.104985382524319,0.006099999999999994,,,,,2.127554250007961,1,258,0.1532567049808429,0.20306513409961685,0.8065060377120972
GREATS,synthetic_redundancy_hard,0,0.1,0.0,3000,0,275,0,275,,0.0047000000000000375,,,,,1.649407540971879,1,272,0.14545454545454545,0.2290909090909091,0.4531620740890503
MaxLoss,synthetic_redundancy_hard,0,0.2,0.0,3000,0,291,0,291,0.11590090347453952,0.008499999999999952,,,,,0.7737692919909023,1,288,0.26804123711340205,0.4536082474226804,0.5431416630744934
PU-C,synthetic_redundancy_hard,0,0.2,0.0,3000,0,306,0,306,0.1213360158726573,0.008499999999999952,,,,,2.204555333009921,1,303,0.2549019607843137,0.42483660130718953,0.34998950362205505
PU-F,synthetic_redundancy_hard,0,0.2,0.0,3000,0,353,0,353,0.13828020473010838,0.006700000000000039,,,,,3.9753438329789788,1,350,0.22096317280453256,0.37393767705382436,0.5557836294174194
PU-G,synthetic_redundancy_hard,0,0.2,0.0,3000,0,376,0,376,0.1465295035741292,0.010199999999999987,,,,,3.588760083017405,1,373,0.2127659574468085,0.38563829787234044,0.48725593090057373
GREATS,synthetic_redundancy_hard,0,0.2,0.0,3000,0,410,0,410,,0.008299999999999974,,,,,2.793358333001379,1,407,0.1951219512195122,0.3780487804878049,0.4240344762802124
MaxLoss,synthetic_redundancy_hard,0,0.3,0.0,3000,0,387,0,387,0.15046584833180532,0.012800000000000034,,,,,1.0373414999921806,1,384,0.31007751937984496,0.42377260981912146,0.4893822968006134
PU-C,synthetic_redundancy_hard,0,0.3,0.0,3000,0,401,0,401,0.15546777396230027,0.019399999999999973,,,,,2.758054166974034,1,398,0.29177057356608477,0.4164588528678304,0.43758875131607056
PU-F,synthetic_redundancy_hard,0,0.3,0.0,3000,0,441,0,441,0.16971294325776398,0.0121,,,,,5.124205457977951,1,438,0.2585034013605442,0.3832199546485261,0.707585334777832
PU-G,synthetic_redundancy_hard,0,0.3,0.0,3000,0,477,0,477,0.18248000246239826,0.012900000000000023,,,,,4.471752125013154,1,474,0.24528301886792453,0.4025157232704403,0.5779770612716675
GREATS,synthetic_redundancy_hard,0,0.3,0.0,3000,0,498,0,498,,0.01990000000000003,,,,,3.826259540976025,1,495,0.24096385542168675,0.40562248995983935,0.40446317195892334
MaxLoss,synthetic_redundancy_hard,0,0.4,0.0,3000,0,451,0,451,0.17326421377947554,0.023399999999999976,,,,,1.2437395000015385,1,448,0.3259423503325942,0.4789356984478936,0.5715302228927612
PU-C,synthetic_redundancy_hard,0,0.4,0.0,3000,0,430,0,430,0.16580204077763483,0.008299999999999974,,,,,3.2356910000089556,1,427,0.3558139534883721,0.5046511627906977,0.5351815819740295
PU-F,synthetic_redundancy_hard,0,0.4,0.0,3000,0,446,0,446,0.17148905905196443,0.025000000000000022,,,,,4.956686749996152,1,443,0.31614349775784756,0.452914798206278,0.6466699242591858
PU-G,synthetic_redundancy_hard,0,0.4,0.0,3000,0,495,0,495,0.18884600239107385,0.026699999999999946,,,,,5.881880250002723,1,492,0.2868686868686869,0.43636363636363634,0.6268119215965271
GREATS,synthetic_redundancy_hard,0,0.4,0.0,3000,0,496,0,496,,0.012599999999999945,,,,,5.127752500004135,1,493,0.28830645161290325,0.4415322580645161,0.361672967672348
