dataset,method,noise_rate,pretrain_fraction,step,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
cifar10,GREATS,0.0,0.0,0,3,10.0,0.0,1990.0,0.0,2000.0,0.0,,,0.8968333333333334,0.003722155886639431,0.9980903163111291,0.00010078238164960016,0.8962555555555555,0.0016505423725116865,0.9921346750477756,0.00036011850139437885,2.547129637606252,0.4075398417758087,4.510270851353805,0.0004132507288496319,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9397010207176208,0.007502876299894675
cifar10,GREATS,0.0,0.0,10,3,20.0,0.0,1980.0,0.0,2000.0,0.0,,,0.9,0.0,0.9992868807186986,0.00025482496452455887,0.8975777777777777,0.0009800006298813996,0.9924254863323995,0.0002096882495265592,15.81457124647173,3.697693511642421,11.428421331879994,0.0020207914710086827,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.9823448260625204,0.0026896187303520145
cifar10,GREATS,0.0,0.0,100,3,110.0,0.0,1876.0,7.549834435270751,1986.0,7.549834435270751,,,0.7771333333333333,0.004579786506426317,0.9862196451890783,0.001761126330152733,0.7941666666666666,0.005205792713677476,0.9575618517659746,0.0022888186228419236,31.632134691497285,2.3059774617950892,74.01169081560026,0.026847493845355636,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.7157250841458639,0.00404155400715506
cifar10,GREATS,0.0,0.0,110,3,120.0,0.0,1867.6666666666667,1.763834207376394,1987.6666666666667,1.763834207376394,,,0.7794666666666666,0.0012719189352226015,0.9844870332202937,0.002318921723992544,0.7886555555555553,0.008763594377865324,0.9550357618422233,0.003862093649356089,30.28550209463401,1.1316339687805599,81.03777195699513,0.03208584647150873,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.7145552635192871,0.0034718971162813446
cifar10,GREATS,0.0,0.0,120,3,130.0,0.0,1693.0,6.027713773341709,1823.0,6.027713773341709,,,0.9013666666666666,0.0013666666666666643,0.9999997561724884,2.431602252004387e-07,0.898011111111111,0.0006295452013109897,0.992519692501585,0.00013458292612302176,185.05813707350407,32.77209582876767,88.0692871240899,0.035761785271373074,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.974831759929657,0.01862115433014228
cifar10,GREATS,0.0,0.0,130,3,140.0,0.0,1798.0,23.811761799581316,1938.0,23.811761799581316,,,0.8674,0.006351640208114218,0.994137164917814,0.0005744770510996883,0.8244555555555554,0.0032587536434413146,0.9700818190008308,0.0012640971118342522,42.33691406839724,0.9137231708110767,95.06453363069643,0.03770282169043359,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.7501625021298727,0.016641942681884098
cifar10,GREATS,0.0,0.0,140,3,150.0,0.0,1781.6666666666667,13.691035185275235,1931.6666666666667,13.691035185275235,,,0.8101666666666666,0.010264718429866666,0.9771143404512949,0.0044557020155142485,0.7512666666666666,0.01609429102830261,0.9369427217566225,0.007938822488235053,42.150792340016544,3.18185786977858,102.11892545036972,0.04591015280805162,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.7392314473787943,0.01494040387479731
cifar10,GREATS,0.0,0.0,150,3,160.0,0.0,1739.6666666666667,10.744507640857465,1899.6666666666667,10.744507640857465,,,0.7780666666666667,0.0084924149163304,0.9719681759743569,0.0017441780574100417,0.7284888888888887,0.002755404341729162,0.9254421744850753,0.0014834517898710865,47.491847761272005,2.7953995052718725,109.17159940426548,0.052378532351721775,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.6820489565531412,0.005457345747243065
cifar10,GREATS,0.0,0.0,160,3,170.0,0.0,1719.6666666666667,13.544166435940031,1889.6666666666667,13.544166435940031,,,0.7633333333333333,0.003282444888256986,0.9668333410798396,0.002505641264077967,0.7114666666666666,0.0074397269464031865,0.916057291000496,0.004133967572264654,49.341934943214575,0.1888538892395486,116.2340065408498,0.05864241305255945,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.6672163804372152,0.0025783035953585195
cifar10,GREATS,0.0,0.0,170,3,180.0,0.0,1702.3333333333333,4.977728174356026,1882.3333333333333,4.977728174356026,,,0.7581333333333333,0.003365181190433073,0.9681495132498178,0.0009667905749165035,0.7117944444444443,0.00136572912738316,0.9163089205749929,0.0007614758919203813,53.08692186502514,1.8951151297915694,123.3049597023055,0.06320890084660818,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.6644373337427775,0.0030995475143285665
cifar10,GREATS,0.0,0.0,180,3,190.0,0.0,1687.0,8.544003745317532,1877.0,8.544003745317532,,,0.7466666666666667,0.0029734005971464843,0.9665695837618326,0.0013758398412401845,0.7068166666666668,0.0033259501566386155,0.913502169941044,0.0018727484311539945,53.515559145304444,0.8493778805121451,130.38565515354276,0.07048459505018682,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.6606636643409729,0.005206371910808235
cifar10,GREATS,0.0,0.0,190,3,200.0,0.0,1684.3333333333333,12.346839451634757,1884.3333333333333,12.346839451634757,,,0.7572333333333333,0.004549847372287469,0.9646659858367806,0.0023015909585953607,0.70025,0.006552042373127559,0.9097280139826028,0.0037798039873377185,54.926184259828,1.154895245620272,137.48204482657215,0.07976963266860482,0.0,0.0,0.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.6591760516166687,0.005970841199199719
cifar10,GREATS,0.0,0.0,20,3,30.0,0.0,1970.0,0.0,2000.0,0.0,,,0.8912,0.008800000000000032,0.9993551639750478,0.0003329076184626456,0.8916444444444444,0.0018221205933719004,0.9910979728046154,0.0004245649366906246,26.555423579931006,6.596604788158946,18.344628166407347,0.0033163036951962023,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.950357457002004,0.008140382147344563
cifar10,GREATS,0.0,0.0,200,3,210.0,0.0,1675.0,17.039170558842745,1885.0,17.039170558842745,,,0.7611333333333333,0.004479707331710152,0.9618763879083887,0.002222082394194491,0.6901055555555554,0.006272347700742731,0.9038583520274219,0.003684606903490428,57.63246300481387,0.6808677815777225,144.5934307311351,0.08737116654720058,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.6584089795748392,0.005147568753114923
cifar10,GREATS,0.0,0.0,210,3,220.0,0.0,1648.0,21.031722072463143,1868.0,21.031722072463143,,,0.7593333333333332,0.003002406442246683,0.9609212672992342,0.0023771101718697792,0.6855833333333333,0.007150161873329527,0.9011854325437064,0.004254574764149801,59.88926668123788,1.4346135490859766,151.71007815096527,0.09585784834204089,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.6601542433102926,0.004934936822278582
cifar10,GREATS,0.0,0.0,220,3,230.0,0.0,1630.3333333333333,5.92546294487706,1860.3333333333333,5.92546294487706,,,0.7466333333333334,0.0024995555160423487,0.9583021778535322,0.0032280404841832843,0.6761,0.007593058477124755,0.8955224652432648,0.004598889341454577,62.95859629651833,0.9934394845495165,158.8272335352376,0.10516008719890102,0.0,0.0,0.0,0.0,221.0,0.0,0.0,0.0,0.0,0.0,0.6582216223080953,0.0050206699932013685
cifar10,GREATS,0.0,0.0,230,3,240.0,0.0,1616.6666666666667,1.2018504251546633,1856.6666666666667,1.2018504251546633,,,0.7463333333333333,0.006289232420927408,0.9554293028194564,0.00038935955157998496,0.6667111111111111,0.0006366385489233662,0.8898851656829424,0.0003900795252714465,64.86781425855825,1.0511776527080139,165.95504746492952,0.10952973134213198,0.0,0.0,0.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.6592231194178263,0.005720052437306677
cifar10,GREATS,0.0,0.0,240,3,250.0,0.0,1597.6666666666667,4.176654695380556,1847.6666666666667,4.176654695380556,,,0.7414999999999999,0.0031501322723551596,0.954616592620552,0.0016828484944748359,0.6636388888888888,0.003843529113898193,0.8879797580010923,0.0023617262378851245,66.13272175041304,0.5979028987830548,173.09535095250854,0.11353313259048305,0.0,0.0,1.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0.6562101642290751,0.0045677389218830725
cifar10,GREATS,0.0,0.0,30,3,40.0,0.0,1960.0,0.0,2000.0,0.0,,,0.8651666666666668,0.008809527670526828,0.9976504873293207,0.0002936972983691271,0.8656777777777779,0.0026606935418151028,0.9842108194592637,0.0007910999908402114,26.046888288372287,3.569641419409127,25.264429074712098,0.004370714751016422,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.8803775509198507,0.008168791261551475
cifar10,GREATS,0.0,0.0,40,3,50.0,0.0,1947.0,2.5166114784235836,1997.0,2.5166114784235836,,,0.8477666666666668,0.006560572468246266,0.9939862628839204,0.0005784886687303374,0.8433611111111111,0.0022971869539144024,0.9770154597639236,0.0007942241152655575,20.319087760965463,1.1826164441041624,32.184019044041634,0.005490043307098192,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.7959882815678915,0.011191636951916089
cifar10,GREATS,0.0,0.0,50,3,60.0,0.0,1933.0,2.5166114784235836,1993.0,2.5166114784235836,,,0.8137333333333334,0.010860376502579358,0.9906516816858231,0.0009765032312509425,0.8273666666666667,0.004121095233784995,0.9711816059447393,0.0015753678746024283,18.623693356573998,0.4590236071035496,39.11667207162827,0.006272772922525999,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.7383559346199036,0.005023238839400805
cifar10,GREATS,0.0,0.0,60,3,70.0,0.0,1917.6666666666667,3.3829638550307397,1987.6666666666667,3.3829638550307397,,,0.8048333333333333,0.006916726907368176,0.9888608906257096,0.0009417777342238291,0.8175333333333333,0.003538361202590799,0.9673693695740182,0.0014182085527216929,19.909913600632592,1.1430743350805632,46.068175646166004,0.008795456819339756,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.7267438371976217,0.004432551321370883
cifar10,GREATS,0.0,0.0,70,3,80.0,0.0,1906.3333333333333,5.2068331172711035,1986.3333333333333,5.2068331172711035,,,0.7909,0.011524900578023823,0.9863681268131458,0.0012239593577585415,0.8045611111111111,0.004741525904309119,0.962039166365603,0.002015960181821111,21.95342015591037,0.1647922211953197,53.02601171998928,0.01264036969310572,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.7185355623563131,0.003913458072948611
cifar10,GREATS,0.0,0.0,80,3,90.0,0.0,1898.6666666666667,3.3829638550307397,1988.6666666666667,3.3829638550307397,,,0.7930666666666667,0.013436930866500395,0.9879848089451418,0.0009276654210819933,0.8081666666666667,0.0038593441200593277,0.9635590429841429,0.0016043846131147221,24.906976987728687,1.5308262146821692,60.00250991806388,0.01767727373333926,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.7188764810562134,0.005141538530774656
