method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,cifar10,0,0.0,0.0,2000,0,250,1642,1892,0.9635630106786266,0.7501,0.9340817440756741,0.6747700000000001,0.8570291441737755,65.97056677657767,48.134721763432026,0,241,0.0,0.0,0.6766707897186279
PU-C,cifar10,0,0.0,0.0,2000,0,250,1405,1655,0.8576573238242418,0.696,0.9036560426478525,0.6231599999999999,0.8189381451300902,59.389977015496164,68.26609640195966,0,241,0.0,0.0,0.6469127535820007
PU-F,cifar10,0,0.0,0.0,2000,0,250,1533,1783,0.9161801059381105,0.8423,0.9710007517412027,0.7557699999999999,0.911315031666659,74.79665293426028,74.05975381657481,0,241,0.0,0.0,0.6887438297271729
PU-G,cifar10,0,0.0,0.0,2000,0,250,1404,1654,0.8571924588177353,0.7711,0.9462324856047342,0.7077199999999999,0.8799791820508422,57.1509505847178,72.57077435497195,0,241,0.0,0.0,0.6844161152839661
GREATS,cifar10,0,0.0,0.0,2000,0,250,1611,1861,,0.744,0.931712727274002,0.6620699999999999,0.8478910245252378,75.92871086576737,71.94606642611325,0,241,0.0,0.0,0.6603012084960938
MaxLoss,cifar10,0,0.1,0.0,2000,0,250,1697,1947,0.9854647581232712,0.7863,0.9524299983771533,0.7223400000000001,0.8897935984547907,56.27425844361815,40.589237975887954,0,241,0.244,0.0,0.6765718460083008
PU-C,cifar10,0,0.1,0.0,2000,0,250,1498,1748,0.9003998488769867,0.7395,0.925702116495187,0.6727200000000001,0.8555648177984049,49.35910410197746,69.60370051395148,0,241,0.132,0.0,0.649009108543396
PU-F,cifar10,0,0.1,0.0,2000,0,250,1484,1734,0.8940348804462701,0.802,0.957780290543736,0.7339600000000001,0.8974234791282374,57.445261947104655,74.02476501930505,0,241,0.168,0.0,0.6770500540733337
PU-G,cifar10,0,0.1,0.0,2000,0,250,1524,1774,0.912141734326724,0.8282,0.9690441334697611,0.7588799999999999,0.9132483331767512,62.631460057372934,73.35615418944508,0,241,0.192,0.0,0.6815873384475708
GREATS,cifar10,0,0.1,0.0,2000,0,250,1669,1919,,0.766,0.9465521961264022,0.7026400000000002,0.8765146412284683,64.21137676794443,71.90679044183344,0,241,0.204,0.0,0.6653732657432556
MaxLoss,cifar10,0,0.2,0.0,2000,0,250,1727,1977,0.9957548975944519,0.8160000000000001,0.9618487289591101,0.7433900000000001,0.903500125741674,58.170629640475646,40.580608658492565,0,241,0.372,0.0,0.6803760528564453
PU-C,cifar10,0,0.2,0.0,2000,0,250,1588,1838,0.9405040726996958,0.7684,0.9421622653271863,0.7021800000000001,0.8761995647997538,53.39004931822533,69.65207090228796,0,241,0.232,0.0,0.6615016460418701
PU-F,cifar10,0,0.2,0.0,2000,0,250,1571,1821,0.9330584011622705,0.8636,0.9752481352787465,0.77365,0.9222597347650449,67.05302495940973,74.92011215817183,0,241,0.22,0.0,0.6788894534111023
PU-G,cifar10,0,0.2,0.0,2000,0,250,1550,1800,0.9237674426403828,0.8215,0.9824090689639328,0.79386,0.9341101087081558,71.99911890121156,73.68211026769131,0,241,0.308,0.0,0.7204225659370422
GREATS,cifar10,0,0.2,0.0,2000,0,250,1678,1928,,0.7999,0.9592764607549503,0.72586,0.8921211347003558,72.8501117397106,72.34437853563577,0,241,0.372,0.0,0.6603142023086548
MaxLoss,cifar10,0,0.3,0.0,2000,0,250,1723,1973,0.9945257940562442,0.827,0.9640609259542197,0.75204,0.908980315219569,54.3616603669986,40.42367435153574,0,241,0.448,0.0,0.6787332892417908
PU-C,cifar10,0,0.3,0.0,2000,0,250,1586,1836,0.9396319657680579,0.7897000000000001,0.9596200680978815,0.7365,0.8990705589826379,59.87913085775141,69.55598748195916,0,241,0.352,0.0,0.652222752571106
PU-F,cifar10,0,0.3,0.0,2000,0,250,1572,1822,0.9334983605658635,0.8584,0.9869374322059344,0.8092400000000001,0.9427278790753547,75.04912480397095,74.18986051995307,0,241,0.404,0.0,0.6896544098854065
PU-G,cifar10,0,0.3,0.0,2000,0,250,1584,1834,0.9387587936362252,0.8495,0.9799627982925323,0.7852000000000001,0.9291027064684991,72.29788264054298,73.58660625852644,0,241,0.368,0.0,0.6926325559616089
GREATS,cifar10,0,0.3,0.0,2000,0,250,1705,1955,,0.8230999999999999,0.9653053173773156,0.7502000000000001,0.9078222468094298,60.82069802420117,72.24213267397135,0,241,0.412,0.0,0.6681451201438904
MaxLoss,cifar10,0,0.4,0.0,2000,0,250,1719,1969,0.993237801885698,0.829,0.967943957476007,0.7603700000000001,0.914170234758623,56.7149023142775,40.448133481666446,0,241,0.512,0.0,0.6837911605834961
PU-C,cifar10,0,0.4,0.0,2000,0,250,1653,1903,0.96811252029147,0.798,0.9562436270332455,0.74206,0.902649469954214,43.72591256350809,69.94657062739134,0,241,0.432,0.0,0.653825044631958
PU-F,cifar10,0,0.4,0.0,2000,0,250,1615,1865,0.9521628900547512,0.8782,0.9839973528115465,0.8002400000000001,0.9377287596728444,71.04886963178122,74.79010965768248,0,241,0.472,0.0,0.7034558057785034
PU-G,cifar10,0,0.4,0.0,2000,0,250,1590,1840,0.9413750959793106,0.8747,0.9805689824331036,0.78286,0.9277312803319658,79.23122574968775,74.50414957664907,0,241,0.488,0.0,0.664878785610199
GREATS,cifar10,0,0.4,0.0,2000,0,250,1710,1960,,0.8314,0.9684406898785806,0.75714,0.9121681831641778,62.74542832868036,72.24263300094754,0,241,0.492,0.0,0.6690681576728821
MaxLoss,cifar10,1,0.0,0.0,2000,0,250,1599,1849,0.9452807642519474,0.7274,0.9209923955165243,0.6500100000000001,0.8390689564589151,64.8034782665755,40.464092823676765,0,241,0.0,0.0,0.660247802734375
PU-C,cifar10,1,0.0,0.0,2000,0,250,1433,1683,0.8706320012570359,0.7038,0.9046897574042827,0.62281,0.8186713665737057,61.81980932094774,68.42430584225804,0,241,0.0,0.0,0.6515018939971924
PU-F,cifar10,1,0.0,0.0,2000,0,250,1454,1704,0.8803068572888151,0.7971,0.9592511643053656,0.7315200000000001,0.8958341747855572,65.13923822868061,72.49017610400915,0,241,0.0,0.0,0.6922647953033447
PU-G,cifar10,1,0.0,0.0,2000,0,250,1412,1662,0.8609085874632001,0.7756000000000001,0.9637279429994942,0.7428000000000001,0.9031230287017721,65.18060625187942,72.40345436800271,0,241,0.0,0.0,0.6966573596000671
