method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,0,0.0,0.0,1000,0,172,0,172,0.21316163567826152,0.09289999999999998,0.3897466853841044,0.0004900000000000004,0.054278416615901666,299.79381577038265,2.0189628647640347,1,169,0.0,0.0,0.5924471616744995
PU-C,mnist,0,0.0,0.0,1000,0,215,0,215,0.2597738011390902,0.0867,0.40789073475365595,0.0007500000000000007,0.05540824684189899,323.07327056580544,1.7329793442040682,1,212,0.0,0.0,0.5721450448036194
PU-F,mnist,0,0.0,0.0,1000,0,205,0,205,0.2490025814040564,0.07799999999999996,0.3953762923248768,0.00048000000000000045,0.05423287262217186,307.89104607707424,2.1372160241007805,1,202,0.0,0.0,0.5770734548568726
PU-G,mnist,0,0.0,0.0,1000,0,300,5,305,0.35517862695269287,0.08460000000000001,0.4526775246025302,0.004530000000000004,0.06767061974503735,360.4940482409243,3.267390491440892,0,297,0.0,0.0,0.5929921865463257
GREATS,mnist,0,0.0,0.0,1000,0,209,0,209,,0.08320000000000005,0.4160079680289867,0.0007500000000000007,0.05540824684189899,335.0204481156309,1.8138769511133432,1,206,0.0,0.0,0.6089640855789185
MaxLoss,mnist,0,0.0,0.2,800,200,155,0,155,0.2417536734137684,0.08740000000000003,0.39789613647538585,0.001062499999999984,0.05666340781816154,243.10109566201268,1.0023941583931446,1,152,0.0,0.0,0.5870480537414551
PU-C,mnist,0,0.0,0.2,800,200,189,0,189,0.2877634932519868,0.08040000000000003,0.4059211331663538,0.0002874999999999961,0.053314099877457784,258.9224627612029,1.4942143205553293,1,186,0.0,0.0,0.590978741645813
PU-F,mnist,0,0.0,0.2,800,200,160,0,160,0.2485687947482802,0.09360000000000002,0.39332510781589164,0.0007749999999999913,0.05551223365423147,240.11807667996584,1.5952273905277252,1,157,0.0,0.0,0.5857937335968018
PU-G,mnist,0,0.0,0.2,800,200,296,0,296,0.42843763128621504,0.0806,0.41722449504950443,0.00027499999999999416,0.053251062774480606,272.4279743151793,3.072138963267207,1,293,0.0,0.0,0.5909095406532288
GREATS,mnist,0,0.0,0.2,800,200,167,0,167,,0.08430000000000004,0.4158826129230867,0.0015249999999999919,0.05838372672854092,260.6035536061988,1.4385282574221492,1,164,0.0,0.0,0.6019794344902039
MaxLoss,mnist,0,0.0,0.4,600,400,125,0,125,0.2650039535947144,0.10960000000000003,0.4638036412880132,0.0027666666666666707,0.06251097924914235,231.85597714161838,0.8083626311272383,1,122,0.0,0.0,0.5786630511283875
PU-C,mnist,0,0.0,0.4,600,400,158,0,158,0.3245825417689048,0.09630000000000005,0.4454534799475026,0.0,0.051604029648496474,231.37445196558812,1.2174073187634349,1,155,0.0,0.0,0.585110604763031
PU-F,mnist,0,0.0,0.4,600,400,141,0,141,0.29405640705954283,0.09530000000000005,0.45510923466759834,0.0007333333333333303,0.055338525304373505,234.66980452950622,1.3281204029917717,1,138,0.0,0.0,0.5929685235023499
PU-G,mnist,0,0.0,0.4,600,400,244,0,244,0.4746122600045055,0.1048,0.46755323282836103,0.00026666666666666836,0.05320875300330303,250.35452767509292,2.283024142496288,1,241,0.0,0.0,0.595168948173523
GREATS,mnist,0,0.0,0.4,600,400,158,0,158,,0.09119999999999995,0.458986903600705,0.0,0.051604029648496474,244.50711460159476,1.3218304952606559,1,155,0.0,0.0,0.5984091758728027
MaxLoss,mnist,0,0.0,0.6,400,600,105,0,105,0.33684603532310575,0.11499999999999999,0.49474102090648747,0.0005499999999999916,0.054548018184402976,181.8134347031187,0.6346413213759661,1,102,0.0,0.0,0.5762990713119507
