dataset,method,noise_rate,pretrain_fraction,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
mnist,GREATS,0.0,0.0,100,3,100.0,0.0,104.0,0.0,94.0,7.76745346515403,198.0,7.76745346515403,,,0.15149999999999997,0.007223111056416973,0.5504709266127272,0.014025476563677879,0.08838999999999997,0.007979732660517734,0.20835688842069178,0.010919331735664705,238.61225053431292,9.410819169533633,1.037449096639951,0.003089081821855856,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.6270131667455038,0.0037385142078785114
mnist,GREATS,0.0,0.0,200,3,200.0,0.0,204.0,0.0,4.0,0.0,208.0,0.0,,,0.08290000000000002,0.001960442127004338,0.4356077733416777,0.002402047943315733,0.004453333333333338,0.0002983472994868752,0.06744469300064407,0.0008227829305704903,335.0124081261976,2.1492280478755545,1.9332515622178714,0.006218007854332521,0.0,0.0,1.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.6074589689572653,0.0036056379865678986
mnist,GREATS,0.0,0.0,50,3,50.0,0.0,54.0,0.0,221.33333333333334,16.333333333333336,275.3333333333333,16.333333333333336,,,0.24793333333333334,0.01609661800227338,0.6466599946173109,0.016591760682590842,0.21103999999999998,0.012524551888191442,0.3607549615748947,0.014353112514174302,161.40251751979517,4.0850832003043696,0.5380214309940735,0.0020951956666618076,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.6291367610295614,0.003531029770162961
mnist,GREATS,0.0,0.2,100,3,100.0,0.0,104.0,0.0,75.0,18.50225211517056,179.0,18.50225211517056,,,0.14429999999999998,0.01841312937371955,0.5507235926197418,0.034712038163925284,0.0828125,0.017747184342405787,0.1995918118151242,0.025432261289247932,202.36228202074724,7.552908940985763,1.0218401290476322,0.0022679588003127684,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.6280478636423746,0.005438148783448859
mnist,GREATS,0.0,0.2,200,3,178.0,2.5166114784235836,182.0,2.5166114784235836,0.0,0.0,182.0,2.5166114784235836,,,0.08406666666666666,0.0016271993663278723,0.42418268743718723,0.0019811513434793275,0.0012666666666666523,0.00014971036852684617,0.057424832249375946,0.00056301627389384,272.38511582594134,3.1161066224416993,1.7232115942363937,0.024218629649524526,1.0,0.0,0.0,0.0,179.0,2.5166114784235836,0.0,0.0,0.0,0.0,0.6005621353785197,0.005799720524833003
mnist,GREATS,0.0,0.2,50,3,50.0,0.0,54.0,0.0,158.0,14.153915830374764,212.0,14.153915830374764,,,0.2353333333333333,0.019033420898806157,0.6184856960187846,0.015032685239582736,0.18194583333333333,0.013700589884908044,0.32671050088454323,0.016378507762575167,132.0807643216502,2.3983933376596327,0.5351432816435894,0.0004769973310753881,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.6223182280858358,0.003459337476419272
mnist,GREATS,0.0,0.4,100,3,100.0,0.0,104.0,0.0,37.666666666666664,9.735387911006823,141.66666666666666,9.735387911006823,,,0.14536666666666667,0.021774322288216224,0.5700003828679344,0.02613512106446409,0.06097222222222224,0.013878528357960584,0.16853815506427627,0.020295646433384832,199.7506118613603,5.111219935490485,0.9892101918036739,0.005708825950336389,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.6175182461738586,0.0032378266566240143
mnist,GREATS,0.0,0.4,200,3,149.66666666666666,10.588253449512393,153.66666666666666,10.588253449512393,0.0,0.0,153.66666666666666,10.588253449512393,,,0.09759999999999998,0.0017897858344878487,0.46799523382405345,0.012814076213059033,0.000611111111111113,0.00039794999375658373,0.05455090751741767,0.0017647491741271,249.04749249643933,14.60281519354876,1.4437081053232153,0.07608395606405179,1.0,0.0,0.0,0.0,150.66666666666666,10.588253449512393,0.0,0.0,0.0,0.0,0.603333572546641,0.005447270831916792
mnist,GREATS,0.0,0.4,50,3,50.0,0.0,54.0,0.0,133.33333333333334,19.341952101872014,187.33333333333334,19.341952101872014,,,0.27093333333333336,0.017276316479826113,0.6888373374644338,0.03328680529051964,0.20881666666666665,0.023937797479052836,0.35768563331617464,0.02793936001660065,133.0848556939472,7.076618747889184,0.5180293393010894,0.0030333183813193517,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.6148383418718973,0.0059887945644160985
mnist,GREATS,0.0,0.6,100,3,100.0,0.0,104.0,0.0,6.0,1.5275252316519468,110.0,1.5275252316519468,,,0.1250666666666667,0.006148260820029614,0.5617273402666197,0.009065170262314019,0.014666666666666654,0.004135374160150986,0.09075088816061193,0.008457889762878082,192.46603793481123,1.6511637924415705,0.8700919474164645,0.005046724372521289,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.603708823521932,0.002107836193985899
mnist,GREATS,0.0,0.6,200,3,115.66666666666667,1.7638342073763937,119.66666666666667,1.7638342073763937,0.0,0.0,119.66666666666667,1.7638342073763937,,,0.12510000000000002,0.0031785741037977117,0.5386717659611265,0.005976838527486018,0.0017833333333333254,0.0008013443565520232,0.05895540463665566,0.002880933504369665,209.2097041502344,2.7599824228937155,1.0313737224787474,0.018724565292749018,1.0,0.0,0.0,0.0,116.66666666666667,1.7638342073763937,0.0,0.0,0.0,0.0,0.6014520525932312,0.0018597522930562666
mnist,GREATS,0.0,0.6,50,3,50.0,0.0,54.0,0.0,50.666666666666664,4.0551750201988135,104.66666666666667,4.0551750201988135,,,0.2054,0.003500476158086672,0.6577452245359092,0.010690083574480027,0.12986666666666666,0.00853598184810108,0.2630433052730213,0.010860437011792644,122.76767862459292,1.1115682118431363,0.45458732390155393,0.002700706800347786,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.6172074278195699,0.002644036298604554
mnist,GREATS,0.0,0.8,100,3,72.66666666666667,5.666666666666667,76.66666666666667,5.666666666666667,0.0,0.0,76.66666666666667,5.666666666666667,,,0.16423333333333334,0.012101560964511067,0.6556375154084183,0.019406636799355562,0.0022833333333333356,0.0013007476482563586,0.06023099436001361,0.004496206622558057,153.81498139907885,8.178869062299398,0.6446999758481979,0.03878780564448544,1.0,0.0,0.0,0.0,73.66666666666667,5.666666666666667,0.0,0.0,0.0,0.0,0.5940541625022888,0.004988336121605524
mnist,GREATS,0.0,0.8,200,3,72.66666666666667,5.666666666666667,76.66666666666667,5.666666666666667,0.0,0.0,76.66666666666667,5.666666666666667,,,0.16423333333333334,0.012101560964511067,0.6540749125863483,0.019050330789701794,0.0019166666666666683,0.0011263263785915314,0.05900708904908986,0.004133637995632654,153.80141909858355,8.190680925932227,0.6907760249450803,0.03882262108829352,1.0,0.0,0.0,0.0,73.66666666666667,5.666666666666667,0.0,0.0,0.0,0.0,0.5940541625022888,0.004988336121605524
