dataset,method,noise_rate,pretrain_fraction,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
mnist,GREATS,0.0,0.0,100,3,100.0,0.0,104.0,0.0,94.0,7.76745346515403,198.0,7.76745346515403,,,0.15149999999999997,0.007223111056416973,0.5504709266127272,0.014025476563677879,0.08838999999999997,0.007979732660517734,0.20835688842069178,0.010919331735664705,238.61225053431292,9.410819169533633,1.05802670866251,0.002036647292679681,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.6270131667455038,0.0037385142078785114
mnist,GREATS,0.0,0.0,200,3,200.0,0.0,204.0,0.0,4.0,0.0,208.0,0.0,,,0.08290000000000002,0.001960442127004338,0.4356077733416777,0.002402047943315733,0.004453333333333338,0.0002983472994868752,0.06744469300064407,0.0008227829305704903,335.0124081261976,2.1492280478755545,1.9702718282739322,0.005560208390973021,0.0,0.0,1.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.6074589689572653,0.0036056379865678986
mnist,GREATS,0.0,0.0,50,3,50.0,0.0,54.0,0.0,221.33333333333334,16.333333333333336,275.3333333333333,16.333333333333336,,,0.24793333333333334,0.01609661800227338,0.6466599946173109,0.016591760682590842,0.21103999999999998,0.012524551888191442,0.3607549615748947,0.014353112514174302,161.40251751979517,4.0850832003043696,0.5483385473489761,0.00040059306475853364,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.6291367610295614,0.003531029770162961
mnist,GREATS,0.1,0.0,100,3,100.0,0.0,104.0,0.0,292.3333333333333,15.43084933213694,396.3333333333333,15.43084933213694,,,0.33903333333333335,0.013972870539409961,0.7757051187427854,0.014659436594512344,0.28791666666666665,0.01298817966888014,0.44622774803073817,0.013934100750110772,247.31445609456873,9.15659633877011,1.117257997393608,0.0016263651122233522,0.0,0.0,0.0,0.0,101.0,0.0,0.30769230769230765,0.014687742612037964,0.0,0.0,0.6367674271265665,0.004232413606557306
mnist,GREATS,0.1,0.0,200,3,200.0,0.0,204.0,0.0,147.0,6.3508529610858835,351.0,6.3508529610858835,,,0.24493333333333334,0.004948175870403604,0.704739711476671,0.004268623837684391,0.14808666666666667,0.005986101495223008,0.2859454067892136,0.0073763246678523655,365.2758637345023,4.543882298504122,2.12070158837984,0.0038854365689875896,0.0,0.0,1.0,0.0,201.0,0.0,0.2843137254901961,0.012969369171885238,0.0,0.0,0.618069072564443,0.004360413679418913
mnist,GREATS,0.1,0.0,50,3,50.0,0.0,54.0,0.0,343.0,18.520259177452136,397.0,18.520259177452136,,,0.34109999999999996,0.01476290396003896,0.7620271346179356,0.015178518816928941,0.33771333333333337,0.018142893313299765,0.4987422697496207,0.01890208834425447,155.0252823968677,2.2338635119907195,0.5689680107558767,0.001105140875160281,0.0,0.0,0.0,0.0,51.0,0.0,0.2716049382716049,0.02469135802469136,0.0,0.0,0.637441098690033,0.0006039957568146262
mnist,GREATS,0.2,0.0,100,3,100.0,0.0,104.0,0.0,373.0,12.220201853215574,477.0,12.220201853215574,,,0.39143333333333336,0.03052083077360628,0.8373884880172128,0.008967882353609487,0.3722833333333333,0.010951391590924791,0.5343515224173041,0.011077103161123248,242.87321285099327,3.6174476784465233,1.1371982308725517,0.001591134534044694,0.0,0.0,0.0,0.0,101.0,0.0,0.375,0.014687742612037952,0.0,0.0,0.6332564552625021,0.00181817326944321
mnist,GREATS,0.2,0.0,200,3,200.0,0.0,204.0,0.0,280.6666666666667,9.905105305402419,484.6666666666667,9.905105305402419,,,0.3756333333333333,0.0130591389881229,0.8254533008065482,0.007034775237118226,0.2811766666666667,0.008327613370254682,0.43903386813939554,0.0090148090810797,370.65702136229396,5.4532880870696285,2.1970635065808892,0.005071535468824812,0.0,0.0,1.0,0.0,201.0,0.0,0.3545751633986928,0.011437908496732034,0.0,0.0,0.617213229338328,0.001913742182890557
mnist,GREATS,0.2,0.0,50,3,50.0,0.0,54.0,0.0,435.6666666666667,7.796010375684332,489.6666666666667,7.796010375684332,,,0.4324666666666667,0.006866666666666659,0.8331100703378351,0.005002944781409655,0.4328033333333334,0.00640733260500122,0.5945160306671889,0.006231985878918377,152.00012656009733,3.4053251428983238,0.5721034451077381,0.0011103621831715638,0.0,0.0,0.0,0.0,51.0,0.0,0.3703703703703704,0.01851851851851853,0.0,0.0,0.640729288260142,0.0071348433123669
mnist,GREATS,0.3,0.0,100,3,100.0,0.0,104.0,0.0,387.3333333333333,11.566234381931649,491.3333333333333,11.566234381931649,,,0.4157333333333333,0.008861401945767091,0.8473475018012001,0.009126605606914523,0.3843933333333333,0.012912237520189074,0.5465429541585759,0.012983074798101976,247.11086620375178,3.818834627221424,1.149482920455436,0.0020231611801297396,0.0,0.0,0.0,0.0,101.0,0.0,0.4038461538461538,0.00961538461538462,0.0,0.0,0.6397866209348043,0.001481812340385073
