method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,0,0.0,0.0,1000,0,170,0,170,0.2109735436970368,0.0958,0.39162331985659454,0.001120000000000001,0.05688511172001015,296.20980337220243,4.266616367036477,1,167,0.0,0.0,0.5928672552108765
Marginal,mnist,0,0.0,0.0,1000,0,300,46,346,0.3978594695799984,0.11150000000000004,0.525749002632907,0.04637000000000004,0.14717282102798532,305.57394868667694,2.5160344978794456,0,297,0.0,0.0,0.583328902721405
PU-C,mnist,0,0.0,0.0,1000,0,214,0,214,0.2586984192603268,0.07809999999999995,0.4016425429151237,0.00038000000000000035,0.05376653814222626,318.040574044102,2.0472888860385865,1,211,0.0,0.0,0.566336989402771
PU-F,mnist,0,0.0,0.0,1000,0,201,0,201,0.24468302680179477,0.08209999999999995,0.39844507280711,0.0005200000000000005,0.054413980662013924,311.8414093578038,2.511878414079547,1,198,0.0,0.0,0.5816748142242432
MaxLoss,mnist,0,0.0,0.2,800,200,155,0,155,0.2417536734137684,0.08689999999999998,0.3921642114837613,0.00016249999999999763,0.052656798738038475,244.3409858830461,1.182977912016213,1,152,0.0,0.0,0.5856584906578064
Marginal,mnist,0,0.0,0.2,800,200,300,6,306,0.4413182346033864,0.09989999999999999,0.4637318638389784,0.009137500000000028,0.07925577025052928,278.76503852062024,2.416008895030245,0,297,0.0,0.0,0.5816610455513
PU-C,mnist,0,0.0,0.2,800,200,185,0,185,0.28238911886001006,0.0816,0.4011473475926636,2.4999999999999466e-05,0.051810038003057786,256.363025179898,1.7224295400083065,1,182,0.0,0.0,0.5833615660667419
PU-F,mnist,0,0.0,0.2,800,200,163,0,163,0.25264931470155716,0.09179999999999999,0.406639511561305,0.002524999999999984,0.06174915515969154,243.4386350281358,1.916284626815468,1,160,0.0,0.0,0.5948680639266968
MaxLoss,mnist,0,0.0,0.4,600,400,126,0,126,0.26682960940524936,0.0978,0.44888439824848614,0.0005333333333333401,0.05447373588910682,230.05877559627356,0.9606919181533158,1,123,0.0,0.0,0.5810368061065674
Marginal,mnist,0,0.0,0.4,600,400,235,0,235,0.4592164378846064,0.10109999999999997,0.4732229898007413,0.001366666666666687,0.05780984384693883,248.5225209925689,1.8416717969812453,1,232,0.0,0.0,0.5898667573928833
