dataset,method,noise_rate,pretrain_fraction,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se
mnist,Marginal,0.0,0.0,3,300.0,0.0,36.333333333333336,4.910306620885412,336.3333333333333,4.910306620885412,0.38782975607318804,0.00509500176303484,0.1059,0.004021608301828199,0.5079725280154026,0.00897187494800105,0.0364566666666667,0.0050317536152363895,0.13087274282445863,0.008285358569875568,309.8384213275801,2.393749370450371,2.4889063040415444,0.014406184725807885,0.0,0.0,297.0,0.0
mnist,Marginal,0.0,0.2,3,298.3333333333333,1.6666666666666667,2.6666666666666665,1.7638342073763937,301.0,3.2145502536643185,0.4348788273637183,0.004141504606761901,0.09560000000000002,0.0030924639582917248,0.44710370661065185,0.008339742692184604,0.005545833333333326,0.0019354200304958432,0.06996015246978154,0.005101553830661607,276.0059304155629,5.049619012284584,2.4117533449704447,0.01428419397594121,0.3333333333333333,0.33333333333333337,295.3333333333333,1.6666666666666667
mnist,Marginal,0.0,0.4,3,239.0,3.511884584284246,0.0,0.0,239.0,3.511884584284246,0.4660571308922954,0.00600415054807907,0.09633333333333334,0.00451897235122223,0.4774569808938975,0.0043629527660074465,0.0021222222222222306,0.0006117168714889045,0.060311322677731156,0.0019878695652552148,248.7989756406796,1.3908023505969234,1.8674959396788229,0.026430679561987316,1.0,0.0,236.0,3.511884584284246
mnist,Marginal,0.0,0.6,3,189.0,9.29157324317757,0.0,0.0,189.0,9.29157324317757,0.5553088979601549,0.02327815339266117,0.12743333333333332,0.005942034817954038,0.5283225031964358,0.008008959500256704,0.0018166666666666314,0.0007974351244946222,0.05901503427245001,0.0030150067461827195,201.42372407427536,9.594856453488573,1.4106166846274089,0.06948762189827272,1.0,0.0,186.0,9.29157324317757
mnist,Marginal,0.0,0.8,3,105.66666666666667,4.807401700618653,0.0,0.0,105.66666666666667,4.807401700618653,0.6408246651020212,0.02318387839687968,0.16473333333333331,0.0100618641966144,0.6581470771779656,0.0003350717809027593,0.009533333333333343,0.0012437622137870439,0.0800718005850301,0.0029154982079538155,141.72579708377683,1.936624327522164,0.797943998593837,0.03261730537322262,1.0,0.0,102.66666666666667,4.807401700618653
mnist,Marginal,0.4,0.0,3,300.0,0.0,298.3333333333333,7.446102634562892,598.3333333333334,7.446102634562893,0.6518170647323132,0.0072848089177826566,0.3530666666666667,0.0191830075269176,0.8280990901493989,0.006642577605475863,0.29837,0.007259781906733395,0.45753106481502354,0.007767438449268511,344.874609489738,7.225620660099511,2.6044785604656986,0.019906939420955803,0.0,0.0,297.0,0.0
mnist,Marginal,0.4,0.2,3,300.0,0.0,214.33333333333334,5.23874454850057,514.3333333333334,5.238744548500571,0.7006651460542344,0.006305656158751956,0.36486666666666673,0.0041478240614139395,0.8313816391023363,0.005261560796026641,0.26914166666666667,0.005302025621820833,0.42598314502839835,0.0058025508092536,327.5012888188366,3.599834776383307,2.5130766606889665,0.007311285711239299,0.0,0.0,297.0,0.0
mnist,Marginal,0.4,0.4,3,300.0,0.0,130.33333333333334,1.8559214542766742,430.3333333333333,1.8559214542766742,0.7785901650592374,0.0028701045614520507,0.3888666666666667,0.031534443250374834,0.8427379659071761,0.0011732601056270461,0.21768333333333337,0.0028598918653476623,0.3685363178180357,0.0032638276762502394,336.56982707052697,2.457731887820088,2.3873788176570088,0.0014064693565170967,0.0,0.0,297.0,0.0
mnist,Marginal,0.4,0.6,3,300.0,0.0,25.0,3.511884584284246,325.0,3.511884584284246,0.8745464398913706,0.007466513365031672,0.3900666666666666,0.015171501061017147,0.800915665364459,0.012336018698531214,0.0636416666666667,0.008096814359844091,0.17312928984719136,0.01178012797745169,358.823053533197,6.105922402702201,2.2306133608799428,0.0029797518749871592,0.0,0.0,297.0,0.0
mnist,Marginal,0.4,0.8,3,166.0,7.023769168568492,0.0,0.0,166.0,7.023769168568492,0.9066276295731465,0.02761466249790539,0.4512666666666667,0.023256994169018868,0.796386503488714,0.01687487585396914,0.01055000000000001,0.0028785123472608825,0.08205665094505694,0.00637528095644065,233.69053644791595,13.039396752462466,1.219064816289271,0.04889936946863481,1.0,0.0,163.0,7.023769168568492
mnist,MaxLoss,0.0,0.0,3,176.33333333333334,3.48010216963685,0.0,0.0,176.33333333333334,3.48010216963685,0.2178901745355688,0.003799372804421274,0.07986666666666668,0.00812902891562768,0.3896213785600131,0.0019854773739832036,0.000406666666666667,0.0003578329840085241,0.05359549931525311,0.001656938732289477,301.3150508630372,3.205661978754365,2.322385454627996,0.9721648212221968,1.0,0.0,173.33333333333334,3.48010216963685
mnist,MaxLoss,0.0,0.2,3,158.33333333333334,2.0275875100994067,0.0,0.0,158.33333333333334,2.0275875100994067,0.2462961416458711,0.0027620850270311512,0.08886666666666669,0.0017704362299852771,0.3982287462822122,0.003065216026815798,0.0004083333333333287,0.00022130452874815712,0.053801506166915834,0.0010123344559149982,249.06513382764646,3.199608149685962,1.2068414077317964,0.014794534557378761,1.0,0.0,155.33333333333334,2.0275875100994067
mnist,MaxLoss,0.0,0.4,3,124.66666666666667,3.5276684147527875,0.0,0.0,124.66666666666667,3.5276684147527875,0.26437780348351225,0.006449258596924031,0.09676666666666667,0.0007965202096899229,0.44262794805696903,0.006292492671690749,0.001377777777777793,0.00047671069467734303,0.05770270986210715,0.0017864544169623661,219.2491729910765,8.234706257617026,0.9486022343238195,0.0229701181634332,1.0,0.0,121.66666666666667,3.5276684147527875
mnist,MaxLoss,0.0,0.6,3,100.0,3.0550504633038935,0.0,0.0,100.0,3.0550504633038935,0.32323590194573626,0.008309915359069355,0.12213333333333336,0.0013544166435939873,0.5002087010989307,0.0059134467665731515,0.0012333333333333165,0.0002829654474391612,0.057261285904070446,0.0010611220035809331,182.66520479250903,3.095944778535123,0.7164856093004346,0.0202807238905204,1.0,0.0,97.0,3.0550504633038935
mnist,MaxLoss,0.0,0.8,3,63.0,6.110100926607787,0.0,0.0,63.0,6.110100926607787,0.42310062466034043,0.03301875619716944,0.16563333333333333,0.014249717346124577,0.6101501691123515,0.012127013438713852,0.0027500000000000024,0.001047616341987849,0.06208082604446585,0.0034979794554757743,129.87303563561167,6.8652942260197864,0.4670497609768063,0.03838445287137852,1.0,0.0,60.0,6.110100926607787
