method,dataset,seed,noise_rate,pretrain_fraction,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,0,0.0,0.0,0,1000,0,4,458,462,0.5163995292969048,0.44389999999999996,0.7451397645755804,0.46285999999999994,0.6857177935501789,1.3795685638412991,0.5830925269983709,0,0,1,0.0,0.0,0.692300021648407
MaxLoss,mnist,0,0.0,0.0,10,1000,0,14,456,470,0.5244615492410958,0.4476,0.7935277925159138,0.45438,0.6780693448926595,28.87367199229796,0.7105549729894847,0,0,11,0.0,0.0,0.7237535119056702
MaxLoss,mnist,0,0.0,0.0,20,1000,0,24,435,459,0.5133725987398066,0.43510000000000004,0.8030958218696999,0.42896,0.6547773047634884,52.64193863825688,0.8372262069024146,0,0,21,0.0,0.0,0.6030408143997192
MaxLoss,mnist,0,0.0,0.0,30,1000,0,34,328,362,0.4143987518036738,0.3267,0.7568333096913104,0.3263399999999999,0.5549224037754116,89.3500251975392,0.9642964359372854,0,0,31,0.0,0.0,0.6057181358337402
MaxLoss,mnist,0,0.0,0.0,40,1000,0,44,261,305,0.35517862695269287,0.27049999999999996,0.7131536222287942,0.24946,0.47320600336248736,118.6259949903431,1.091485584853217,0,0,41,0.0,0.0,0.5742307305335999
MaxLoss,mnist,0,0.0,0.0,50,1000,0,54,243,297,0.34679810295347124,0.25070000000000003,0.7201659109039583,0.23399999999999999,0.45592635713301316,145.8215736780021,1.2204119488596916,0,0,51,0.0,0.0,0.5844973921775818
MaxLoss,mnist,0,0.0,0.0,60,1000,0,64,263,327,0.3781352913356386,0.2902,0.7636876959858365,0.26422,0.48941969899779403,168.0867197049354,1.3482549819163978,0,0,61,0.0,0.0,0.6193827986717224
MaxLoss,mnist,0,0.0,0.0,70,1000,0,74,110,184,0.22625036828685552,0.15839999999999999,0.6126099438115759,0.11318,0.30722449655226586,183.1620071526234,1.4761363950092345,0,0,71,0.0,0.0,0.5689271688461304
MaxLoss,mnist,0,0.0,0.0,80,1000,0,84,161,245,0.2918662169831805,0.18689999999999996,0.6784829119165795,0.15432000000000004,0.3611391026775774,203.43258665923915,1.6040267578791827,0,0,81,0.0,0.0,0.5928479433059692
MaxLoss,mnist,0,0.0,0.0,90,1000,0,94,210,304,0.3541320319636725,0.249,0.74189737258888,0.20406,0.4215223316478721,221.05406109112286,1.7323076368775219,0,0,91,0.0,0.0,0.6195644736289978
MaxLoss,mnist,0,0.0,0.0,100,1000,0,104,99,203,0.24684361089020967,0.14629999999999999,0.6245580471602405,0.09695999999999996,0.28463355023405035,230.01400355175008,1.8604272280354053,0,0,101,0.0,0.0,0.5762930512428284
