method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu,dynamic_redundancy_weight,variant,sweep_name,sweep_value,mu,global_redundancy_weight,residual_rank,gamma_value
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3500,1500,54,1380,1434,0.43965172476600856,0.3005,0.3005,,,,,3.3076319860992953,0,0,51,0.8333333333333334,0.8518518518518519,0.7213396430015564,0.7213396430015564,0.9968245625495911,0.10378456003261062,0.7169811320754716,0.6981132075471698,0.6981132075471698,0.9629629629629629,0.037037037037037035,0.8518518518518519,0.6051865766334205,0.14814814814814814,0.27828338008928966,0.0,1.360858309955355,mu=0,mu,0.0,0.0,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,100,100,3500,1500,104,1320,1424,0.43675637553678825,0.27849999999999997,0.2785,,,,,4.458753506070934,0,0,101,0.8557692307692307,0.8173076923076923,0.7294115424156189,0.7294115424156189,0.9952430725097656,0.07417110505613309,0.8058252427184466,0.8349514563106796,0.7961165048543689,0.9807692307692307,0.019230769230769232,0.8173076923076923,0.6859315226878925,0.18269230769230768,0.26205681834456235,0.0,1.368971590827719,mu=0,mu,0.0,0.0,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,200,200,3500,1500,204,1288,1492,0.4564241469488479,0.35324999999999995,0.35325,,,,,8.156721929088235,0,1,201,0.7696078431372549,0.8186274509803921,0.8005728125572205,0.8005728125572205,0.9929656982421875,0.05495202247732379,0.7832512315270936,0.9064039408866995,0.7783251231527094,0.9901960784313726,0.00980392156862745,0.8186274509803921,0.6830704823075845,0.18137254901960784,0.2240469438353439,0.0,1.3879765280823282,mu=0,mu,0.0,0.0,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3500,1500,54,1366,1420,0.4355979414540343,0.3005,0.3005,,,,,0.8449929530033842,0,0,51,0.7962962962962963,0.8518518518518519,0.71954745054245,0.71954745054245,0.996833324432373,0.11382817715968725,0.6792452830188679,0.660377358490566,0.660377358490566,0.9629629629629629,0.037037037037037035,0.8518518518518519,0.6051865766334205,0.14814814814814814,0.28690010346617306,0.33913748706672836,1.3565499482669134,mu=0.25,mu,0.25,0.25,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,100,100,3500,1500,104,1316,1420,0.4355979414540343,0.27749999999999997,0.2775,,,,,1.9980845849495381,0,0,101,0.8269230769230769,0.8076923076923077,0.7238834500312805,0.7238834500312805,0.9953526854515076,0.07949081034336275,0.7766990291262136,0.8058252427184466,0.7669902912621359,0.9807692307692307,0.019230769230769232,0.8076923076923077,0.7062740891876007,0.19230769230769232,0.26831957909278004,0.3414600526134025,1.36584021045361,mu=0.25,mu,0.25,0.25,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,200,200,3500,1500,204,1296,1500,0.4587348432978615,0.35,0.35,,,,,5.663553262013011,0,1,201,0.7647058823529411,0.8137254901960784,0.7986962795257568,0.7986962795257568,0.9936803579330444,0.0565233383272669,0.7684729064039408,0.896551724137931,0.7635467980295566,0.9901960784313726,0.00980392156862745,0.8137254901960784,0.6936126404300949,0.18627450980392157,0.22590480043654593,0.3467618999454318,1.387047599781727,mu=0.25,mu,0.25,0.25,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3500,1500,54,1366,1420,0.4355979414540343,0.30125,0.30125,,,,,0.8389594879699871,0,0,51,0.7962962962962963,0.8518518518518519,0.7142767310142517,0.7142767310142517,0.9968678951263428,0.1181980810075436,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.9629629629629629,0.037037037037037035,0.8518518518518519,0.6051865766334205,0.14814814814814814,0.29320026042157205,0.676699934894607,1.353399869789214,mu=0.5,mu,0.5,0.5,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,100,100,3500,1500,104,1319,1423,0.4364667828194797,0.275,0.275,,,,,1.9939838099526241,0,0,101,0.8365384615384616,0.8173076923076923,0.7277263402938843,0.7277263402938843,0.9953805208206177,0.0816418441753943,0.7475728155339806,0.8058252427184466,0.7475728155339806,0.9807692307692307,0.019230769230769232,0.8173076923076923,0.6859315226878925,0.18269230769230768,0.26791398334634325,0.6830215041634142,1.3660430083268285,mu=0.5,mu,0.5,0.5,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,200,200,3500,1500,204,1300,1504,0.459889943653252,0.349,0.349,,,,,5.65593233902473,0,1,201,0.7696078431372549,0.8137254901960784,0.7980581521987915,0.7980581521987915,0.9930664300918579,0.057871073631230244,0.7536945812807881,0.8866995073891626,0.7487684729064039,0.9901960784313726,0.00980392156862745,0.8137254901960784,0.6936126404300949,0.18627450980392157,0.2275630902159953,0.6931092274460011,1.3862184548920022,mu=0.5,mu,0.5,0.5,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3500,1500,54,1368,1422,0.4361771795665845,0.29874999999999996,0.29875,,,,,0.8427728000096977,0,0,51,0.7962962962962963,0.8703703703703703,0.7056053876876831,0.7056053876876831,0.996968150138855,0.1255852478855061,0.5849056603773585,0.6037735849056604,0.5849056603773585,0.9629629629629629,0.037037037037037035,0.8703703703703703,0.5564215672884281,0.12962962962962962,0.304048498579196,1.347975750710402,1.347975750710402,mu=1,mu,1.0,1.0,1.0,0,0.6931471805599453
