method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,budget,step,pool_index,sample_id,selected_order,initial_support,y_train,true_y,is_noisy,is_duplicate,group_id,projection,projection_source,projection_x,projection_y
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,1220,1766,0,1,0,0,0,0,1,pca,raw,7.267788420192959,-12.060465714553704
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,2798,4002,0,1,1,0,1,1,0,pca,raw,-18.48944984919164,0.23860105107331275
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,2854,4074,0,1,0,1,1,1,0,pca,raw,-25.155200214288172,-4.755439077261709
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3183,4543,0,1,1,0,1,0,1,pca,raw,-3.192296113190904,-8.321849870286712
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,706,1040,1,0,1,1,0,1,0,pca,raw,10.560893441348133,11.422199580262438
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,2287,3277,2,0,1,0,1,1,0,pca,raw,17.755225310412225,10.478408671979663
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3239,4610,3,0,1,1,0,1,0,pca,raw,16.6820501384031,7.23237362559405
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,2344,3369,4,0,1,1,0,1,0,pca,raw,16.686376256238596,7.255849494451545
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,520,753,5,0,1,1,0,1,0,pca,raw,17.39385546863846,13.270880381603362
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3399,4838,6,0,1,0,1,1,0,pca,raw,14.195505651884655,14.04707888821284
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3301,4692,7,0,1,0,1,1,0,pca,raw,13.14429227244055,14.164486933930464
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,2884,4117,8,0,1,0,1,1,0,pca,raw,14.289029273018745,14.362551053627623
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,804,1178,9,0,1,0,1,1,0,pca,raw,9.475872617938814,12.576477445190902
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,944,1365,10,0,1,1,0,1,0,pca,raw,17.31216789805994,11.67535530592593
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,844,1225,11,0,1,0,1,1,0,pca,raw,11.986482405167852,13.81961323356921
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3284,4667,12,0,1,0,1,1,0,pca,raw,11.21918555173594,14.617501120008319
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,1395,2015,13,0,1,1,0,1,0,pca,raw,17.048226180396675,11.302228008811602
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3388,4817,14,0,0,1,1,0,1,pca,raw,13.00843403274811,-12.784807424150184
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,476,689,15,0,1,0,1,1,0,pca,raw,12.055020608077125,11.707669563370727
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3293,4682,16,0,1,0,1,1,0,pca,raw,7.237211771534835,12.99791942890445
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,2396,3436,17,0,0,1,1,0,1,pca,raw,12.062486971417007,-12.490052190496728
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,414,600,18,0,0,1,1,0,1,pca,raw,17.808974224971255,-12.10002715582913
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,832,1209,19,0,1,0,1,1,0,pca,raw,10.691326933826867,13.54508643953069
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,1515,2190,20,0,1,0,1,1,0,pca,raw,13.516651787742061,12.678399675629393
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,2431,3486,21,0,1,0,1,1,0,pca,raw,13.407527353336068,12.993100003883004
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3149,4500,22,0,1,0,1,1,0,pca,raw,16.68688921658474,11.622055818912049
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,466,671,23,0,0,0,0,0,1,pca,raw,8.956848218453395,-14.197369197225473
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,2963,4240,24,0,0,1,1,0,1,pca,raw,18.828239897289677,-14.480536841310204
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,2973,4257,25,0,1,0,1,1,0,pca,raw,9.980629501986359,10.007777738913951
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3440,4913,26,0,1,0,1,1,0,pca,raw,12.746059546106236,11.756535122595519
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,2733,3920,27,0,1,0,1,1,0,pca,raw,9.169081765342717,12.271320566360293
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,2098,3025,28,0,0,1,1,0,1,pca,raw,17.047692176582498,-11.308561716681535
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,1842,2660,29,0,0,1,1,0,1,pca,raw,14.110035556004751,-10.256870775994846
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,2382,3417,30,0,1,0,1,1,0,pca,raw,11.936052705067278,13.323745500894645
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,2494,3583,31,0,0,1,1,0,1,pca,raw,13.863652739067135,-8.290491735578241
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,320,467,32,0,1,0,1,1,0,pca,raw,13.498747574796681,11.352407002722085
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,189,275,33,0,0,1,1,0,1,pca,raw,7.967653752243325,-12.070007352397306
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,122,176,34,0,0,1,1,0,1,pca,raw,9.070803756464235,-10.731372359566539
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,2949,4218,35,0,0,1,1,1,0,pca,raw,9.883716337880998,-8.728745928347106
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,338,491,36,0,0,0,0,0,1,pca,raw,12.631623920194123,-12.179261143428217
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,2603,3732,37,0,1,0,1,1,0,pca,raw,11.110352164842844,7.471209038113605
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3475,4967,38,0,1,0,1,1,0,pca,raw,6.414129867512367,10.597338817891899
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,608,878,39,0,0,1,1,1,0,pca,raw,-6.326864461295036,-7.5780221918508754
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3206,4572,40,0,1,0,1,1,0,pca,raw,7.679582193787893,9.97945281153417
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,489,709,41,0,0,0,0,0,1,pca,raw,13.160124622701451,-7.9558710043644805
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,756,1115,42,0,1,0,1,1,0,pca,raw,7.3792475881041035,10.456108038746063
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,307,450,43,0,0,1,1,1,0,pca,raw,5.105399076298773,-9.206713037893927
