method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,budget,step,pool_index,sample_id,selected_order,initial_support,y_train,true_y,is_noisy,is_duplicate,group_id,projection,projection_source,projection_x,projection_y
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,1153,1153,0,1,1,0,1,1,5011,pca,embedding,0.8929993970153112,-0.7851538694798373
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,2307,2307,0,1,1,1,0,0,2307,pca,embedding,0.7277313851342605,0.5582196008463425
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,2848,2848,0,1,0,1,1,1,5034,pca,embedding,-0.393971098046068,0.4893077959280767
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,4543,4543,0,1,0,0,0,1,5013,pca,embedding,-0.4822171167527335,0.23499579154180533
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,2568,2568,1,0,0,0,0,0,2568,pca,embedding,1.178066463990479,-0.35237891437869856
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,905,905,2,0,1,1,0,1,5032,pca,embedding,-0.026482430760021252,0.5206757877116667
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,366,366,3,0,0,0,0,1,5014,pca,embedding,0.6094692663789557,-0.8857080006630067
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,4422,4422,4,0,1,1,0,0,4422,pca,embedding,0.4238899196475657,-0.12259943058505997
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,2465,2465,5,0,0,0,0,0,2465,pca,embedding,0.9665449839847391,0.36611034695523087
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,163,163,6,0,1,0,1,1,5011,pca,embedding,0.5432674704401125,-0.5302769107061
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,2950,2950,7,0,0,0,0,0,2950,pca,embedding,0.9610190302907139,0.022843455875880447
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,1923,1923,8,0,1,1,0,0,1923,pca,embedding,0.781264615205505,0.13161579312946142
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,452,452,9,0,0,0,0,1,5022,pca,embedding,1.176228055621214,-0.04947752053331311
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,826,826,10,0,1,1,0,1,5049,pca,embedding,0.9097381588546877,0.5167366511969799
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,3469,3469,11,0,0,0,0,0,3469,pca,embedding,0.7513870710530969,-0.14310342525552625
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,4671,4671,12,0,1,1,0,0,4671,pca,embedding,0.8878695295638848,0.08691011691220125
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,4118,4118,13,0,0,0,0,1,5004,pca,embedding,0.6269438728333586,0.7539656483575822
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,4828,4828,14,0,1,1,0,1,5049,pca,embedding,1.0547772851688835,0.10684692394700401
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,2115,2115,15,0,0,0,0,0,2115,pca,embedding,0.9209654410188793,-0.4266598314189883
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,263,263,16,0,1,1,0,1,5052,pca,embedding,0.14317958129873007,0.39671924479626014
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,3052,3052,17,0,0,0,0,0,3052,pca,embedding,0.6818762006748431,0.6056548498652304
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,1827,1827,18,0,1,1,0,0,1827,pca,embedding,1.054792739475059,-0.5909348194257562
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,4555,4555,19,0,0,0,0,1,5009,pca,embedding,0.4182495389043073,-0.771356768620443
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,2639,2639,20,0,1,1,0,0,2639,pca,embedding,0.6471666793759883,-0.15963572378512217
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,721,721,21,0,0,0,0,0,721,pca,embedding,0.7603551794968297,-0.42916915814136064
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,978,978,22,0,1,1,0,1,5047,pca,embedding,0.5413277571059041,-0.6745157810539961
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,2074,2074,23,0,0,0,0,0,2074,pca,embedding,0.9145071752496188,-0.6193235570208256
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,561,561,24,0,1,1,0,1,5052,pca,embedding,0.10914625155416985,-0.30537753538901524
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,4980,4980,25,0,0,0,0,0,4980,pca,embedding,0.9468605553770088,0.3326754887976907
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,3988,3988,26,0,1,1,0,0,3988,pca,embedding,0.1191084261295491,0.44291519885238395
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,22,22,27,0,0,0,0,1,5015,pca,embedding,0.36309635343966606,0.1356549376983435
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,3059,3059,28,0,1,1,0,0,3059,pca,embedding,0.8493068954416059,-0.44823548321849266
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,231,231,29,0,0,0,0,1,5017,pca,embedding,0.5623923821775677,0.39259854104581515
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,895,895,30,0,0,0,0,0,895,pca,embedding,0.2743065687186738,-0.4893374374142896
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,2402,2402,31,0,1,1,0,0,2402,pca,embedding,-0.023350433031263607,-0.23198858341049083
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,162,162,32,0,1,0,1,1,5011,pca,embedding,0.7901097615757326,0.8180809241983882
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,4427,4427,33,0,1,1,0,1,5032,pca,embedding,0.013593336354832768,-0.6492356599143791
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,1232,1232,34,0,0,1,1,1,5048,pca,embedding,0.41767860616153984,-0.042638677409208486
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,323,323,35,0,0,0,0,1,5024,pca,embedding,0.4633799315911309,0.9149703131486038
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,2099,2099,36,0,1,1,0,0,2099,pca,embedding,0.2734416951219196,0.5875910307637833
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,1316,1316,37,0,1,1,0,0,1316,pca,embedding,0.7485696779082369,-0.6433861283331215
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,590,590,38,0,0,0,0,0,590,pca,embedding,0.14905179865076884,-0.3645483515492718
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,2610,2610,39,0,1,1,0,0,2610,pca,embedding,0.9107586295935813,0.36439893199305223
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,4553,4553,40,0,0,0,0,1,5004,pca,embedding,0.7235723198267562,-0.6281790730435929
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,2811,2811,41,0,0,0,0,0,2811,pca,embedding,0.7417401129423324,0.526786787691349
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,1010,1010,42,0,0,0,0,0,1010,pca,embedding,0.8896830084769265,-0.44504938451863596
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,225,225,43,0,0,0,0,0,225,pca,embedding,0.6812116852934513,0.23578272523451033
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,1572,1572,44,0,1,1,0,0,1572,pca,embedding,1.11954197331267,0.4879214123036195
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,612,612,45,0,1,1,0,1,5032,pca,embedding,0.00018838553375116404,-0.4344600271522524
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,265,265,46,0,1,0,1,1,5003,pca,embedding,-0.5867955472187929,0.3995064836249426
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,135,135,47,0,1,1,0,1,5040,pca,embedding,0.7710910029352435,-0.5296789409059545
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,1093,1093,48,0,0,0,0,0,1093,pca,embedding,0.7776582418441167,-0.661184268657058
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,312,312,49,0,0,1,1,1,5048,pca,embedding,0.45814832192508825,0.2879306050734017
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,2464,2464,50,0,1,1,0,0,2464,pca,embedding,0.9534739807368755,0.1967930941574459
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,100,100,1153,1153,0,1,1,0,1,1,5011,pca,embedding,0.8929993970153112,-0.7851538694798373
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,100,100,2307,2307,0,1,1,1,0,0,2307,pca,embedding,0.7277313851342605,0.5582196008463425
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,100,100,2848,2848,0,1,0,1,1,1,5034,pca,embedding,-0.393971098046068,0.4893077959280767
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,100,100,4543,4543,0,1,0,0,0,1,5013,pca,embedding,-0.4822171167527335,0.23499579154180533
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,100,100,2568,2568,1,0,0,0,0,0,2568,pca,embedding,1.178066463990479,-0.35237891437869856
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,100,100,905,905,2,0,1,1,0,1,5032,pca,embedding,-0.026482430760021252,0.5206757877116667
