method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu,dynamic_redundancy_weight
MaxLoss,manifold_group_noise_fashion_mnist,5,0.1,0.0,support,100,100,5000,0,104,1265,1369,0.2965226629166864,0.40049999999999997,0.4005,,,,,3.6706893729278818,0,0,101,0.08653846153846154,0.3173076923076923,0.6429909467697144,0.6429909467697144,0.9856286644935608,0.04301340234221764,0.9902912621359223,0.9611650485436893,0.9611650485436893,0.125,0.875,0.038461538461538464,0.9837702583092351,0.009615384615384616,0.22365833340263014,0.6246768749844082,1.5269879166285534
MaxLoss,manifold_group_noise_fashion_mnist,5,0.1,0.0,support,200,200,5000,0,204,680,884,0.19604205613723025,0.32799999999999996,0.328,,,,,5.598371736006811,0,1,201,0.09313725490196079,0.31862745098039214,0.5833165645599365,0.5833165645599365,0.9913016557693481,0.023486235018434196,0.9901477832512315,0.9852216748768473,0.9852216748768473,0.19117647058823528,0.8088235294117647,0.03431372549019608,0.9705867502815212,0.004901960784313725,0.1933675405862918,0.6314923033680844,1.5436478526775397
PU-R,manifold_group_noise_fashion_mnist,5,0.1,0.0,support,100,100,5000,0,104,957,1061,0.23290559148881584,0.344,0.344,,,,,1.9734869240783155,0,0,101,0.07692307692307693,0.4230769230769231,0.6226449012756348,0.6226449012756348,0.9902675151824951,0.03884386285705474,0.9902912621359223,0.970873786407767,0.970873786407767,0.17307692307692307,0.8269230769230769,0.038461538461538464,0.9812886970527891,0.009615384615384616,0.22079937363697635,0.6253201409316803,1.5285603444996632
PU-R,manifold_group_noise_fashion_mnist,5,0.1,0.0,support,200,200,5000,0,204,631,835,0.18578983045881614,0.32599999999999996,0.326,,,,,5.327303579077125,0,1,201,0.0784313725490196,0.4019607843137255,0.5968197584152222,0.5968197584152222,0.9943896532058716,0.022522315327903907,0.9950738916256158,0.9950738916256158,0.9950738916256158,0.24019607843137256,0.7598039215686274,0.029411764705882353,0.968664060673958,0.004901960784313725,0.18960551658373717,0.6323387587686592,1.545716965878945
PU-R-Manifold,manifold_group_noise_fashion_mnist,5,0.1,0.0,support,100,100,5000,0,104,909,1013,0.22293323988560587,0.35924999999999996,0.35925,,,,,2.350072906934656,0,0,101,0.07692307692307693,0.38461538461538464,0.6177312135696411,0.6177312135696411,0.983612060546875,0.041263964316509305,0.9902912621359223,0.970873786407767,0.970873786407767,0.17307692307692307,0.8269230769230769,0.038461538461538464,0.9771666597703949,0.009615384615384616,0.2267954504334488,0.623971023652474,1.5252625022616033
PU-R-Manifold,manifold_group_noise_fashion_mnist,5,0.1,0.0,support,200,200,5000,0,204,662,866,0.1922784976195544,0.33499999999999996,0.335,,,,,6.421442835940979,0,1,201,0.0784313725490196,0.37745098039215685,0.6045083403587341,0.6045083403587341,0.9942419528961182,0.023553363538434353,0.9950738916256158,0.9901477832512315,0.9901477832512315,0.22058823529411764,0.7794117647058824,0.03431372549019608,0.9688851746412095,0.004901960784313725,0.19193838391388,0.6318138636193771,1.5444338888473663
GREATS,manifold_group_noise_fashion_mnist,5,0.1,0.0,support,100,100,5000,0,104,898,1002,,0.39249999999999996,0.3925,,,,,1.9124027569778264,0,0,101,0.09615384615384616,0.4519230769230769,0.6341524124145508,0.6341524124145508,0.9831883907318115,0.044925750350778546,0.9805825242718447,0.970873786407767,0.9611650485436893,0.21153846153846154,0.7884615384615384,0.038461538461538464,0.9767701652134705,0.009615384615384616,0.23048233681580077,0.6231414742164448,1.5232347147513097
GREATS,manifold_group_noise_fashion_mnist,5,0.1,0.0,support,200,200,5000,0,204,791,995,,0.39649999999999996,0.3965,,,,,4.376195490942337,0,1,201,0.08333333333333333,0.4362745098039216,0.6282370686531067,0.6282370686531067,0.9928072094917297,0.024617308906733696,0.9901477832512315,0.9901477832512315,0.9901477832512315,0.28921568627450983,0.7107843137254902,0.029411764705882353,0.9579340985790532,0.004901960784313725,0.1930038461368999,0.6315741346191975,1.543847884624705
MaxLoss,manifold_group_noise_fashion_mnist,6,0.1,0.0,support,100,100,5000,0,104,1875,1979,0.4209820438409224,0.4385,0.4385,,,,,1.1215564389713109,0,0,101,0.08653846153846154,0.5,0.6394550800323486,0.6394550800323486,0.984034538269043,0.044552299004156616,0.9611650485436893,0.9805825242718447,0.9514563106796117,0.25,0.75,0.057692307692307696,0.9673152532584761,0.009615384615384616,0.2279518680236249,0.6237108296946844,1.5246264725870065
MaxLoss,manifold_group_noise_fashion_mnist,6,0.1,0.0,support,200,200,5000,0,204,916,1120,0.24514025397365913,0.395,0.395,,,,,3.034627667046152,0,1,201,0.09313725490196079,0.5147058823529411,0.6180102229118347,0.6180102229118347,0.9887552261352539,0.024853850379953243,0.9901477832512315,0.9901477832512315,0.9852216748768473,0.3088235294117647,0.6911764705882353,0.03431372549019608,0.9612979137432314,0.004901960784313725,0.1935525372143862,0.6314506791267631,1.5435461045320877
