method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,manifold_duplicate_fashion_mnist,0,0.1,0.0,50,50,5000,0,54,2287,2341,0.4940369997639209,0.45499999999999996,0.455,,,,,1.9643044769763947,0,0,51,0.2037037037037037,0.6666666666666666,0.7326793074607849,0.7326793074607849,1.0,0.07510448682982966,0.8301886792452831,0.8301886792452831,0.7924528301886793,0.9203905480949567,0.018518518518518517,0.27701467521635775,1.361492662391821
MaxLoss,manifold_duplicate_fashion_mnist,0,0.1,0.0,100,100,5000,0,104,2443,2547,0.5353621625690721,0.48050000000000004,0.4805,,,,,2.82922906242311,0,0,101,0.23076923076923078,0.7019230769230769,0.6642464399337769,0.6642464399337769,1.000000238418579,0.059548872839478614,0.8349514563106796,0.8932038834951457,0.8058252427184466,0.9313492046994404,0.009615384615384616,0.2687521720326116,1.3656239139836943
MaxLoss,manifold_duplicate_fashion_mnist,0,0.1,0.0,200,200,5000,0,204,2211,2415,0.5089024528861046,0.44075,0.44075,,,,,5.211903652176261,0,1,201,0.2107843137254902,0.7647058823529411,0.6410248875617981,0.6410248875617981,1.000000238418579,0.04189569647584496,0.8817733990147784,0.9408866995073891,0.8768472906403941,0.9228495685093973,0.0196078431372549,0.24590528778959708,1.3770473561052015
Marginal,manifold_duplicate_fashion_mnist,0,0.1,0.0,50,50,5000,0,54,2085,2139,0.4533407616545446,0.42074999999999996,0.42075,,,,,0.9137144777923822,0,0,51,0.09259259259259259,0.7407407407407407,0.6271341443061829,0.6271341443061829,0.9942295551300049,0.036926712629930025,0.9811320754716981,0.9811320754716981,0.9811320754716981,0.9108143777109009,0.05555555555555555,0.2220474802833438,1.3889762598583282
Marginal,manifold_duplicate_fashion_mnist,0,0.1,0.0,100,100,5000,0,104,2060,2164,0.4583868225454353,0.4265,0.4265,,,,,2.065354867838323,0,0,101,0.125,0.7403846153846154,0.6093587875366211,0.6093587875366211,0.9978554248809814,0.025863309797731417,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.8667772547519016,0.009615384615384616,0.19612793818061539,1.4019360309096922
Marginal,manifold_duplicate_fashion_mnist,0,0.1,0.0,200,200,5000,0,204,1901,2105,0.44647381716640666,0.4155,0.4155,,,,,4.8498735055327415,0,1,201,0.14705882352941177,0.7156862745098039,0.5861173272132874,0.5861173272132874,0.9971509575843811,0.01661222987378755,0.9950738916256158,0.9950738916256158,0.9950738916256158,0.9337443570480944,0.0392156862745098,0.1769409921775921,1.411529503911204
PU-R,manifold_duplicate_fashion_mnist,0,0.1,0.0,50,50,5000,0,54,2446,2500,0.5259492855402641,0.50275,0.50275,,,,,1.325672697275877,0,0,51,0.2777777777777778,0.7777777777777778,0.6628913283348083,0.6628913283348083,1.000000238418579,0.1091568928282216,0.5283018867924528,0.5660377358490566,0.4528301886792453,0.9216069086633506,0.018518518518518517,0.3421260141744276,1.3289369929127863
PU-R,manifold_duplicate_fashion_mnist,0,0.1,0.0,100,100,5000,0,104,2192,2296,0.48498594522243366,0.47724999999999995,0.47725,,,,,2.9918128652498126,0,0,101,0.2403846153846154,0.7884615384615384,0.6144060492515564,0.6144060492515564,1.0,0.06043909258634141,0.912621359223301,0.9223300970873787,0.8932038834951457,0.8892566725140194,0.009615384615384616,0.26752933120324107,1.3662353343983795
PU-R,manifold_duplicate_fashion_mnist,0,0.1,0.0,200,200,5000,0,204,1938,2142,0.45394643023610115,0.43474999999999997,0.43475,,,,,7.644452126696706,0,1,201,0.2107843137254902,0.7794117647058824,0.6017444729804993,0.6017444729804993,1.0000001192092896,0.03310218207501425,0.9655172413793104,0.9605911330049262,0.9556650246305419,0.8949847662227176,0.029411764705882353,0.21347173178122905,1.3932641341093854
PU-R-Manifold,manifold_duplicate_fashion_mnist,0,0.1,0.0,50,50,5000,0,54,2314,2368,0.49946354515850544,0.45725000000000005,0.45725,,,,,1.5772774945944548,0,0,51,0.14814814814814814,0.7592592592592593,0.6486673951148987,0.6486673951148987,0.9859054088592529,0.07919734421203721,0.8490566037735849,0.9245283018867925,0.8490566037735849,0.9220839116361019,0.018518518518518517,0.2802462022129928,1.3598768988935035
PU-R-Manifold,manifold_duplicate_fashion_mnist,0,0.1,0.0,100,100,5000,0,104,2285,2389,0.5036820750683546,0.4515,0.4515,,,,,3.716116222552955,0,0,101,0.15384615384615385,0.7307692307692307,0.6311107873916626,0.6311107873916626,0.9917582273483276,0.04756048090249589,0.9805825242718447,0.9611650485436893,0.9611650485436893,0.9424586878788793,0.028846153846153848,0.23344427406118523,1.3832778629694074
PU-R-Manifold,manifold_duplicate_fashion_mnist,0,0.1,0.0,200,200,5000,0,204,1875,2079,0.44121926417574286,0.39449999999999996,0.3945,,,,,9.999497368000448,0,1,201,0.14705882352941177,0.7794117647058824,0.6061585545539856,0.6061585545539856,0.994449257850647,0.026435400409798318,0.9950738916256158,0.9901477832512315,0.9901477832512315,0.9185535154531497,0.024509803921568627,0.19780745966055743,1.4010962701697212
GREATS,manifold_duplicate_fashion_mnist,0,0.1,0.0,50,50,5000,0,54,2241,2295,,0.4625,0.4625,,,,,1.473347246646881,0,0,51,0.2222222222222222,0.8888888888888888,0.681307852268219,0.681307852268219,1.0,0.07249735886195921,0.8867924528301887,0.9056603773584906,0.8679245283018868,0.8858630730603649,0.018518518518518517,0.28253821209398117,1.3587308939530094
GREATS,manifold_duplicate_fashion_mnist,0,0.1,0.0,100,100,5000,0,104,2033,2137,,0.40974999999999995,0.40975,,,,,3.1050543384626508,0,0,101,0.22115384615384615,0.8269230769230769,0.6707448363304138,0.6707448363304138,1.0000001192092896,0.05618719756603241,0.883495145631068,0.941747572815534,0.8737864077669902,0.9137108360679811,0.019230769230769232,0.26012534323472963,1.369937328382635
