method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,volume_duplicate_fashion_mnist,0,0.1,0.0,50,50,5000,0,54,1903,1957,0.4165239594876766,0.41974999999999996,0.41975,,,,,2.292627789080143,0,0,51,0.35185185185185186,0.5740740740740741,0.8231683373451233,0.8231683373451233,0.9999986290931702,0.06163384554521093,0.8867924528301887,0.9056603773584906,0.8679245283018868,0.9841095278800533,0.42592592592592593,0.21416848358271268,2.5716630328345746
MaxLoss,volume_duplicate_fashion_mnist,0,0.1,0.0,100,100,5000,0,104,2346,2450,0.5159254070022143,0.46499999999999997,0.465,,,,,3.162107774987817,0,0,101,0.2980769230769231,0.5480769230769231,0.7515901327133179,0.7515901327133179,0.9999973773956299,0.05348808202639367,0.883495145631068,0.9029126213592233,0.8640776699029126,0.9933204216387918,0.4519230769230769,0.23741329615071563,2.525173407698569
MaxLoss,volume_duplicate_fashion_mnist,0,0.1,0.0,200,200,5000,0,204,2163,2367,0.49926261662039906,0.46025000000000005,0.46025,,,,,5.582045895978808,0,1,201,0.29411764705882354,0.5637254901960784,0.7221813201904297,0.7221813201904297,0.9999953508377075,0.03252398368117991,0.9113300492610837,0.9458128078817734,0.9064039408866995,0.9882506791547675,0.4362745098039216,0.2115558719807794,2.5768882560384414
Marginal,volume_duplicate_fashion_mnist,0,0.1,0.0,50,50,5000,0,54,1549,1603,0.34448388358578086,0.32825000000000004,0.32825,,,,,0.8422775575891137,0,0,51,0.09259259259259259,0.5925925925925926,0.624670147895813,0.624670147895813,0.9980804920196533,0.0374123155192103,0.9811320754716981,0.9811320754716981,0.9811320754716981,0.975119064940866,0.4074074074074074,0.2161949501729492,2.5676100996541016
Marginal,volume_duplicate_fashion_mnist,0,0.1,0.0,100,100,5000,0,104,1343,1447,0.3125424169120379,0.30300000000000005,0.303,,,,,1.920273583382368,0,0,101,0.10576923076923077,0.6346153846153846,0.62255859375,0.62255859375,0.9999954700469971,0.025586184109696774,0.9805825242718447,0.9805825242718447,0.970873786407767,0.9470622432515329,0.36538461538461536,0.19497993744698774,2.610040125106025
Marginal,volume_duplicate_fashion_mnist,0,0.1,0.0,200,200,5000,0,204,1015,1219,0.2656160935293883,0.24475000000000002,0.24475,,,,,4.646982375532389,0,1,201,0.09803921568627451,0.5833333333333334,0.6143280863761902,0.6143280863761902,0.9999976754188538,0.01602176093901255,0.9901477832512315,0.9950738916256158,0.9901477832512315,0.9798687566511527,0.4166666666666667,0.17673143513338915,2.646537129733222
PU-R,volume_duplicate_fashion_mnist,0,0.1,0.0,50,50,5000,0,54,2000,2054,0.4361640498973429,0.40475000000000005,0.40475,,,,,1.2718083029612899,0,0,51,0.35185185185185186,0.5370370370370371,0.6744762063026428,0.6744762063026428,0.9999840259552002,0.1178660807463358,0.32075471698113206,0.5660377358490566,0.2830188679245283,0.9960383613659184,0.46296296296296297,0.3500367814066011,2.299926437186798
PU-R,volume_duplicate_fashion_mnist,0,0.1,0.0,100,100,5000,0,104,1868,1972,0.41956379491603,0.38149999999999995,0.3815,,,,,2.92012882232666,0,0,101,0.2692307692307692,0.5480769230769231,0.6610433459281921,0.6610433459281921,0.9999855756759644,0.05444071342427175,0.883495145631068,0.883495145631068,0.8543689320388349,0.9933204216387918,0.4519230769230769,0.2545769110138847,2.4908461779722306
PU-R,volume_duplicate_fashion_mnist,0,0.1,0.0,200,200,5000,0,204,1589,1793,0.38322236720705405,0.346,0.346,,,,,7.452390550635755,0,1,201,0.22549019607843138,0.5098039215686274,0.6020745038986206,0.6020745038986206,0.9998748898506165,0.02803476054102109,0.9605911330049262,0.9704433497536946,0.9556650246305419,0.9997226475394071,0.49019607843137253,0.2024059472731897,2.5951881054536203
PU-R-Vol,volume_duplicate_fashion_mnist,0,0.1,0.0,50,50,5000,0,54,1944,1998,0.42483048629947007,0.4095,0.4095,,,,,1.2781919641420245,0,0,51,0.24074074074074073,0.5555555555555556,0.6844087243080139,0.6844087243080139,0.9771369695663452,0.07670409696282081,0.8679245283018868,0.8490566037735849,0.8113207547169812,0.9910760598382222,0.4444444444444444,0.2723696910952751,2.45526061780945
