method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,manifold_orbit_fashion_mnist,0,0.1,0.0,warm_start,50,50,5000,0,54,2395,2449,0.515724822471384,0.47550000000000003,0.4755,,,,,3.352815432008356,0,0,51,0.4074074074074074,0.7222222222222222,0.7794753313064575,0.7794753313064575,1.000000238418579,0.10000557888228938,0.6037735849056604,0.6415094339622641,0.6037735849056604,0.37037037037037035,0.6296296296296297,0.1111111111111111,0.9482251898913798,0.018518518518518517,0.30702248334630455,0.6732443791634238
MaxLoss,manifold_orbit_fashion_mnist,0,0.1,0.0,warm_start,100,100,5000,0,104,2292,2396,0.5050878404290415,0.4645,0.4645,,,,,4.003406974021345,0,0,101,0.36538461538461536,0.7211538461538461,0.7757598161697388,0.7757598161697388,1.000000238418579,0.06504553990456664,0.7378640776699029,0.8252427184466019,0.7087378640776699,0.47115384615384615,0.5288461538461539,0.057692307692307696,0.9473206496402444,0.009615384615384616,0.27096998614438955,0.6822575034639027
MaxLoss,manifold_orbit_fashion_mnist,0,0.1,0.0,warm_start,200,200,5000,0,204,2104,2308,0.4874003932927735,0.41825,0.41825,,,,,5.8565405630506575,0,1,201,0.3382352941176471,0.6715686274509803,0.7183127403259277,0.7183127403259277,1.000000238418579,0.04728083741011584,0.8226600985221675,0.9014778325123153,0.8078817733990148,0.46568627450980393,0.5343137254901961,0.04411764705882353,0.933208883842678,0.004901960784313725,0.26307167953806443,0.6842320801154839
PU-R,manifold_orbit_fashion_mnist,0,0.1,0.0,warm_start,50,50,5000,0,54,2429,2483,0.5225423436495475,0.49550000000000005,0.4955,,,,,0.9829763480229303,0,0,51,0.3333333333333333,0.6851851851851852,0.7409679889678955,0.7409679889678955,1.000000238418579,0.09715213809373244,0.6792452830188679,0.6981132075471698,0.6226415094339622,0.3333333333333333,0.6666666666666666,0.09259259259259259,0.9586947212444187,0.018518518518518517,0.31558360829064297,0.6711040979273393
PU-R,manifold_orbit_fashion_mnist,0,0.1,0.0,warm_start,100,100,5000,0,104,2399,2503,0.5265503847040236,0.4535,0.4535,,,,,2.2918663249583915,0,0,101,0.3269230769230769,0.625,0.7144259810447693,0.7144259810447693,1.000000238418579,0.07268246910670428,0.7475728155339806,0.7864077669902912,0.6990291262135923,0.36538461538461536,0.6346153846153846,0.057692307692307696,0.9574224421553496,0.009615384615384616,0.2989714900157334,0.6752571274960666
PU-R,manifold_orbit_fashion_mnist,0,0.1,0.0,warm_start,200,200,5000,0,204,2031,2235,0.47270310507155955,0.42800000000000005,0.428,,,,,6.216303447959945,0,1,201,0.3333333333333333,0.6421568627450981,0.6438437700271606,0.6438437700271606,1.000000238418579,0.04312194337416899,0.896551724137931,0.9113300492610837,0.8817733990147784,0.4264705882352941,0.5735294117647058,0.0392156862745098,0.9514990568392583,0.004901960784313725,0.24534011791800142,0.6886649705204997
PU-R-Manifold,manifold_orbit_fashion_mnist,0,0.1,0.0,warm_start,50,50,5000,0,54,2368,2422,0.5103074547369033,0.5,0.5,,,,,1.187642952078022,0,0,51,0.2777777777777778,0.5740740740740741,0.750465989112854,0.750465989112854,1.000000238418579,0.1030944509888595,0.5660377358490566,0.7169811320754716,0.5660377358490566,0.25925925925925924,0.7407407407407407,0.1111111111111111,0.9594976154833038,0.018518518518518517,0.3114866369235096,0.6721283407691225
PU-R-Manifold,manifold_orbit_fashion_mnist,0,0.1,0.0,warm_start,100,100,5000,0,104,2103,2207,0.4670598066877574,0.45725000000000005,0.45725,,,,,2.8842615380417556,0,0,101,0.27884615384615385,0.5865384615384616,0.6692011952400208,0.6692011952400208,1.000000238418579,0.06620692689586612,0.8252427184466019,0.883495145631068,0.8155339805825242,0.3076923076923077,0.6923076923076923,0.0673076923076923,0.956383136256309,0.009615384615384616,0.27573125432611084,0.6810671864184723
PU-R-Manifold,manifold_orbit_fashion_mnist,0,0.1,0.0,warm_start,200,200,5000,0,204,2083,2287,0.4831747109419666,0.43574999999999997,0.43575,,,,,8.418124813004397,0,1,201,0.2696078431372549,0.5343137254901961,0.6114004850387573,0.6114004850387573,1.0000001192092896,0.03658587100635755,0.9359605911330049,0.9408866995073891,0.9310344827586207,0.30392156862745096,0.696078431372549,0.03431372549019608,0.96156593427246,0.004901960784313725,0.22174930836822437,0.6945626729079439
GREATS,manifold_orbit_fashion_mnist,0,0.1,0.0,warm_start,50,50,5000,0,54,2467,2521,,0.475,0.475,,,,,1.0689363200217485,0,0,51,0.3148148148148148,0.7407407407407407,0.7746827602386475,0.7746827602386475,1.0000003576278687,0.07766071299336991,0.7358490566037735,0.8113207547169812,0.6981132075471698,0.35185185185185186,0.6481481481481481,0.09259259259259259,0.9587097054836626,0.018518518518518517,0.28143237321041437,0.6796419066973964
GREATS,manifold_orbit_fashion_mnist,0,0.1,0.0,warm_start,100,100,5000,0,104,1932,2036,,0.41725,0.41725,,,,,2.2949566199677065,0,0,101,0.3173076923076923,0.7307692307692307,0.7503941059112549,0.7503941059112549,1.0000003576278687,0.06527484005805358,0.7475728155339806,0.8543689320388349,0.7475728155339806,0.4230769230769231,0.5769230769230769,0.07692307692307693,0.9485446826360688,0.009615384615384616,0.2701343737552163,0.682466406561196
