method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,volume_gap_fashion_mnist,0,0.1,0.0,warm_start,50,50,5000,0,54,2399,2453,0.516527135448996,0.43975,0.43975,,,,,2.718778545036912,0,0,51,0.4074074074074074,0.4444444444444444,0.7646793127059937,0.7646793127059937,0.9999895691871643,0.07681750520220343,0.8113207547169812,0.7735849056603774,0.7547169811320755,0.2222222222222222,0.7777777777777778,0.07407407407407407,0.9753555308662626,0.018518518518518517,0.2747437854185276,1.3653587004140613
MaxLoss,volume_gap_fashion_mnist,0,0.1,0.0,warm_start,100,100,5000,0,104,1562,1666,0.3573481332859956,0.37424999999999997,0.37425,,,,,3.376455702004023,0,0,101,0.375,0.4326923076923077,0.7103586196899414,0.7103586196899414,1.000000238418579,0.05384291838673712,0.8543689320388349,0.883495145631068,0.8155339805825242,0.23076923076923078,0.7692307692307693,0.038461538461538464,0.9796348663748585,0.009615384615384616,0.2632185197316605,1.3814940723756752
MaxLoss,volume_gap_fashion_mnist,0,0.1,0.0,warm_start,200,200,5000,0,204,2086,2290,0.4837784936535172,0.37075,0.37075,,,,,5.279066786984913,0,1,201,0.37254901960784315,0.5588235294117647,0.6993780136108398,0.6993780136108398,0.9999998807907104,0.031997506107602804,0.8866995073891626,0.9310344827586207,0.8817733990147784,0.38235294117647056,0.6176470588235294,0.0392156862745098,0.9526833628842235,0.004901960784313725,0.23714306990036327,1.4179997021394912
PU-R,volume_gap_fashion_mnist,0,0.1,0.0,warm_start,50,50,5000,0,54,2731,2785,0.5828839959576726,0.48250000000000004,0.4825,,,,,0.967380085028708,0,0,51,0.35185185185185186,0.46296296296296297,0.729800820350647,0.729800820350647,0.9999935626983643,0.08219952347143641,0.7924528301886793,0.7547169811320755,0.7169811320754716,0.2037037037037037,0.7962962962962963,0.05555555555555555,0.9829046199683005,0.018518518518518517,0.2929373952662722,1.339887646627219
PU-R,volume_gap_fashion_mnist,0,0.1,0.0,warm_start,100,100,5000,0,104,2475,2579,0.5417656151694246,0.45775,0.45775,,,,,2.3111970680765808,0,0,101,0.3269230769230769,0.4519230769230769,0.7024389505386353,0.7024389505386353,0.9999933838844299,0.05032923788700289,0.8543689320388349,0.8932038834951457,0.8349514563106796,0.20192307692307693,0.7980769230769231,0.028846153846153848,0.9842790826385903,0.009615384615384616,0.2534204934237086,1.395211309206808
PU-R,volume_gap_fashion_mnist,0,0.1,0.0,warm_start,200,200,5000,0,204,2054,2258,0.47733618650818244,0.36524999999999996,0.36525,,,,,6.438668685033917,0,1,201,0.29901960784313725,0.4950980392156863,0.6506829261779785,0.6506829261779785,0.9999819993972778,0.026156083703628315,0.9507389162561576,0.9408866995073891,0.9408866995073891,0.20588235294117646,0.7941176470588235,0.024509803921568627,0.9795914921538461,0.004901960784313725,0.20660375456022068,1.4607547436156911
PU-R-Vol,volume_gap_fashion_mnist,0,0.1,0.0,warm_start,50,50,5000,0,54,2613,2667,0.5593528298195451,0.47775,0.47775,,,,,0.9849684740183875,0,0,51,0.2962962962962963,0.3333333333333333,0.6899042129516602,0.6899042129516602,0.999991774559021,0.08596659887511775,0.7735849056603774,0.7924528301886793,0.7358490566037735,0.12962962962962962,0.8703703703703703,0.037037037037037035,0.9893852433820336,0.018518518518518517,0.3039523896274629,1.3244666545215518
PU-R-Vol,volume_gap_fashion_mnist,0,0.1,0.0,warm_start,100,100,5000,0,104,2749,2853,0.5964170969091356,0.44275,0.44275,,,,,2.4125530530000106,0,0,101,0.3076923076923077,0.38461538461538464,0.6788034439086914,0.6788034439086914,0.9999947547912598,0.04203636785155361,0.9611650485436893,0.941747572815534,0.9320388349514563,0.07692307692307693,0.9230769230769231,0.019230769230769232,0.9941732490622359,0.009615384615384616,0.23205797952473095,1.4251188286653766
PU-R-Vol,volume_gap_fashion_mnist,0,0.1,0.0,warm_start,200,200,5000,0,204,2400,2604,0.5467653108644299,0.37525,0.37525,,,,,7.1770198959857225,0,1,201,0.30392156862745096,0.4411764705882353,0.6249930262565613,0.6249930262565613,0.9999881386756897,0.022315154228304407,0.9753694581280788,0.9704433497536946,0.9655172413793104,0.15196078431372548,0.8480392156862745,0.024509803921568627,0.9840976138160745,0.004901960784313725,0.19443871880836222,1.4777857936682928
GREATS,volume_gap_fashion_mnist,0,0.1,0.0,warm_start,50,50,5000,0,54,2316,2370,,0.41200000000000003,0.412,,,,,1.0174719670321792,0,0,51,0.3333333333333333,0.5,0.7456957101821899,0.7456957101821899,0.9999991655349731,0.06111018275314907,0.8867924528301887,0.8490566037735849,0.8301886792452831,0.2037037037037037,0.7962962962962963,0.037037037037037035,0.9854808669485273,0.018518518518518517,0.2530616534104044,1.3957136852254337
