method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu,dynamic_redundancy_weight
MaxLoss,manifold_orbit_fashion_mnist,0,0.1,0.0,support,50,50,5000,0,54,1786,1840,0.39277864358155057,0.4455,0.4455,,,,,1.01897276006639,0,0,51,0.48148148148148145,0.7592592592592593,0.759122371673584,0.759122371673584,1.0000003576278687,0.0920193723912509,0.6415094339622641,0.6037735849056604,0.6037735849056604,0.5370370370370371,0.46296296296296297,0.18518518518518517,0.8965074419775475,0.018518518518518517,0.3323277065793006,0.7336098806906923,1.2004525320393147
MaxLoss,manifold_orbit_fashion_mnist,0,0.1,0.0,support,100,100,5000,0,104,2184,2288,0.4833759760367684,0.46225000000000005,0.46225,,,,,1.7132373090134934,0,0,101,0.4230769230769231,0.7403846153846154,0.7509406805038452,0.7509406805038452,1.000000238418579,0.07177451976294656,0.6504854368932039,0.7766990291262136,0.6019417475728155,0.5480769230769231,0.4519230769230769,0.09615384615384616,0.8902467369934562,0.009615384615384616,0.3016359954571287,0.7420501012492896,1.214263802044292
MaxLoss,manifold_orbit_fashion_mnist,0,0.1,0.0,support,200,200,5000,0,204,2224,2428,0.51151157845743,0.45099999999999996,0.451,,,,,3.6412028210470453,0,1,201,0.4019607843137255,0.7401960784313726,0.7124137282371521,0.7124137282371521,1.0000004768371582,0.05965226180300924,0.6847290640394089,0.8275862068965517,0.6699507389162561,0.6127450980392157,0.3872549019607843,0.0784313725490196,0.8751772925676512,0.004901960784313725,0.30751616908791457,0.7404330535008236,1.2116177239104384
PU-R,manifold_orbit_fashion_mnist,0,0.1,0.0,support,50,50,5000,0,54,2323,2377,0.5012717132340185,0.48475,0.48475,,,,,1.0706357939634472,0,0,51,0.3888888888888889,0.6666666666666666,0.7385556101799011,0.7385556101799011,1.000000238418579,0.11370446996868781,0.5094339622641509,0.4716981132075472,0.4528301886792453,0.4074074074074074,0.5925925925925926,0.1111111111111111,0.9320167023631982,0.018518518518518517,0.349578966823935,0.728865784123418,1.1926894649292294
PU-R,manifold_orbit_fashion_mnist,0,0.1,0.0,support,100,100,5000,0,104,2427,2531,0.5321588208316825,0.4445,0.4445,,,,,2.4948501229519024,0,0,101,0.3942307692307692,0.6538461538461539,0.7281216382980347,0.7281216382980347,1.000000238418579,0.07496523278430828,0.6893203883495146,0.7864077669902912,0.6601941747572816,0.4519230769230769,0.5480769230769231,0.0673076923076923,0.9294016583395728,0.009615384615384616,0.3072188535863167,0.740514815263763,1.2117515158861574
PU-R,manifold_orbit_fashion_mnist,0,0.1,0.0,support,200,200,5000,0,204,2392,2596,0.5451656950172037,0.44499999999999995,0.445,,,,,6.747397191938944,0,1,201,0.4019607843137255,0.7009803921568627,0.7053220272064209,0.7053220272064209,1.000000238418579,0.05750521426570827,0.7241379310344828,0.8522167487684729,0.6995073891625616,0.5637254901960784,0.4362745098039216,0.06862745098039216,0.9047135455562474,0.004901960784313725,0.29680378134638324,0.7433789601297447,1.2164382983941275
PU-R-Manifold,manifold_orbit_fashion_mnist,0,0.1,0.0,support,50,50,5000,0,54,2563,2617,0.549364110280294,0.5017499999999999,0.50175,,,,,1.3765596150187775,0,0,51,0.4444444444444444,0.7407407407407407,0.7469367384910583,0.7469367384910583,1.0000003576278687,0.09978486569422595,0.660377358490566,0.5849056603773585,0.5471698113207547,0.5,0.5,0.12962962962962962,0.9082128402400235,0.018518518518518517,0.34202390499176755,0.730943426127264,1.1960892427537047
PU-R-Manifold,manifold_orbit_fashion_mnist,0,0.1,0.0,support,100,100,5000,0,104,2141,2245,0.47471776336897165,0.4555,0.4555,,,,,3.2324180849827826,0,0,101,0.41346153846153844,0.7403846153846154,0.7626746296882629,0.7626746296882629,1.000000238418579,0.074331416233072,0.6407766990291263,0.7378640776699029,0.6213592233009708,0.5673076923076923,0.4326923076923077,0.09615384615384616,0.8957226415169106,0.009615384615384616,0.3014547228956908,0.7420999512036852,1.2143453746969393
PU-R-Manifold,manifold_orbit_fashion_mnist,0,0.1,0.0,support,200,200,5000,0,204,2496,2700,0.5659395726397634,0.4675,0.4675,,,,,9.195164739037864,0,1,201,0.39215686274509803,0.7009803921568627,0.7078989744186401,0.7078989744186401,1.0000003576278687,0.06272176084260048,0.7093596059113301,0.7980295566502463,0.6847290640394089,0.5833333333333334,0.4166666666666667,0.08823529411764706,0.8705416465759063,0.004901960784313725,0.3094501820263496,0.7399011999427539,1.2107474180881428
GREATS,manifold_orbit_fashion_mnist,0,0.1,0.0,support,50,50,5000,0,54,2388,2442,,0.519,0.519,,,,,1.1702489369781688,0,0,51,0.46296296296296297,0.8703703703703703,0.7625236511230469,0.7625236511230469,1.0000001192092896,0.09512781647016418,0.49056603773584906,0.5283018867924528,0.49056603773584906,0.5555555555555556,0.4444444444444444,0.1111111111111111,0.9341325305685215,0.018518518518518517,0.3283632542993224,0.7347001050676863,1.2022365355653049
