method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu,dynamic_redundancy_weight
MaxLoss,volume_gap_fashion_mnist,0,0.1,0.0,support,50,50,5000,0,54,3150,3204,0.6659425778198056,0.509,0.509,,,,,3.1672979310387745,0,0,51,0.4074074074074074,0.7592592592592593,0.8010586500167847,0.8010586500167847,0.9999998807907104,0.05810607604260715,0.8113207547169812,0.8113207547169812,0.7924528301886793,0.5925925925925926,0.4074074074074074,0.18518518518518517,0.8795176585456927,0.018518518518518517,0.24182531983653838,0.8807222761144231,2.5163493603269234
MaxLoss,volume_gap_fashion_mnist,0,0.1,0.0,support,100,100,5000,0,104,2724,2828,0.5914440274937078,0.37925,0.37925,,,,,3.87716942303814,0,0,101,0.40384615384615385,0.75,0.7995607256889343,0.7995607256889343,0.9999998807907104,0.04032238247325119,0.8252427184466019,0.883495145631068,0.8155339805825242,0.5576923076923077,0.4423076923076923,0.11538461538461539,0.8939491633835982,0.009615384615384616,0.22827154950517997,0.890209915346374,2.54345690098964
MaxLoss,volume_gap_fashion_mnist,0,0.1,0.0,support,200,200,5000,0,204,2581,2785,0.5828839959576726,0.375,0.375,,,,,5.891900583985262,0,1,201,0.4068627450980392,0.7941176470588235,0.724926233291626,0.724926233291626,1.000000238418579,0.028658643731929986,0.8669950738916257,0.916256157635468,0.8620689655172413,0.6617647058823529,0.3382352941176471,0.0784313725490196,0.8701604164709105,0.004901960784313725,0.25470382278740206,0.8717073240488185,2.4905923544251958
PU-R,volume_gap_fashion_mnist,0,0.1,0.0,support,50,50,5000,0,54,2607,2661,0.5581547428737395,0.394,0.394,,,,,1.088887310004793,0,0,51,0.46296296296296297,0.7407407407407407,0.7427315711975098,0.7427315711975098,0.9999999403953552,0.0933547076189293,0.5283018867924528,0.6037735849056604,0.5094339622641509,0.3888888888888889,0.6111111111111112,0.07407407407407407,0.963663294486041,0.018518518518518517,0.3123309060585228,0.831368365759034,2.3753381878829543
PU-R,volume_gap_fashion_mnist,0,0.1,0.0,support,100,100,5000,0,104,2109,2213,0.4682693650247529,0.33775,0.33775,,,,,2.571091669029556,0,0,101,0.41346153846153844,0.6442307692307693,0.7706578969955444,0.7706578969955444,1.0,0.052355945110321045,0.7864077669902912,0.8446601941747572,0.7766990291262136,0.3942307692307692,0.6057692307692307,0.04807692307692308,0.9627501175761862,0.009615384615384616,0.24958546286663344,0.8752901759933566,2.500829074266733
PU-R,volume_gap_fashion_mnist,0,0.1,0.0,support,200,200,5000,0,204,1815,2019,0.42908218054799363,0.36124999999999996,0.36125,,,,,6.953507540049031,0,1,201,0.4215686274509804,0.7696078431372549,0.6915965676307678,0.6915965676307678,1.0,0.038096950412383805,0.8669950738916257,0.8817733990147784,0.8571428571428571,0.6176470588235294,0.38235294117647056,0.06862745098039216,0.9154120953799207,0.004901960784313725,0.2787248285830235,0.8548926199918835,2.442550342833953
PU-R-Vol,volume_gap_fashion_mnist,0,0.1,0.0,support,50,50,5000,0,54,2247,2301,0.4859920389717445,0.43025,0.43025,,,,,1.0957843620562926,0,0,51,0.4074074074074074,0.6851851851851852,0.7744184136390686,0.7744184136390686,1.0000001192092896,0.07376624503225651,0.7547169811320755,0.7358490566037735,0.6981132075471698,0.3333333333333333,0.6666666666666666,0.07407407407407407,0.9716243467133381,0.018518518518518517,0.2671872556253506,0.8629689210622546,2.465625488749299
PU-R-Vol,volume_gap_fashion_mnist,0,0.1,0.0,support,100,100,5000,0,104,1611,1715,0.36734022735618055,0.35524999999999995,0.35525,,,,,2.6449398630065843,0,0,101,0.34615384615384615,0.6634615384615384,0.7413185834884644,0.7413185834884644,1.0000003576278687,0.05350847846096002,0.8155339805825242,0.8446601941747572,0.8155339805825242,0.4326923076923077,0.5673076923076923,0.0673076923076923,0.9522228405680695,0.009615384615384616,0.26323681925898695,0.8657342265187091,2.473526361482026
PU-R-Vol,volume_gap_fashion_mnist,0,0.1,0.0,support,200,200,5000,0,204,1960,2164,0.4583868225454353,0.35924999999999996,0.35925,,,,,7.577093321015127,0,1,201,0.4166666666666667,0.7647058823529411,0.7221720814704895,0.7221720814704895,1.0000001192092896,0.03424574544864335,0.8669950738916257,0.9113300492610837,0.8620689655172413,0.6078431372549019,0.39215686274509803,0.058823529411764705,0.906515707801778,0.004901960784313725,0.2514265511215014,0.8740014142149489,2.497146897756997
GREATS,volume_gap_fashion_mnist,0,0.1,0.0,support,50,50,5000,0,54,2135,2189,,0.36750000000000005,0.3675,,,,,1.0637489079963416,0,0,51,0.4444444444444444,0.6296296296296297,0.7883283495903015,0.7883283495903015,1.0,0.06608940745299717,0.8113207547169812,0.8113207547169812,0.7547169811320755,0.2777777777777778,0.7222222222222222,0.037037037037037035,0.9837154735457649,0.018518518518518517,0.24888992827944043,0.8757770502043916,2.502220143441119
GREATS,volume_gap_fashion_mnist,0,0.1,0.0,support,100,100,5000,0,104,1199,1303,,0.27525,0.27525,,,,,2.3765116600552574,0,0,101,0.36538461538461536,0.6057692307692307,0.7368065714836121,0.7368065714836121,0.9999997615814209,0.05120323988997821,0.8252427184466019,0.883495145631068,0.8155339805825242,0.3269230769230769,0.6730769230769231,0.038461538461538464,0.9786346370012028,0.009615384615384616,0.2525574594839734,0.8732097783612185,2.494885081032053
GREATS,volume_gap_fashion_mnist,0,0.1,0.0,support,200,200,5000,0,204,971,1175,,0.28300000000000003,0.283,,,,,5.569951582001522,0,1,201,0.3088235294117647,0.7254901960784313,0.7035040855407715,0.7035040855407715,0.9999999403953552,0.029608979454181464,0.8719211822660099,0.916256157635468,0.8719211822660099,0.5686274509803921,0.43137254901960786,0.049019607843137254,0.9250695125766848,0.004901960784313725,0.2345669849148154,0.885803110559629,2.530866030170369
MaxLoss,volume_gap_fashion_mnist,0,0.1,0.2,support,50,50,4000,1000,54,344,398,0.11613613163353875,0.3285,0.3285,,,,,0.5907098689349368,0,0,51,0.8518518518518519,0.9259259259259259,0.6962277889251709,0.6962277889251709,0.9999996423721313,0.04300981731909626,0.9433962264150944,0.9056603773584906,0.9056603773584906,0.6481481481481481,0.35185185185185186,0.12962962962962962,0.9059416275200375,0.018518518518518517,0.23748426236891296,0.8837610163417607,2.525031475262174
MaxLoss,volume_gap_fashion_mnist,0,0.1,0.2,support,100,100,4000,1000,104,295,399,0.11640521773369983,0.32699999999999996,0.327,,,,,1.3127558908890933,0,0,101,0.9134615384615384,0.9519230769230769,0.6097353100776672,0.6097353100776672,0.9999991655349731,0.03517154249751452,0.941747572815534,0.9223300970873787,0.9223300970873787,0.6923076923076923,0.3076923076923077,0.0673076923076923,0.942637013217752,0.009615384615384616,0.2470908417412563,0.8770364107811205,2.5058183165174874
MaxLoss,volume_gap_fashion_mnist,0,0.1,0.2,support,200,200,4000,1000,204,196,400,0.11667427275096998,0.32675,0.32675,,,,,3.356875653960742,0,1,201,0.946078431372549,0.9656862745098039,0.5865005850791931,0.5865005850791931,0.9999998211860657,0.02631509491228705,0.9014778325123153,0.9014778325123153,0.8916256157635468,0.8088235294117647,0.19117647058823528,0.049019607843137254,0.9554808217133836,0.004901960784313725,0.25519255179750505,0.8713652137417464,2.48961489640499
PU-R,volume_gap_fashion_mnist,0,0.1,0.2,support,50,50,4000,1000,54,346,400,0.11667427275096998,0.3285,0.3285,,,,,0.7768833989975974,0,0,51,0.7962962962962963,0.8703703703703703,0.6924854516983032,0.6924854516983032,0.9999992251396179,0.05258135919301015,0.9433962264150944,0.8867924528301887,0.8867924528301887,0.4074074074074074,0.5925925925925926,0.07407407407407407,0.9638318522364684,0.018518518518518517,0.2366006111510692,0.8843795721942515,2.5267987776978615
PU-R,volume_gap_fashion_mnist,0,0.1,0.2,support,100,100,4000,1000,104,299,403,0.1174812521203421,0.33125000000000004,0.33125,,,,,1.8065682740416378,0,0,101,0.8846153846153846,0.9230769230769231,0.6462407112121582,0.6462407112121582,1.0,0.03652452207306056,0.9320388349514563,0.9029126213592233,0.9029126213592233,0.6538461538461539,0.34615384615384615,0.08653846153846154,0.9284296207663704,0.009615384615384616,0.236213147729066,0.8846507965896536,2.527573704541868
PU-R,volume_gap_fashion_mnist,0,0.1,0.2,support,200,200,4000,1000,204,194,398,0.11613613163353875,0.31799999999999995,0.318,,,,,5.018674578983337,0,1,201,0.9313725490196079,0.9509803921568627,0.6179532408714294,0.6179532408714294,0.9999998807907104,0.02663445722293384,0.916256157635468,0.9064039408866995,0.8916256157635468,0.7941176470588235,0.20588235294117646,0.05392156862745098,0.9473134439233502,0.004901960784313725,0.24249125144195466,0.8802561239906317,2.515017497116091
PU-R-Vol,volume_gap_fashion_mnist,0,0.1,0.2,support,50,50,4000,1000,54,346,400,0.11667427275096998,0.32375,0.32375,,,,,0.7988642959389836,0,0,51,0.7962962962962963,0.8518518518518519,0.6454583406448364,0.6454583406448364,0.9999507665634155,0.06263924825866267,0.9056603773584906,0.8490566037735849,0.8301886792452831,0.37037037037037035,0.6296296296296297,0.05555555555555555,0.9691019917271271,0.018518518518518517,0.2649247139523788,0.8645527002333349,2.4701505720952426
PU-R-Vol,volume_gap_fashion_mnist,0,0.1,0.2,support,100,100,4000,1000,104,294,398,0.11613613163353875,0.32699999999999996,0.327,,,,,1.9174830300034955,0,0,101,0.8846153846153846,0.9134615384615384,0.6193420886993408,0.6193420886993408,0.9999969601631165,0.04305745574455817,0.9223300970873787,0.8737864077669902,0.8737864077669902,0.6346153846153846,0.36538461538461536,0.07692307692307693,0.9274439841047984,0.009615384615384616,0.24994472153892933,0.8750386949227494,2.5001105569221416
PU-R-Vol,volume_gap_fashion_mnist,0,0.1,0.2,support,200,200,4000,1000,204,195,399,0.11640521773369983,0.31625000000000003,0.31625,,,,,5.642420224961825,0,1,201,0.9313725490196079,0.9411764705882353,0.5895670056343079,0.5895670056343079,1.0,0.03098419851857453,0.896551724137931,0.8817733990147784,0.8768472906403941,0.7843137254901961,0.21568627450980393,0.05392156862745098,0.9427381222885273,0.004901960784313725,0.25574821863041486,0.8709762469587097,2.4885035627391705
GREATS,volume_gap_fashion_mnist,0,0.1,0.2,support,50,50,4000,1000,54,400,454,,0.31025,0.31025,,,,,0.8183943030890077,0,0,51,0.2777777777777778,0.3333333333333333,0.7585427165031433,0.7585427165031433,0.999854326248169,0.08834898556178471,0.7358490566037735,0.7358490566037735,0.6415094339622641,0.07407407407407407,0.9259259259259259,0.037037037037037035,0.9934234972488046,0.018518518518518517,0.2708768943424855,0.8603861739602601,2.458246211315029
GREATS,volume_gap_fashion_mnist,0,0.1,0.2,support,100,100,4000,1000,104,332,436,,0.28474999999999995,0.28475,,,,,1.7158168141031638,0,0,101,0.49038461538461536,0.5769230769230769,0.7734865546226501,0.7734865546226501,1.0000001192092896,0.0524794745792463,0.8252427184466019,0.8640776699029126,0.7961165048543689,0.4230769230769231,0.5769230769230769,0.19230769230769232,0.8376535983645119,0.009615384615384616,0.2272441775761875,0.8909290756966687,2.545511644847625
GREATS,volume_gap_fashion_mnist,0,0.1,0.2,support,200,200,4000,1000,204,237,441,,0.27175000000000005,0.27175,,,,,4.114329513045959,0,1,201,0.6421568627450981,0.7450980392156863,0.7464140057563782,0.7464140057563782,1.0000001192092896,0.029534946484812374,0.9064039408866995,0.9310344827586207,0.896551724137931,0.6274509803921569,0.37254901960784315,0.1323529411764706,0.8111198675232308,0.004901960784313725,0.2223586904127702,0.8943489167110606,2.5552826191744593
MaxLoss,volume_gap_fashion_mnist,0,0.1,0.4,support,50,50,3000,2000,54,275,329,0.12964329816168174,0.31325000000000003,0.31325,,,,,0.5869759770575911,0,0,51,0.8703703703703703,0.9074074074074074,0.6784488558769226,0.6784488558769226,1.0,0.030487236549269478,0.9622641509433962,0.9433962264150944,0.9433962264150944,0.6851851851851852,0.3148148148148148,0.14814814814814814,0.9005574867761142,0.018518518518518517,0.21882501356029352,0.8968224905077944,2.562349972879413
