dataset,method,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,group_revisit_rate_mean,group_revisit_rate_se,unique_group_fraction_mean,unique_group_fraction_se,max_group_selection_fraction_mean,max_group_selection_fraction_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se,dynamic_redundancy_weight_mean,dynamic_redundancy_weight_se
volume_gap_fashion_mnist,GREATS,0.1,0.0,support,100,5,100.0,0.0,104.0,0.0,1802.0,175.0705572048024,1906.0,175.0705572048024,,,0.34040000000000004,0.019727772302011202,0.34040000000000004,0.019727772302011195,,,,,,,,,2.487668725824915,0.05091455367806563,0.0,0.0,0.0,0.0,101.0,0.0,0.34423076923076923,0.009322461264262167,0.5884615384615384,0.018091238194448817,0.725279426574707,0.00351942293432787,0.725279426574707,0.00351942293432787,0.9999993443489075,5.071651312394773e-07,0.05134384626323737,0.0017382798517542619,0.8330097087378642,0.015473181990785673,0.8757281553398059,0.008351772103924899,0.8213592233009708,0.013240953103869755,0.3230769230769231,0.013800673167699349,0.676923076923077,0.01380067316769934,0.038461538461538464,0.0,0.9759204684386054,0.0015475335823120812,0.009615384615384616,0.0,0.25582176294882447,0.002872333823681688,0.8709247659358228,0.0020106336765771757,2.4883564741023507,0.005744667647363389
volume_gap_fashion_mnist,GREATS,0.1,0.0,support,200,5,200.0,0.0,204.0,0.0,1129.8,162.36483609451892,1333.8,162.36483609451892,,,0.3099,0.015497096502248401,0.30989999999999995,0.015497096502248417,,,,,,,,,5.749618095834739,0.10512623184533265,0.0,0.0,1.0,0.0,201.0,0.0,0.29411764705882354,0.014291548761875739,0.6901960784313725,0.013460323742888209,0.6922953963279724,0.00390773217936844,0.6922953963279724,0.00390773217936844,0.9999997735023498,1.1831184173392778e-07,0.02997136315688711,0.0010167833930052777,0.8896551724137931,0.012902266850944626,0.9192118226600986,0.0036863619574127454,0.8847290640394089,0.011297876789339625,0.5343137254901962,0.013951224971331076,0.46568627450980393,0.01395122497133108,0.053921568627450976,0.006932419423397524,0.9296768220896763,0.002979857162909256,0.004901960784313725,0.0,0.23416239825071533,0.0033886514679267103,0.8860863212244992,0.0023720560275486964,2.5316752034985694,0.006777302935853391
volume_gap_fashion_mnist,GREATS,0.1,0.0,support,50,5,50.0,0.0,54.0,0.0,2223.6,74.15699562414862,2277.6,74.15699562414862,,,0.4058,0.015372540453679072,0.4058,0.015372540453679081,,,,,,,,,1.116545402002521,0.02927157777060388,0.0,0.0,0.0,0.0,51.0,0.0,0.37407407407407406,0.02143673500516708,0.5777777777777777,0.01888525745775106,0.7646657466888428,0.006860363731877872,0.7646657466888428,0.006860363731877872,0.999997079372406,1.2333985557241317e-06,0.06622581335733521,0.0021105203010594676,0.8226415094339622,0.007547169811320753,0.8226415094339623,0.015328374348369733,0.7886792452830189,0.012515565246624148,0.2740740740740741,0.006928995160692485,0.725925925925926,0.0069289951606924735,0.04444444444444444,0.0045360921162651445,0.9827413196744249,0.0005898624754114038,0.018518518518518517,0.0,0.2583531653347907,0.004836913230734266,0.8691527842656462,0.0033858392615139826,2.4832936693304184,0.009673826461468537
volume_gap_fashion_mnist,GREATS,0.1,0.2,support,100,5,100.0,0.0,104.0,0.0,343.2,9.25418824100742,447.2,9.25418824100742,,,0.30569999999999997,0.008137259981099288,0.3057,0.008137259981099286,,,,,,,,,1.7307636796263979,0.01676247319980145,0.0,0.0,0.0,0.0,101.0,0.0,0.4749999999999999,0.02626250054566858,0.5307692307692309,0.03237972738554372,0.7686688780784607,0.00995698741642321,0.7686688780784607,0.00995698741642321,0.9999991178512573,4.533089003999601e-07,0.0510990345271901,0.0017460851545515318,0.8640776699029127,0.014400385411836253,0.8815533980582526,0.005661118344510023,0.8252427184466018,0.0092105174568011,0.35384615384615387,0.030769230769230767,0.6461538461538462,0.03076923076923078,0.15961538461538463,0.016542933205851203,0.8853287406883424,0.014968873049246472,0.009615384615384616,0.0,0.2264854872839158,0.0059421471881761735,0.8914601589012587,0.00415950303172332,2.5470290254321686,0.01188429437635234
volume_gap_fashion_mnist,GREATS,0.1,0.2,support,200,5,200.0,0.0,204.0,0.0,259.6,12.548306658669128,463.6,12.548306658669128,,,0.30010000000000003,0.00845044377532919,0.30010000000000003,0.008450443775329195,,,,,,,,,4.173735807812773,0.03569984894890168,0.0,0.0,1.0,0.0,201.0,0.0,0.6323529411764706,0.0101649222320234,0.7313725490196079,0.014325136466865158,0.759028971195221,0.006025605996743201,0.759028971195221,0.006025605996743201,0.9999998688697815,1.22733475458467e-07,0.029166440288605065,0.0004423946177150007,0.9192118226600986,0.005952239395859388,0.9310344827586207,0.0034832846363869294,0.8995073891625616,0.0036863619574127454,0.6058823529411765,0.01600473305619069,0.3941176470588235,0.016004733056190695,0.11372549019607843,0.007964743533956825,0.8226545433708784,0.009652949499450851,0.004901960784313725,0.0,0.21377905281053328,0.0029521357561827755,0.9003546630326266,0.0020664950293279726,2.572441894378934,0.005904271512365599
volume_gap_fashion_mnist,GREATS,0.1,0.2,support,50,5,50.0,0.0,54.0,0.0,387.8,9.850888284819801,441.8,9.850888284819801,,,0.3187,0.011262049103071778,0.3187,0.01126204910307179,,,,,,,,,0.8173956250306219,0.009141487662566184,0.0,0.0,0.0,0.0,51.0,0.0,0.29999999999999993,0.025793311624415036,0.39259259259259255,0.03722176155970701,0.7615616321563721,0.011108273346661417,0.7615616321563721,0.011108273346661417,0.9997916221618652,0.00015309959995536763,0.0804083331505645,0.003066002948409769,0.7584905660377359,0.018293131537420133,0.7811320754716982,0.01411946183688281,0.690566037735849,0.016448675258644047,0.15185185185185185,0.03902093982538051,0.8481481481481481,0.039020939825380505,0.09629629629629628,0.03767961101736259,0.9669935617645982,0.017640134008604567,0.018518518518518517,0.0,0.25764202161457744,0.007256775928677061,0.8696505848697956,0.005079743150073931,2.4847159567708452,0.014513551857354099
volume_gap_fashion_mnist,GREATS,0.1,0.4,support,100,5,100.0,0.0,104.0,0.0,236.2,8.434453153583817,340.2,8.434453153583817,,,0.3151,0.014879432112819358,0.3151,0.014879432112819358,,,,,,,,,1.688904161984101,0.008067091625602109,0.0,0.0,0.0,0.0,101.0,0.0,0.6096153846153847,0.03756158650889347,0.6442307692307692,0.04191248984173726,0.7008584856986999,0.005600583618493368,0.7008584856986999,0.005600583618493368,0.99999840259552,9.75660854548242e-07,0.048753247370274325,0.0037015773299198,0.8504854368932039,0.022686061059316365,0.8776699029126214,0.007887415926831048,0.8097087378640776,0.019562564737485313,0.4461538461538462,0.04423076923076922,0.5538461538461539,0.04423076923076922,0.12307692307692308,0.012683563421416265,0.8837668085235026,0.01686479858485504,0.009615384615384616,0.0,0.2520466608328434,0.005328235452769825,0.8735673374170098,0.0037297648169388737,2.4959066783343133,0.010656470905539634
volume_gap_fashion_mnist,GREATS,0.1,0.4,support,200,5,200.0,0.0,204.0,0.0,139.6,8.121576201698781,343.6,8.12157620169878,,,0.29579999999999995,0.01307846512401208,0.2958,0.01307846512401206,,,,,,,,,4.148662033374421,0.013217644313317557,0.0,0.0,1.0,0.0,201.0,0.0,0.7784313725490196,0.018562839439962234,0.7901960784313726,0.01776918525528613,0.6702917456626892,0.0058015268796782,0.6702917456626892,0.0058015268796782,0.9999997735023498,1.0044753281088302e-07,0.030587347675793863,0.0017674874237824398,0.8975369458128079,0.013880790939512687,0.9172413793103449,0.005702382710734095,0.8807881773399014,0.012206415461442237,0.6480392156862746,0.017427832190814882,0.35196078431372546,0.017427832190814882,0.07647058823529412,0.004802921064280742,0.8616526515244702,0.004302996883326852,0.004901960784313725,0.0,0.24202781551831562,0.004541700345208384,0.880580529137179,0.0031791902416458424,2.5159443689633685,0.00908340069041674
volume_gap_fashion_mnist,GREATS,0.1,0.4,support,50,5,50.0,0.0,54.0,0.0,282.8,8.278888814327681,336.8,8.278888814327681,,,0.32330000000000003,0.008398437354651164,0.32330000000000003,0.008398437354651163,,,,,,,,,0.7872072165831924,0.005600300654888565,0.0,0.0,0.0,0.0,51.0,0.0,0.40740740740740744,0.05943261679956006,0.5333333333333334,0.053479737326643156,0.7321268081665039,0.01184341707262791,0.7321268081665039,0.01184341707262791,0.9999782562255859,1.2219873835531798e-05,0.07272398668640065,0.004538964561482117,0.8226415094339622,0.024309620239104022,0.8188679245283019,0.012796849024764653,0.7584905660377359,0.022641509433962276,0.26666666666666666,0.03822179155657462,0.7333333333333333,0.03822179155657462,0.16296296296296295,0.03384382756017975,0.9334820845979486,0.017392820690809014,0.018518518518518517,0.0,0.2648628986412282,0.00549539002814983,0.8645959709511402,0.00384677301970488,2.4702742027175435,0.010990780056299656
volume_gap_fashion_mnist,MaxLoss,0.1,0.0,support,100,5,100.0,0.0,104.0,0.0,2412.8,236.26497836116124,2516.8,236.26497836116124,0.528839809098281,0.047495130247852194,0.4123,0.02658152553936664,0.4123,0.026581525539366616,,,,,,,,,1.7971266304142772,0.5200795572672138,0.0,0.0,0.0,0.0,101.0,0.0,0.43076923076923085,0.01406609503685365,0.7653846153846154,0.03792900562176157,0.7885273218154907,0.008560531699743383,0.7885273218154907,0.008560531699743383,0.9999999046325684,6.9510363278929e-08,0.04118457002547181,0.0022336515015403836,0.8466019417475728,0.02157874832125522,0.8679611650485437,0.01805929634731873,0.833009708737864,0.01902516305074314,0.5826923076923077,0.03474867499921664,0.4173076923076923,0.03474867499921664,0.11153846153846154,0.0049029033784546,0.8934905017566882,0.008434539199327538,0.009615384615384616,0.0,0.23220148597906426,0.006632736916211293,0.887458959814655,0.004642915841347908,2.5355970280418716,0.01326547383242263
