dataset,method,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,group_revisit_rate_mean,group_revisit_rate_se,unique_group_fraction_mean,unique_group_fraction_se,max_group_selection_fraction_mean,max_group_selection_fraction_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se,dynamic_redundancy_weight_mean,dynamic_redundancy_weight_se
manifold_group_noise_fashion_mnist,GREATS,0.1,0.0,support,100,5,100.0,0.0,104.0,0.0,1430.2,99.19949596646144,1534.2,99.19949596646144,,,0.39979999999999993,0.011503097408959032,0.39980000000000004,0.011503097408959034,,,,,,,,,2.4826711752219124,0.018098554343898513,0.0,0.0,0.0,0.0,101.0,0.0,0.08653846153846155,0.008044807947443037,0.5403846153846155,0.037659915437627194,0.6432249546051025,0.00245536410675282,0.6432249546051025,0.00245536410675282,0.9835724592208862,0.0010108999200737242,0.04242695724067179,0.0011664675935352993,0.9766990291262136,0.006584786391383752,0.9650485436893204,0.00237814538134289,0.9592233009708739,0.003632677074537805,0.23461538461538461,0.026612216352111626,0.7653846153846153,0.026612216352111633,0.04230769230769231,0.002355278598829979,0.972897009747417,0.0029395737912653055,0.009615384615384616,0.0,0.2264449265914263,0.0014060070149372452,0.624049891516929,0.00031635157836086043,1.5254552903747156,0.0007733038582154587
manifold_group_noise_fashion_mnist,GREATS,0.1,0.0,support,200,5,200.0,0.0,204.0,0.0,914.8,70.33590832569094,1118.8,70.33590832569094,,,0.3611,0.010892830210739531,0.3611,0.01089283021073954,,,,,,,,,5.559557183622383,0.02882911119588177,0.0,0.0,1.0,0.0,201.0,0.0,0.07941176470588235,0.0018341457778303619,0.49411764705882355,0.0123428218745237,0.6169925093650818,0.0030865373602483536,0.6169925093650818,0.0030865373602483536,0.9903715014457702,0.0006551986291613642,0.024639034010653427,0.0007029046558119071,0.993103448275862,0.0012066451934892486,0.993103448275862,0.0012066451934892488,0.9911330049261083,0.0018431809787063727,0.2892156862745098,0.01377791110054431,0.7107843137254903,0.013777911100544302,0.0303921568627451,0.0018341457778303643,0.9641238058240724,0.002457854783558299,0.004901960784313725,0.0,0.19200032292790525,0.001902418491283611,0.6317999273412214,0.0004280441605388091,1.5443998223896522,0.001046330170206
manifold_group_noise_fashion_mnist,GREATS,0.1,0.0,support,50,5,50.0,0.0,54.0,0.0,1976.0,87.78724280896398,2030.0,87.78724280896398,,,0.4516,0.011534892717316444,0.4516,0.011534892717316444,,,,,,,,,1.1790495158173144,0.010640832962134984,0.0,0.0,0.0,0.0,51.0,0.0,0.1,0.012559870339120864,0.5555555555555556,0.039717797388013364,0.6839061617851258,0.001995277291203149,0.6839061617851258,0.001995277291203149,0.9771945595741272,0.003033679461034723,0.06265660271329701,0.0010655738401772123,0.9283018867924528,0.009243357519936518,0.909433962264151,0.012515565246624148,0.8943396226415095,0.012796849024764653,0.13333333333333333,0.025793311624415036,0.8666666666666666,0.02579331162441504,0.05555555555555556,0.005856069741052554,0.9851535858418894,0.0033560509946684255,0.018518518518518517,0.0,0.25492882412966317,0.0021044406354844246,0.6176410145708259,0.00047349914298397904,1.5097891467286852,0.0011574423495164215
manifold_group_noise_fashion_mnist,GREATS,0.1,0.05,support,100,5,100.0,0.0,104.0,0.0,601.6,30.689737698455488,705.6,30.689737698455488,,,0.3414499999999999,0.010341179816636015,0.34145000000000003,0.01034117981663601,,,,,,,,,2.0166785317705944,0.020320473528172487,0.0,0.0,0.0,0.0,101.0,0.0,0.07692307692307691,0.010963225241337865,0.4115384615384615,0.02709423616077955,0.6888957738876342,0.009772187655516929,0.6888957738876342,0.009772187655516929,0.9835747480392456,0.0019359923577883043,0.04499193718566478,0.0019982192592081956,0.9728155339805825,0.00475629076268578,0.9572815533980583,0.009512581525371561,0.9475728155339805,0.009003513102423009,0.16923076923076924,0.018644922528524344,0.8307692307692308,0.01864492252852435,0.046153846153846156,0.004710557197659958,0.9786531276593615,0.0037493337240197344,0.009615384615384616,0.0,0.220915251535778,0.005158618260498962,0.6252940684044499,0.001160689108612277,1.528496611655322,0.0028372400432744613
manifold_group_noise_fashion_mnist,GREATS,0.1,0.05,support,200,5,200.0,0.0,204.0,0.0,363.2,31.410826159144555,567.2,31.410826159144555,,,0.3154,0.00586120721353545,0.3154,0.005861207213535448,,,,,,,,,4.667380603193306,0.038366436916325804,0.0,0.0,1.0,0.0,201.0,0.0,0.06274509803921569,0.00392156862745098,0.34705882352941175,0.00811418890061121,0.6477299213409424,0.005243827511825451,0.6477299213409424,0.005243827511825451,0.9910219192504883,0.0008609271500505376,0.02508222674538056,0.000501148971817824,0.994088669950739,0.0009852216748768461,0.9911330049261083,0.000985221674876846,0.9911330049261083,0.000985221674876846,0.17450980392156862,0.005502437333491089,0.8254901960784313,0.005502437333491091,0.026470588235294117,0.0012007302660701853,0.9792002054709469,0.0007243982521589666,0.004901960784313725,0.0,0.1903040049430079,0.0015942801216586487,0.6321815988878232,0.000358713027373204,1.5453327972813458,0.00087685406691227
manifold_group_noise_fashion_mnist,GREATS,0.1,0.05,support,50,5,50.0,0.0,54.0,0.0,775.8,30.229786635039286,829.8,30.229786635039286,,,0.35269999999999996,0.0110253684745681,0.35269999999999996,0.01102536847456809,,,,,,,,,0.9871897664153948,0.014771681539126605,0.0,0.0,0.0,0.0,51.0,0.0,0.08148148148148147,0.016144070161261754,0.45555555555555555,0.03997598730541279,0.7939607620239257,0.008058716894101715,0.7939607620239257,0.008058716894101715,0.9618246555328369,0.0036173919169062065,0.08610860401729367,0.0005099927054345395,0.7584905660377358,0.013865036279904796,0.7886792452830189,0.009243357519936518,0.7018867924528303,0.015094339622641503,0.12962962962962962,0.040992488187367886,0.8703703703703702,0.04099248818736788,0.06666666666666668,0.012559870339120864,0.9792017568964232,0.008787291992600107,0.018518518518518517,0.0,0.2476040967380056,0.0032661794414143882,0.6192890782339489,0.0007348903743182425,1.513817746794097,0.0017963986927779232
manifold_group_noise_fashion_mnist,GREATS,0.1,0.1,support,100,5,100.0,0.0,104.0,0.0,334.4,26.800373131730833,438.4,26.800373131730833,,,0.3314,0.012968615963162764,0.3314,0.012968615963162762,,,,,,,,,1.9134614169830457,0.03138668260735756,0.0,0.0,0.0,0.0,101.0,0.0,0.07884615384615386,0.00932246126426217,0.4211538461538461,0.03266401490665967,0.7398743152618408,0.005608028432242928,0.7398743152618408,0.005608028432242928,0.9791197657585144,0.001440492185732137,0.048816179636034,0.0015461814747736852,0.9514563106796118,0.011487533559416724,0.9398058252427184,0.003632677074537805,0.9281553398058253,0.010898031223613417,0.20192307692307693,0.026507786061711967,0.7980769230769231,0.026507786061711957,0.04230769230769231,0.004902903378454601,0.9732202666003014,0.004666134915565328,0.009615384615384616,0.0,0.21821580676097224,0.0025425047300349783,0.6259014434787813,0.0005720635642578578,1.5299813062814653,0.0013983776015192397
manifold_group_noise_fashion_mnist,GREATS,0.1,0.1,support,200,5,200.0,0.0,204.0,0.0,184.4,26.187019685332654,388.4,26.187019685332654,,,0.30785,0.007727629002481932,0.30785,0.007727629002481938,,,,,,,,,4.424963862984441,0.060975397557756626,0.0,0.0,1.0,0.0,201.0,0.0,0.05490196078431372,0.004216826111295406,0.31666666666666665,0.01952187034484302,0.6497451901435852,0.0052917762506337835,0.6497451901435852,0.0052917762506337835,0.9927210450172425,0.0018644200759993321,0.028198546819902703,0.0004934647403350996,0.9921182266009853,0.0012066451934892488,0.9891625615763546,0.002872390095982903,0.986206896551724,0.002872390095982903,0.1715686274509804,0.014122412049890133,0.8284313725490196,0.014122412049890133,0.02941176470588236,0.0015501361079256768,0.9777836814027694,0.0022228976713582547,0.004901960784313725,0.0,0.1989920838691693,0.0014353658881493812,0.630226781129437,0.00032295732483362014,1.5405543538719573,0.0007894512384821444
manifold_group_noise_fashion_mnist,GREATS,0.1,0.1,support,50,5,50.0,0.0,54.0,0.0,688.0,53.58917801198298,742.0,53.58917801198298,,,0.33945,0.011303318096912958,0.33945,0.011303318096912958,,,,,,,,,0.9527282211696729,0.019179136879574024,0.0,0.0,0.0,0.0,51.0,0.0,0.1,0.016144070161261754,0.47777777777777775,0.04358741591088823,0.7929780721664429,0.012843522197186574,0.7929780721664429,0.012843522197186574,0.9671844124794007,0.005828422468995956,0.09707095836693384,0.004945921251226264,0.649056603773585,0.06686809489309188,0.7056603773584905,0.03559992880021361,0.5773584905660377,0.06552360511013335,0.16296296296296295,0.031752644813856014,0.837037037037037,0.03175264481385601,0.07037037037037037,0.010798059064528333,0.9736700919240306,0.007684525721962513,0.018518518518518517,0.0,0.2600576920858267,0.008511301271438402,0.616487019280689,0.0019150427860736485,1.5069682693527955,0.004681215699291127
manifold_group_noise_fashion_mnist,MaxLoss,0.1,0.0,support,100,5,100.0,0.0,104.0,0.0,1853.8,84.02761450856498,1957.8,84.02761450856498,0.4166234165430069,0.017024671102473934,0.42969999999999997,0.014151722509998552,0.42969999999999997,0.01415172250999856,,,,,,,,,1.3990756841842085,0.09395715227821916,0.0,0.0,0.0,0.0,101.0,0.0,0.06153846153846153,0.0057692307692307696,0.425,0.024210919830796474,0.6429955244064331,0.00412599473706158,0.6429955244064331,0.00412599473706158,0.9855688333511352,0.0004267209900834881,0.042675624165720155,0.001197607791727443,0.978640776699029,0.001941747572815533,0.966990291262136,0.003883495145631066,0.9592233009708739,0.003632677074537805,0.18653846153846151,0.015081141482075117,0.8134615384615385,0.015081141482075113,0.044230769230769226,0.002355278598829979,0.9750297453248769,0.00295275809440391,0.009615384615384616,0.0,0.2268658046886686,0.001174113732983938,0.6239551939450496,0.00026417558992138817,1.5252238074212323,0.0006457625531411967
