method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu,dynamic_redundancy_weight
MaxLoss,volume_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,5000,0,54,453,507,0.11647169588832185,0.37450000000000006,0.3745,,,,,2.9310588310472667,0,0,51,0.037037037037037035,0.37037037037037035,0.6976980566978455,0.6976980566978455,0.9907436370849609,0.05242288646832952,0.9433962264150944,0.9433962264150944,0.9245283018867925,0.0,1.0,0.018518518518518517,1.0000000000000002,0.018518518518518517,0.2329954583745527,0.8869031791378129,2.5340090832508944
MaxLoss,volume_group_noise_fashion_mnist,0,0.1,0.0,support,100,52,5000,0,56,0,56,0.016477514640428126,0.3135,0.3135,,,,,3.0081265210174024,1,0,53,0.03571428571428571,0.39285714285714285,0.6504772901535034,0.6504772901535034,0.9839757680892944,0.05480923666195436,0.9818181818181818,0.9454545454545454,0.9454545454545454,0.0,1.0,0.017857142857142856,1.0,0.017857142857142856,0.24636963617298777,0.8775412546789085,2.5072607276540246
MaxLoss,volume_group_noise_fashion_mnist,0,0.1,0.0,support,200,52,5000,0,56,0,56,0.016477514640428126,0.3135,0.3135,,,,,3.056961748050526,1,0,53,0.03571428571428571,0.39285714285714285,0.6504772901535034,0.6504772901535034,0.9839757680892944,0.05480923666195436,0.9818181818181818,0.9454545454545454,0.9454545454545454,0.0,1.0,0.017857142857142856,1.0,0.017857142857142856,0.24636963617298777,0.8775412546789085,2.5072607276540246
PU-R,volume_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,5000,0,54,6,60,0.01745094923535362,0.31875,0.31875,,,,,0.8811228879494593,0,0,51,0.05555555555555555,0.3333333333333333,0.6207071542739868,0.6207071542739868,0.9838728308677673,0.06178075605827683,0.9811320754716981,0.9433962264150944,0.9433962264150944,0.0,1.0,0.018518518518518517,1.0000000000000002,0.018518518518518517,0.25933790297890424,0.868463467914767,2.4813241940421915
PU-R,volume_group_noise_fashion_mnist,0,0.1,0.0,support,100,51,5000,0,55,0,55,0.016233238100539893,0.29825,0.29825,,,,,0.9461820119759068,1,0,52,0.05454545454545454,0.32727272727272727,0.618988037109375,0.618988037109375,0.9827200174331665,0.059580527901373526,0.9814814814814815,0.9444444444444444,0.9444444444444444,0.0,1.0,0.01818181818181818,1.0,0.01818181818181818,0.2563768899488088,0.8705361770358337,2.4872462201023824
PU-R,volume_group_noise_fashion_mnist,0,0.1,0.0,support,200,51,5000,0,55,0,55,0.016233238100539893,0.29825,0.29825,,,,,0.9932541738962755,1,0,52,0.05454545454545454,0.32727272727272727,0.618988037109375,0.618988037109375,0.9827200174331665,0.059580527901373526,0.9814814814814815,0.9444444444444444,0.9444444444444444,0.0,1.0,0.01818181818181818,1.0,0.01818181818181818,0.2563768899488088,0.8705361770358337,2.4872462201023824
PU-R-Vol,volume_group_noise_fashion_mnist,0,0.1,0.0,support,50,46,5000,0,50,0,50,0.015005850116722286,0.28374999999999995,0.28375,,,,,0.8255072199972346,1,0,47,0.04,0.32,0.6498151421546936,0.6498151421546936,0.9863890409469604,0.06372653845013404,0.9591836734693877,0.9387755102040817,0.9183673469387755,0.0,1.0,0.02,0.9999999999999999,0.02,0.2564697819484727,0.8704711526360691,2.4870604361030546
PU-R-Vol,volume_group_noise_fashion_mnist,0,0.1,0.0,support,100,46,5000,0,50,0,50,0.015005850116722286,0.28374999999999995,0.28375,,,,,0.8652585359523073,1,0,47,0.04,0.32,0.6498151421546936,0.6498151421546936,0.9863890409469604,0.06372653845013404,0.9591836734693877,0.9387755102040817,0.9183673469387755,0.0,1.0,0.02,0.9999999999999999,0.02,0.2564697819484727,0.8704711526360691,2.4870604361030546
PU-R-Vol,volume_group_noise_fashion_mnist,0,0.1,0.0,support,200,46,5000,0,50,0,50,0.015005850116722286,0.28374999999999995,0.28375,,,,,0.9044885829789564,1,0,47,0.04,0.32,0.6498151421546936,0.6498151421546936,0.9863890409469604,0.06372653845013404,0.9591836734693877,0.9387755102040817,0.9183673469387755,0.0,1.0,0.02,0.9999999999999999,0.02,0.2564697819484727,0.8704711526360691,2.4870604361030546
GREATS,volume_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,5000,0,54,6,60,,0.279,0.279,,,,,0.8339278330095112,0,0,51,0.05555555555555555,0.3888888888888889,0.6503887176513672,0.6503887176513672,0.9928282499313354,0.0502653439652245,0.9811320754716981,0.9245283018867925,0.9245283018867925,0.018518518518518517,0.9814814814814815,0.037037037037037035,0.9982419467035817,0.018518518518518517,0.23529289863648828,0.8852949709544582,2.5294142027270237
