method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.0,100,100,5000,0,104,2271,2375,0.5008699274621904,0.47524999999999995,0.47525,,,,,2.0278521049767733,0,1,101,0.36538461538461536,0.5865384615384616,0.6856171488761902,0.6856171488761902,0.9978446960449219,0.051157482764095936,0.9223300970873787,0.9320388349514563,0.9029126213592233,0.9782823907994933,0.41346153846153844,0.2404518504890702,1.3797740747554648
Marginal,boundary_duplicate_fashion_mnist,0,0.3,0.0,100,100,5000,0,104,1946,2050,0.43535496370168403,0.32125000000000004,0.32125,,,,,1.9941321518272161,0,1,101,0.28846153846153844,0.75,0.597317636013031,0.597317636013031,0.9969769716262817,0.026928305980812722,0.9902912621359223,0.9805825242718447,0.9805825242718447,0.8112781244591328,0.25,0.20108951738410036,1.3994552413079497
EL2N,boundary_duplicate_fashion_mnist,0,0.3,0.0,100,100,5000,0,104,2415,2519,0.5297556085279211,0.48450000000000004,0.4845,,,,,2.1340237725526094,0,1,101,0.4230769230769231,0.6442307692307693,0.6817936301231384,0.6817936301231384,0.9999961853027344,0.05409845160049142,0.883495145631068,0.9223300970873787,0.8543689320388349,0.9391151961320353,0.3557692307692308,0.24461396818677955,1.37769301590661
GraNdLast,boundary_duplicate_fashion_mnist,0,0.3,0.0,100,100,5000,0,104,2335,2439,0.5137187464861199,0.45599999999999996,0.456,,,,,2.062546438537538,0,1,101,0.41346153846153844,0.5961538461538461,0.6819664239883423,0.6819664239883423,0.9989437460899353,0.05288495796108709,0.9320388349514563,0.9320388349514563,0.9029126213592233,0.9731560354421095,0.40384615384615385,0.24714928811147513,1.3764253559442623
RHO-PretrainRef,boundary_duplicate_fashion_mnist,0,0.3,0.0,100,100,5000,0,104,2639,2743,0.574515329382848,0.5700000000000001,0.57,,,,,2.454853592440486,0,1,101,0.4230769230769231,0.6057692307692307,0.6923707723617554,0.6923707723617554,0.9999970197677612,0.05701322188076464,0.8349514563106796,0.8932038834951457,0.8349514563106796,0.9674756088157445,0.3942307692307692,0.2536327112209203,1.37318364438954
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.0,100,100,5000,0,104,2152,2256,0.47693339869147167,0.44399999999999995,0.444,,,,,3.0773414857685566,0,1,101,0.36538461538461536,0.7019230769230769,0.6064637899398804,0.6064637899398804,0.9896643161773682,0.04692306904827507,0.970873786407767,0.9320388349514563,0.9320388349514563,0.8789274256388384,0.2980769230769231,0.23478064556721176,1.382609677216394
GREATS,boundary_duplicate_fashion_mnist,0,0.3,0.0,100,100,5000,0,104,2332,2436,,0.4305,0.4305,,,,,3.206883816048503,0,1,101,0.4326923076923077,0.8653846153846154,0.693724513053894,0.693724513053894,0.9999845623970032,0.05084491181142122,0.912621359223301,0.9514563106796117,0.883495145631068,0.56996137604035,0.1346153846153846,0.24019171171612141,1.3799041441419393
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.1,100,100,4500,500,104,2083,2187,0.5132118969922885,0.44575,0.44575,,,,,1.496301731094718,0,1,101,0.3557692307692308,0.6826923076923077,0.6720910668373108,0.6720910668373108,0.9998396635055542,0.05464121409990255,0.8737864077669902,0.9223300970873787,0.8349514563106796,0.9014296082981941,0.3173076923076923,0.24849146044263104,1.3757542697786844
Marginal,boundary_duplicate_fashion_mnist,0,0.3,0.1,100,100,4500,500,104,1732,1836,0.43460758886067197,0.32925000000000004,0.32925,,,,,1.865739711560309,0,1,101,0.3269230769230769,0.7884615384615384,0.61066734790802,0.61066734790802,0.9981892108917236,0.025420376330216245,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.7444131797881749,0.21153846153846154,0.19448036267334393,1.402759818663328
EL2N,boundary_duplicate_fashion_mnist,0,0.3,0.1,100,100,4500,500,104,2195,2299,0.5381518572685309,0.44825000000000004,0.44825,,,,,2.086214518174529,0,1,101,0.3942307692307692,0.6346153846153846,0.6692735552787781,0.6692735552787781,0.9969033002853394,0.051270763561563584,0.941747572815534,0.9514563106796117,0.9223300970873787,0.9470622432515329,0.36538461538461536,0.23799751110987571,1.3810012444450621
