method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,fashion_mnist,0,0.0,0.0,50,50,5000,0,70,3054,3124,0.650146379484795,0.4475,0.6326,,,,,3.3012795839458704,0,1,51,0.0,0.0,0.7230761647224426,0.7230761647224426,0.9924450516700745,0.0486594768969909,0.8115942028985508,0.8985507246376812,0.8115942028985508,0.0,0.0,0.26821452378902294,1.3658927381054884
Marginal,fashion_mnist,0,0.0,0.0,50,50,5000,0,70,1682,1752,0.37487764470279217,0.3125,0.3551,,,,,0.8506144117563963,0,1,51,0.0,0.0,0.6664531826972961,0.6664531826972961,0.9969125986099243,0.03585253353568091,0.8985507246376812,0.9130434782608695,0.8840579710144928,0.0,0.0,0.27646016255928824,1.361769918720356
EL2N,fashion_mnist,0,0.0,0.0,50,50,5000,0,70,2915,2985,0.622629254066851,0.4596,0.6024,,,,,0.9206188153475523,0,1,51,0.0,0.0,0.6832981109619141,0.6832981109619141,0.9949082136154175,0.04348151558551235,0.8985507246376812,0.8985507246376812,0.8840579710144928,0.0,0.0,0.27959759968742565,1.360201200156287
GraNdLast,fashion_mnist,0,0.0,0.0,50,50,5000,0,70,2690,2760,0.5779035607120022,0.44589999999999996,0.5634,,,,,1.0406593699008226,0,1,51,0.0,0.0,0.6668395400047302,0.6668395400047302,0.9968442916870117,0.044153524049814194,0.8985507246376812,0.8985507246376812,0.8985507246376812,0.0,0.0,0.2765504289389441,1.361724785530528
RHO-PretrainRef,fashion_mnist,0,0.0,0.0,50,50,5000,0,70,3321,3391,0.7027431413298473,0.46240000000000003,0.6725,,,,,1.0874317893758416,0,1,51,0.0,0.0,0.7360132336616516,0.7360132336616516,0.990670919418335,0.04482692048169565,0.8695652173913043,0.9130434782608695,0.8695652173913043,0.0,0.0,0.2558949166647039,1.3720525416676481
PU-R,fashion_mnist,0,0.0,0.0,50,50,5000,0,70,1972,2042,0.4337365824030712,0.35960000000000003,0.4039,,,,,1.3054830441251397,0,1,51,0.0,0.0,0.6991682648658752,0.6991682648658752,0.9890732765197754,0.03677068499551303,0.927536231884058,0.927536231884058,0.9130434782608695,0.0,0.0,0.27122443194745693,1.3643877840262715
GREATS,fashion_mnist,0,0.0,0.0,50,50,5000,0,70,3123,3193,,0.46409999999999996,0.6478,,,,,1.6256238156929612,0,1,51,0.0,0.0,0.726386308670044,0.726386308670044,0.9918712973594666,0.04621513403844142,0.8695652173913043,0.8985507246376812,0.8405797101449275,0.0,0.0,0.26997689277870396,1.365011553610648
MaxLoss,fashion_mnist,0,0.0,0.1,50,50,4500,500,70,2764,2834,0.656320336740464,0.45099999999999996,0.6392,,,,,0.5859689405187964,0,1,51,0.0,0.0,0.7218427062034607,0.7218427062034607,0.9920905828475952,0.04638912258804708,0.855072463768116,0.8985507246376812,0.8405797101449275,0.0,0.0,0.2650582870107863,1.3674708564946068
Marginal,fashion_mnist,0,0.0,0.1,50,50,4500,500,70,1382,1452,0.3478067035903223,0.2986,0.3183,,,,,0.7907348610460758,0,1,51,0.0,0.0,0.62514728307724,0.62514728307724,0.9981896281242371,0.03298448544481526,0.927536231884058,0.927536231884058,0.9130434782608695,0.0,0.0,0.29071046568962505,1.3546447671551873
EL2N,fashion_mnist,0,0.0,0.1,50,50,4500,500,70,2497,2567,0.5975501401699148,0.41700000000000004,0.5733,,,,,0.9092080742120743,0,1,51,0.0,0.0,0.6901755332946777,0.6901755332946777,0.9924253821372986,0.045456161317617996,0.8405797101449275,0.8985507246376812,0.8115942028985508,0.0,0.0,0.28160442024675586,1.359197789876622
GraNdLast,fashion_mnist,0,0.0,0.1,50,50,4500,500,70,2351,2421,0.565240649797488,0.45489999999999997,0.5507,,,,,0.9062991747632623,0,1,51,0.0,0.0,0.6418197154998779,0.6418197154998779,0.995305597782135,0.047358866619027176,0.8695652173913043,0.8840579710144928,0.8695652173913043,0.0,0.0,0.29125635702198577,1.354371821489007
RHO-PretrainRef,fashion_mnist,0,0.0,0.1,50,50,4500,500,70,2228,2298,0.5379294813610613,0.3637,0.5178,,,,,0.958126905374229,0,1,51,0.0,0.0,0.7268543839454651,0.7268543839454651,0.9896285533905029,0.04246327648128288,0.8695652173913043,0.927536231884058,0.8695652173913043,0.0,0.0,0.2568111330448413,1.3715944334775794
PU-R,fashion_mnist,0,0.0,0.1,50,50,4500,500,70,1506,1576,0.3759334897622466,0.32220000000000004,0.3514,,,,,1.1371413301676512,0,1,51,0.0,0.0,0.6954345107078552,0.6954345107078552,0.9941402673721313,0.04068226507608441,0.8840579710144928,0.927536231884058,0.8840579710144928,0.0,0.0,0.27845275711473744,1.3607736214426311
GREATS,fashion_mnist,0,0.0,0.1,50,50,4500,500,70,2177,2247,,0.379,0.4969,,,,,1.4079435039311647,0,1,51,0.0,0.0,0.7212384343147278,0.7212384343147278,0.9877257347106934,0.04469181143719217,0.8695652173913043,0.8985507246376812,0.8405797101449275,0.0,0.0,0.2711449964109926,1.3644275017945038
MaxLoss,fashion_mnist,0,0.0,0.2,50,50,4000,1000,70,2283,2353,0.616736066993326,0.40769999999999995,0.6017,,,,,0.5432343622669578,0,1,51,0.0,0.0,0.7229564189910889,0.7229564189910889,0.985679030418396,0.043839906004891877,0.8695652173913043,0.927536231884058,0.8695652173913043,0.0,0.0,0.2648868734847317,1.367556563257634
Marginal,fashion_mnist,0,0.0,0.2,50,50,4000,1000,70,1379,1449,0.3896488739992492,0.3315,0.3661,,,,,0.717970123514533,0,1,51,0.0,0.0,0.6558635830879211,0.6558635830879211,0.9978335499763489,0.033457431240358215,0.9130434782608695,0.9420289855072463,0.8985507246376812,0.0,0.0,0.2864642139749599,1.35676789301252
EL2N,fashion_mnist,0,0.0,0.2,50,50,4000,1000,70,2247,2317,0.6078086558845825,0.44810000000000005,0.5892,,,,,0.7693011881783605,0,1,51,0.0,0.0,0.6412587761878967,0.6412587761878967,0.9940900802612305,0.04578875501950582,0.8695652173913043,0.8985507246376812,0.8405797101449275,0.0,0.0,0.2984827461058978,1.350758626947051
GraNdLast,fashion_mnist,0,0.0,0.2,50,50,4000,1000,70,2055,2125,0.5600303984829225,0.42379999999999995,0.5245,,,,,0.8224003314971924,0,1,51,0.0,0.0,0.6425665616989136,0.6425665616989136,0.9983400702476501,0.04153844670972962,0.8985507246376812,0.8985507246376812,0.8840579710144928,0.0,0.0,0.28648085306825677,1.3567595734658715
RHO-PretrainRef,fashion_mnist,0,0.0,0.2,50,50,4000,1000,70,2200,2270,0.5961385138798505,0.40480000000000005,0.5775,,,,,0.8813321702182293,0,1,51,0.0,0.0,0.7354040741920471,0.7354040741920471,0.984419047832489,0.04334519609161045,0.8695652173913043,0.9130434782608695,0.855072463768116,0.0,0.0,0.2563078916649447,1.3718460541675277
PU-R,fashion_mnist,0,0.0,0.2,50,50,4000,1000,70,1368,1438,0.3868477720534429,0.3104,0.3626,,,,,1.0383943393826485,0,1,51,0.0,0.0,0.6943635940551758,0.6943635940551758,0.9949816465377808,0.03627382499584253,0.9130434782608695,0.9565217391304348,0.9130434782608695,0.0,0.0,0.26989316418781395,1.365053417906093
GREATS,fashion_mnist,0,0.0,0.2,50,50,4000,1000,70,1922,1992,,0.37160000000000004,0.5042,,,,,1.2217810144647956,0,1,51,0.0,0.0,0.7107993960380554,0.7107993960380554,0.986725389957428,0.04423347547434378,0.8260869565217391,0.8840579710144928,0.7971014492753623,0.0,0.0,0.276591283103936,1.361704358448032
MaxLoss,fashion_mnist,0,0.0,0.3,50,50,3500,1500,70,1950,2020,0.6075308307190426,0.4407,0.5854,,,,,0.5275115994736552,0,1,51,0.0,0.0,0.7068386673927307,0.7068386673927307,0.9900325536727905,0.04811365168163742,0.8115942028985508,0.8985507246376812,0.7971014492753623,0.0,0.0,0.27195941408880137,1.3640202929555993
Marginal,fashion_mnist,0,0.0,0.3,50,50,3500,1500,70,1204,1274,0.39319792768219486,0.3398,0.3687,,,,,0.6917904671281576,0,1,51,0.0,0.0,0.6554036736488342,0.6554036736488342,0.9964442253112793,0.04186000081076138,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.0,0.0,0.2881777880519205,1.3559111059740396
EL2N,fashion_mnist,0,0.0,0.3,50,50,3500,1500,70,1841,1911,0.576569975935854,0.41769999999999996,0.5601,,,,,0.7255336586385965,0,1,51,0.0,0.0,0.7124115228652954,0.7124115228652954,0.9906052350997925,0.04274936711442643,0.8695652173913043,0.8985507246376812,0.855072463768116,0.0,0.0,0.2708849158784996,1.36455754206075
GraNdLast,fashion_mnist,0,0.0,0.3,50,50,3500,1500,70,1969,2039,0.6129148810287006,0.4989,0.5825,,,,,0.7748622111976147,0,1,51,0.0,0.0,0.6650197505950928,0.6650197505950928,0.997177004814148,0.04287939162357994,0.8985507246376812,0.8840579710144928,0.8840579710144928,0.0,0.0,0.27462394180981425,1.362688029095093
RHO-PretrainRef,fashion_mnist,0,0.0,0.3,50,50,3500,1500,70,2117,2187,0.6547196721076034,0.4747,0.6402,,,,,0.8224740894511342,0,1,51,0.0,0.0,0.7257202863693237,0.7257202863693237,0.9907093644142151,0.04480254606924195,0.855072463768116,0.9130434782608695,0.855072463768116,0.0,0.0,0.2613028464596089,1.3693485767701956
PU-R,fashion_mnist,0,0.0,0.3,50,50,3500,1500,70,1438,1508,0.4610448788735084,0.40159999999999996,0.4367,,,,,1.0212537935003638,0,1,51,0.0,0.0,0.6747540235519409,0.6747540235519409,0.9901624917984009,0.0391387898420942,0.855072463768116,0.927536231884058,0.8405797101449275,0.0,0.0,0.2851495291902553,1.3574252354048724
GREATS,fashion_mnist,0,0.0,0.3,50,50,3500,1500,70,1496,1566,,0.3499,0.4609,,,,,1.1610705368220806,0,1,51,0.0,0.0,0.7222694754600525,0.7222694754600525,0.9924689531326294,0.04700722081073816,0.855072463768116,0.9130434782608695,0.855072463768116,0.0,0.0,0.27400248710772607,1.362998756446137
MaxLoss,fashion_mnist,0,0.0,0.4,50,50,3000,2000,70,1669,1739,0.6122670446638949,0.42610000000000003,0.5921,,,,,0.5040710121393204,0,1,51,0.0,0.0,0.7197772860527039,0.7197772860527039,0.9890904426574707,0.045941067130669304,0.855072463768116,0.9130434782608695,0.8405797101449275,0.0,0.0,0.2600376300079267,1.3699811849960366
