method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,fashion_mnist,0,0.3,0.0,50,50,5000,0,70,4840,4910,0.9887604795512743,0.7852,0.9773,,,,,1.1111432556062937,0,1,51,0.6857142857142857,0.0,0.7948518395423889,0.7948518395423889,0.9871264696121216,0.05198677899180979,0.7536231884057971,0.855072463768116,0.7536231884057971,0.0,0.0,0.24144225073359682,1.3792788746332016
Marginal,fashion_mnist,0,0.3,0.0,50,50,5000,0,70,3162,3232,0.6714639603160322,0.40480000000000005,0.5053,,,,,0.8843189347535372,0,1,51,0.3142857142857143,0.0,0.7039281129837036,0.7039281129837036,0.9938560724258423,0.03695483959239462,0.8115942028985508,0.8985507246376812,0.782608695652174,0.0,0.0,0.2755329189217045,1.3622335405391477
EL2N,fashion_mnist,0,0.3,0.0,50,50,5000,0,70,4703,4773,0.9655570998438634,0.7128,0.9443,,,,,0.9111843341961503,0,1,51,0.5857142857142857,0.0,0.7729752659797668,0.7729752659797668,0.9979402422904968,0.046459912389948746,0.8115942028985508,0.855072463768116,0.7971014492753623,0.0,0.0,0.2502225010461633,1.3748887494769184
GraNdLast,fashion_mnist,0,0.3,0.0,50,50,5000,0,70,4233,4303,0.8789865559665486,0.6752,0.8039,,,,,0.9940731190145016,0,1,51,0.5428571428571428,0.0,0.7463615536689758,0.7463615536689758,0.9953055381774902,0.0510881819586823,0.7391304347826086,0.8695652173913043,0.7391304347826086,0.0,0.0,0.26540453728276425,1.3672977313586179
RHO-PretrainRef,fashion_mnist,0,0.3,0.0,50,50,5000,0,70,4848,4918,0.990023379039485,0.8071,0.9797,,,,,1.0636073630303144,0,1,51,0.7,0.0,0.7931997776031494,0.7931997776031494,0.9816359877586365,0.05266960634701494,0.7391304347826086,0.8260869565217391,0.7391304347826086,0.0,0.0,0.24475657292774303,1.3776217135361284
PU-R,fashion_mnist,0,0.3,0.0,50,50,5000,0,70,3914,3984,0.8180967193329707,0.6612,0.7249,,,,,1.4325016643851995,0,1,51,0.45714285714285713,0.0,0.7421143054962158,0.7421143054962158,0.9898864030838013,0.041860121747721794,0.855072463768116,0.8840579710144928,0.8260869565217391,0.0,0.0,0.26361562430951024,1.3681921878452448
GREATS,fashion_mnist,0,0.3,0.0,50,50,5000,0,70,4787,4857,,0.7916,0.9644,,,,,1.732219253666699,0,1,51,0.7,0.0,0.7824140787124634,0.7824140787124634,0.9955066442489624,0.04996426381926606,0.7536231884057971,0.8405797101449275,0.7391304347826086,0.0,0.0,0.2550403182422053,1.3724798408788974
MaxLoss,fashion_mnist,0,0.3,0.1,50,50,4500,500,70,4303,4373,0.9807580307824537,0.7806,0.9636,,,,,0.568909497000277,0,1,51,0.7142857142857143,0.0,0.7827664017677307,0.7827664017677307,0.9871931076049805,0.05305330044981362,0.7536231884057971,0.8695652173913043,0.7536231884057971,0.0,0.0,0.25292563819782776,1.3735371809010861
Marginal,fashion_mnist,0,0.3,0.1,50,50,4500,500,70,2632,2702,0.6273178145638667,0.3892,0.4539,,,,,0.8044843878597021,0,1,51,0.2571428571428571,0.0,0.6715927720069885,0.6715927720069885,0.9966179728507996,0.03804253495257834,0.855072463768116,0.8840579710144928,0.8260869565217391,0.0,0.0,0.28835635666868453,1.3558218216656577
EL2N,fashion_mnist,0,0.3,0.1,50,50,4500,500,70,4297,4367,0.979644866194576,0.747,0.9635,,,,,0.8758874982595444,0,1,51,0.6714285714285714,0.0,0.7680597305297852,0.7680597305297852,0.9932906031608582,0.047251208104949066,0.8115942028985508,0.8695652173913043,0.8115942028985508,0.0,0.0,0.2563898244683625,1.3718050877658188
GraNdLast,fashion_mnist,0,0.3,0.1,50,50,4500,500,70,3883,3953,0.8966335458098911,0.6880999999999999,0.8367,,,,,0.9476173650473356,0,1,51,0.5142857142857142,0.0,0.7449860572814941,0.7449860572814941,0.9976475238800049,0.04739340837450995,0.782608695652174,0.8840579710144928,0.782608695652174,0.0,0.0,0.2619024991794177,1.369048750410291
RHO-PretrainRef,fashion_mnist,0,0.3,0.1,50,50,4500,500,70,4291,4361,0.9785260196658783,0.7626,0.9616,,,,,1.022538248449564,0,1,51,0.7142857142857143,0.0,0.7888081669807434,0.7888081669807434,0.9916701912879944,0.04929704165113145,0.7536231884057971,0.8840579710144928,0.7391304347826086,0.0,0.0,0.2437514650677331,1.3781242674661334
PU-R,fashion_mnist,0,0.3,0.1,50,50,4500,500,70,3118,3188,0.7335495711304247,0.5374,0.6012,,,,,1.2962264837697148,0,1,51,0.4142857142857143,0.0,0.7270737290382385,0.7270737290382385,0.9965993165969849,0.03551154378531636,0.9130434782608695,0.9130434782608695,0.8840579710144928,0.0,0.0,0.2611128858160683,1.3694435570919659
GREATS,fashion_mnist,0,0.3,0.1,50,50,4500,500,70,4359,4429,,0.8172,0.9794,,,,,1.6173689691349864,0,1,51,0.7142857142857143,0.0,0.7814706563949585,0.7814706563949585,0.991485595703125,0.04868167984312859,0.6811594202898551,0.8405797101449275,0.6666666666666666,0.0,0.0,0.2548951681079312,1.3725524159460343
MaxLoss,fashion_mnist,0,0.3,0.2,50,50,4000,1000,70,3751,3821,0.9672117824084125,0.7826,0.9455,,,,,0.5387783022597432,0,1,51,0.7571428571428571,0.0,0.7816409468650818,0.7816409468650818,0.9769036769866943,0.052343277827553124,0.7246376811594203,0.855072463768116,0.7101449275362319,0.0,0.0,0.25358124092106643,1.3732093795394666
Marginal,fashion_mnist,0,0.3,0.2,50,50,4000,1000,70,2524,2594,0.6762354209786281,0.46799999999999997,0.5259,,,,,0.7737892493605614,0,1,51,0.3142857142857143,0.0,0.6982294321060181,0.6982294321060181,0.9958757162094116,0.038546767355739205,0.8260869565217391,0.9130434782608695,0.7971014492753623,0.0,0.0,0.27179122736836087,1.3641043863158195
EL2N,fashion_mnist,0,0.3,0.2,50,50,4000,1000,70,3674,3744,0.950273011054378,0.7749,0.9237,,,,,0.7980655888095498,0,1,51,0.6428571428571429,0.0,0.750457227230072,0.750457227230072,0.9943758249282837,0.04609067111775495,0.7681159420289855,0.855072463768116,0.7681159420289855,0.0,0.0,0.2640137560039264,1.3679931219980368
GraNdLast,fashion_mnist,0,0.3,0.2,50,50,4000,1000,70,3735,3805,0.9637368377298117,0.7734,0.9341,,,,,0.871870119124651,0,1,51,0.6285714285714286,0.0,0.7571428418159485,0.7571428418159485,0.9917619228363037,0.04915091179419255,0.7681159420289855,0.8695652173913043,0.7536231884057971,0.0,0.0,0.259491963149,1.3702540184254999
RHO-PretrainRef,fashion_mnist,0,0.3,0.2,50,50,4000,1000,70,3849,3919,0.9876290920656174,0.8258,0.9802,,,,,0.9232040159404278,0,1,51,0.7714285714285715,0.0,0.7877950668334961,0.7877950668334961,0.9824157953262329,0.05191296252651491,0.7101449275362319,0.8260869565217391,0.6956521739130435,0.0,0.0,0.24890531899450513,1.3755473405027474
PU-R,fashion_mnist,0,0.3,0.2,50,50,4000,1000,70,2888,2958,0.7651282440056093,0.5609999999999999,0.6492,,,,,1.194164602085948,0,1,51,0.44285714285714284,0.0,0.7200299501419067,0.7200299501419067,0.9971234798431396,0.035805824874103935,0.8840579710144928,0.9420289855072463,0.8695652173913043,0.0,0.0,0.2631027586311299,1.368448620684435
GREATS,fashion_mnist,0,0.3,0.2,50,50,4000,1000,70,3819,3889,,0.8049,0.9688,,,,,1.4341765604913235,0,1,51,0.7571428571428571,0.0,0.7776340842247009,0.7776340842247009,0.9862875938415527,0.04742651832276496,0.7391304347826086,0.8695652173913043,0.7246376811594203,0.0,0.0,0.2554841302804448,1.3722579348597777
MaxLoss,fashion_mnist,0,0.3,0.3,50,50,3500,1500,70,3330,3400,0.9814437321037985,0.7848999999999999,0.9609,,,,,0.5319996392354369,0,1,51,0.7,0.0,0.7877101302146912,0.7877101302146912,0.99125075340271,0.051366178885750145,0.782608695652174,0.8695652173913043,0.782608695652174,0.0,0.0,0.24563617207895574,1.3771819139605221
Marginal,fashion_mnist,0,0.3,0.3,50,50,3500,1500,70,2144,2214,0.6623198763118125,0.405,0.4911,,,,,0.7293998384848237,0,1,51,0.2857142857142857,0.0,0.7179028391838074,0.7179028391838074,0.9944736957550049,0.0431692816209102,0.8115942028985508,0.8840579710144928,0.8115942028985508,0.0,0.0,0.27209398591249717,1.3639530070437513
EL2N,fashion_mnist,0,0.3,0.3,50,50,3500,1500,70,3359,3429,0.9880252923467197,0.8093,0.9789,,,,,0.7663232134655118,0,1,51,0.6714285714285714,0.0,0.7759861350059509,0.7759861350059509,0.9931677579879761,0.04647545970004538,0.782608695652174,0.8695652173913043,0.7681159420289855,0.0,0.0,0.249494758173066,1.375252620913467
GraNdLast,fashion_mnist,0,0.3,0.3,50,50,3500,1500,70,3080,3150,0.9186468659900129,0.6735,0.8758,,,,,0.8462523333728313,0,1,51,0.4857142857142857,0.0,0.7585580348968506,0.7585580348968506,0.9858040809631348,0.043160326238991555,0.7971014492753623,0.855072463768116,0.782608695652174,0.0,0.0,0.25067596544206566,1.3746620172789672
RHO-PretrainRef,fashion_mnist,0,0.3,0.3,50,50,3500,1500,70,3344,3414,0.9846621282631531,0.7821,0.9713,,,,,0.8827433073893189,0,1,51,0.6714285714285714,0.0,0.7966306805610657,0.7966306805610657,0.9848589897155762,0.04752076708752176,0.8260869565217391,0.855072463768116,0.8260869565217391,0.0,0.0,0.23856674604378314,1.3807166269781084
PU-R,fashion_mnist,0,0.3,0.3,50,50,3500,1500,70,2376,2446,0.7272643367759883,0.5342,0.6058,,,,,1.118350088596344,0,1,51,0.32857142857142857,0.0,0.7122794985771179,0.7122794985771179,0.9960496425628662,0.04123774602793265,0.855072463768116,0.927536231884058,0.855072463768116,0.0,0.0,0.2771779444237508,1.3614110277881246
GREATS,fashion_mnist,0,0.3,0.3,50,50,3500,1500,70,3261,3331,,0.7202,0.9334,,,,,1.3534531434997916,0,1,51,0.6714285714285714,0.0,0.7737637162208557,0.7737637162208557,0.9887250661849976,0.0512366545373115,0.7391304347826086,0.8695652173913043,0.7246376811594203,0.0,0.0,0.26020003653744117,1.3698999817312794
