method,dataset,seed,noise_rate,pretrain_fraction,reference_method,reference_es_budget,es_budget,target_step,time_budget_sec,selection_runtime_sec,time_budget_overrun_sec,time_budget_ratio,stopping_condition,time_budget_hit,target_step_hit,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
PU-R,fashion_mnist,0,0.0,0.3,PU-R,50,50,50,1.8426977060735226,1.8426977060735226,0.0,1.0,support_limit,0,1,50,3500,1500,70,1438,1508,0.4610448788735084,0.40159999999999996,0.4367,,,,,3.5988695193082094,0,1,51,0.0,0.0,0.6747540235519409,0.6747540235519409,0.9901624917984009,0.0391387898420942,0.855072463768116,0.927536231884058,0.8405797101449275,0.0,0.0,0.2851495291902553,1.3574252354048724
MaxLoss,fashion_mnist,0,0.0,0.3,PU-R,50,50,,1.8426977060735226,1.8441223818808794,0.0014246758073568344,1.0007731467850973,time_budget,1,0,186,3500,1500,206,1178,1384,0.4251644262112677,0.32820000000000005,0.3983,,,,,2.972067676484585,0,0,187,0.0,0.0,0.688814640045166,0.688814640045166,0.992585301399231,0.024226946728985486,0.9317073170731708,0.9609756097560975,0.926829268292683,0.0,0.0,0.2416286158157951,1.3791856920921024
Marginal,fashion_mnist,0,0.0,0.3,PU-R,50,50,,1.8426977060735226,1.851480070501566,0.008782364428043365,1.0047660364470508,time_budget,1,0,128,3500,1500,148,794,942,0.29586392745841295,0.2508,0.2611,,,,,2.360309169627726,0,0,129,0.0,0.0,0.6375458240509033,0.6375458240509033,0.9984561204910278,0.027309284121000848,0.9319727891156463,0.9455782312925171,0.9319727891156463,0.0,0.0,0.26694845265467854,1.3665257736726608
EL2N,fashion_mnist,0,0.0,0.3,PU-R,50,50,,1.8426977060735226,1.8457190413028002,0.0030213352292776108,1.0016396260869698,time_budget,1,0,144,3500,1500,164,1302,1466,0.4489098057965748,0.3507,0.4241,,,,,2.4977809442207217,0,0,145,0.0,0.0,0.7074162364006042,0.7074162364006042,0.9886906147003174,0.024355883887209044,0.9202453987730062,0.950920245398773,0.9202453987730062,0.0,0.0,0.23368692497659938,1.3831565375117003
GraNdLast,fashion_mnist,0,0.0,0.3,PU-R,50,50,,1.8426977060735226,1.8504009759053588,0.007703269831836224,1.0041804305754798,time_budget,1,0,122,3500,1500,142,1330,1472,0.45064450724748895,0.3657,0.4236,,,,,2.3137900587171316,0,0,123,0.0,0.0,0.6406716108322144,0.6406716108322144,0.9974625110626221,0.029715762387776207,0.9148936170212766,0.9432624113475178,0.9148936170212766,0.0,0.0,0.26279553782017645,1.3686022310899117
RHO-PretrainRef,fashion_mnist,0,0.0,0.3,PU-R,50,50,,1.8426977060735226,1.855766755528748,0.013069049455225468,1.007092345864517,time_budget,1,0,111,3500,1500,131,1539,1670,0.5076822784612887,0.38759999999999994,0.4733,,,,,2.240371880121529,0,0,112,0.0,0.0,0.7063201665878296,0.7063201665878296,0.9889906644821167,0.030224954508818114,0.9,0.9461538461538461,0.9,0.0,0.0,0.25188392406504595,1.374058037967477
GREATS,fashion_mnist,0,0.0,0.3,PU-R,50,50,,1.8426977060735226,1.8544730627909303,0.011775356717407703,1.0063902813134222,time_budget,1,0,88,3500,1500,108,1325,1433,,0.3508,0.4221,,,,,2.1210287734866142,0,0,89,0.0,0.0,0.6932723522186279,0.6932723522186279,0.9925510883331299,0.037693775563596564,0.897196261682243,0.9252336448598131,0.897196261682243,0.0,0.0,0.26847002560059335,1.3657649871997033
PU-R,fashion_mnist,0,0.1,0.3,PU-R,50,50,50,1.1677052499726415,1.1677052499726415,0.0,1.0,support_limit,0,1,50,3500,1500,70,1800,1870,0.5648922474938445,0.42510000000000003,0.495,,,,,1.3010448273271322,0,1,51,0.15714285714285714,0.0,0.6935577392578125,0.6935577392578125,0.9968314170837402,0.04585664989291758,0.8695652173913043,0.8985507246376812,0.8405797101449275,0.0,0.0,0.28013754247378475,1.3599312287631076
MaxLoss,fashion_mnist,0,0.1,0.3,PU-R,50,50,,1.1677052499726415,1.1760557405650616,0.008350490592420101,1.007151197267132,time_budget,1,0,118,3500,1500,138,2706,2844,0.8368521564407274,0.637,0.7995,,,,,1.6110848849639297,0,0,119,0.5434782608695652,0.0,0.7299334406852722,0.7299334406852722,0.9897257089614868,0.03605906828476565,0.8613138686131386,0.9416058394160584,0.8613138686131386,0.0,0.0,0.25828625407196465,1.3708568729640178
Marginal,fashion_mnist,0,0.1,0.3,PU-R,50,50,,1.1677052499726415,1.1780842309817672,0.01037898100912571,1.008888356894318,time_budget,1,0,86,3500,1500,106,1392,1498,0.4581572312163189,0.34230000000000005,0.361,,,,,1.4363753274083138,0,0,87,0.16037735849056603,0.0,0.6628398895263672,0.6628398895263672,0.9981088638305664,0.03306024244853428,0.8857142857142857,0.9238095238095239,0.8857142857142857,0.0,0.0,0.27161443022741677,1.3641927848862916
