method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,boundary_duplicate_mnist,0,0.3,0.0,100,100,5000,0,104,2397,2501,0.5261496561579406,0.4487541741587465,0.44875417415874647,,,,,1.806585868820548,0,1,101,0.36538461538461536,0.7980769230769231,0.6932699680328369,0.6932699680328369,0.9999597668647766,0.06319429573503513,0.7864077669902912,0.9029126213592233,0.7572815533980582,0.7257576154473544,0.20192307692307693,0.26406482786457514,1.3679675860677123
Marginal,boundary_duplicate_mnist,0,0.3,0.0,100,100,5000,0,104,2467,2571,0.54016515618423,0.3971230413562805,0.3971230413562805,,,,,1.5207413248717785,0,1,101,0.2692307692307692,0.9230769230769231,0.61238032579422,0.61238032579422,0.9956504702568054,0.030661875011345135,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.3912435636292556,0.07692307692307693,0.20374188050609704,1.3981290597469513
PU-R,boundary_duplicate_mnist,0,0.3,0.0,100,100,5000,0,104,2420,2524,0.5307570205186494,0.4564603133829951,0.45646031338299514,,,,,2.294640762731433,0,1,101,0.33653846153846156,0.6826923076923077,0.5924213528633118,0.5924213528633118,0.9999634027481079,0.05632008257710818,0.9514563106796117,0.941747572815534,0.9223300970873787,0.9014296082981941,0.3173076923076923,0.25306171495619223,1.3734691425219039
GREATS,boundary_duplicate_mnist,0,0.3,0.0,100,100,5000,0,104,2475,2579,,0.5078345748779861,0.5078345748779861,,,,,2.426416039466858,0,1,101,0.2980769230769231,0.8173076923076923,0.6942241787910461,0.6942241787910461,0.9999984502792358,0.060368322053001924,0.7961165048543689,0.883495145631068,0.7864077669902912,0.6859315226878925,0.18269230769230768,0.2659485335091765,1.3670257332454119
MaxLoss,boundary_duplicate_mnist,0,0.3,0.1,100,100,4500,500,104,2173,2277,0.5332583273411728,0.4253788851785255,0.42537888517852557,,,,,1.129890595562756,0,1,101,0.2692307692307692,0.9326923076923077,0.7116508483886719,0.7116508483886719,0.9999921917915344,0.06701395419218296,0.7572815533980582,0.8932038834951457,0.7184466019417476,0.3557951975011439,0.0673076923076923,0.26874011324729336,1.3656299433763532
Marginal,boundary_duplicate_mnist,0,0.3,0.1,100,100,4500,500,104,2240,2344,0.5481531206751242,0.48291805805291554,0.4829180580529155,,,,,1.5392662389203906,0,1,101,0.3076923076923077,0.8557692307692307,0.5977828502655029,0.5977828502655029,0.99625563621521,0.031175858295947604,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.5952124653513117,0.14423076923076922,0.205643627123297,1.3971781864383515
PU-R,boundary_duplicate_mnist,0,0.3,0.1,100,100,4500,500,104,2128,2232,0.5232406216673553,0.3811970202928333,0.3811970202928333,,,,,2.2664282508194447,0,1,101,0.25,0.6634615384615384,0.5926035046577454,0.5926035046577454,0.9999392032623291,0.05764379699542684,0.941747572815534,0.9320388349514563,0.9223300970873787,0.9214676689990972,0.33653846153846156,0.25322739781552966,1.3733863010922351
GREATS,boundary_duplicate_mnist,0,0.3,0.1,100,100,4500,500,104,2118,2222,,0.49627536604161315,0.49627536604161315,,,,,2.2220840295776725,0,1,101,0.2980769230769231,0.7403846153846154,0.708864152431488,0.708864152431488,0.9999687671661377,0.06177933608154649,0.8252427184466019,0.9029126213592233,0.8252427184466019,0.826165427834159,0.25961538461538464,0.25263550831338866,1.3736822458433058
MaxLoss,boundary_duplicate_mnist,0,0.3,0.2,100,100,4000,1000,104,1949,2053,0.542043145687785,0.4256357564860005,0.4256357564860005,,,,,1.0463276198133826,0,1,101,0.22115384615384615,0.7307692307692307,0.6738181710243225,0.6738181710243225,0.9999366998672485,0.06396428777754885,0.7766990291262136,0.8737864077669902,0.7669902912621359,0.8403586716091171,0.2692307692307692,0.2702347754107225,1.3648826122946387
Marginal,boundary_duplicate_mnist,0,0.3,0.2,100,100,4000,1000,104,1932,2036,0.5377906230278313,0.4109940919599281,0.4109940919599281,,,,,1.3478692108765244,0,1,101,0.2980769230769231,0.8076923076923077,0.6067888140678406,0.6067888140678406,0.9941747784614563,0.030201233417085072,0.9805825242718447,0.9805825242718447,0.9805825242718447,0.7062740891876007,0.19230769230769232,0.20315167221654884,1.3984241638917256
