method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,mnist,0,0.0,0.0,100,100,5000,0,104,1335,1439,0.31090091599617153,0.2682,0.2682,,,,,1.68472895398736,0,1,101,0.0,0.0,0.6088808178901672,0.6088808178901672,0.9737197160720825,0.06079936407289459,0.9320388349514563,0.9514563106796117,0.9029126213592233,0.0,0.0,0.2512540135747184,1.3743729932126407
Marginal,mnist,0,0.0,0.0,100,100,5000,0,104,1037,1141,0.2494890842353925,0.1905,0.1905,,,,,1.3473888700827956,0,1,101,0.0,0.0,0.5956442356109619,0.5956442356109619,0.9979689121246338,0.03321760018961956,0.9805825242718447,0.9902912621359223,0.9805825242718447,0.0,0.0,0.21001357349831926,1.3949932132508405
PU-R,mnist,0,0.0,0.0,100,100,5000,0,104,1016,1120,0.24514025397365913,0.21240000000000003,0.2124,,,,,2.0068349624052644,0,1,101,0.0,0.0,0.5941720008850098,0.5941720008850098,0.9819374084472656,0.04993562738058492,0.9902912621359223,0.9805825242718447,0.9805825242718447,0.0,0.0,0.2389778505567436,1.3805110747216283
GREATS,mnist,0,0.0,0.0,100,100,5000,0,104,932,1036,,0.19199999999999995,0.192,,,,,1.9962059957906604,0,1,101,0.0,0.0,0.6324572563171387,0.6324572563171387,0.9759853482246399,0.053785723823945496,0.9902912621359223,0.970873786407767,0.970873786407767,0.0,0.0,0.23693701247327725,1.3815314937633614
MaxLoss,mnist,0,0.0,0.1,100,100,4500,500,104,1016,1120,0.27198739018058404,0.23029999999999995,0.2303,,,,,1.0951284058392048,0,1,101,0.0,0.0,0.5905036926269531,0.5905036926269531,0.9806039333343506,0.0586863534470785,0.941747572815534,0.9611650485436893,0.912621359223301,0.0,0.0,0.2525867146471454,1.3737066426764273
Marginal,mnist,0,0.0,0.1,100,100,4500,500,104,823,927,0.2275132763898,0.18089999999999995,0.1809,,,,,1.2567074857652187,0,1,101,0.0,0.0,0.592046320438385,0.592046320438385,0.9956862330436707,0.03323017819829791,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.0,0.0,0.207677907194283,1.3961610464028584
PU-R,mnist,0,0.0,0.1,100,100,4500,500,104,863,967,0.23675830441061407,0.19199999999999995,0.192,,,,,1.913077276200056,0,1,101,0.0,0.0,0.5942512154579163,0.5942512154579163,0.9785382747650146,0.04907324277226207,0.9805825242718447,0.970873786407767,0.9611650485436893,0.0,0.0,0.23896614623701348,1.3805169268814932
GREATS,mnist,0,0.0,0.1,100,100,4500,500,104,923,1027,,0.21189999999999998,0.2119,,,,,1.8446516366675496,0,1,101,0.0,0.0,0.6305180788040161,0.6305180788040161,0.9815710783004761,0.052215125881931154,0.9902912621359223,0.9611650485436893,0.9611650485436893,0.0,0.0,0.23610926552815387,1.381945367235923
MaxLoss,mnist,0,0.0,0.2,100,100,4000,1000,104,647,751,0.20967388316057622,0.17179999999999995,0.1718,,,,,1.1032178355380893,0,1,101,0.0,0.0,0.5880377888679504,0.5880377888679504,0.9813575744628906,0.05821014993182085,0.9320388349514563,0.970873786407767,0.9223300970873787,0.0,0.0,0.2548943906865639,1.372552804656718
Marginal,mnist,0,0.0,0.2,100,100,4000,1000,104,1104,1208,0.3280479106470011,0.2561,0.2561,,,,,1.345997759141028,0,1,101,0.0,0.0,0.6026380062103271,0.6026380062103271,0.9937244653701782,0.03213798412058538,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.0,0.0,0.2058366457293725,1.3970816771353136
PU-R,mnist,0,0.0,0.2,100,100,4000,1000,104,787,891,0.24619136925321072,0.19810000000000005,0.1981,,,,,1.7596022374927998,0,1,101,0.0,0.0,0.5956747531890869,0.5956747531890869,0.9848232269287109,0.049931436704779134,0.9805825242718447,0.9805825242718447,0.9805825242718447,0.0,0.0,0.2420744644811278,1.378962767759436
GREATS,mnist,0,0.0,0.2,100,100,4000,1000,104,753,857,,0.20120000000000005,0.2012,,,,,1.695493046194315,0,1,101,0.0,0.0,0.6427091360092163,0.6427091360092163,0.9810308218002319,0.04800846536182663,0.9805825242718447,0.970873786407767,0.9611650485436893,0.0,0.0,0.22746328967699636,1.3862683551615018
MaxLoss,mnist,0,0.0,0.3,100,100,3500,1500,104,697,801,0.25408119783969596,0.21050000000000002,0.2105,,,,,1.020617256872356,0,1,101,0.0,0.0,0.5898323059082031,0.5898323059082031,0.9802213907241821,0.059252016535661756,0.941747572815534,0.941747572815534,0.8932038834951457,0.0,0.0,0.2551672091392203,1.3724163954303898
Marginal,mnist,0,0.0,0.3,100,100,3500,1500,104,647,751,0.23918939154827967,0.18889999999999996,0.1889,,,,,1.171947437338531,0,1,101,0.0,0.0,0.5878320932388306,0.5878320932388306,0.9938696622848511,0.032919240611361214,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.0,0.0,0.20713568404889146,1.3964321579755543
PU-R,mnist,0,0.0,0.3,100,100,3500,1500,104,1014,1118,0.34763069852488115,0.30089999999999995,0.3009,,,,,1.7651955476030707,0,1,101,0.0,0.0,0.583132803440094,0.583132803440094,0.9843510389328003,0.04957026223317512,0.9805825242718447,0.9805825242718447,0.9805825242718447,0.0,0.0,0.23821981618264426,1.380890091908678
GREATS,mnist,0,0.0,0.3,100,100,3500,1500,104,683,787,,0.2016,0.2016,,,,,1.6280567990615964,0,1,101,0.0,0.0,0.6360341310501099,0.6360341310501099,0.9778313636779785,0.05190391361134723,0.970873786407767,0.9805825242718447,0.970873786407767,0.0,0.0,0.2365311600531622,1.381734419973419
MaxLoss,mnist,0,0.0,0.4,100,100,3000,2000,104,478,582,0.21946715575177222,0.17869999999999997,0.1787,,,,,0.9812652254477143,0,1,101,0.0,0.0,0.5811663269996643,0.5811663269996643,0.9816865921020508,0.056052154931465835,0.941747572815534,0.970873786407767,0.9223300970873787,0.0,0.0,0.25061984991776276,1.3746900750411186
Marginal,mnist,0,0.0,0.4,100,100,3000,2000,104,618,722,0.2683029408217408,0.20189999999999997,0.2019,,,,,1.1268591582775116,0,1,101,0.0,0.0,0.594071626663208,0.594071626663208,0.994339108467102,0.033289838965995765,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.0,0.0,0.20877262043219774,1.395613689783901
PU-R,mnist,0,0.0,0.4,100,100,3000,2000,104,520,624,0.23417051223805174,0.19599999999999995,0.196,,,,,1.560809064656496,0,1,101,0.0,0.0,0.5848560333251953,0.5848560333251953,0.9879909753799438,0.04950368111428705,0.9805825242718447,0.970873786407767,0.9611650485436893,0.0,0.0,0.2401386572668185,1.3799306713665906
GREATS,mnist,0,0.0,0.4,100,100,3000,2000,104,607,711,,0.21409999999999996,0.2141,,,,,1.4974864097312093,0,1,101,0.0,0.0,0.6250880360603333,0.6250880360603333,0.9847221374511719,0.05165475285024319,0.9805825242718447,0.9805825242718447,0.970873786407767,0.0,0.0,0.23607574394576897,1.3819621280271155
MaxLoss,mnist,0,0.0,0.5,100,100,2500,2500,104,507,611,0.2746924143284559,0.21830000000000005,0.2183,,,,,0.9585098754614592,0,1,101,0.0,0.0,0.5770389437675476,0.5770389437675476,0.9759421348571777,0.05820511238088886,0.9514563106796117,0.9611650485436893,0.9223300970873787,0.0,0.0,0.2537424648857579,1.373128767557121
Marginal,mnist,0,0.0,0.5,100,100,2500,2500,104,474,578,0.2608925505192019,0.1975,0.1975,,,,,1.0831820527091622,0,1,101,0.0,0.0,0.5974012017250061,0.5974012017250061,0.9940205216407776,0.0338975941803017,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.0,0.0,0.2131831982504936,1.3934084008747532
