dataset,method,noise_rate,pretrain_fraction,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se
mnist,GREATS,0.0,0.0,100,5,100.0,0.0,104.0,0.0,1085.0,64.44687734871256,1189.0,64.44687734871256,,,0.22746,0.013597301202812275,0.22746,0.01359730120281227,,,,,,,,,1.9670227574184538,0.01149951010638166,0.0,0.0,1.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.6321680784225464,0.003836094129300028,0.6321680784225464,0.003836094129300028,0.9766867637634278,0.0022253707304430697,0.05347080204672026,0.0005708702269906177,0.9844660194174757,0.003883495145631066,0.9650485436893204,0.003883495145631066,0.9611650485436893,0.004341879567960755,0.0,0.0,0.0,0.0,0.23849573525333442,0.0010688525918900766,1.3807521323733327,0.0005344262959450421
mnist,GREATS,0.0,0.1,100,5,100.0,0.0,104.0,0.0,838.2,33.672540741678525,942.2,33.672540741678525,,,0.19602,0.008309235825272985,0.19602,0.008309235825272982,,,,,,,,,1.823209449276328,0.01609804594016242,0.0,0.0,1.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.6215888023376465,0.003257976878636098,0.6215888023376465,0.003257976878636098,0.9751397848129273,0.0025786642428911443,0.05132292985048108,0.00038546879988152736,0.9883495145631068,0.001941747572815533,0.9650485436893204,0.004950504382128915,0.9650485436893204,0.004950504382128915,0.0,0.0,0.0,0.0,0.23681767974676582,0.0007329037985983978,1.3815911601266173,0.0003664518992992199
mnist,GREATS,0.0,0.2,100,5,100.0,0.0,104.0,0.0,664.2,25.624987804875147,768.2,25.624987804875147,,,0.17787999999999998,0.006740430253329543,0.17787999999999998,0.006740430253329528,,,,,,,,,1.7033429743722082,0.012093374594153817,0.0,0.0,1.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.628607177734375,0.0051146553015029295,0.628607177734375,0.0051146553015029295,0.9742261290550231,0.0022841527174322115,0.0509353095973001,0.0008963506279648868,0.978640776699029,0.003632677074537805,0.966990291262136,0.004950504382128915,0.9553398058252427,0.005825242718446599,0.0,0.0,0.0,0.0,0.2356086697199077,0.002303286016465058,1.3821956651400462,0.001151643008232522
mnist,GREATS,0.0,0.3,100,5,100.0,0.0,104.0,0.0,581.0,42.224400528604306,685.0,42.224400528604306,,,0.17624,0.011294627041208587,0.17624,0.011294627041208575,,,,,,,,,1.6144919734448195,0.009424626883111869,0.0,0.0,1.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.6246803402900696,0.003084087845300522,0.6246803402900696,0.003084087845300522,0.9748011708259583,0.0013797620169054138,0.05246944150625212,0.00032863256917702445,0.978640776699029,0.0056611183445099975,0.9708737864077669,0.005317694733059862,0.9631067961165047,0.007134436144028671,0.0,0.0,0.0,0.0,0.23829325565547715,0.0009877998028910223,1.3808533721722616,0.0004938999014454971
mnist,GREATS,0.0,0.4,100,5,100.0,0.0,104.0,0.0,476.6,42.626986757217544,580.6,42.626986757217544,,,0.17961999999999997,0.01166822180111433,0.17962,0.011668221801114344,,,,,,,,,1.4945837216451765,0.0058660804562437035,0.0,0.0,1.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.6203402400016784,0.0025835777563084266,0.6203402400016784,0.0025835777563084266,0.9766801118850708,0.0023654054240143108,0.05249071434429549,0.0005317013170831987,0.9844660194174757,0.0023781453813428903,0.966990291262136,0.006584786391383752,0.9611650485436893,0.004341879567960755,0.0,0.0,0.0,0.0,0.23863861522309238,0.0008171800494236729,1.3806806923884536,0.00040859002471185687
mnist,GREATS,0.0,0.5,100,5,100.0,0.0,104.0,0.0,394.0,26.871918427979793,498.0,26.871918427979793,,,0.1791,0.013063345666405676,0.17909999999999998,0.013063345666405678,,,,,,,,,1.4106567030772568,0.006612568182745666,0.0,0.0,1.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.6233944535255432,0.0019116282230950176,0.6233944535255432,0.0019116282230950176,0.9753889203071594,0.0010836356101402533,0.05145788810134513,0.0010074152466147098,0.978640776699029,0.0056611183445099975,0.9689320388349515,0.009412970596924907,0.9592233009708739,0.007766990291262132,0.0,0.0,0.0,0.0,0.23636910142616227,0.0019323181811207605,1.3818154492869188,0.0009661590905603827
mnist,GREATS,0.0,0.6,100,5,100.0,0.0,104.0,0.0,258.8,17.138844768536764,362.8,17.138844768536764,,,0.15144000000000002,0.007663458749154981,0.15143999999999996,0.007663458749154981,,,,,,,,,1.309798589721322,0.005766241150471977,0.0,0.0,1.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.6337823390960693,0.004057332823511345,0.6337823390960693,0.004057332823511345,0.9757212281227112,0.001578109112641528,0.05112299388545809,0.000488943790638275,0.9864077669902912,0.0023781453813428903,0.9689320388349515,0.003632677074537805,0.966990291262136,0.003883495145631066,0.0,0.0,0.0,0.0,0.2348459330840221,0.0005686542743376569,1.382577033457989,0.0002843271371688482
mnist,GREATS,0.0,0.7,100,5,100.0,0.0,104.0,0.0,167.8,10.988175462741754,271.8,10.988175462741754,,,0.15141999999999997,0.008906593063568133,0.15142,0.008906593063568136,,,,,,,,,1.223600673303008,0.005530941121562348,0.0,0.0,1.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.6238580346107483,0.003471737739887786,0.6238580346107483,0.003471737739887786,0.9787680268287658,0.0007268323597653884,0.04708825345467595,0.000772293292193055,0.9883495145631068,0.001941747572815533,0.9747572815533981,0.003883495145631066,0.9747572815533981,0.003883495145631066,0.0,0.0,0.0,0.0,0.23080080211540457,0.0010684223212836595,1.3845995989422977,0.0005342111606418239
mnist,GREATS,0.0,0.8,100,5,100.0,0.0,104.0,0.0,84.8,9.33488082409197,188.8,9.334880824091972,,,0.14186,0.007641701381237023,0.14186,0.007641701381237031,,,,,,,,,1.1355091344565154,0.0038759632028229295,0.0,0.0,1.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.624092161655426,0.003555867870363616,0.624092161655426,0.003555867870363616,0.9814341187477111,0.0017349633438711657,0.04729290347437835,0.0006607759745471946,0.9883495145631068,0.001941747572815533,0.978640776699029,0.003632677074537805,0.9766990291262136,0.0023781453813428903,0.0,0.0,0.0,0.0,0.22943153017729462,0.001570838730161209,1.3852842349113526,0.0007854193650806159
mnist,Marginal,0.0,0.0,100,5,100.0,0.0,104.0,0.0,1027.6,21.273457640919585,1131.6,21.273457640919585,0.24753663424635305,0.004405585959921792,0.20414,0.006138452573735491,0.20414,0.006138452573735498,,,,,,,,,1.3514469953253865,0.002251692599978132,0.0,0.0,1.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.5972164869308472,0.0025579062694117906,0.5972164869308472,0.0025579062694117906,0.9969573497772217,0.000815253766868285,0.032878886352663915,0.0003388954477290805,0.9883495145631068,0.0019417475728155335,0.9902912621359224,5.551115123125783e-17,0.9883495145631068,0.0019417475728155335,0.0,0.0,0.0,0.0,0.2083707772549376,0.0009047233391225756,1.3958146113725314,0.0004523616695612476
