method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,mnist,0,0.3,0.0,100,100,5000,0,104,2389,2493,0.5245465739862993,0.46940000000000004,0.4694,,,,,1.6804155185818672,0,1,101,0.41346153846153844,0.0,0.5782268047332764,0.5782268047332764,0.9784699082374573,0.05991951954885594,0.912621359223301,0.9514563106796117,0.8737864077669902,0.0,0.0,0.2581673650953024,1.3709163174523487
Marginal,mnist,0,0.3,0.0,100,100,5000,0,104,2160,2264,0.4785444484441541,0.36260000000000003,0.3626,,,,,1.5198190016672015,0,1,101,0.3173076923076923,0.0,0.6087450981140137,0.6087450981140137,0.9930478930473328,0.03187648445657156,0.9902912621359223,0.9805825242718447,0.9805825242718447,0.0,0.0,0.20695458793517263,1.3965227060324137
PU-R,mnist,0,0.3,0.0,100,100,5000,0,104,2393,2497,0.5253481486579403,0.47729999999999995,0.4773,,,,,2.3785960199311376,0,1,101,0.34615384615384615,0.0,0.5929417014122009,0.5929417014122009,0.9832937717437744,0.051392907367169276,0.9805825242718447,0.9611650485436893,0.9611650485436893,0.0,0.0,0.23880675188279424,1.380596624058603
GREATS,mnist,0,0.3,0.0,100,100,5000,0,104,2302,2406,,0.47950000000000004,0.4795,,,,,2.4204958518967032,0,1,101,0.38461538461538464,0.0,0.6399287581443787,0.6399287581443787,0.9675577878952026,0.057386752181840174,0.9514563106796117,0.9611650485436893,0.9320388349514563,0.0,0.0,0.24671530425621926,1.3766423478718903
MaxLoss,mnist,0,0.3,0.1,100,100,4500,500,104,2195,2299,0.5381518572685309,0.4686,0.4686,,,,,1.106362679041922,0,1,101,0.5096153846153846,0.0,0.6177678108215332,0.6177678108215332,0.9790107607841492,0.06294406223499659,0.912621359223301,0.9514563106796117,0.8932038834951457,0.0,0.0,0.2593617960572336,1.3703191019713832
Marginal,mnist,0,0.3,0.1,100,100,4500,500,104,1918,2022,0.4763455579522997,0.3165,0.3165,,,,,1.4185143876820803,0,1,101,0.25,0.0,0.602708637714386,0.602708637714386,0.995400071144104,0.033782542296640065,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.0,0.0,0.20710042991917807,1.396449785040411
PU-R,mnist,0,0.3,0.1,100,100,4500,500,104,2194,2298,0.5379294813610613,0.5043,0.5043,,,,,2.172415491193533,0,1,101,0.3942307692307692,0.0,0.5865740776062012,0.5865740776062012,0.9858423471450806,0.05226547032305338,0.9805825242718447,0.9611650485436893,0.9611650485436893,0.0,0.0,0.24188622000546856,1.3790568899972657
GREATS,mnist,0,0.3,0.1,100,100,4500,500,104,2182,2286,,0.5172,0.5172,,,,,2.215867793187499,0,1,101,0.49038461538461536,0.0,0.6439682841300964,0.6439682841300964,0.9724997282028198,0.05912278216440701,0.970873786407767,0.9514563106796117,0.941747572815534,0.0,0.0,0.24719415467044054,1.3764029226647798
MaxLoss,mnist,0,0.3,0.2,100,100,4000,1000,104,1746,1850,0.4911255710176192,0.41300000000000003,0.413,,,,,1.0516753857955337,0,1,101,0.4326923076923077,0.0,0.6203584671020508,0.6203584671020508,0.9785520434379578,0.057670154943338874,0.9611650485436893,0.9514563106796117,0.9223300970873787,0.0,0.0,0.25173733011094196,1.374131334944529
Marginal,mnist,0,0.3,0.2,100,100,4000,1000,104,1736,1840,0.48860955983400345,0.3698,0.3698,,,,,1.3127999110147357,0,1,101,0.3173076923076923,0.0,0.6002295613288879,0.6002295613288879,0.9944139122962952,0.03231410816022493,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.0,0.0,0.2073487488692415,1.3963256255653793
