method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,selection_steps,certified_bound,test_error,test_inappropriate_risk,pool_empirical_error,support_empirical_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,self_selected_bound,self_selected_bound_raw,self_selected_empirical_risk,self_selected_initial_gap,self_selected_reciprocal_gap,self_selected_total_gap,self_selected_lipschitz_sample,self_selected_log_cover_constant,self_selected_concentration_rate_constant,self_selected_data_diameter,self_selected_dimension,self_selected_wasserstein_p,ada_bound,ada_bound_raw,ada_empirical_risk,ada_alpha,ada_query_count,ada_initial_size,ada_final_size,ada_sigma,ada_beta,ada_epsilon,ada_delta_sum,ada_gamma_star,runtime_sec,stop_reached,train_calls,loss_eval_count,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
PU-R,boundary_duplicate_mnist,0,0.3,0.0,5000,0,800,1957,2757,796,0.5773057276965119,0.3740046236835346,0.37400462368353454,0.39180000000000004,0.0024999999999999467,0.8467083223027096,0.39209999999999995,0.6200127772575988,750.4185258591812,1.0,12.266025029344945,0.0024999999999999467,1.010047414223915,11.25347761512103,12.263525029344946,0.9998,544.120536739557,4.2767133791799226e-05,76.45659128919168,785.0,1.0,1.0,1.075756242575263,0.39180000000000004,0.6839562425752629,797,5000,5000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.36348211248317414,36.83055024935381,105.63284074794501,0,797,3664606,0.3175,0.725,0.5523412227630615,0.5523412227630615,0.999557614326477,0.007474043702611115,0.9962453066332916,0.9962453066332916,0.9962453066332916,0.8485481782946158,0.275,0.15924497676334684,1.4203775116183266
GREATS,boundary_duplicate_mnist,0,0.3,0.0,5000,0,800,1891,2691,796,,0.468790136141793,0.46879013614179293,0.38380000000000003,0.03500000000000003,0.8992780277880743,0.3840840000000001,0.6122934993449045,1427.845603566741,1.0,12.298525029344946,0.03500000000000003,1.010047414223915,11.25347761512103,12.263525029344946,0.9998,544.120536739557,4.2767133791799226e-05,76.45659128919168,785.0,1.0,1.0,1.067756242575263,0.38380000000000003,0.6839562425752629,797,5000,5000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.36348211248317414,36.83055024935381,61.764954844489694,0,797,3664606,0.3,0.80125,0.6092288494110107,0.6092288494110107,0.9999971389770508,0.005624948439243085,0.9974968710888611,0.9962453066332916,0.9962453066332916,0.719421039433693,0.19875,0.14886830627536607,1.425565846862317
PU-R,boundary_duplicate_mnist,0,0.3,0.1,4500,500,800,1757,2557,796,0.5953409754438326,0.42846134086822507,0.428461340868225,0.39088888888888884,0.0024999999999999467,0.8556689935233248,0.39148888888888883,0.6194263181876792,751.6304544500255,1.0,13.397387869160038,0.0024999999999999467,1.0101804468881874,12.384707422271852,13.394887869160039,0.9997777777777778,544.120536739557,4.2851703895060864e-05,76.3811084658291,785.0,1.0,1.0,1.0903339223518262,0.39088888888888884,0.6994450334629374,797,4500,4500,0.058780160722749115,0.00012568600613418795,0.3076923076923077,1.0601192454501767,30.443296760233448,103.01568000484258,0,797,3266106,0.30125,0.735,0.5596768856048584,0.5596768856048584,0.9998981356620789,0.0075165973648426586,0.9962453066332916,0.9962453066332916,0.9962453066332916,0.8341980958607491,0.265,0.1609618560427706,1.4195190719786148
GREATS,boundary_duplicate_mnist,0,0.3,0.1,4500,500,800,1631,2431,796,,0.44978165938864634,0.4497816593886463,0.3693333333333333,0.03874999999999995,0.9000983744957216,0.36928444444444436,0.5978885962226747,1410.8753267924908,1.0,13.433637869160039,0.03874999999999995,1.0101804468881874,12.384707422271852,13.394887869160039,0.9997777777777778,544.120536739557,4.2851703895060864e-05,76.3811084658291,785.0,1.0,1.0,1.0687783667962707,0.3693333333333333,0.6994450334629374,797,4500,4500,0.058780160722749115,0.00012568600613418795,0.3076923076923077,1.0601192454501767,30.443296760233448,60.06333339586854,0,797,3266106,0.3325,0.7975,0.6141777038574219,0.6141777038574219,0.9999991655349731,0.00565258251952307,0.9974968710888611,0.9974968710888611,0.9974968710888611,0.7269000047131049,0.2025,0.14837869585008387,1.425810652074958
PU-R,boundary_duplicate_mnist,0,0.3,0.2,4000,1000,800,1496,2296,796,0.6025964131695218,0.35217056254816337,0.35217056254816337,0.374,0.0,0.8544568092638833,0.37390000000000007,0.6024025876526101,747.8414996833112,1.0,14.738055924414883,0.0,1.0103213988958646,13.727734525519018,14.738055924414883,0.99975,544.120536739557,4.320705733272709e-05,76.0663644252504,785.0,1.0,1.0,1.1103416988253516,0.374,0.7363416988253516,797,4000,4000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,2.815844622893913,24.707911786193506,99.8551387572661,0,797,2867606,0.3125,0.78375,0.5570125579833984,0.5570125579833984,0.9977240562438965,0.006808098883354087,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.753260755839685,0.21625,0.15817023725660315,1.4209148813716985
GREATS,boundary_duplicate_mnist,0,0.3,0.2,4000,1000,800,1358,2158,796,,0.46057025430259435,0.4605702543025944,0.34524999999999995,0.028750000000000053,0.9027584199813953,0.34401000000000004,0.5728167097408127,1478.4852054233538,1.0,14.766805924414884,0.028750000000000053,1.0103213988958646,13.727734525519018,14.738055924414883,0.99975,544.120536739557,4.320705733272709e-05,76.0663644252504,785.0,1.0,1.0,1.0815916988253516,0.34524999999999995,0.7363416988253516,797,4000,4000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,2.815844622893913,24.707911786193506,57.386617274954915,0,797,2867606,0.30625,0.8675,0.6095401644706726,0.6095401644706726,0.9999996423721313,0.005477342077382888,0.9974968710888611,0.9974968710888611,0.9974968710888611,0.5642547974334594,0.1325,0.14813916665542612,1.425930416672287
PU-R,boundary_duplicate_mnist,0,0.3,0.3,3500,1500,800,1261,2061,796,0.6191442267154343,0.3308502440277421,0.3308502440277421,0.3602857142857143,0.0,0.8613249742490627,0.3603714285714287,0.5891158083141175,770.6883373688993,1.0,16.467197387982083,0.0,1.010490154506989,15.456707233475095,16.467197387982083,0.9997142857142857,544.120536739557,4.331185448841086e-05,75.97428378652214,785.0,1.0,1.0,1.1765553714367623,0.3602857142857143,0.8162696571510479,797,3500,3500,0.058780160722749115,1.582581761977049e-05,0.3076923076923077,6.822854508322281,19.61848348221287,98.19775090645999,0,797,2469106,0.29625,0.7625,0.5566922426223755,0.5566922426223755,0.9964309334754944,0.006505494058430568,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.7908580905528101,0.2375,0.15578119111748123,1.4221094044412594
GREATS,boundary_duplicate_mnist,0,0.3,0.3,3500,1500,800,1101,1901,796,,0.44952478808117136,0.44952478808117136,0.3254285714285714,0.04749999999999999,0.8975614666700849,0.3244571428571429,0.5529973387705207,1359.4551322983614,1.0,16.514697387982082,0.04749999999999999,1.010490154506989,15.456707233475095,16.467197387982083,0.9997142857142857,544.120536739557,4.331185448841086e-05,75.97428378652214,785.0,1.0,1.0,1.1416982285796193,0.3254285714285714,0.8162696571510479,797,3500,3500,0.058780160722749115,1.582581761977049e-05,0.3076923076923077,6.822854508322281,19.61848348221287,55.9757555257529,0,797,2469106,0.3075,0.84625,0.6031345129013062,0.6031345129013062,0.9999960064888,0.006290929543509501,0.9949937421777222,0.9962453066332916,0.9937421777221527,0.6191456596284757,0.15375,0.15379211483847696,1.4231039425807614
PU-R,boundary_duplicate_mnist,0,0.3,0.4,3000,2000,800,1013,1813,796,0.6366697388002649,0.38684818905728235,0.3868481890572823,0.33766666666666667,0.0,0.8607053444380274,0.33838666666666667,0.5671553378883619,754.4989508853515,1.0,18.674683696361136,0.0,1.0106821452650987,17.664001551096035,18.674683696361136,0.9996666666666667,544.120536739557,4.352968252493243e-05,75.78395291571462,785.0,1.0,1.0,1.275428002980243,0.33766666666666667,0.9377613363135762,797,3000,3000,0.058780160722749115,0.00012568600613418795,0.46153846153846156,1.1429157756941084,20.462404694843556,95.93874698784202,0,797,2070606,0.2675,0.78375,0.5654952526092529,0.5654952526092529,0.9983065128326416,0.006311467539831455,0.9987484355444305,0.9974968710888611,0.9974968710888611,0.753260755839685,0.21625,0.15803935265723193,1.420980323671384
GREATS,boundary_duplicate_mnist,0,0.3,0.4,3000,2000,800,879,1679,796,,0.4279475982532751,0.4279475982532751,0.29833333333333334,0.020000000000000018,0.9035431424952127,0.29939333333333334,0.5270238946073361,1395.6540524204634,1.0,18.694683696361135,0.020000000000000018,1.0106821452650987,17.664001551096035,18.674683696361136,0.9996666666666667,544.120536739557,4.352968252493243e-05,75.78395291571462,785.0,1.0,1.0,1.2360946696469095,0.29833333333333334,0.9377613363135762,797,3000,3000,0.058780160722749115,0.00012568600613418795,0.46153846153846156,1.1429157756941084,20.462404694843556,54.05007324088365,0,797,2070606,0.3275,0.855,0.5957537889480591,0.5957537889480591,0.9999992847442627,0.0055098350909311275,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.597185045253784,0.145,0.1465314475626588,1.4267342762186705
