method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,selection_steps,certified_bound,test_error,test_inappropriate_risk,pool_empirical_error,support_empirical_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,self_selected_bound,self_selected_bound_raw,self_selected_empirical_risk,self_selected_initial_gap,self_selected_reciprocal_gap,self_selected_total_gap,self_selected_lipschitz_sample,self_selected_log_cover_constant,self_selected_concentration_rate_constant,self_selected_data_diameter,self_selected_dimension,self_selected_wasserstein_p,ada_bound,ada_bound_raw,ada_empirical_risk,ada_alpha,ada_query_count,ada_initial_size,ada_final_size,ada_sigma,ada_beta,ada_epsilon,ada_delta_sum,ada_gamma_star,runtime_sec,stop_reached,train_calls,loss_eval_count,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
PU-R,mnist,0,0.0,0.0,5000,0,696,0,696,692,0.15657658921554685,0.04469999999999996,0.0447,0.0,0.0,0.31551850628621486,0.0005919999999999859,0.10388117876970433,621.7748606004951,1.0,12.758455916277185,0.0,1.0104923776789552,11.74796353859823,12.758455916277185,0.9998,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.6771552195923581,0.6771552195923581,0.0,0.6771552195923581,693,5000,5000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.14716260641810117,41.8651185028501,68.92085837572813,1,693,3222450,0.0,0.0,0.555092990398407,0.555092990398407,0.9947627782821655,0.008976866025226392,0.9985611510791367,0.9985611510791367,0.9985611510791367,0.0,0.0,0.16699328231996677,1.4165033588400167
GREATS,mnist,0,0.0,0.0,5000,0,652,0,652,648,,0.03979999999999995,0.0398,0.0,0.0,0.31907542899326197,0.0,0.10054508339854402,662.897509925168,1.0,12.058905774027583,0.0,1.0104923776789552,11.048413396348627,12.058905774027583,0.9998,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.6748002656583372,0.6748002656583372,0.0,0.6748002656583372,649,5000,5000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.09260158725211161,44.47832081898498,32.892030701972544,1,649,3032128,0.0,0.0,0.579142689704895,0.579142689704895,0.9937152862548828,0.009306809574525843,0.9984639016897081,0.9984639016897081,0.9984639016897081,0.0,0.0,0.1620653540291958,1.418967322985402
PU-R,mnist,0,0.0,0.1,4500,500,663,0,663,659,0.1660620466573164,0.04520000000000002,0.0452,0.0,0.0,0.31138243297208396,0.0004355555555555757,0.10311747759243078,545.3862253193065,1.0,13.392842918637134,0.0,1.0106280122561337,12.382214906381,13.392842918637134,0.9997777777777778,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.6830301630143251,0.6830301630143251,0.0,0.6830301630143251,660,4500,4500,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.37379336186992523,36.09642157115908,58.60108036827296,1,660,2749890,0.0,0.0,0.5672746300697327,0.5672746300697327,0.9952257871627808,0.00953621147831781,0.9984894259818731,0.9969788519637462,0.9969788519637462,0.0,0.0,0.16521881190397106,1.4173905940480145
GREATS,mnist,0,0.0,0.1,4500,500,583,0,583,579,,0.04400000000000004,0.044,0.0,0.0,0.3176369757294781,0.0,0.10054508339854402,589.3329548903877,1.0,11.984599212724426,0.0,1.0106280122561337,10.973971200468291,11.984599212724426,0.9997777777777778,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.6762030183081097,0.6762030183081097,0.0,0.6762030183081097,580,4500,4500,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.16527053883976747,40.62382226547201,25.3398689487949,1,580,2439770,0.0,0.0,0.571386992931366,0.571386992931366,0.990211546421051,0.01056477920517495,0.9982817869415808,0.9982817869415808,0.9982817869415808,0.0,0.0,0.1642034433869669,1.4178982783065166
PU-R,mnist,0,0.0,0.2,4000,1000,623,0,623,619,0.17603799275821075,0.04469999999999996,0.0447,0.0,0.0,0.3214266737590302,8.999999999999675e-05,0.10120311362657637,534.4696920836259,1.0,14.042543593879227,0.0,1.010779660365391,13.031763933513837,14.042543593879227,0.99975,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.6951310233845321,0.6951310233845321,0.0,0.6951310233845321,620,4000,4000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.8698819667921669,30.871172734857357,49.778338056989014,1,620,2285630,0.0,0.0,0.5668580532073975,0.5668580532073975,0.9924700856208801,0.010296024906217312,0.9967845659163987,0.9983922829581994,0.9967845659163987,0.0,0.0,0.16790298748220853,1.4160485062588957
GREATS,mnist,0,0.0,0.2,4000,1000,506,0,506,502,,0.046499999999999986,0.0465,0.0,0.0,0.3281269991462866,0.00018499999999999295,0.10177849342643602,558.4240301771575,1.0,11.731409473041555,0.0,1.010779660365391,10.720629812676165,11.731409473041555,0.99975,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.6782637540559312,0.6782637540559312,0.0,0.6782637540559312,503,4000,4000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.26692891685074654,37.30307532212727,18.0166686931625,1,503,1883735,0.0,0.0,0.5821201801300049,0.5821201801300049,0.9923466444015503,0.011890141186903756,0.998019801980198,0.998019801980198,0.998019801980198,0.0,0.0,0.16586399322523868,1.4170680033873806
PU-R,mnist,0,0.0,0.3,3500,1500,550,0,550,546,0.17884750693337992,0.04630000000000001,0.0463,0.0,0.0,0.3390126216048056,0.00017714285714286903,0.10173297079202855,527.6306483204769,1.0,14.14020023571188,0.0,1.0109516123346298,13.12924862337725,14.14020023571188,0.9997142857142857,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.7116908579350403,0.7116908579350403,0.0,0.7116908579350403,547,3500,3500,0.058780160722749115,0.00012568600613418795,0.3076923076923077,1.521014012399728,27.205921312918164,36.55334194935858,1,547,1762981,0.0,0.0,0.5666738748550415,0.5666738748550415,0.992703914642334,0.01142257421497147,0.9981785063752276,0.9981785063752276,0.9981785063752276,0.0,0.0,0.16748938846366201,1.416255305768169
GREATS,mnist,0,0.0,0.3,3500,1500,514,0,514,510,,0.04810000000000003,0.0481,0.0,0.0,0.34109951830129387,0.0,0.10054508339854402,541.7328632326236,1.0,13.336183186267126,0.0,1.0109516123346298,12.325231573932497,13.336183186267126,0.9997142857142857,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.7012862971317091,0.7012862971317091,0.0,0.7012862971317091,511,3500,3500,0.058780160722749115,0.00012568600613418795,0.3076923076923077,1.1018010278237136,28.902076471655892,18.440868198871613,1,511,1656151,0.0,0.0,0.5788827538490295,0.5788827538490295,0.9880377054214478,0.012209510364429934,0.9980506822612085,0.9961013645224172,0.9961013645224172,0.0,0.0,0.1677515685571968,1.4161242157214016
PU-R,mnist,0,0.0,0.4,3000,2000,471,0,471,467,0.18035547027830034,0.05259999999999998,0.0526,0.0,0.0,0.3505508400295582,9.333333333332306e-05,0.10122444467941467,490.7989544952268,1.0,14.11476054356816,0.0,1.0111501526918,13.10361039087636,14.11476054356816,0.9996666666666667,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.7406203287982633,0.7406203287982633,0.0,0.7406203287982633,468,3000,3000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,2.5244473159629206,23.796925956531478,24.276804560795426,1,468,1292850,0.0,0.0,0.5700129866600037,0.5700129866600037,0.993964672088623,0.013512407671883107,0.9957446808510638,0.997872340425532,0.9957446808510638,0.0,0.0,0.17138999466320054,1.4143050026683999
GREATS,mnist,0,0.0,0.4,3000,2000,387,0,387,383,,0.0504,0.0504,0.0,0.0,0.34782345487512906,0.00025333333333332764,0.10216310013729964,477.5067016799088,1.0,11.905728932384166,0.0,1.0111501526918,10.894578779692367,11.905728932384166,0.9996666666666667,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.7010958896847792,0.7010958896847792,0.0,0.7010958896847792,384,3000,3000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,1.0530458263468518,28.327038603919455,9.920081452466547,1,384,1076928,0.0,0.0,0.5871626138687134,0.5871626138687134,0.9884212017059326,0.016394958704700355,0.9974093264248705,0.9974093264248705,0.9974093264248705,0.0,0.0,0.17651626722982047,1.4117418663850898
