method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,selection_steps,certified_bound,test_error,test_inappropriate_risk,pool_empirical_error,support_empirical_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,self_selected_bound,self_selected_bound_raw,self_selected_empirical_risk,self_selected_initial_gap,self_selected_reciprocal_gap,self_selected_total_gap,self_selected_lipschitz_sample,self_selected_log_cover_constant,self_selected_concentration_rate_constant,self_selected_data_diameter,self_selected_dimension,self_selected_wasserstein_p,ada_bound,ada_bound_raw,ada_empirical_risk,ada_alpha,ada_query_count,ada_initial_size,ada_final_size,ada_sigma,ada_beta,ada_epsilon,ada_delta_sum,ada_gamma_star,runtime_sec,stop_reached,train_calls,loss_eval_count,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
PU-R,mnist,0,0.3,0.0,5000,0,800,1692,2492,796,0.5243461698410101,0.2992,0.2992,0.33840000000000003,0.0,0.7959357122511448,0.339132,0.5679074864011255,653.9709431725353,1.0,14.387668439452662,0.0,1.0104923776789552,13.377176061773707,14.387668439452662,0.9998,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.0223562425752628,0.33840000000000003,0.6839562425752629,797,5000,5000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.36348211248317414,36.83055024935381,104.48967362754047,0,797,3664606,0.33,0.0,0.5611400008201599,0.5611400008201599,0.9961235523223877,0.00783088930575958,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.1659601837386261,1.417019908130687
GREATS,mnist,0,0.3,0.0,5000,0,800,1622,2422,796,,0.4021,0.4021,0.3246,0.0012499999999999734,0.8162223720609181,0.32440399999999997,0.5529429527022572,902.1060117075617,1.0,14.388918439452663,0.0012499999999999734,1.0104923776789552,13.377176061773707,14.387668439452662,0.9998,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.008556242575263,0.3246,0.6839562425752629,797,5000,5000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,0.36348211248317414,36.83055024935381,60.79246005695313,0,797,3664606,0.42625,0.0,0.5871487855911255,0.5871487855911255,0.9882805347442627,0.008146666465921605,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16252564982613452,1.4187371750869326
PU-R,mnist,0,0.3,0.1,4500,500,800,1406,2206,796,0.5174475908861496,0.24050000000000005,0.2405,0.3124444444444444,0.0,0.7817767359341684,0.3130888888888889,0.5412975513308125,629.7642015907842,1.0,15.747062503289165,0.0,1.0106280122561337,14.73643449103303,15.747062503289165,0.9997777777777778,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.0118894779073817,0.3124444444444444,0.6994450334629374,797,4500,4500,0.058780160722749115,0.00012568600613418795,0.3076923076923077,1.0601192454501767,30.443296760233448,100.98751971125603,0,797,3266106,0.3325,0.0,0.5644671320915222,0.5644671320915222,0.994612455368042,0.00807393940156314,0.9987484355444305,0.9974968710888611,0.9974968710888611,0.0,0.0,0.16596332608222497,1.4170183369588876
GREATS,mnist,0,0.3,0.1,4500,500,800,1416,2216,796,,0.4094,0.4094,0.31466666666666665,0.0,0.8220487048493257,0.31542666666666663,0.5437143481411505,913.7287079796263,1.0,15.747062503289165,0.0,1.0106280122561337,14.73643449103303,15.747062503289165,0.9997777777777778,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.014111700129604,0.31466666666666665,0.6994450334629374,797,4500,4500,0.058780160722749115,0.00012568600613418795,0.3076923076923077,1.0601192454501767,30.443296760233448,58.78900583460927,0,797,3266106,0.44125,0.0,0.5733523964881897,0.5733523964881897,0.9906071424484253,0.008046676797584838,0.9987484355444305,0.9974968710888611,0.9974968710888611,0.0,0.0,0.16227957632103454,1.4188602118394829
PU-R,mnist,0,0.3,0.2,4000,1000,800,1210,2010,796,0.5312826889567077,0.2419,0.2419,0.3025,0.0,0.7890261738025705,0.30187,0.5296198514214517,655.9133778234584,1.0,17.41285625089355,0.0,1.010779660365391,16.40207659052816,17.41285625089355,0.99975,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.0388416988253515,0.3025,0.7363416988253516,797,4000,4000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,2.815844622893913,24.707911786193506,99.27118070796132,0,797,2867606,0.33375,0.0,0.561016857624054,0.561016857624054,0.9973325729370117,0.007775540925208036,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16508880841409473,1.4174555957929527
GREATS,mnist,0,0.3,0.2,4000,1000,800,1189,1989,796,,0.4092,0.4092,0.29725,0.0,0.8262806263909286,0.29692500000000005,0.5244300988254698,953.8707382504814,1.0,17.41285625089355,0.0,1.010779660365391,16.40207659052816,17.41285625089355,0.99975,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.0335916988253517,0.29725,0.7363416988253516,797,4000,4000,0.058780160722749115,0.00012568600613418795,0.3076923076923077,2.815844622893913,24.707911786193506,57.35200006514788,0,797,2867606,0.435,0.0,0.5777429938316345,0.5777429938316345,0.9945257902145386,0.007431315521573245,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15969286597567253,1.4201535670121637
PU-R,mnist,0,0.3,0.3,3500,1500,800,1109,1909,796,0.576000732020475,0.3183,0.3183,0.31685714285714284,0.0,0.8162202477513001,0.31789142857142855,0.5462563095289166,659.3826767749789,1.0,19.501210405175897,0.0,1.0109516123346298,18.490258792841267,19.501210405175897,0.9997142857142857,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.1331268000081907,0.31685714285714284,0.8162696571510479,797,3500,3500,0.058780160722749115,1.582581761977049e-05,0.3076923076923077,6.822854508322281,19.61848348221287,98.15910601709038,0,797,2469106,0.3375,0.0,0.5603527426719666,0.5603527426719666,0.9951660633087158,0.007898124834716096,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16487214003169923,1.4175639299841505
GREATS,mnist,0,0.3,0.3,3500,1500,800,976,1776,796,,0.4072,0.4072,0.2788571428571428,0.0,0.8221041278001653,0.27884,0.5052211928552395,902.357107575191,1.0,19.501210405175897,0.0,1.0109516123346298,18.490258792841267,19.501210405175897,0.9997142857142857,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.0951268000081908,0.2788571428571428,0.8162696571510479,797,3500,3500,0.058780160722749115,1.582581761977049e-05,0.3076923076923077,6.822854508322281,19.61848348221287,55.660370072349906,0,797,2469106,0.4425,0.0,0.5776204466819763,0.5776204466819763,0.9893624782562256,0.008150223069107428,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16342478202398691,1.4182876089880065
PU-R,mnist,0,0.3,0.4,3000,2000,800,813,1613,796,0.5705213279579766,0.27080000000000004,0.2708,0.271,0.0,0.7999630677217711,0.2708,0.4965624985714669,675.5388842240969,1.0,22.194979199690984,0.0,1.0111501526918,21.183829046999183,22.194979199690984,0.9996666666666667,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.208761336313576,0.271,0.9377613363135762,797,3000,3000,0.058780160722749115,0.00012568600613418795,0.46153846153846156,1.1429157756941084,20.462404694843556,94.78426054306328,0,797,2070606,0.33625,0.0,0.5582435131072998,0.5582435131072998,0.9964212775230408,0.007015037820097502,0.9974968710888611,0.9974968710888611,0.9962453066332916,0.0,0.0,0.16111893655633489,1.4194405317218326
GREATS,mnist,0,0.3,0.4,3000,2000,800,726,1526,796,,0.42469999999999997,0.4247,0.242,0.0,0.8160425616685251,0.24128666666666668,0.4641096703333635,925.158665581875,1.0,22.194979199690984,0.0,1.0111501526918,21.183829046999183,22.194979199690984,0.9996666666666667,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.1797613363135762,0.242,0.9377613363135762,797,3000,3000,0.058780160722749115,0.00012568600613418795,0.46153846153846156,1.1429157756941084,20.462404694843556,55.709884859621525,0,797,2070606,0.4425,0.0,0.5772032141685486,0.5772032141685486,0.991010844707489,0.007629378935385109,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15985940992030992,1.420070295039845
PU-R,mnist,0,0.3,0.5,2500,2500,800,546,1346,796,0.5741333662299439,0.23160000000000003,0.2316,0.21840000000000004,0.0,0.7810805728425,0.21817599999999998,0.437904840446063,683.6226615295142,1.0,25.79888543214948,0.0,1.0113850264248379,24.787500405724643,25.79888543214948,0.9996,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.2090856522528686,0.21840000000000004,0.9906856522528684,797,2500,2500,0.1193776641714437,0.00099817731491033,0.3076923076923077,0.15040538736107592,37.876397405276386,94.64397441782057,0,797,1672106,0.34625,0.0,0.5615635514259338,0.5615635514259338,0.9963517785072327,0.006693755734148895,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16045345827821303,1.4197732708608934
GREATS,mnist,0,0.3,0.5,2500,2500,800,447,1247,796,,0.3911,0.3911,0.17879999999999996,0.0,0.7895263555290245,0.1794,0.39214279281420594,917.6838913071354,1.0,25.79888543214948,0.0,1.0113850264248379,24.787500405724643,25.79888543214948,0.9996,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.1694856522528685,0.17879999999999996,0.9906856522528684,797,2500,2500,0.1193776641714437,0.00099817731491033,0.3076923076923077,0.15040538736107592,37.876397405276386,52.05400513578206,0,797,1672106,0.425,0.0,0.5790228843688965,0.5790228843688965,0.990222692489624,0.007678745731767337,0.9987484355444305,0.9974968710888611,0.9974968710888611,0.0,0.0,0.16140442360625043,1.4192977881968747
