dataset,method,noise_rate,pretrain_fraction,n,n_cert_mean,n_cert_se,n_pretrain_mean,n_pretrain_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,selection_steps_mean,selection_steps_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pool_empirical_error_mean,pool_empirical_error_se,support_empirical_error_mean,support_empirical_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,self_selected_bound_mean,self_selected_bound_se,self_selected_bound_raw_mean,self_selected_bound_raw_se,self_selected_empirical_risk_mean,self_selected_empirical_risk_se,self_selected_initial_gap_mean,self_selected_initial_gap_se,self_selected_reciprocal_gap_mean,self_selected_reciprocal_gap_se,self_selected_total_gap_mean,self_selected_total_gap_se,self_selected_lipschitz_sample_mean,self_selected_lipschitz_sample_se,self_selected_log_cover_constant_mean,self_selected_log_cover_constant_se,self_selected_concentration_rate_constant_mean,self_selected_concentration_rate_constant_se,self_selected_data_diameter_mean,self_selected_data_diameter_se,self_selected_dimension_mean,self_selected_dimension_se,self_selected_wasserstein_p_mean,self_selected_wasserstein_p_se,ada_bound_mean,ada_bound_se,ada_bound_raw_mean,ada_bound_raw_se,ada_empirical_risk_mean,ada_empirical_risk_se,ada_alpha_mean,ada_alpha_se,ada_query_count_mean,ada_query_count_se,ada_initial_size_mean,ada_initial_size_se,ada_final_size_mean,ada_final_size_se,ada_sigma_mean,ada_sigma_se,ada_beta_mean,ada_beta_se,ada_epsilon_mean,ada_epsilon_se,ada_delta_sum_mean,ada_delta_sum_se,ada_gamma_star_mean,ada_gamma_star_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se,loss_eval_count_mean,loss_eval_count_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se
mnist,GREATS,0.3,0.0,5,5000.0,0.0,0.0,0.0,800.0,0.0,1667.6,20.299261070295145,2467.6,20.299261070295145,796.0,0.0,,,0.42088000000000003,0.009389217219768643,0.42088000000000003,0.009389217219768634,0.33355999999999997,0.0040375239937367555,0.0002499999999999947,0.0002499999999999947,0.8285682676203111,0.003715873012062248,0.33348639999999996,0.004098643795208352,0.5621633988975472,0.004157325712323508,954.9922608561003,16.132363927411483,1.0,0.0,14.387918439452662,0.0002500000000001279,0.0002499999999999947,0.0002499999999999947,1.0104923776789552,0.0,13.377176061773707,0.0,14.387668439452662,0.0,0.9998000000000001,5.551115123125783e-17,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,1.0,0.0,1.0175162425752629,0.004037523993736743,0.33355999999999997,0.0040375239937367555,0.6839562425752629,0.0,797.0,0.0,5000.0,0.0,5000.0,0.0,0.05878016072274912,3.469446951953614e-18,0.00012568600613418795,0.0,0.3076923076923077,0.0,0.36348211248317414,0.0,36.83055024935381,0.0,61.349628685973585,0.1893158770726729,0.0,0.0,797.0,0.0,3664606.0,0.0,0.442,0.005499999999999994,0.0,0.0,0.5836688637733459,0.0014421003992078321,0.5836688637733459,0.0014421003992078321,0.9906391263008117,0.0010466206650405353,0.007993121821904214,6.294019156216796e-05,0.9987484355444305,0.0,0.9982478097622026,0.00030656942963492537,0.9982478097622026,0.00030656942963492537,0.0,0.0,0.0,0.0,0.16269196177288764,0.0005018699438857192,1.4186540191135562,0.0002509349719428482
mnist,GREATS,0.3,0.1,5,4500.0,0.0,500.0,0.0,800.0,0.0,1420.2,20.611647192788837,2220.2,20.611647192788837,796.0,0.0,,,0.41819999999999996,0.013181388394247397,0.4182,0.013181388394247404,0.3156,0.004580366042841973,0.0,0.0,0.8253321219330354,0.0032251702466636113,0.31590755555555555,0.004560305036364496,0.5441678655440925,0.004707711791770875,939.9597004383286,12.147457642860681,1.0,0.0,15.747062503289163,8.881784197001252e-16,0.0,0.0,1.0106280122561337,0.0,14.736434491033032,8.881784197001252e-16,15.747062503289163,8.881784197001252e-16,0.9997777777777778,0.0,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,1.0,0.0,1.0150450334629375,0.0045803660428419615,0.3156,0.004580366042841973,0.6994450334629374,0.0,797.0,0.0,4500.0,0.0,4500.0,0.0,0.05878016072274912,3.469446951953614e-18,0.00012568600613418795,0.0,0.3076923076923077,0.0,1.0601192454501767,0.0,30.443296760233448,0.0,59.557009898498656,0.3792336881527586,0.0,0.0,797.0,0.0,3266106.0,0.0,0.44525,0.0017410485346480138,0.0,0.0,0.5749730467796326,0.0008223641665672209,0.5749730467796326,0.0008223641665672209,0.990181314945221,0.0011677015850483734,0.007916106821244143,0.00012252839772231293,0.9984981226533167,0.00025031289111387967,0.9982478097622026,0.0003065694296349253,0.9979974968710887,0.00030656942963492537,0.0,0.0,0.0,0.0,0.16237771643040722,0.0007740067500066777,1.4188111417847964,0.0003870033750033226
mnist,GREATS,0.3,0.2,5,4000.0,0.0,1000.0,0.0,800.0,0.0,1162.4,20.860488968382306,1962.4,20.860488968382306,796.0,0.0,,,0.39668000000000003,0.006444408429018137,0.39668000000000003,0.006444408429018132,0.2906000000000001,0.005215122242095571,0.0,0.0,0.8194255771266603,0.00493201453018247,0.29087300000000005,0.005209453090296527,0.5179821978172007,0.005530942922682233,935.6344000433185,10.434866631044189,1.0,0.0,17.41285625089355,0.0,0.0,0.0,1.010779660365391,0.0,16.40207659052816,0.0,17.41285625089355,0.0,0.99975,0.0,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,1.0,0.0,1.0269416988253517,0.005215122242095579,0.2906000000000001,0.005215122242095571,0.7363416988253516,0.0,797.0,0.0,4000.0,0.0,4000.0,0.0,0.05878016072274912,3.469446951953614e-18,0.00012568600613418795,0.0,0.3076923076923077,0.0,2.815844622893913,0.0,24.707911786193506,0.0,57.3996925059706,0.04660427684270066,0.0,0.0,797.0,0.0,2867606.0,0.0,0.442,0.005556527692723221,0.0,0.0,0.5812433958053589,0.001585798727770603,0.5812433958053589,0.001585798727770603,0.9921517491340637,0.0011071662270880501,0.0077976526802077005,0.00011966353712618418,0.9987484355444305,0.0,0.9984981226533165,0.00025031289111387967,0.9984981226533165,0.00025031289111387967,0.0,0.0,0.0,0.0,0.16104319323052924,0.0006199552652570334,1.4194784033847356,0.00030997763262848537
mnist,GREATS,0.3,0.3,5,3500.0,0.0,1500.0,0.0,800.0,0.0,958.6,12.456323695216017,1758.6,12.456323695216016,796.0,0.0,,,0.42203999999999997,0.009536802399127294,0.42203999999999997,0.00953680239912729,0.27388571428571434,0.003558949627204571,0.0,0.0,0.8230065524944132,0.003854814007190793,0.2743771428571429,0.003914749086233148,0.5003885819692047,0.00421691596053884,935.862096044107,13.946923773184027,1.0,0.0,19.501210405175897,0.0,0.0,0.0,1.0109516123346298,0.0,18.490258792841267,0.0,19.501210405175897,0.0,0.9997142857142857,0.0,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,1.0,0.0,1.0901553714367622,0.0035589496272045956,0.27388571428571434,0.003558949627204571,0.816269657151048,5.551115123125783e-17,797.0,0.0,3500.0,0.0,3500.0,0.0,0.05878016072274912,3.469446951953614e-18,1.582581761977049e-05,0.0,0.3076923076923077,0.0,6.822854508322282,4.440892098500626e-16,19.61848348221287,0.0,55.776505906693636,0.38028231648856275,0.0,0.0,797.0,0.0,2469106.0,0.0,0.44575000000000004,0.004376785350002894,0.0,0.0,0.5797034621238708,0.0015027514473606113,0.5797034621238708,0.0015027514473606113,0.9912271738052368,0.0006860679892002631,0.00782875556741213,0.00010015121591752848,0.9987484355444305,0.0,0.9987484355444305,0.0,0.9987484355444305,0.0,0.0,0.0,0.0,0.0,0.1615854186267402,0.0005181756789837037,1.41920729068663,0.0002590878394918514
mnist,GREATS,0.3,0.4,5,3000.0,0.0,2000.0,0.0,800.0,0.0,701.0,11.054410884348382,1501.0,11.054410884348382,796.0,0.0,,,0.38674,0.011517708105348037,0.38674,0.011517708105348046,0.2338,0.003681183384607599,0.0004999999999999894,0.0003061862178478907,0.810371857299292,0.0030774715148925245,0.23414533333333337,0.003572329087739694,0.45605555990411506,0.004039851810123283,925.4980936691934,11.72338355574975,1.0,0.0,22.195479199690983,0.0003061862178476188,0.0004999999999999894,0.0003061862178478907,1.0111501526918,0.0,21.183829046999183,0.0,22.194979199690984,0.0,0.9996666666666666,5.551115123125783e-17,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,1.0,0.0,1.1715613363135762,0.003681183384607597,0.2338,0.003681183384607599,0.9377613363135762,0.0,797.0,0.0,3000.0,0.0,3000.0,0.0,0.05878016072274912,3.469446951953614e-18,0.00012568600613418795,0.0,0.46153846153846156,0.0,1.1429157756941084,0.0,20.462404694843556,0.0,53.91457571424544,0.4513314524840488,0.0,0.0,797.0,0.0,2070606.0,0.0,0.44025,0.006317139384246635,0.0,0.0,0.5777214765548706,0.00142738715262908,0.5777214765548706,0.00142738715262908,0.9904912829399108,0.000571162749448852,0.007758782116535384,6.365375556720952e-05,0.9982478097622028,0.00030656942963492537,0.9987484355444305,0.0,0.9982478097622028,0.00030656942963492537,0.0,0.0,0.0,0.0,0.16079302707756707,0.0005323923677497762,1.4196034864612164,0.00026619618387488695
mnist,GREATS,0.3,0.5,5,2500.0,0.0,2500.0,0.0,800.0,0.0,439.2,4.862098312457287,1239.2,4.862098312457287,796.0,0.0,,,0.36668,0.009803132152531664,0.36668,0.009803132152531655,0.17583999999999997,0.0018787229705307879,0.0004999999999999894,0.0003061862178478907,0.7876466118826115,0.003854133544908903,0.17614560000000004,0.0018595369746256802,0.38817468831565066,0.0022740566807532238,924.6705087066557,15.837522030340015,1.0,0.0,25.799385432149478,0.0003061862178476188,0.0004999999999999894,0.0003061862178478907,1.0113850264248379,0.0,24.787500405724643,0.0,25.79888543214948,0.0,0.9996,0.0,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,1.0,0.0,1.1665256522528682,0.0018787229705308146,0.17583999999999997,0.0018787229705307879,0.9906856522528684,0.0,797.0,0.0,2500.0,0.0,2500.0,0.0,0.11937766417144371,6.938893903907228e-18,0.00099817731491033,0.0,0.3076923076923077,0.0,0.15040538736107592,0.0,37.876397405276386,0.0,51.772024743817745,0.08485653619774788,0.0,0.0,797.0,0.0,1672106.0,0.0,0.43174999999999997,0.002755675960631077,0.0,0.0,0.5778093338012695,0.0013405731879863611,0.5778093338012695,0.0013405731879863611,0.9912075638771057,0.0010086238629929871,0.0074759096101868205,0.00011574087068978279,0.9987484355444305,0.0,0.9984981226533167,0.0002503128911138797,0.9984981226533167,0.0002503128911138797,0.0,0.0,0.0,0.0,0.1599351157308952,0.0006307803636823536,1.4200324421345525,0.0003153901818411778
mnist,GREATS,0.3,0.6,5,2000.0,0.0,3000.0,0.0,800.0,0.0,216.4,14.235870187663275,1016.4,14.235870187663274,796.0,0.0,,,0.35632,0.005777144623427725,0.35631999999999997,0.005777144623427735,0.1082,0.007117935093831635,0.0,0.0,0.7539145054528822,0.008752363324648538,0.10852599999999998,0.007125863175784389,0.30049686567642986,0.009884662447484757,902.6864599503513,4.979589462450269,1.0,0.0,30.85877307871642,0.0,0.0,0.0,1.0116725628910501,0.0,29.84710051582537,0.0,30.85877307871642,0.0,0.9995,0.0,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,1.0,0.0,1.155805315643441,0.007117935093831639,0.1082,0.007117935093831635,1.0476053156434408,0.0,797.0,0.0,2000.0,0.0,2000.0,0.0,0.11937766417144371,6.938893903907228e-18,0.00012568600613418795,0.0,0.3076923076923077,0.0,1.234885682521912,0.0,25.382064554997893,0.0,50.119776170141996,0.0820750566041855,0.0,0.0,797.0,0.0,1273606.0,0.0,0.42099999999999993,0.0063171393842466365,0.0,0.0,0.5800523638725281,0.0025543477199883795,0.5800523638725281,0.0025543477199883795,0.9915441989898681,0.0007852263476779643,0.007254447200008026,0.00011780231414041542,0.9987484355444305,0.0,0.9987484355444305,0.0,0.9987484355444305,0.0,0.0,0.0,0.0,0.0,0.15890083888024967,0.0005324182879450686,1.4205495805598751,0.0002662091439725417
mnist,GREATS,0.3,0.7,5,1500.0,0.0,3500.0,0.0,800.0,0.0,39.0,8.47938677028003,839.0,8.47938677028003,796.0,0.0,,,0.32316,0.012973226275680228,0.32316,0.012973226275680226,0.02626666666666666,0.005783501438479023,0.0004999999999999894,0.0004999999999999894,0.694050084131857,0.011600776305587663,0.0264,0.005376794584136536,0.16837784037289474,0.011342680803287552,884.8179313360504,9.224027419081343,1.0,0.0,38.44732769249299,0.0004999999999995452,0.0004999999999999894,0.0004999999999999894,1.0120433825029667,0.0,37.43478430999002,0.0,38.44682769249299,0.0,0.9993333333333332,5.551115123125783e-17,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,1.0,0.0,1.2772206533808803,0.005783501438479041,0.02626666666666666,0.005783501438479023,1.2509539867142137,0.0,797.0,0.0,1500.0,0.0,1500.0,0.0,0.11937766417144371,6.938893903907228e-18,0.00012568600613418795,0.0,0.46153846153846156,0.0,0.4876560556199891,0.0,21.028732967288033,0.0,48.322599177062514,0.1095720277592223,0.0,0.0,797.0,0.0,875106.0,0.0,0.41550000000000004,0.006331962570956965,0.0,0.0,0.5724329113960266,0.0014512256776069703,0.5724329113960266,0.0014512256776069703,0.9931025862693786,0.0005881287772437093,0.006974094401280372,0.00010400732189990991,0.9987484355444305,0.0,0.9987484355444305,0.0,0.9987484355444305,0.0,0.0,0.0,0.0,0.0,0.1574609288863608,0.000602695454072964,1.4212695355568197,0.00030134772703648417
mnist,GREATS,0.3,0.8,5,1000.0,0.0,4000.0,0.0,597.2,16.230834852218784,0.0,0.0,597.2,16.230834852218784,593.2,16.230834852218784,,,0.31588,0.012673018582800238,0.31588000000000005,0.012673018582800226,0.0,0.0,0.0,0.0,0.6868455864123589,0.005612727538254555,0.0005600000000000005,0.00025822470834527066,0.10354548308151432,0.0011831231241250838,740.1098732240414,17.128820489022477,1.0,0.0,41.6669396038601,0.816081338591898,0.0,0.0,1.012566254188933,0.0,40.65437334967117,0.816081338591898,41.6669396038601,0.816081338591898,0.999,0.0,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,1.0,0.0,1.4307380889542358,0.01910523776588726,0.0,0.0,1.4307380889542358,0.01910523776588726,594.2,16.230834852218784,1000.0,0.0,1000.0,0.0,0.11937766417144371,6.938893903907228e-18,0.00012568600613418795,0.0,0.46153846153846156,0.0,3.0060946337356875,0.2827021573824669,13.459219903867993,0.3117650820091467,24.62884081620723,1.550617309218086,1.0,0.0,594.2,16.230834852218784,415056.6,6543.467456937491,0.4042074563181356,0.006606281873006102,0.0,0.0,0.5694313049316406,0.0013696535581999864,0.5694313049316406,0.0013696535581999864,0.9919036149978637,0.0008638425065242122,0.009765150750075228,0.0003167642268263454,0.998317697195802,4.612335270631415e-05,0.998317697195802,4.612335270631415e-05,0.998317697195802,4.612335270631415e-05,0.0,0.0,0.0,0.0,0.15995379545616542,0.0007639614143742726,1.4200231022719172,0.00038198070718714866
mnist,PU-R,0.3,0.0,5,5000.0,0.0,0.0,0.0,800.0,0.0,1627.4,32.57698574147092,2427.4,32.57698574147092,796.0,0.0,0.5113822688348592,0.006537307126110305,0.2734,0.010244364304338258,0.2734,0.010244364304338264,0.32548000000000005,0.006515397148294182,0.0,0.0,0.7847705467586314,0.005003781470115416,0.32552159999999997,0.006625924792811945,0.5539975632498813,0.006773266289655834,652.4190535362839,3.2091775610586835,1.0,0.0,14.387668439452662,0.0,0.0,0.0,1.0104923776789552,0.0,13.377176061773707,0.0,14.387668439452662,0.0,0.9998000000000001,5.551115123125783e-17,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,0.9982712485150526,0.0017287514849474216,1.0094362425752628,0.006515397148294171,0.32548000000000005,0.006515397148294182,0.6839562425752629,0.0,797.0,0.0,5000.0,0.0,5000.0,0.0,0.05878016072274912,3.469446951953614e-18,0.00012568600613418795,0.0,0.3076923076923077,0.0,0.36348211248317414,0.0,36.83055024935381,0.0,103.57040902823209,0.4060440485817514,0.0,0.0,797.0,0.0,3664606.0,0.0,0.3365,0.004799088455113111,0.0,0.0,0.5584022879600525,0.0020340377403260924,0.5584022879600525,0.0020340377403260924,0.9961850047111511,0.0004695062662600174,0.007560250016692233,0.00010271445362069421,0.997747183979975,0.00025031289111387967,0.9982478097622026,0.0003065694296349253,0.9974968710888611,0.0003957794318108084,0.0,0.0,0.0,0.0,0.1639093054415221,0.0006966893206339824,1.418045347279239,0.0003483446603169924
