method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,boundary_duplicate_mnist,0,0.3,0.0,5000,0,800,1829,2629,0.5517623682389967,0.4477266889288466,0.44772668892884665,,,,,51.245176538825035,0,797,0.33625,0.7975,0.6090921759605408,0.6090921759605408,0.9999960660934448,0.006208155535567128,0.9974968710888611,0.9962453066332916,0.9962453066332916,0.7269000047131049,0.2025,0.15747546322864145,1.4212622683856793
Marginal,boundary_duplicate_mnist,0,0.3,0.0,5000,0,800,2047,2847,0.5952238088939339,0.34240945286411506,0.34240945286411506,,,,,54.62643945310265,0,797,0.29625,0.77125,0.5521684288978577,0.5521684288978577,0.9998728036880493,0.005405675124929803,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.7758259004732616,0.22875,0.1557702168875145,1.4221148915562427
PU-R,boundary_duplicate_mnist,0,0.3,0.0,5000,0,800,1957,2757,0.5773057276965119,0.3740046236835346,0.37400462368353454,,,,,113.17063226457685,0,797,0.3175,0.725,0.5523412227630615,0.5523412227630615,0.999557614326477,0.007474043702611115,0.9962453066332916,0.9962453066332916,0.9962453066332916,0.8485481782946158,0.275,0.15924497676334684,1.4203775116183266
GREATS,boundary_duplicate_mnist,0,0.3,0.0,5000,0,800,1891,2691,,0.468790136141793,0.46879013614179293,,,,,67.41011455841362,0,797,0.3,0.80125,0.6092288494110107,0.6092288494110107,0.9999971389770508,0.005624948439243085,0.9974968710888611,0.9962453066332916,0.9962453066332916,0.719421039433693,0.19875,0.14886830627536607,1.425565846862317
MaxLoss,boundary_duplicate_mnist,0,0.3,0.1,4500,500,800,1609,2409,0.5625798038672656,0.4811199589005908,0.4811199589005908,,,,,50.43258569389582,0,797,0.29125,0.8425,0.6172449588775635,0.6172449588775635,1.0,0.0057484690646043,0.9962453066332916,0.9974968710888611,0.9962453066332916,0.6282950736777722,0.1575,0.15485631971608602,1.422571840141957
Marginal,boundary_duplicate_mnist,0,0.3,0.1,4500,500,800,1793,2593,0.6032913125236519,0.38068327767788335,0.3806832776778834,,,,,53.89731038175523,0,797,0.29875,0.73875,0.561226487159729,0.561226487159729,0.9999891519546509,0.005975298908949557,0.9899874843554443,0.9987484355444305,0.9899874843554443,0.828626787487442,0.26125,0.1618932469779692,1.4190533765110154
PU-R,boundary_duplicate_mnist,0,0.3,0.1,4500,500,800,1757,2557,0.5953409754438326,0.42846134086822507,0.428461340868225,,,,,111.29896123614162,0,797,0.30125,0.735,0.5596768856048584,0.5596768856048584,0.9998981356620789,0.0075165973648426586,0.9962453066332916,0.9962453066332916,0.9962453066332916,0.8341980958607491,0.265,0.1609618560427706,1.4195190719786148
GREATS,boundary_duplicate_mnist,0,0.3,0.1,4500,500,800,1631,2431,,0.44978165938864634,0.4497816593886463,,,,,65.96168650873005,0,797,0.3325,0.7975,0.6141777038574219,0.6141777038574219,0.9999991655349731,0.00565258251952307,0.9974968710888611,0.9974968710888611,0.9974968710888611,0.7269000047131049,0.2025,0.14837869585008387,1.425810652074958
MaxLoss,boundary_duplicate_mnist,0,0.3,0.2,4000,1000,800,1296,2096,0.5527901012683287,0.43359876701772415,0.4335987670177241,,,,,49.88338166382164,0,797,0.295,0.79375,0.609950602054596,0.609950602054596,0.9999973773956299,0.006129628056089145,0.9949937421777222,0.9987484355444305,0.9949937421777222,0.7342533376442747,0.20625,0.15643060800414293,1.4217846959979286
Marginal,boundary_duplicate_mnist,0,0.3,0.2,4000,1000,800,1508,2308,0.6055752495885827,0.3395838684818906,0.3395838684818906,,,,,53.35512172244489,0,797,0.29375,0.8175,0.5788149833679199,0.5788149833679199,0.9999971389770508,0.005525482709936853,0.9962453066332916,0.9987484355444305,0.9962453066332916,0.6855156779344391,0.1825,0.15344912624559154,1.4232754368772043
PU-R,boundary_duplicate_mnist,0,0.3,0.2,4000,1000,800,1496,2296,0.6025964131695218,0.35217056254816337,0.35217056254816337,,,,,108.38127139210701,0,797,0.3125,0.78375,0.5570125579833984,0.5570125579833984,0.9977240562438965,0.006808098883354087,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.753260755839685,0.21625,0.15817023725660315,1.4209148813716985
GREATS,boundary_duplicate_mnist,0,0.3,0.2,4000,1000,800,1358,2158,,0.46057025430259435,0.4605702543025944,,,,,63.24478336703032,0,797,0.30625,0.8675,0.6095401644706726,0.6095401644706726,0.9999996423721313,0.005477342077382888,0.9974968710888611,0.9974968710888611,0.9974968710888611,0.5642547974334594,0.1325,0.14813916665542612,1.425930416672287
MaxLoss,boundary_duplicate_mnist,0,0.3,0.3,3500,1500,800,1108,1908,0.57571609452134,0.46416645260724376,0.46416645260724376,,,,,50.03126482013613,0,797,0.29625,0.82,0.6079467535018921,0.6079467535018921,0.9999998807907104,0.006122187097021874,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.6800770457282799,0.18,0.15653778452732117,1.4217311077363395
Marginal,boundary_duplicate_mnist,0,0.3,0.3,3500,1500,800,1285,2085,0.6259339352836832,0.4020035961983046,0.40200359619830467,,,,,52.701820936985314,0,797,0.27375,0.81625,0.5794405341148376,0.5794405341148376,0.9999983310699463,0.005760631824025327,0.9962453066332916,0.9987484355444305,0.9962453066332916,0.6882122894737686,0.18375,0.1563704160507454,1.4218147919746273
PU-R,boundary_duplicate_mnist,0,0.3,0.3,3500,1500,800,1261,2061,0.6191442267154343,0.3308502440277421,0.3308502440277421,,,,,106.78792017698288,0,797,0.29625,0.7625,0.5566922426223755,0.5566922426223755,0.9964309334754944,0.006505494058430568,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.7908580905528101,0.2375,0.15578119111748123,1.4221094044412594
GREATS,boundary_duplicate_mnist,0,0.3,0.3,3500,1500,800,1101,1901,,0.44952478808117136,0.44952478808117136,,,,,61.33227840997279,0,797,0.3075,0.84625,0.6031345129013062,0.6031345129013062,0.9999960064888,0.006290929543509501,0.9949937421777222,0.9962453066332916,0.9937421777221527,0.6191456596284757,0.15375,0.15379211483847696,1.4231039425807614
MaxLoss,boundary_duplicate_mnist,0,0.3,0.4,3000,2000,800,830,1630,0.5761677594855428,0.43873619316722323,0.43873619316722323,,,,,49.3746693264693,0,797,0.32,0.83,0.5964284539222717,0.5964284539222717,0.9999898076057434,0.006202490960663938,0.9912390488110138,0.9974968710888611,0.9912390488110138,0.6577047787442195,0.17,0.15615589401800384,1.4219220529909982
Marginal,boundary_duplicate_mnist,0,0.3,0.4,3000,2000,800,1042,1842,0.646209110156633,0.4736706909838171,0.4736706909838171,,,,,51.83642852585763,0,797,0.29,0.90375,0.5848525166511536,0.5848525166511536,0.9999997615814209,0.005925081455811988,0.9962453066332916,0.9987484355444305,0.9962453066332916,0.45699438758826766,0.09625,0.15681604040456817,1.421591979797716
PU-R,boundary_duplicate_mnist,0,0.3,0.4,3000,2000,800,1013,1813,0.6366697388002649,0.38684818905728235,0.3868481890572823,,,,,104.47002695966512,0,797,0.2675,0.78375,0.5654952526092529,0.5654952526092529,0.9983065128326416,0.006311467539831455,0.9987484355444305,0.9974968710888611,0.9974968710888611,0.753260755839685,0.21625,0.15803935265723193,1.420980323671384
GREATS,boundary_duplicate_mnist,0,0.3,0.4,3000,2000,800,879,1679,,0.4279475982532751,0.4279475982532751,,,,,59.229824259877205,0,797,0.3275,0.855,0.5957537889480591,0.5957537889480591,0.9999992847442627,0.0055098350909311275,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.597185045253784,0.145,0.1465314475626588,1.4267342762186705
MaxLoss,boundary_duplicate_mnist,0,0.3,0.5,2500,2500,800,637,1437,0.6102959950221702,0.4626252247623941,0.46262522476239404,,,,,49.29551167041063,0,797,0.29875,0.82625,0.5948624014854431,0.5948624014854431,1.0,0.006117932492626996,0.9962453066332916,0.9974968710888611,0.9962453066332916,0.666211714568285,0.17375,0.15558671832922658,1.4222066408353866
Marginal,boundary_duplicate_mnist,0,0.3,0.5,2500,2500,800,779,1579,0.6663197487941943,0.4664782943745184,0.4664782943745184,,,,,51.02064786013216,0,797,0.3,0.89625,0.5906187295913696,0.5906187295913696,0.9999984502792358,0.005893632093093618,0.9949937421777222,0.9974968710888611,0.9949937421777222,0.4807713308483991,0.10375,0.15719095020195756,1.4214045248990212
PU-R,boundary_duplicate_mnist,0,0.3,0.5,2500,2500,800,761,1561,0.6592465677531436,0.40174672489082974,0.4017467248908297,,,,,101.69746499229223,0,797,0.2975,0.8,0.5637456774711609,0.5637456774711609,0.9994643926620483,0.006609106979546171,0.9974968710888611,0.9962453066332916,0.9962453066332916,0.7219280948873623,0.2,0.15565442089221249,1.4221727895538938
GREATS,boundary_duplicate_mnist,0,0.3,0.5,2500,2500,800,620,1420,,0.4289750834831749,0.4289750834831749,,,,,57.070832134224474,0,797,0.32125,0.86125,0.5994092226028442,0.5994092226028442,1.0000001192092896,0.005760223079048498,0.9974968710888611,0.9974968710888611,0.9962453066332916,0.5809557895770766,0.13875,0.14879954593857436,1.4256002270307129
MaxLoss,boundary_duplicate_mnist,0,0.3,0.6,2000,3000,800,357,1157,0.6177818888099864,0.4084253788851785,0.40842537888517855,,,,,48.68884493689984,0,797,0.30375,0.81875,0.58814936876297,0.58814936876297,0.9999989867210388,0.005725449750733764,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.6828039570117026,0.18125,0.1498406509722387,1.4250796745138805
Marginal,boundary_duplicate_mnist,0,0.3,0.6,2000,3000,800,537,1337,0.7060534725897014,0.45055227331107117,0.45055227331107117,,,,,50.25139373913407,0,797,0.31125,0.93375,0.6064563393592834,0.6064563393592834,0.9999978542327881,0.0066031914097122914,0.9949937421777222,0.9987484355444305,0.9949937421777222,0.35177092054296266,0.06625,0.1559279780243911,1.4220360109878045
PU-R,boundary_duplicate_mnist,0,0.3,0.6,2000,3000,800,521,1321,0.698267838859465,0.37066529668636017,0.3706652966863601,,,,,99.65425558201969,0,797,0.28625,0.805,0.5652056336402893,0.5652056336402893,0.9984430074691772,0.006542120944797172,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.7118146702143195,0.195,0.15619935304064586,1.4219003234796772
GREATS,boundary_duplicate_mnist,0,0.3,0.6,2000,3000,800,329,1129,,0.4538916003082456,0.45389160030824555,,,,,55.12042350694537,0,797,0.29875,0.85875,0.5909562110900879,0.5909562110900879,0.9999989867210388,0.006220943258331625,0.9974968710888611,0.9962453066332916,0.9962453066332916,0.5875031108110359,0.14125,0.1511014412496492,1.4244492793751755
MaxLoss,boundary_duplicate_mnist,0,0.3,0.7,1500,3500,800,102,902,0.6457800330244936,0.42229642948882606,0.4222964294888261,,,,,47.8270952347666,0,797,0.30625,0.85125,0.5845586061477661,0.5845586061477661,0.9999868273735046,0.005940832130060775,0.9899874843554443,0.9974968710888611,0.9899874843554443,0.6067033189373926,0.14875,0.15408368555492785,1.422958157222536
Marginal,boundary_duplicate_mnist,0,0.3,0.7,1500,3500,800,259,1059,0.7474022562964819,0.3765733367582841,0.3765733367582841,,,,,49.24400781467557,0,797,0.28875,0.85125,0.5786498785018921,0.5786498785018921,0.9998804926872253,0.00640890311046547,0.9949937421777222,0.9974968710888611,0.9949937421777222,0.6067033189373926,0.14875,0.15832214381330692,1.4208389280933464
PU-R,boundary_duplicate_mnist,0,0.3,0.7,1500,3500,800,271,1071,0.755065283854492,0.3896737734395068,0.3896737734395068,,,,,97.23507492057979,0,797,0.29625,0.865,0.5785521864891052,0.5785521864891052,0.9977973699569702,0.007144632668122072,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.5709929600768897,0.135,0.15811983891743928,1.4209400805412804
GREATS,boundary_duplicate_mnist,0,0.3,0.7,1500,3500,800,137,937,,0.43976367839712305,0.43976367839712305,,,,,53.49972796719521,0,797,0.28125,0.84625,0.5835332274436951,0.5835332274436951,0.9999923706054688,0.006117804642668803,0.9949937421777222,0.9962453066332916,0.9949937421777222,0.6191456596284757,0.15375,0.15019898432793582,1.424900507836032
MaxLoss,boundary_duplicate_mnist,0,0.3,0.8,1000,4000,627,0,627,0.6797590856440365,0.4302594400205497,0.4302594400205497,,,,,27.276355491951108,1,624,0.30462519936204147,0.861244019138756,0.5720053315162659,0.5720053315162659,0.9999589920043945,0.008391807750670817,0.9920127795527156,0.9952076677316294,0.9920127795527156,0.5809715426165715,0.13875598086124402,0.15612208882857675,1.4219389555857116
Marginal,boundary_duplicate_mnist,0,0.3,0.8,1000,4000,800,37,837,0.8768101932364516,0.43000256871307474,0.43000256871307474,,,,,48.82860259991139,0,797,0.29875,0.85875,0.5854989290237427,0.5854989290237427,0.9999620914459229,0.006785810799180566,0.9937421777221527,0.9974968710888611,0.9924906132665833,0.5875031108110359,0.14125,0.1581746643744153,1.4209126678127924
PU-R,boundary_duplicate_mnist,0,0.3,0.8,1000,4000,800,3,803,0.846056308306288,0.3847932185974826,0.38479321859748267,,,,,95.39828243944794,0,797,0.3025,0.86625,0.5782498717308044,0.5782498717308044,0.9999877214431763,0.009218010942431841,0.9937421777221527,0.9974968710888611,0.9937421777221527,0.56763360696721,0.13375,0.16663128469464547,1.4166843576526773
