method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,mnist,0,0.0,0.0,5000,0,522,0,522,0.1196743362233974,0.043300000000000005,0.0433,,,,,18.29459672048688,1,519,0.0,0.0,0.5753800272941589,0.5753800272941589,0.9924591183662415,0.011725479304668048,0.9980806142034548,0.9980806142034548,0.9980806142034548,0.0,0.0,0.166243441718124,1.416878279140938
Marginal,mnist,0,0.0,0.0,5000,0,800,96,896,0.19854948372812942,0.04930000000000001,0.0493,,,,,47.93996343854815,0,797,0.0,0.0,0.557479739189148,0.557479739189148,0.9968276023864746,0.005670621720298854,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15984154671972575,1.4200792266401372
PU-R,mnist,0,0.0,0.0,5000,0,696,0,696,0.15657658921554685,0.04469999999999996,0.0447,,,,,67.87909832689911,1,693,0.0,0.0,0.555092990398407,0.555092990398407,0.9947627782821655,0.008976866025226392,0.9985611510791367,0.9985611510791367,0.9985611510791367,0.0,0.0,0.16699328231996677,1.4165033588400167
GREATS,mnist,0,0.0,0.0,5000,0,652,0,652,,0.03979999999999995,0.0398,,,,,32.89845671504736,1,649,0.0,0.0,0.579142689704895,0.579142689704895,0.9937152862548828,0.009306809574525843,0.9984639016897081,0.9984639016897081,0.9984639016897081,0.0,0.0,0.1620653540291958,1.418967322985402
MaxLoss,mnist,0,0.0,0.1,4500,500,486,0,486,0.12431726261274889,0.046599999999999975,0.0466,,,,,14.800871156156063,1,483,0.0,0.0,0.5734672546386719,0.5734672546386719,0.9904321432113647,0.01265039881367294,0.9979381443298969,0.9979381443298969,0.9979381443298969,0.0,0.0,0.16936922075298305,1.4153153896235084
Marginal,mnist,0,0.0,0.1,4500,500,800,54,854,0.21060018718708307,0.04679999999999995,0.0468,,,,,47.23607620224357,0,797,0.0,0.0,0.5612048506736755,0.5612048506736755,0.9976738691329956,0.006196666968600575,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.1606127405523476,1.419693629723826
PU-R,mnist,0,0.0,0.1,4500,500,663,0,663,0.1660620466573164,0.04520000000000002,0.0452,,,,,58.97012899350375,1,660,0.0,0.0,0.5672746300697327,0.5672746300697327,0.9952257871627808,0.00953621147831781,0.9984894259818731,0.9969788519637462,0.9969788519637462,0.0,0.0,0.16521881190397106,1.4173905940480145
GREATS,mnist,0,0.0,0.1,4500,500,583,0,583,,0.04400000000000004,0.044,,,,,25.40121286176145,1,580,0.0,0.0,0.571386992931366,0.571386992931366,0.990211546421051,0.01056477920517495,0.9982817869415808,0.9982817869415808,0.9982817869415808,0.0,0.0,0.1642034433869669,1.4178982783065166
MaxLoss,mnist,0,0.0,0.2,4000,1000,427,0,427,0.1239273477694951,0.04859999999999998,0.0486,,,,,10.776216380298138,1,424,0.0,0.0,0.5789155960083008,0.5789155960083008,0.9873473644256592,0.015101933335210961,0.9976525821596244,0.9976525821596244,0.9976525821596244,0.0,0.0,0.17511424001471235,1.4124428799926438
Marginal,mnist,0,0.0,0.2,4000,1000,800,37,837,0.23213638446759433,0.04730000000000001,0.0473,,,,,46.38518238160759,0,797,0.0,0.0,0.5744174122810364,0.5744174122810364,0.9946373701095581,0.006242736071184713,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16132776243444405,1.419336118782778
