dataset,method,noise_rate,pretrain_fraction,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se
mnist,GREATS,0.0,0.0,5,619.8,11.11935249913411,0.0,0.0,619.8,11.11935249913411,,,0.042480000000000004,0.0015727046766637503,0.04248,0.0015727046766637399,,,,,,,,,29.32714798245579,1.2133463022843032,1.0,0.0,,,616.8,11.11935249913411,0.0,0.0,0.0,0.0,0.5795214414596558,0.001817779464071477,0.5795214414596558,0.001817779464071477,0.9914589762687683,0.0006019593026437036,0.009851421485788677,0.00020553061291676773,0.9983818838716155,2.9021271764545345e-05,0.9983818838716155,2.9021271764545345e-05,0.9983818838716155,2.9021271764545345e-05,0.0,0.0,0.0,0.0,0.16333356306993396,0.00037389564205906885,1.418333218465033,0.00018694782102954104
mnist,GREATS,0.0,0.1,5,550.8,9.89141041510259,0.0,0.0,550.8,9.89141041510259,,,0.04498000000000002,0.0012772626981165628,0.044980000000000006,0.0012772626981165617,,,,,,,,,22.131121085770427,0.9701269479583094,1.0,0.0,,,547.8,9.89141041510259,0.0,0.0,0.0,0.0,0.5727992296218872,0.0010876131418128246,0.5727992296218872,0.0010876131418128246,0.9902187347412109,0.0003958202749444735,0.011120296647538977,0.00020268581924905006,0.9981788245626524,3.2427646751443165e-05,0.9981788245626524,3.2427646751443165e-05,0.9981788245626524,3.2427646751443165e-05,0.0,0.0,0.0,0.0,0.16531038438282328,0.0004594259481830647,1.4173448078085884,0.00022971297409151838
mnist,GREATS,0.0,0.2,5,492.2,8.027452896155792,0.0,0.0,492.2,8.027452896155792,,,0.04862,0.0014266744548074115,0.04862,0.0014266744548074035,,,,,,,,,16.947348705492914,0.6260019890586139,1.0,0.0,,,489.2,8.027452896155792,0.0,0.0,0.0,0.0,0.5849512219429016,0.00232864221032362,0.5849512219429016,0.00232864221032362,0.9908786654472351,0.0009202627664990212,0.01280699364629243,0.0004292862551277958,0.9979619306056122,3.425633626028689e-05,0.9975658910016518,0.0003828331050775346,0.9975658910016518,0.0003828331050775346,0.0,0.0,0.0,0.0,0.16889377025619937,0.0012681468244916559,1.4155531148719003,0.0006340734122458411
mnist,GREATS,0.0,0.3,5,473.2,12.318279100588684,0.0,0.0,473.2,12.318279100588684,,,0.04928000000000001,0.00050635955604688,0.049280000000000004,0.0005063595560468871,,,,,,,,,15.267819881625474,0.8970095131227893,1.0,0.0,,,470.2,12.318279100588684,0.0,0.0,0.0,0.0,0.5817648291587829,0.0022282560705216767,0.5817648291587829,0.0022282560705216767,0.9892692565917969,0.0005347253624844529,0.013455562911399748,0.00039417437141057326,0.997876618214843,5.404835230691623e-05,0.9974867546670847,0.0003478278265624284,0.9974867546670847,0.0003478278265624284,0.0,0.0,0.0,0.0,0.17051232274997902,0.0010109417386964228,1.4147438386250104,0.0005054708693482249
mnist,GREATS,0.0,0.4,5,409.0,9.386160024205852,0.0,0.0,409.0,9.386160024205852,,,0.0546,0.0016330952207388237,0.054599999999999996,0.0016330952207388274,,,,,,,,,10.923644479550422,0.5204372038523395,1.0,0.0,,,406.0,9.386160024205852,0.0,0.0,0.0,0.0,0.586279833316803,0.0017820062058900533,0.586279833316803,0.0017820062058900533,0.989102590084076,0.0009623723178840797,0.01576672271420088,0.0003665670152849307,0.9975438830403526,5.5831326208351436e-05,0.9965350541977707,0.0006465599441063939,0.9965350541977707,0.0006465599441063939,0.0,0.0,0.0,0.0,0.17569820639526168,0.0009655665295534602,1.4121508968023693,0.0004827832647767291
mnist,GREATS,0.0,0.5,5,375.2,5.633826408401309,0.0,0.0,375.2,5.633826408401309,,,0.05506,0.0012217200988769838,0.05506,0.0012217200988769886,,,,,,,,,8.939059163816273,0.27243747229094833,1.0,0.0,,,372.2,5.633826408401309,0.0,0.0,0.0,0.0,0.5891852736473083,0.0033885007612871228,0.5891852736473083,0.0033885007612871228,0.987893795967102,0.0006849348803643248,0.017061429889366708,0.00044376001764717264,0.9973251916447016,4.0539736143574354e-05,0.9967831862246473,0.0005522297718396126,0.9967831862246473,0.0005522297718396126,0.0,0.0,0.0,0.0,0.17777227002724,0.0015672114006761084,1.4111138649863801,0.0007836057003380378
mnist,GREATS,0.0,0.6,5,324.2,5.97829407105405,0.0,0.0,324.2,5.97829407105405,,,0.0605,0.0012771061036578005,0.0605,0.0012771061036577968,,,,,,,,,6.511216505989433,0.22283670622752932,1.0,0.0,,,321.2,5.97829407105405,0.0,0.0,0.0,0.0,0.5985414028167725,0.0037792642888129,0.5985414028167725,0.0037792642888129,0.9870388865470886,0.0006334066571036857,0.01976741408188985,0.00034881856930551075,0.9969016295428588,5.831579740862166e-05,0.996282434496419,0.0006213386210858144,0.996282434496419,0.0006213386210858144,0.0,0.0,0.0,0.0,0.18287763691355638,0.0005948868074278768,1.4085611815432217,0.00029744340371392236
mnist,GREATS,0.0,0.7,5,261.4,6.485368146836384,0.0,0.0,261.4,6.485368146836384,,,0.06952,0.001953816777489637,0.06952,0.0019538167774896397,,,,,,,,,4.307449932396412,0.17422701080826786,1.0,0.0,,,258.4,6.485368146836384,0.0,0.0,0.0,0.0,0.5968765258789063,0.00249576662672416,0.5968765258789063,0.00249576662672416,0.9889263033866882,0.0010374228683011103,0.02230937399567126,0.0008053536207787362,0.9961500249676796,9.769184062715146e-05,0.9961500249676796,9.769184062715146e-05,0.9961500249676796,9.769184062715146e-05,0.0,0.0,0.0,0.0,0.18755015041027062,0.0016523689032752072,1.4062249247948648,0.0008261844516376178
mnist,GREATS,0.0,0.8,5,200.6,6.201612693485462,0.0,0.0,200.6,6.201612693485462,,,0.08103999999999997,0.0029635451742802982,0.08104,0.002963545174280292,,,,,,,,,2.7076118702068923,0.13078859410477747,1.0,0.0,,,197.6,6.201612693485462,0.0,0.0,0.0,0.0,0.606186842918396,0.0025263710499375544,0.606186842918396,0.0025263710499375544,0.9856690406799317,0.001477934998855765,0.02735680662244837,0.0005481440620465833,0.9949708333564515,0.0001544179932706385,0.9929546838465232,0.0012503525841426962,0.9929546838465232,0.0012503525841426962,0.0,0.0,0.0,0.0,0.19636484848056043,0.0009360271940613211,1.4018175757597198,0.00046801359703066376
mnist,MaxLoss,0.0,0.0,5,481.8,14.252719038836062,0.0,0.0,481.8,14.252719038836062,0.11107462908839807,0.003051560808047485,0.04530000000000001,0.0005683308895353079,0.0453,0.0005683308895353136,,,,,,,,,14.667532252334059,1.1423585322598044,1.0,0.0,,,478.8,14.252719038836062,0.0,0.0,0.0,0.0,0.5751577019691467,0.0003216981460429125,0.5751577019691467,0.0003216981460429125,0.9906491994857788,0.0006525062895165766,0.013102558374013659,0.0004572649693401127,0.9970677254703494,0.0005344912891305523,0.9979127908760965,6.1971607896949e-05,0.9970677254703494,0.0005344912891305523,0.0,0.0,0.0,0.0,0.16966009824441508,0.0012429495337281861,1.4151699508777924,0.000621474766864104
mnist,MaxLoss,0.0,0.1,5,450.4,14.955266630856169,0.0,0.0,450.4,14.955266630856169,0.1158388701500371,0.0035684285717388674,0.04723999999999999,0.0007399999999999983,0.04724,0.0007399999999999993,,,,,,,,,12.351595890335739,0.9167034558858941,1.0,0.0,,,447.4,14.955266630856169,0.0,0.0,0.0,0.0,0.5743571043014526,0.0010522317652532829,0.5743571043014526,0.0010522317652532829,0.9898787617683411,0.00043416130303680867,0.013717986970229853,0.0004439809271762181,0.9972565982822463,0.0005837438015137065,0.9977642124954442,7.976791501003135e-05,0.9972565982822463,0.0005837438015137065,0.0,0.0,0.0,0.0,0.171452026740718,0.0011079833829802923,1.4142739866296412,0.0005539916914901643
mnist,MaxLoss,0.0,0.2,5,415.2,9.356281312572852,0.0,0.0,415.2,9.356281312572852,0.1207549963495694,0.0025121969138350814,0.04920000000000002,0.00065038450166037,0.0492,0.0006503845016603642,,,,,,,,,10.098909091204405,0.5178369968531239,1.0,0.0,,,412.2,9.356281312572852,0.0,0.0,0.0,0.0,0.578061842918396,0.0019891890744377764,0.578061842918396,0.0019891890744377764,0.9892460942268372,0.0005098186550774014,0.015250942587965185,0.0004921134579785095,0.9975808313046233,5.399607420448919e-05,0.9975808313046233,5.399607420448919e-05,0.9975808313046233,5.399607420448919e-05,0.0,0.0,0.0,0.0,0.17499508929796734,0.0012535445559358086,1.4125024553510164,0.000626772277967908
mnist,MaxLoss,0.0,0.3,5,387.0,10.549881515922346,0.0,0.0,387.0,10.549881515922346,0.12917512099957093,0.003241168821668872,0.05066,0.0011749893616539709,0.05066,0.0011749893616539676,,,,,,,,,8.609427027590574,0.5302903993328932,1.0,0.0,,,384.0,10.549881515922346,0.0,0.0,0.0,0.0,0.5777938961982727,0.0011682679040698472,0.5777938961982727,0.0011682679040698472,0.9900053977966309,0.0006828182986077303,0.01616393603801112,0.00045908407887092884,0.9968522331234315,0.0005896664093692534,0.9974016836728822,6.99569089423059e-05,0.9968522331234315,0.0005896664093692534,0.0,0.0,0.0,0.0,0.1762975136066945,0.0010533250133733108,1.411851243196653,0.0005266625066866557
