method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,mnist,0,0.0,0.0,support,5000,0,522,0,522,0.1196743362233974,0.043300000000000005,0.0433,,,,,20.511899081990123,1,519,0.0,0.0,0.5753800272941589,0.5753800272941589,0.9924591183662415,0.011725479304668048,0.9980806142034548,0.9980806142034548,0.9980806142034548,0.0,0.0,0.166243441718124,1.416878279140938
Marginal,mnist,0,0.0,0.0,support,5000,0,800,96,896,0.19854948372812942,0.04930000000000001,0.0493,,,,,47.22559208108578,0,797,0.0,0.0,0.557479739189148,0.557479739189148,0.9968276023864746,0.005670621720298854,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15984154671972575,1.4200792266401372
PU-R,mnist,0,0.0,0.0,support,5000,0,696,0,696,0.15657658921554685,0.04469999999999996,0.0447,,,,,65.7734711279627,1,693,0.0,0.0,0.555092990398407,0.555092990398407,0.9947627782821655,0.008976866025226392,0.9985611510791367,0.9985611510791367,0.9985611510791367,0.0,0.0,0.16699328231996677,1.4165033588400167
GREATS,mnist,0,0.0,0.0,support,5000,0,652,0,652,,0.03979999999999995,0.0398,,,,,33.07266752095893,1,649,0.0,0.0,0.579142689704895,0.579142689704895,0.9937152862548828,0.009306809574525843,0.9984639016897081,0.9984639016897081,0.9984639016897081,0.0,0.0,0.1620653540291958,1.418967322985402
MaxLoss,mnist,0,0.0,0.1,support,4500,500,365,0,365,0.09541010193061084,0.04620000000000002,0.0462,,,,,8.09456722100731,1,362,0.0,0.0,0.6350365281105042,0.6350365281105042,0.9821715354919434,0.022411429924521963,0.9945054945054945,0.9972527472527473,0.9945054945054945,0.0,0.0,0.19160696985771272,1.4041965150711437
Marginal,mnist,0,0.0,0.1,support,4500,500,715,0,715,0.17823297122959048,0.03969999999999996,0.0397,,,,,37.44960842898581,1,712,0.0,0.0,0.581891655921936,0.581891655921936,0.9961310625076294,0.009801977902979535,0.9943977591036415,0.9971988795518207,0.9929971988795518,0.0,0.0,0.17440746182738195,1.412796269086309
PU-R,mnist,0,0.0,0.1,support,4500,500,443,0,443,0.11408581439172849,0.04310000000000003,0.0431,,,,,21.81599171401467,1,440,0.0,0.0,0.6098896861076355,0.6098896861076355,0.9869859218597412,0.01864559369739061,0.995475113122172,0.9932126696832579,0.9909502262443439,0.0,0.0,0.18435492338981052,1.4078225383050946
GREATS,mnist,0,0.0,0.1,support,4500,500,666,0,666,,0.04279999999999995,0.0428,,,,,33.73252224700991,1,663,0.0,0.0,0.5863499045372009,0.5863499045372009,0.9927841424942017,0.010595256966867842,0.9969924812030075,0.9969924812030075,0.9954887218045113,0.0,0.0,0.17039148841900598,1.414804255790497
MaxLoss,mnist,0,0.0,0.2,support,4000,1000,294,0,294,0.08795803063549101,0.043200000000000016,0.0432,,,,,5.180111554916948,1,291,0.0,0.0,0.6778448820114136,0.6778448820114136,0.9953141212463379,0.027829085316178438,0.9931740614334471,0.9931740614334471,0.9931740614334471,0.0,0.0,0.198446126233942,1.400776936883029
Marginal,mnist,0,0.0,0.2,support,4000,1000,561,0,561,0.1596437664120458,0.04249999999999998,0.0425,,,,,21.02169307298027,1,558,0.0,0.0,0.6125780344009399,0.6125780344009399,0.9923503398895264,0.014749076975359848,0.9892857142857143,0.9982142857142857,0.9892857142857143,0.0,0.0,0.1843430894307687,1.4078284552846156
