dataset,method,noise_rate,pretrain_fraction,pretrain_training_mode,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se
mnist,GREATS,0.0,0.0,support,5,619.8,11.11935249913411,0.0,0.0,619.8,11.11935249913411,,,0.042480000000000004,0.0015727046766637503,0.04248,0.0015727046766637399,,,,,,,,,29.30813565296121,1.2205986826020785,1.0,0.0,,,616.8,11.11935249913411,0.0,0.0,0.0,0.0,0.5795214414596558,0.001817779464071477,0.5795214414596558,0.001817779464071477,0.9914589762687683,0.0006019593026437036,0.009851421485788677,0.00020553061291676773,0.9983818838716155,2.9021271764545345e-05,0.9983818838716155,2.9021271764545345e-05,0.9983818838716155,2.9021271764545345e-05,0.0,0.0,0.0,0.0,0.16333356306993396,0.00037389564205906885,1.418333218465033,0.00018694782102954104
mnist,GREATS,0.0,0.1,support,5,640.6,8.28009661779378,0.0,0.0,640.6,8.28009661779378,,,0.04196,0.00029933259094190676,0.04196,0.00029933259094191495,,,,,,,,,30.762091565015727,0.9279291984760177,1.0,0.0,,,637.6,8.28009661779378,0.0,0.0,0.0,0.0,0.5893501400947571,0.0021866115386204943,0.5893501400947571,0.0021866115386204943,0.9919239640235901,0.000871623640503746,0.011180239768192463,0.00021142521051858878,0.9971674087275624,0.0006155608049859793,0.997816759376913,0.0003728711100405088,0.9965486918240158,0.0007772615145394092,0.0,0.0,0.0,0.0,0.17274011779147933,0.0006276827906249938,1.4136299411042603,0.0003138413953124846
mnist,GREATS,0.0,0.2,support,5,514.8,12.2245654319489,0.0,0.0,514.8,12.2245654319489,,,0.04173999999999998,0.0005055689863905891,0.041740000000000006,0.0005055689863905818,,,,,,,,,18.626675693178548,1.023001891276447,1.0,0.0,,,511.8,12.2245654319489,0.0,0.0,0.0,0.0,0.6180845975875855,0.0017138607900075947,0.6180845975875855,0.0017138607900075947,0.9895242691040039,0.0002716957736270974,0.01610061835161471,0.0004306415064561346,0.9964252976334842,0.0012379119981732075,0.9961241745841051,0.0010215380107462552,0.9945001255024287,0.0014403275084530697,0.0,0.0,0.0,0.0,0.183041678027385,0.0011172541060390099,1.4084791609863074,0.000558627053019502
mnist,GREATS,0.0,0.3,support,5,398.0,11.493476410555685,0.0,0.0,398.0,11.493476410555685,,,0.041039999999999986,0.0008304215796810657,0.04104,0.0008304215796810671,,,,,,,,,10.89620965900831,0.6460053840513428,1.0,0.0,,,395.0,11.493476410555685,0.0,0.0,0.0,0.0,0.6486983299255371,0.0031825764964927205,0.6486983299255371,0.0031825764964927205,0.9855143070220947,0.0015692693060035973,0.023489370697525675,0.0006160609798775754,0.9954242422440602,0.0015453898027719707,0.9923455433740038,0.0019214734532786663,0.9908234282269813,0.002050640936254492,0.0,0.0,0.0,0.0,0.19783723356293567,0.0008137137949045318,1.4010813832185323,0.0004068568974522644
mnist,GREATS,0.0,0.4,support,5,317.6,8.70976463516667,0.0,0.0,317.6,8.70976463516667,,,0.04172,0.0009986991538997038,0.04172,0.000998699153899712,,,,,,,,,7.401288265176118,0.37099945502410336,1.0,0.0,,,314.6,8.70976463516667,0.0,0.0,0.0,0.0,0.6695347547531127,0.0007763013806794584,0.6695347547531127,0.0007763013806794584,0.9848304033279419,0.0013957589749648597,0.029855761513472533,0.0007816788954950012,0.9880645332641025,0.0009124211534406149,0.9854321139229795,0.0016923201094968187,0.979171015558693,0.001498910379497033,0.0,0.0,0.0,0.0,0.2070332975835659,0.001591775574428594,1.3964833512082173,0.0007958877872143121
mnist,GREATS,0.0,0.5,support,5,256.0,3.331666249791536,0.0,0.0,256.0,3.331666249791536,,,0.04198000000000002,0.0004532107677449779,0.041979999999999996,0.00045321076774498597,,,,,,,,,5.64469157315325,0.10795347133173638,1.0,0.0,,,253.0,3.331666249791536,0.0,0.0,0.0,0.0,0.7000836849212646,0.0013216322933074529,0.7000836849212646,0.0013216322933074529,0.9791064262390137,0.00226639434550624,0.036039477546300894,0.0004451004426867837,0.9796156423174402,0.003387934604338996,0.9796414843763266,0.001339909463885427,0.9670744769643294,0.002591066364003554,0.0,0.0,0.0,0.0,0.21076532828715955,0.001259782944745492,1.3946173358564202,0.0006298914723727603
mnist,GREATS,0.0,0.6,support,5,208.8,3.6796738985948196,0.0,0.0,208.8,3.6796738985948196,,,0.04124000000000001,0.0003140063693621506,0.04124,0.00031400636936215146,,,,,,,,,4.401691638422198,0.10662256788785944,1.0,0.0,,,205.8,3.6796738985948196,0.0,0.0,0.0,0.0,0.729074215888977,0.003220081268311181,0.729074215888977,0.003220081268311181,0.979781711101532,0.0018263252078847276,0.044218470508609484,0.0005938782514901031,0.9604907731617665,0.0046694023079088855,0.9604056542685729,0.0028107559881455227,0.9393432982739126,0.003831127233574891,0.0,0.0,0.0,0.0,0.2171284504093683,0.001025550909684947,1.3914357747953159,0.0005127754548424828
mnist,GREATS,0.0,0.7,support,5,158.6,5.4644304369257,0.0,0.0,158.6,5.4644304369257,,,0.04286000000000001,0.0005714892824891735,0.042859999999999995,0.000571489282489182,,,,,,,,,3.2682063383981586,0.1418838521615294,1.0,0.0,,,155.6,5.4644304369257,0.0,0.0,0.0,0.0,0.7517489314079284,0.005571378146808672,0.7517489314079284,0.005571378146808672,0.9716185092926025,0.0025381935829511997,0.053910662473016194,0.0017018760624746376,0.9086339160755678,0.017218375864086772,0.932946276164442,0.009953557529275308,0.881607326241161,0.020664201356138345,0.0,0.0,0.0,0.0,0.22271530836163214,0.0024327909411808605,1.3886423458191839,0.0012163954705904567
mnist,GREATS,0.0,0.8,support,5,130.8,2.517935662402834,0.0,0.0,130.8,2.517935662402834,,,0.04418000000000002,0.0007479304780526017,0.04418,0.0007479304780526062,,,,,,,,,2.6764063803944738,0.061444220687522394,1.0,0.0,,,127.8,2.517935662402834,0.0,0.0,0.0,0.0,0.7630043983459472,0.003011352704183262,0.7630043983459472,0.003011352704183262,0.9723989605903626,0.002407277196231997,0.059984944669789896,0.0016192174307489223,0.8557585211496465,0.025422284811103923,0.903953254877149,0.009181464684742851,0.8281722516681753,0.019632581317100353,0.0,0.0,0.0,0.0,0.22641262484216645,0.0009335699921750357,1.3867936875789169,0.00046678499608751773
mnist,Marginal,0.0,0.0,support,5,800.0,0.0,83.0,7.362064927722385,883.0,7.362064927722385,0.1958320782985538,0.0015386696004731657,0.04732000000000001,0.0007592101158440861,0.047319999999999994,0.0007592101158440917,,,,,,,,,47.139260280015876,0.09715618126775424,0.0,0.0,,,797.0,0.0,0.0,0.0,0.0,0.0,0.5586357712745667,0.0016794958602997015,0.5586357712745667,0.0016794958602997015,0.9976861953735352,0.0004127426523285619,0.0059472822231869706,0.0001024497296033962,0.997997496871089,0.0005006257822277787,0.9987484355444305,0.0,0.997997496871089,0.0005006257822277787,0.0,0.0,0.0,0.0,0.16009285408331125,0.0004062448752096883,1.4199535729583446,0.00020312243760484488
